1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 379.6405),(2 571.7733),(3 695.5386),(4 760.31055),(5 808.10345),(6 856.96185),(7 891.4421),(8 924.43945),(9 941.5171),(10 949.87555),(11 953.2383),(12 954.75305),(13 973.5315),(14 981.4601),(15 991.2332),(16 990.3943),(17 991.8917),(18 993.4069),(19 998.67053),(20 990.03815),(21 992.4967),(22 993.8651),(23 1002.7401),(24 996.95074),(25 1000.77606),(26 1007.62946),(27 1016.53674),(28 1016.60425),(29 1013.7078),(30 1020.61835),(31 1027.5034),(32 1030.6514),(33 1033.252),(34 1035.2731),(35 1035.7706),(36 1026.7073),(37 1024.5287),(38 1021.4085),(39 1039.4176),(40 1037.0945),(41 1034.3767),(42 1040.2106),(43 1036.0978),(44 1035.4333),(45 1034.3079),(46 1033.7036),(47 1042.3479),(48 1037.4033),(49 1029.6445),(50 1042.0569),(51 1038.9391),(52 1032.4927),(53 1036.4608),(54 1040.2732),(55 1032.1722),(56 1035.4249),(57 1033.4196),(58 1022.3325),(59 1030.3309),(60 1032.5021),(61 1038.1624),(62 1043.7247),(63 1056.3826),(64 1055.4974),(65 1062.875),(66 1060.0763),(67 1059.7034),(68 1054.2266),(69 1058.8245),(70 1047.8395),(71 1054.6934),(72 1059.077),(73 1048.4884),(74 1048.856),(75 1061.5927),(76 1062.8854),(77 1061.9557),(78 1061.86),(79 1070.5842),
(1 375.32718),(2 556.0122),(3 674.6601),(4 740.8129),(5 788.60236),(6 836.1424),(7 868.1667),(8 896.38354),(9 912.88983),(10 925.8542),(11 937.268),(12 946.6476),(13 949.9105),(14 949.3521),(15 955.9598),(16 956.23517),(17 958.95996),(18 966.43207),(19 961.74725),(20 954.68146),(21 961.0434),(22 955.9712),(23 956.8832),(24 957.2067),(25 957.99365),(26 960.13336),(27 956.65826),(28 955.25055),(29 955.0663),(30 965.94763),(31 966.2038),(32 977.31995),(33 975.24255),(34 983.64545),(35 984.3237),(36 987.04565),(37 989.3742),(38 988.0219),(39 989.20337),(40 993.9137),(41 989.45233),(42 990.0443),(43 989.47675),(44 1002.6286),(45 1006.39667),(46 1007.6321),(47 1012.71234),(48 1014.2537),(49 1002.88007),(50 1005.844),(51 998.6385),(52 997.93494),(53 994.7685),(54 1001.16034),(55 1001.46106),(56 1005.95166),(57 1002.42365),(58 996.2348),(59 997.0374),(60 996.1529),(61 1005.633),(62 1014.8317),(63 1025.8018),(64 1029.942),(65 1034.3074),(66 1022.02344),(67 1019.3969),(68 1009.2803),(69 1003.0673),(70 1004.9014),(71 997.3108),(72 997.6731),(73 994.0043),(74 992.00024),(75 994.3963),(76 994.12933),(77 999.18713),(78 1005.45056),(79 1008.6269),
(1 357.2532),(2 528.2334),(3 648.26605),(4 731.0719),(5 783.63165),(6 836.0655),(7 862.3613),(8 885.2493),(9 900.0199),(10 913.82556),(11 914.0269),(12 916.0977),(13 920.65063),(14 922.1591),(15 928.28375),(16 932.41235),(17 940.49164),(18 956.4624),(19 951.8522),(20 944.2034),(21 942.80743),(22 943.4168),(23 952.27783),(24 948.27374),(25 947.6283),(26 948.974),(27 949.4649),(28 941.7597),(29 936.47125),(30 947.1027),(31 948.7572),(32 951.4241),(33 955.858),(34 950.9558),(35 954.2356),(36 949.38696),(37 947.0854),(38 954.2865),(39 951.8819),(40 945.3005),(41 949.25696),(42 959.4907),(43 954.19135),(44 953.2187),(45 957.96606),(46 950.01215),(47 944.4354),(48 944.9252),(49 948.7917),(50 944.5264),(51 960.1736),(52 961.3962),(53 966.6829),(54 975.23004),(55 975.5611),(56 972.5841),(57 974.6361),(58 969.8224),(59 977.2333),(60 967.3574),(61 969.49725),(62 976.17596),(63 998.42865),(64 997.89246),(65 1000.62213),(66 1000.46564),(67 1001.22845),(68 998.7026),(69 1001.26843),(70 1007.48944),(71 996.2783),(72 998.24524),(73 997.457),(74 996.8688),(75 1002.5275),(76 1002.0665),(77 1001.5137),(78 992.33514),(79 1000.1315),
(1 355.54675),(2 530.70056),(3 638.02765),(4 707.56537),(5 755.62555),(6 803.95807),(7 826.5529),(8 840.6658),(9 854.20514),(10 863.5602),(11 875.8837),(12 882.15826),(13 887.45953),(14 892.95197),(15 899.45465),(16 906.5683),(17 908.2994),(18 921.04254),(19 915.4817),(20 910.06775),(21 906.0154),(22 912.5348),(23 909.7523),(24 901.7543),(25 907.27716),(26 904.6728),(27 904.0037),(28 914.8566),(29 914.1047),(30 913.4059),(31 914.24066),(32 921.5942),(33 924.0324),(34 926.1282),(35 920.06506),(36 916.14417),(37 913.9366),(38 910.0476),(39 918.02985),(40 915.61304),(41 920.3896),(42 931.2908),(43 936.29),(44 939.1511),(45 944.7115),(46 938.0369),(47 937.4931),(48 933.424),(49 942.3891),(50 945.9801),(51 947.6023),(52 946.5878),(53 950.49713),(54 954.2012),(55 955.8143),(56 958.5666),(57 965.1754),(58 967.42365),(59 961.13696),(60 952.5906),(61 953.71423),(62 959.45465),(63 978.04236),(64 969.69507),(65 978.7443),(66 977.8033),(67 971.8386),(68 968.5682),(69 979.36053),(70 976.91187),(71 975.8647),(72 979.6447),(73 968.23303),(74 974.70795),(75 973.2367),(76 967.9697),(77 969.4402),(78 968.8646),(79 970.74475),
(1 351.06464),(2 515.65497),(3 619.1347),(4 685.88947),(5 731.11786),(6 761.0512),(7 782.4451),(8 799.41174),(9 811.7536),(10 831.3304),(11 842.4554),(12 845.8173),(13 857.2437),(14 857.3383),(15 861.8591),(16 857.2002),(17 865.15784),(18 880.52277),(19 879.6349),(20 876.947),(21 881.33044),(22 887.07886),(23 886.7425),(24 889.44714),(25 898.21185),(26 904.0125),(27 907.4222),(28 905.68866),(29 895.07715),(30 897.0933),(31 888.98706),(32 891.1335),(33 895.0748),(34 903.38464),(35 903.5883),(36 903.98083),(37 901.2451),(38 904.05566),(39 910.14014),(40 901.50195),(41 909.85095),(42 916.7087),(43 919.63544),(44 914.0871),(45 913.1526),(46 906.6089),(47 909.01196),(48 908.70264),(49 913.9928),(50 920.71515),(51 922.67316),(52 916.0289),(53 920.90247),(54 927.423),(55 931.029),(56 930.3278),(57 936.7411),(58 931.3817),(59 932.1103),(60 927.2026),(61 928.6987),(62 929.0361),(63 930.1014),(64 932.3104),(65 936.83105),(66 942.1704),(67 938.29614),(68 938.07697),(69 935.3774),(70 939.1278),(71 946.27637),(72 952.3391),(73 946.79974),(74 947.70105),(75 950.4464),(76 940.17474),(77 942.28204),(78 935.11536),(79 933.91223),
(1 341.5412),(2 503.79346),(3 606.9225),(4 670.0185),(5 716.20465),(6 755.2958),(7 776.65125),(8 800.6404),(9 812.7251),(10 825.71234),(11 837.6375),(12 853.45917),(13 860.9536),(14 865.11066),(15 875.24384),(16 872.7594),(17 872.7665),(18 878.345),(19 877.4009),(20 881.1226),(21 882.67975),(22 887.51575),(23 890.8521),(24 887.80945),(25 896.2498),(26 904.47894),(27 906.7629),(28 897.11084),(29 893.98004),(30 895.826),(31 883.8073),(32 882.14764),(33 887.02057),(34 893.77454),(35 904.1751),(36 903.33765),(37 902.3871),(38 908.93756),(39 910.0479),(40 908.62506),(41 913.3264),(42 919.0471),(43 917.79016),(44 919.9199),(45 928.5348),(46 920.82367),(47 925.9261),(48 923.8051),(49 915.9726),(50 911.6398),(51 901.0772),(52 910.81213),(53 913.7316),(54 922.9122),(55 923.2179),(56 925.90704),(57 923.37604),(58 928.9799),(59 929.0211),(60 933.6662),(61 927.97906),(62 938.1205),(63 942.41504),(64 938.43256),(65 946.2012),(66 946.4457),(67 940.1041),(68 941.6395),(69 942.9407),(70 944.22577),(71 950.0814),(72 944.9101),(73 940.22314),(74 934.7472),(75 929.20325),(76 925.41376),(77 923.09576),(78 919.9063),(79 926.5466),
(1 338.3693),(2 496.5151),(3 602.4055),(4 662.2987),(5 710.4028),(6 747.83624),(7 763.01605),(8 778.17566),(9 786.3044),(10 797.54944),(11 794.5768),(12 798.08325),(13 804.5197),(14 814.1006),(15 830.3972),(16 827.36084),(17 830.37354),(18 835.1793),(19 833.7496),(20 839.2059),(21 841.5583),(22 843.2723),(23 846.1205),(24 844.09753),(25 853.77295),(26 860.92236),(27 861.0772),(28 866.23267),(29 862.12195),(30 862.80804),(31 859.292),(32 869.8488),(33 873.819),(34 881.74536),(35 882.22705),(36 882.975),(37 884.7866),(38 879.61597),(39 888.24805),(40 885.61316),(41 886.6199),(42 894.187),(43 898.1659),(44 904.7019),(45 896.1344),(46 899.9335),(47 901.7175),(48 900.89484),(49 902.5537),(50 893.80035),(51 898.3874),(52 894.5552),(53 901.9614),(54 906.0113),(55 900.9058),(56 897.6443),(57 901.7446),(58 891.0152),(59 903.4809),(60 896.6613),(61 903.46106),(62 902.19604),(63 915.464),(64 909.69824),(65 922.5606),(66 930.7635),(67 919.03467),(68 916.494),(69 915.52936),(70 913.6254),(71 911.6156),(72 899.79944),(73 889.29895),(74 893.55914),(75 896.15546),(76 890.5888),(77 897.6419),(78 892.662),(79 896.91376),
(1 327.53827),(2 482.5531),(3 590.67194),(4 655.5952),(5 688.70667),(6 729.33405),(7 742.2054),(8 759.8579),(9 773.39325),(10 781.76373),(11 791.1694),(12 799.0986),(13 806.8099),(14 815.80786),(15 828.0711),(16 825.9092),(17 826.17456),(18 824.76605),(19 823.013),(20 820.0301),(21 830.0111),(22 826.0491),(23 826.4784),(24 826.0509),(25 827.9514),(26 829.64856),(27 822.66223),(28 824.17737),(29 822.1328),(30 824.7762),(31 824.07794),(32 824.14374),(33 823.7178),(34 830.3195),(35 832.98395),(36 836.0491),(37 835.582),(38 833.6884),(39 837.7768),(40 840.09937),(41 839.75183),(42 846.39575),(43 856.37616),(44 858.65924),(45 866.99506),(46 863.8875),(47 864.9988),(48 857.97925),(49 858.7153),(50 859.2281),(51 860.9461),(52 859.1916),(53 865.1771),(54 863.2949),(55 855.8144),(56 864.2723),(57 868.1119),(58 863.04486),(59 872.25586),(60 876.4474),(61 875.87714),(62 869.7173),(63 867.67523),(64 857.3067),(65 859.59845),(66 862.7169),(67 863.6875),(68 860.8016),(69 861.9718),(70 858.8993),(71 861.4107),(72 860.47577),(73 864.82135),(74 875.2027),(75 883.2158),(76 884.96716),(77 881.02423),(78 874.95276),(79 870.86694),
(1 323.66977),(2 477.8256),(3 580.9884),(4 636.51666),(5 668.8801),(6 703.20184),(7 728.68933),(8 747.7715),(9 765.1153),(10 780.6759),(11 790.1769),(12 792.43964),(13 795.0745),(14 795.54694),(15 803.69604),(16 799.13293),(17 802.2343),(18 798.0285),(19 803.0203),(20 808.62714),(21 812.7092),(22 811.93146),(23 812.75214),(24 815.9612),(25 817.34314),(26 818.6095),(27 816.00354),(28 810.51587),(29 807.4006),(30 812.07227),(31 810.13605),(32 816.8428),(33 812.8374),(34 822.03766),(35 822.72437),(36 825.31714),(37 822.2723),(38 823.2717),(39 832.08984),(40 834.28986),(41 831.1291),(42 843.94293),(43 842.499),(44 852.229),(45 856.12494),(46 855.88135),(47 850.3993),(48 848.4445),(49 847.1429),(50 848.39307),(51 850.38184),(52 845.319),(53 843.0796),(54 862.0776),(55 861.6915),(56 865.26013),(57 862.75543),(58 871.17566),(59 878.78955),(60 874.4221),(61 876.74005),(62 878.2981),(63 879.9909),(64 878.24316),(65 873.6749),(66 875.51245),(67 871.6828),(68 865.93066),(69 857.7158),(70 859.2805),(71 864.8206),(72 861.3317),(73 857.50446),(74 862.59564),(75 868.7971),(76 865.3531),(77 867.8814),(78 866.87036),(79 871.9818),
(1 318.41064),(2 466.6446),(3 557.208),(4 612.3037),(5 649.8253),(6 686.04364),(7 710.2549),(8 725.9963),(9 743.23193),(10 759.48956),(11 763.4702),(12 763.30133),(13 764.4094),(14 770.2624),(15 779.1534),(16 774.80493),(17 784.936),(18 789.0683),(19 792.20233),(20 791.4918),(21 797.44257),(22 806.6873),(23 803.65985),(24 799.12524),(25 795.16583),(26 789.99646),(27 797.34894),(28 795.79944),(29 792.294),(30 809.0717),(31 808.2378),(32 810.82983),(33 811.3712),(34 818.8805),(35 817.363),(36 814.7902),(37 812.05817),(38 812.6825),(39 811.4583),(40 812.71265),(41 814.57697),(42 816.59796),(43 819.83386),(44 819.47003),(45 822.0678),(46 821.497),(47 830.9542),(48 829.5029),(49 832.2378),(50 831.5927),(51 827.35254),(52 821.94794),(53 828.4966),(54 826.7322),(55 830.9777),(56 829.175),(57 834.92267),(58 825.9313),(59 828.0013),(60 829.42737),(61 830.1282),(62 840.05896),(63 838.37915),(64 837.23254),(65 836.5449),(66 838.4392),(67 828.6871),(68 828.1274),(69 836.2197),(70 828.9599),(71 822.16595),(72 819.4239),(73 825.2166),(74 822.12537),(75 826.7359),(76 830.6797),(77 832.7349),(78 821.14056),(79 819.1328),
(1 311.34924),(2 454.5605),(3 547.7928),(4 599.58673),(5 639.9787),(6 679.0283),(7 704.0798),(8 714.25397),(9 727.8322),(10 732.5613),(11 734.7093),(12 743.89233),(13 743.83),(14 747.33),(15 757.2742),(16 759.9793),(17 775.86304),(18 785.9031),(19 778.15796),(20 779.4039),(21 781.3673),(22 784.18585),(23 785.88617),(24 793.7879),(25 793.12366),(26 795.50885),(27 799.4221),(28 790.0665),(29 791.5438),(30 793.67163),(31 794.37885),(32 793.1533),(33 791.4769),(34 802.5914),(35 805.6569),(36 803.2378),(37 794.8205),(38 793.2947),(39 792.20544),(40 796.0069),(41 799.59296),(42 799.7097),(43 801.1965),(44 803.41327),(45 806.70184),(46 803.26184),(47 804.3636),(48 803.59076),(49 803.954),(50 801.7275),(51 802.2488),(52 799.717),(53 803.52844),(54 804.34863),(55 808.90497),(56 808.30334),(57 813.5062),(58 804.6729),(59 805.3196),(60 799.18317),(61 798.52356),(62 798.6697),(63 800.14124),(64 798.26086),(65 793.4341),(66 792.8711),(67 791.632),(68 788.5929),(69 793.3709),(70 794.94525),(71 807.2582),(72 804.1762),(73 806.7309),(74 805.2643),(75 808.71045),(76 805.3596),(77 808.13684),(78 813.06934),(79 815.3832),
(1 312.33218),(2 447.7435),(3 540.8778),(4 588.6978),(5 618.5031),(6 649.4824),(7 673.02155),(8 688.7119),(9 709.84863),(10 718.275),(11 724.82776),(12 729.1926),(13 735.99713),(14 739.14233),(15 751.9309),(16 751.91064),(17 748.15454),(18 761.08606),(19 757.5089),(20 755.4266),(21 755.6709),(22 755.3355),(23 751.71606),(24 757.79346),(25 756.70325),(26 765.36414),(27 772.70917),(28 777.9375),(29 778.734),(30 778.9619),(31 777.8484),(32 780.51575),(33 779.93567),(34 786.7074),(35 789.9627),(36 788.9029),(37 785.11395),(38 782.3125),(39 783.79297),(40 786.2855),(41 783.0494),(42 789.5066),(43 790.71497),(44 790.86865),(45 795.4632),(46 795.4813),(47 788.1525),(48 796.0075),(49 794.65485),(50 789.3573),(51 789.69147),(52 789.6671),(53 794.0321),(54 802.0902),(55 805.4554),(56 803.8817),(57 798.82336),(58 796.232),(59 795.9517),(60 799.564),(61 795.562),(62 796.5054),(63 798.363),(64 793.34503),(65 797.9653),(66 801.45593),(67 794.0342),(68 793.0647),(69 797.4741),(70 791.5654),(71 792.2715),(72 787.172),(73 777.3703),(74 778.31055),(75 783.1385),(76 775.6897),(77 771.8369),(78 776.61273),(79 785.9027),
(1 305.05356),(2 438.66397),(3 526.7798),(4 574.37933),(5 610.86957),(6 643.3546),(7 666.5307),(8 678.29596),(9 691.0737),(10 688.68933),(11 694.72235),(12 702.6032),(13 706.5648),(14 710.6228),(15 716.2335),(16 718.1758),(17 717.9172),(18 730.30585),(19 728.7758),(20 727.42303),(21 727.2574),(22 727.54675),(23 724.40906),(24 723.1138),(25 720.8122),(26 725.48444),(27 715.1131),(28 715.63696),(29 720.3397),(30 717.73975),(31 724.47406),(32 732.17053),(33 737.1288),(34 750.0858),(35 758.30676),(36 762.897),(37 764.2322),(38 763.1632),(39 765.26715),(40 765.0362),(41 766.1293),(42 763.93365),(43 762.4651),(44 766.66174),(45 773.9903),(46 770.78955),(47 768.5658),(48 767.10266),(49 761.42847),(50 763.5601),(51 764.5958),(52 767.4137),(53 764.58136),(54 773.70746),(55 771.6803),(56 773.9742),(57 768.6119),(58 767.4712),(59 779.713),(60 781.3044),(61 781.2478),(62 783.48425),(63 784.21686),(64 786.04553),(65 786.3199),(66 788.391),(67 781.85754),(68 779.01935),(69 775.26416),(70 777.86255),(71 781.9593),(72 781.3905),(73 784.4931),(74 784.0523),(75 794.47876),(76 781.83606),(77 779.67035),(78 779.3303),(79 783.1576),
(1 299.992),(2 442.59076),(3 527.89954),(4 582.5758),(5 613.70355),(6 650.97235),(7 674.59064),(8 676.5244),(9 677.42303),(10 681.10913),(11 684.3888),(12 690.1854),(13 696.2385),(14 699.65875),(15 710.632),(16 716.65576),(17 721.07477),(18 729.8504),(19 724.17285),(20 725.7394),(21 733.72314),(22 735.7131),(23 732.09827),(24 732.2242),(25 741.8279),(26 742.7639),(27 745.54724),(28 744.9331),(29 751.03503),(30 760.188),(31 754.8659),(32 758.9544),(33 755.3648),(34 764.701),(35 768.03357),(36 767.19165),(37 770.81665),(38 767.4691),(39 764.60443),(40 763.36475),(41 761.8807),(42 772.0696),(43 772.3596),(44 771.159),(45 780.85944),(46 778.5524),(47 774.885),(48 769.4854),(49 768.3648),(50 771.5031),(51 777.9048),(52 770.2029),(53 770.65546),(54 762.1114),(55 762.81396),(56 757.6392),(57 758.33746),(58 756.7515),(59 766.4041),(60 773.9407),(61 776.0681),(62 769.4046),(63 774.9325),(64 780.8644),(65 773.1321),(66 783.2769),(67 781.1425),(68 779.75665),(69 775.0157),(70 781.744),(71 781.2738),(72 779.81494),(73 780.2348),(74 784.08514),(75 792.2006),(76 784.29645),(77 786.8508),(78 790.01294),(79 794.2438),
(1 289.94608),(2 420.3947),(3 503.18063),(4 554.5927),(5 582.7707),(6 615.7098),(7 635.0956),(8 650.59143),(9 659.0455),(10 667.88824),(11 674.34375),(12 680.4544),(13 684.269),(14 691.6311),(15 698.62823),(16 700.0786),(17 698.03546),(18 702.6901),(19 697.9062),(20 693.8472),(21 704.3707),(22 697.83545),(23 694.5427),(24 699.6604),(25 702.31555),(26 704.80286),(27 705.10187),(28 704.88135),(29 706.39136),(30 715.1764),(31 714.9185),(32 710.828),(33 709.1359),(34 707.744),(35 704.2955),(36 715.06714),(37 717.2655),(38 724.7606),(39 726.5667),(40 732.4065),(41 730.4994),(42 732.2664),(43 738.06476),(44 737.6611),(45 740.68146),(46 744.3476),(47 739.00726),(48 739.533),(49 738.28406),(50 740.32495),(51 739.3067),(52 738.3358),(53 736.0906),(54 735.7066),(55 736.7664),(56 739.023),(57 739.8992),(58 739.5242),(59 745.771),(60 744.17993),(61 749.4845),(62 748.9772),(63 758.2946),(64 759.2569),(65 754.9632),(66 763.168),(67 760.4597),(68 759.9581),(69 754.30457),(70 750.959),(71 747.8355),(72 749.44324),(73 745.1809),(74 745.03705),(75 747.758),(76 745.9421),(77 743.61505),(78 746.66895),(79 750.82574),
(1 288.17136),(2 417.82187),(3 494.7928),(4 542.36005),(5 575.51526),(6 614.01483),(7 628.8894),(8 641.64966),(9 649.9623),(10 658.49097),(11 659.1767),(12 666.1791),(13 669.1797),(14 671.0917),(15 677.20355),(16 679.8759),(17 678.23364),(18 680.1564),(19 675.82654),(20 670.6544),(21 674.0736),(22 669.3871),(23 664.79175),(24 663.66174),(25 673.5304),(26 679.80695),(27 682.967),(28 680.0872),(29 677.02814),(30 694.4142),(31 693.1686),(32 691.366),(33 687.0955),(34 688.9096),(35 693.64484),(36 692.9811),(37 697.25006),(38 695.7934),(39 697.9559),(40 699.0644),(41 700.7413),(42 702.8324),(43 703.3794),(44 698.59576),(45 700.1335),(46 707.7534),(47 704.6573),(48 707.55505),(49 710.4712),(50 717.7651),(51 716.9969),(52 722.7904),(53 724.75226),(54 737.4086),(55 731.39655),(56 733.8261),(57 724.1904),(58 716.8135),(59 718.42725),(60 716.60156),(61 723.8754),(62 726.90424),(63 727.3905),(64 720.8113),(65 722.53656),(66 727.52765),(67 720.8951),(68 717.26965),(69 718.6686),(70 718.24414),(71 724.51697),(72 725.70135),(73 725.90643),(74 722.2558),(75 722.3948),(76 723.4641),(77 725.5676),(78 722.27826),(79 717.57245),
(1 285.66068),(2 414.9661),(3 503.44733),(4 550.6121),(5 578.94446),(6 598.6602),(7 622.9705),(8 638.3236),(9 650.3187),(10 658.82825),(11 666.5455),(12 665.6829),(13 668.03217),(14 664.01215),(15 664.709),(16 667.22754),(17 669.9095),(18 673.878),(19 679.47766),(20 681.60443),(21 688.2279),(22 688.1235),(23 683.4576),(24 682.02405),(25 687.1827),(26 688.45886),(27 692.1041),(28 694.72516),(29 698.29663),(30 701.1219),(31 702.48096),(32 703.0793),(33 701.38855),(34 702.6053),(35 712.5538),(36 714.34827),(37 718.8091),(38 714.69324),(39 714.0704),(40 715.8381),(41 711.02936),(42 716.5066),(43 713.84454),(44 708.45844),(45 705.4388),(46 709.9545),(47 708.35297),(48 704.3198),(49 713.5562),(50 711.37164),(51 716.0512),(52 719.3459),(53 719.8453),(54 721.77277),(55 719.0749),(56 719.49),(57 713.32214),(58 710.39636),(59 711.1146),(60 713.9812),(61 716.1864),(62 718.83203),(63 719.55664),(64 718.40405),(65 726.8229),(66 737.18176),(67 723.9972),(68 723.92163),(69 725.69257),(70 727.1094),(71 727.8577),(72 732.24457),(73 723.97906),(74 719.70734),(75 721.50574),(76 724.78046),(77 728.8638),(78 727.3195),(79 734.02765),
(1 282.57898),(2 404.21646),(3 479.6139),(4 519.8876),(5 547.1357),(6 582.6611),(7 602.4918),(8 614.45355),(9 620.7064),(10 621.85754),(11 634.5084),(12 641.293),(13 646.7824),(14 646.8392),(15 652.2485),(16 655.08167),(17 657.4187),(18 662.4969),(19 661.8059),(20 665.85583),(21 660.2593),(22 662.1743),(23 662.61914),(24 662.9275),(25 669.33777),(26 674.82684),(27 672.64655),(28 673.87836),(29 674.37366),(30 675.8187),(31 673.44354),(32 676.0838),(33 677.67145),(34 676.67126),(35 680.16125),(36 677.8067),(37 679.9127),(38 672.0765),(39 681.90894),(40 680.7555),(41 677.8579),(42 677.24),(43 672.52045),(44 676.50085),(45 678.3625),(46 677.4023),(47 681.3522),(48 682.33606),(49 686.7125),(50 683.5269),(51 689.1517),(52 694.99),(53 687.75745),(54 692.8328),(55 692.182),(56 690.23047),(57 679.7224),(58 683.265),(59 685.6993),(60 693.27783),(61 700.4715),(62 701.4998),(63 699.37933),(64 696.2822),(65 698.4484),(66 706.381),(67 703.0436),(68 701.1464),(69 689.3687),(70 685.96277),(71 682.5822),(72 677.3618),(73 674.85754),(74 669.88354),(75 670.47833),(76 665.99426),(77 662.9086),(78 668.18567),(79 675.0552),
