1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5961.311),(2 16857.693),(3 31795.281),(4 47788.06),(5 66183.29),(6 85849.875),(7 105640.15),(8 126123.35),(9 146261.88),(10 167213.63),(11 192444.23),(12 218201.08),(13 237527.73),(14 255165.89),(15 271576.34),(16 286466.97),(17 301259.16),(18 315892.13),(19 326739.9),(20 340322.25),(21 351651.9),(22 360513.25),(23 371968.16),(24 380161.88),(25 384526.84),(26 386650.78),(27 387796.78),(28 386648.38),(29 382989.97),(30 377595),(31 376205.53),(32 381216.6),(33 380668.6),(34 384886.47),(35 396625.16),(36 405586.4),(37 416415.38),(38 430795.34),(39 445734.38),(40 466112.9),(41 482324),(42 498180.84),(43 511705.88),(44 523742.16),(45 537091.3),(46 548712.7),(47 559648.56),(48 569105.8),(49 575333.8),(50 575568.06),(51 575823),(52 573615.06),(53 570043),(54 568396.06),(55 564777.4),(56 558027.44),(57 547184.06),(58 538374),(59 523885.4),(60 511006.25),(61 489646.6),(62 470769.84),(63 451655.9),(64 436048.88),(65 418766.1),(66 398706.4),(67 378224.4),(68 362539.9),(69 354766.34),(70 347954.16),(71 344025.03),(72 342975.66),(73 337462.38),(74 331885.16),(75 328141.9),(76 327870.63),(77 326140.3),(78 330261.6),(79 338120.9),
(1 3906.808),(2 11353.26),(3 21303.75),(4 31730.426),(5 42312.05),(6 52749.22),(7 62277.75),(8 70944.85),(9 78790.555),(10 85804.23),(11 91930.49),(12 97378.57),(13 102368.695),(14 107731.52),(15 112836.51),(16 116872),(17 120664.195),(18 124660.53),(19 127540.07),(20 129799.92),(21 132746.55),(22 134291.89),(23 135060.38),(24 134545.42),(25 133945.98),(26 132798),(27 131474.9),(28 131242.25),(29 131200.69),(30 131502.23),(31 132553.11),(32 134714.34),(33 137342.98),(34 140071.53),(35 142950.81),(36 145140.1),(37 146195.11),(38 147175.86),(39 147715.11),(40 148650.61),(41 149538.55),(42 150476.92),(43 151339.16),(44 152681.25),(45 154408.66),(46 155932.55),(47 157315.42),(48 159821.27),(49 161463.47),(50 162669.44),(51 164424.45),(52 166331.66),(53 168487.69),(54 170922.81),(55 172872.98),(56 173975.22),(57 174879.78),(58 175900.38),(59 176623.55),(60 177226.4),(61 178402.48),(62 179323.98),(63 180240.72),(64 180196.52),(65 179989.34),(66 180414.4),(67 181237.66),(68 182196.6),(69 182789.89),(70 183656.8),(71 184995.22),(72 185975.81),(73 186884.86),(74 188114.13),(75 189165.11),(76 189865.69),(77 190429.39),(78 191262.4),(79 191411.86),
(1 3740.656),(2 10604.165),(3 19820.031),(4 29353.98),(5 39412.445),(6 49235.74),(7 57832.17),(8 65479.383),(9 71385.18),(10 77006.34),(11 82771.664),(12 87888.63),(13 92613.24),(14 97671.17),(15 102309.78),(16 105906),(17 109369.31),(18 112266.9),(19 114597.875),(20 116698.82),(21 119229.93),(22 120929.06),(23 121770.22),(24 121664.375),(25 121250.59),(26 120310.1),(27 119581.85),(28 120449.73),(29 121089.01),(30 122436.42),(31 124901.49),(32 127544.02),(33 129872.17),(34 131718.33),(35 132823.58),(36 133456.06),(37 133629.55),(38 133963.9),(39 134306.75),(40 135690.61),(41 137243.81),(42 138886.5),(43 140359.03),(44 141576.81),(45 142833.02),(46 144309.33),(47 146554.02),(48 149890.58),(49 152355.47),(50 153941.5),(51 156218.7),(52 158466.92),(53 160822.6),(54 163071.39),(55 165450.9),(56 167984.88),(57 170281.64),(58 172159.94),(59 174253.5),(60 176520.77),(61 178721.05),(62 180967.7),(63 182727.02),(64 183469.08),(65 184596.89),(66 186166.81),(67 187527.36),(68 188971.16),(69 189504.88),(70 190216.88),(71 191480),(72 192226.55),(73 192830.88),(74 194059.98),(75 195786.58),(76 197774.47),(77 200194.14),(78 202601.11),(79 204834.64),
(1 3846),(2 11054.684),(3 20574.031),(4 30286.88),(5 40095.35),(6 49602.22),(7 58222.484),(8 65463.03),(9 71123.99),(10 76114.42),(11 80805.25),(12 84737.96),(13 88022.96),(14 90914.914),(15 93557.33),(16 96348),(17 99274.47),(18 101833.08),(19 104066.766),(20 105699.375),(21 107852.95),(22 109980.89),(23 111353),(24 112381.67),(25 112745.97),(26 113291.375),(27 114019.07),(28 114873.01),(29 115722.48),(30 116964.875),(31 119068.53),(32 121658.766),(33 124708.04),(34 127735.16),(35 130219.4),(36 132246.55),(37 133553.94),(38 134570.45),(39 134892.69),(40 135854.58),(41 137204.69),(42 138730.2),(43 139931.61),(44 141135.75),(45 142092.53),(46 143059.55),(47 144936.55),(48 147351.69),(49 149658.39),(50 151647.19),(51 153250.47),(52 154940.55),(53 156527.23),(54 158183.63),(55 159286.36),(56 160443.92),(57 161984.13),(58 163426.55),(59 165214.86),(60 167514.98),(61 170503.95),(62 173020.39),(63 175707.88),(64 178078.22),(65 179863.2),(66 181779.45),(67 183497.33),(68 185262.23),(69 186201.31),(70 187058.94),(71 187802.9),(72 188169.64),(73 188230.58),(74 188520.72),(75 188815.56),(76 190248.84),(77 192304.72),(78 193672.34),(79 194700.42),
(1 3947.5735),(2 11406.518),(3 21228.377),(4 31120.387),(5 41121.992),(6 51093.977),(7 60328.28),(8 68794.98),(9 75568.01),(10 81505.984),(11 86615.26),(12 90650.71),(13 94025.016),(14 96971.586),(15 99674.41),(16 101805.234),(17 104551.414),(18 107274.9),(19 109378.19),(20 110473.32),(21 112049.33),(22 113836.6),(23 115210.71),(24 116250.375),(25 117172.96),(26 117744.305),(27 118075.4),(28 118560.14),(29 118714.97),(30 119177.69),(31 120541.19),(32 122935.625),(33 126124.555),(34 128885.28),(35 131554.94),(36 133577.47),(37 135161.2),(38 136796.67),(39 138226.98),(40 139650.77),(41 141435.02),(42 143736.47),(43 145843.27),(44 147631.13),(45 149076.42),(46 150689.28),(47 152764.67),(48 155068.08),(49 156096.47),(50 156803.72),(51 157736.38),(52 159018.39),(53 160721.53),(54 162684.25),(55 164203.19),(56 165328.55),(57 166190.7),(58 168261.06),(59 169601.42),(60 171196.94),(61 173477.33),(62 175104.78),(63 176155.88),(64 177198.56),(65 178106.3),(66 178982.06),(67 179695.11),(68 180006.92),(69 180326.89),(70 180442),(71 181176.16),(72 181628.28),(73 182187.72),(74 183253.17),(75 184264.48),(76 186125.42),(77 187728.36),(78 188634.78),(79 188902.98),
(1 3708.638),(2 10685.289),(3 19755.182),(4 29184.035),(5 38512.582),(6 47579.27),(7 56021.316),(8 63937.79),(9 70226.03),(10 75552.31),(11 79507.21),(12 82129.28),(13 84682.8),(14 86967.78),(15 88754.51),(16 90109.06),(17 91840.78),(18 93143.195),(19 94577.38),(20 95958.164),(21 98086.266),(22 99880.44),(23 101382.664),(24 102624.18),(25 103637.945),(26 104466),(27 105526.17),(28 106526.125),(29 107363.86),(30 107776.41),(31 108295.305),(32 109662.43),(33 112375.016),(34 114547.61),(35 116355.63),(36 117953.95),(37 119374.945),(38 120701.32),(39 122185.36),(40 123858.12),(41 125557.62),(42 127098.59),(43 128798.125),(44 130138.51),(45 131599.8),(46 132548.94),(47 133663.2),(48 134616.89),(49 134761.11),(50 134884.7),(51 135480.06),(52 136756.45),(53 138788.77),(54 141140.33),(55 143491.84),(56 145516.4),(57 147718.33),(58 150192.3),(59 152566.22),(60 154921.58),(61 157329.88),(62 159060.81),(63 160812.98),(64 162470.4),(65 164503.86),(66 165712.39),(67 166920.22),(68 167842.11),(69 168563.98),(70 169296.84),(71 170421.19),(72 171975.28),(73 173129.98),(74 174902.25),(75 175783.9),(76 176289.44),(77 176707.5),(78 177097.77),(79 177235.97),
(1 3487.0322),(2 10069.816),(3 18476.197),(4 26834.814),(5 34911.266),(6 43038.645),(7 50806.39),(8 58022.83),(9 64164.902),(10 69709.23),(11 74223.95),(12 77412.66),(13 80528.06),(14 83782.4),(15 85653.01),(16 87522.23),(17 89866.06),(18 92080.414),(19 94042.89),(20 96074.98),(21 98960.98),(22 101275.88),(23 103193.38),(24 105079.78),(25 106731.52),(26 107956.78),(27 109008.3),(28 109836.47),(29 110413.07),(30 110983.71),(31 111986.19),(32 113456.01),(33 115736.75),(34 117755.93),(35 119262.1),(36 120896.66),(37 122404.234),(38 123649.12),(39 124748.555),(40 126479.94),(41 128240.125),(42 130413.125),(43 132770.73),(44 135653.61),(45 138783.89),(46 141141.22),(47 143288.98),(48 145405.38),(49 147080.84),(50 148626.9),(51 150089.78),(52 151934.7),(53 154008),(54 155989.97),(55 158244.31),(56 160953.19),(57 164322.36),(58 167214.5),(59 169958.6),(60 173080.17),(61 176225.03),(62 178951.7),(63 181255.2),(64 182925.53),(65 184005.39),(66 184727.56),(67 185355.78),(68 185366.83),(69 184886.73),(70 184014.08),(71 183870.22),(72 184321.9),(73 184922.05),(74 186745.33),(75 188331.88),(76 189559.83),(77 189627.5),(78 188855.78),(79 188632.17),
(1 3639.13),(2 10358.024),(3 18865.18),(4 27415.488),(5 35844.793),(6 43765.813),(7 51144.66),(8 57910.73),(9 63687.68),(10 69312.86),(11 74283.81),(12 78149.64),(13 81521.586),(14 84744.73),(15 87124.24),(16 89320.59),(17 91502.51),(18 93797.43),(19 95127.22),(20 96413.375),(21 98486.164),(22 100607.74),(23 102323.38),(24 104029.05),(25 105381.03),(26 106665.36),(27 108054.164),(28 109813.266),(29 110897.1),(30 112308.72),(31 113974.59),(32 115979.164),(33 118646.83),(34 120717.15),(35 121784.36),(36 122856.04),(37 123589.9),(38 124222.836),(39 124953.945),(40 126193.516),(41 128113.69),(42 130495.76),(43 133138.06),(44 136033.98),(45 138965.4),(46 141653.6),(47 144211.53),(48 147313.7),(49 149785.5),(50 151816.44),(51 153497.84),(52 155426.17),(53 157243.4),(54 158793.78),(55 159882.61),(56 161485.03),(57 163079.97),(58 164505.77),(59 166022.31),(60 167840.36),(61 169458.4),(62 170868.03),(63 172658.2),(64 173066.31),(65 173293.06),(66 173712.1),(67 173708.17),(68 173278.81),(69 172602.94),(70 171712.17),(71 171054.42),(72 170704.67),(73 170707.03),(74 171897.97),(75 173573.61),(76 175313.8),(77 176480.61),(78 176648.53),(79 176616.36),
(1 3503.8218),(2 9873.796),(3 18038.5),(4 26145.219),(5 33989.016),(6 41818.85),(7 48960.277),(8 55704.117),(9 61357.816),(10 66783.93),(11 71472.51),(12 75775.35),(13 79190.88),(14 82230.9),(15 84685.41),(16 86841.72),(17 88220.69),(18 89714.375),(19 90577.664),(20 91641.51),(21 93234.195),(22 95008.31),(23 96824.945),(24 98738.914),(25 100301.766),(26 101974.31),(27 103591.56),(28 105425.99),(29 106805.42),(30 107742.65),(31 108866.8),(32 110333.45),(33 111901.305),(34 113801.71),(35 115800.56),(36 117691.086),(37 119603.35),(38 121324.01),(39 123158.1),(40 124786.72),(41 126963.195),(42 129117.6),(43 131119.2),(44 132994.8),(45 134628.61),(46 135560.48),(47 136502.2),(48 138205.33),(49 139039.69),(50 139179.44),(51 139461.75),(52 139853.33),(53 140742.4),(54 141925.38),(55 143043.61),(56 143898.16),(57 144543.4),(58 145381.27),(59 145942.53),(60 147016.84),(61 148099.84),(62 148637.02),(63 149860.28),(64 150402.34),(65 151244.58),(66 152391.63),(67 153611.84),(68 154855.81),(69 155384.44),(70 155755),(71 156276.13),(72 156896.63),(73 158213.28),(74 160400.06),(75 162675.1),(76 164597.38),(77 166590.53),(78 167685.83),(79 168550.42),
(1 3527.8025),(2 10010.684),(3 18451.79),(4 26677.85),(5 35315.613),(6 44134.31),(7 52138.9),(8 58985.9),(9 64201.05),(10 68775.07),(11 72733.47),(12 75998.09),(13 78606.484),(14 81090),(15 83341.54),(16 85477.05),(17 87557.92),(18 89876),(19 91300.14),(20 92969.336),(21 94639.05),(22 96446.055),(23 97964.984),(24 99004.77),(25 100392.516),(26 102064.35),(27 103017.086),(28 104026.97),(29 104804.17),(30 105324.375),(31 106603.39),(32 108542.43),(33 110710.055),(34 113280.04),(35 116065.516),(36 119013.23),(37 121503.34),(38 123620.29),(39 125132.13),(40 126091.66),(41 127662.68),(42 129227.13),(43 130444.32),(44 131251.47),(45 132043.5),(46 132756.69),(47 133737.9),(48 135403.48),(49 135907.14),(50 135497.8),(51 136174.44),(52 137146.48),(53 137861.7),(54 138725),(55 139629.66),(56 140531.17),(57 141733.58),(58 143750.1),(59 145564.72),(60 147250.03),(61 149312.66),(62 150623.25),(63 152578.95),(64 153641.52),(65 155902.36),(66 158249.2),(67 159885.69),(68 161456.5),(69 162124.6),(70 162887.17),(71 163304.56),(72 163494.25),(73 164190.88),(74 164842.1),(75 165656.45),(76 166409.5),(77 167551.17),(78 167226.97),(79 167030.28),
(1 3575.0762),(2 10059.642),(3 18407.014),(4 26714.082),(5 35053.76),(6 43300.54),(7 50666.76),(8 57216.02),(9 62064.91),(10 66339.77),(11 70065.66),(12 72725.22),(13 74863.484),(14 77366.38),(15 79526.336),(16 81691.65),(17 83613.46),(18 85645.86),(19 86793.45),(20 87786.56),(21 89126.586),(22 90463.62),(23 91266.05),(24 91810.64),(25 92507.78),(26 93332.35),(27 94542.45),(28 96023.86),(29 97025.734),(30 98271.555),(31 99809.51),(32 101918.734),(33 104785.47),(34 107443.42),(35 110287.98),(36 113047.23),(37 115406.74),(38 116822.27),(39 117626.62),(40 117926.125),(41 118294.54),(42 118573.56),(43 119026.27),(44 119740.72),(45 120653.55),(46 121811.68),(47 123463.22),(48 125464.555),(49 126687.086),(50 127303.875),(51 128204.24),(52 129983.91),(53 132299.05),(54 134450.02),(55 136471.66),(56 138293.5),(57 140163.55),(58 141850.81),(59 143273.31),(60 144616.9),(61 146160.67),(62 147273.58),(63 148870.48),(64 149912.39),(65 151910.1),(66 154489.92),(67 155858.88),(68 157083.44),(69 158105.77),(70 158593.3),(71 158943.33),(72 159038.44),(73 159296.11),(74 159768.16),(75 160370.81),(76 160641.38),(77 161567.23),(78 162551.86),(79 163230.7),
(1 3591.492),(2 10262.585),(3 18960.283),(4 27373.385),(5 35495.453),(6 43403.508),(7 50452.625),(8 56782.324),(9 61678.973),(10 65892.164),(11 69521.29),(12 72484.336),(13 75154.18),(14 78168.44),(15 81044.04),(16 83553.055),(17 85480.65),(18 87022.07),(19 88443.21),(20 90068.734),(21 91869.72),(22 93194.13),(23 94066.86),(24 94524.35),(25 94864.69),(26 95761.555),(27 97128.15),(28 98450.516),(29 99231.78),(30 99930.81),(31 100775.79),(32 102494.04),(33 104730.49),(34 106827.64),(35 108890.414),(36 110597.12),(37 111788.336),(38 111753.99),(39 111158.89),(40 110421.31),(41 110099.06),(42 110030.46),(43 110130.1),(44 110696.39),(45 111796.89),(46 112761.78),(47 114315.766),(48 115800.57),(49 116516.7),(50 116739.31),(51 117362.484),(52 118435.484),(53 119905.695),(54 121366.836),(55 122313.81),(56 122998.14),(57 123669.445),(58 123760.91),(59 123641.07),(60 124046.37),(61 125093.84),(62 126106.46),(63 127658.69),(64 129012.28),(65 131249.86),(66 133647.69),(67 135496.23),(68 136833.27),(69 138391.22),(70 140201.98),(71 142302.88),(72 144321.81),(73 147053.94),(74 149540.33),(75 151761.08),(76 153816.08),(77 156089.53),(78 158252),(79 160122.81),
(1 3636.1082),(2 10321.861),(3 18765.658),(4 27157.549),(5 35364.965),(6 43265.43),(7 50591.117),(8 57085.33),(9 62218.84),(10 66710.26),(11 70219.37),(12 72783.47),(13 75102.42),(14 77156.2),(15 79252.35),(16 81412.4),(17 83457.71),(18 86125.38),(19 88567.02),(20 90588.48),(21 93090.4),(22 95273.69),(23 97094.96),(24 98201.8),(25 98889.05),(26 99677.766),(27 100767.29),(28 102011.17),(29 102932.94),(30 103645.48),(31 104577.37),(32 106243.586),(33 108399.53),(34 110571.26),(35 112847.22),(36 114581.52),(37 116086.05),(38 116494.37),(39 115637.38),(40 114666.06),(41 113911.79),(42 113316.99),(43 113376.086),(44 113512.83),(45 113927.586),(46 114346.984),(47 115429.24),(48 116235.19),(49 116504.99),(50 116862.26),(51 117508.555),(52 118731.98),(53 120933.94),(54 122381.234),(55 123170.46),(56 123816.24),(57 124218.35),(58 124513.836),(59 124587.92),(60 125167.2),(61 125924.76),(62 126483.72),(63 126972.71),(64 127932.54),(65 129314.914),(66 130916.55),(67 133072.36),(68 134702.58),(69 135921.33),(70 137303.3),(71 138809.27),(72 140614.81),(73 142407.1),(74 144394.84),(75 146526.33),(76 148932.45),(77 151141.03),(78 152930.73),(79 154781.13),
(1 3346.8674),(2 9573.416),(3 17488.896),(4 25644.11),(5 33653.8),(6 41259.67),(7 48143.57),(8 54153.363),(9 58933.848),(10 62889.24),(11 66208.62),(12 68874.92),(13 71285.91),(14 74043.42),(15 76627.766),(16 79145.06),(17 81704.67),(18 84586.625),(19 86825.375),(20 89302.92),(21 91828.73),(22 94223.33),(23 96198.29),(24 97364.38),(25 98009.3),(26 98460.15),(27 99206.86),(28 99937.89),(29 100305.484),(30 100691.55),(31 101254.82),(32 102594.63),(33 104649.18),(34 106897.336),(35 108890.79),(36 110778.99),(37 111988.48),(38 112350.7),(39 112029.17),(40 111444.35),(41 110450.984),(42 109550.77),(43 109181.53),(44 109087.68),(45 109353.305),(46 110134.4),(47 111273.02),(48 112459.33),(49 113643.8),(50 115029.81),(51 116415.49),(52 118183.9),(53 120443.73),(54 122096.62),(55 123373.195),(56 124575.414),(57 125232.1),(58 125833.15),(59 126376.38),(60 127478.27),(61 128419.27),(62 128846.95),(63 129573.445),(64 130858.195),(65 132535.16),(66 134144.7),(67 135916.31),(68 137597.52),(69 138264.3),(70 138653.77),(71 138863.94),(72 139340.72),(73 140011.34),(74 141596.81),(75 143292.28),(76 144912.61),(77 146391.19),(78 147879.11),(79 149183.78),
(1 3329.7832),(2 9339.168),(3 17082.889),(4 24751.17),(5 32104.418),(6 39177.625),(7 45352.29),(8 50813.617),(9 55171.574),(10 59177.95),(11 62919.242),(12 65874.94),(13 68685.4),(14 71311.6),(15 73523.625),(16 75766.89),(17 77593.25),(18 79692.11),(19 81357.23),(20 83107.766),(21 85273.58),(22 87201.78),(23 88613.86),(24 89582.73),(25 90246.35),(26 90656.6),(27 91265.01),(28 91857.766),(29 91878.11),(30 91813.24),(31 92681.94),(32 93851.86),(33 95775.945),(34 97988.68),(35 99935.3),(36 101785.1),(37 103099.17),(38 103948.75),(39 104519.14),(40 104921.05),(41 105171.26),(42 105699.94),(43 106641.34),(44 108366.37),(45 110356.32),(46 112301.125),(47 114450.92),(48 116669.57),(49 117777.69),(50 118773.61),(51 119128.664),(52 119811.51),(53 121177.86),(54 122481.73),(55 123386.81),(56 124053.27),(57 124537.97),(58 124513.44),(59 124139.95),(60 123882.016),(61 124057.65),(62 124652.164),(63 124862.41),(64 125253.76),(65 125765.67),(66 126205.086),(67 126713.17),(68 127218.35),(69 127419.41),(70 128191.34),(71 129390.97),(72 130889.9),(73 132510.9),(74 134415.94),(75 136669.6),(76 138879.77),(77 141071.39),(78 143508.94),(79 145318.86),
(1 3365.4214),(2 9346.081),(3 16926.578),(4 24323.365),(5 31417.912),(6 38185.543),(7 44208.375),(8 49351.34),(9 53940.957),(10 58100.4),(11 61986.37),(12 65005.39),(13 68036.24),(14 71013.08),(15 73465.734),(16 75901.305),(17 78726.96),(18 81787.7),(19 83781.9),(20 85453.234),(21 86829.016),(22 88337.875),(23 89655.39),(24 90992.445),(25 92064.04),(26 92882.59),(27 94026.164),(28 95412.87),(29 95936.695),(30 96279.51),(31 97038.07),(32 98070.57),(33 99881.66),(34 101924.82),(35 103455.586),(36 104731.195),(37 105514.586),(38 105952.234),(39 106376.875),(40 107259.83),(41 108106.05),(42 108877.61),(43 110012.336),(44 111890.61),(45 113952.79),(46 115381.71),(47 117446.914),(48 119465.234),(49 120641.14),(50 121438.38),(51 122126.85),(52 122807.3),(53 123967.87),(54 125069.664),(55 126094.34),(56 126855.62),(57 127168.18),(58 127502.32),(59 127321.16),(60 127283.8),(61 127085.99),(62 126984.15),(63 126650.72),(64 126863.32),(65 127298.88),(66 127365.26),(67 127791.16),(68 128339.03),(69 128723.96),(70 129481.39),(71 130570.17),(72 131887.58),(73 133351.9),(74 135393.73),(75 137743.53),(76 139755.4),(77 142772.11),(78 146422.23),(79 149558.53),
(1 3258.371),(2 9020.383),(3 16362.766),(4 23614.164),(5 30647.342),(6 37427.527),(7 43604.56),(8 48881.527),(9 53549.168),(10 57824.645),(11 61699.72),(12 64634.523),(13 67701.97),(14 70768.61),(15 73474.89),(16 75953.77),(17 78535.234),(18 81497.914),(19 84036.17),(20 86506.805),(21 88763.23),(22 90529.73),(23 91873.89),(24 92907.8),(25 93822.31),(26 94503.49),(27 95218.08),(28 95872.43),(29 96366.89),(30 96689.44),(31 97408.89),(32 98586.96),(33 100103.9),(34 101828.81),(35 103422.62),(36 104685.49),(37 105447.73),(38 105941.44),(39 106350.8),(40 107111.54),(41 107758.66),(42 108273.78),(43 108625.73),(44 109359.375),(45 110446.98),(46 111578.82),(47 112926.875),(48 114400.055),(49 115662.195),(50 116705.195),(51 117983.6),(52 119219.66),(53 120964.914),(54 122316.78),(55 123917.88),(56 125364.08),(57 126717.266),(58 127503.44),(59 127567.445),(60 127477.016),(61 126961.24),(62 126546.85),(63 125978.83),(64 125411.41),(65 124631.31),(66 123807.69),(67 122646.73),(68 121374.49),(69 120413.62),(70 120149.8),(71 120561.945),(72 121359.38),(73 122425.555),(74 123894.63),(75 126077.11),(76 128187.29),(77 130687.14),(78 133559.9),(79 135519.94),
(1 3208.55),(2 8899.13),(3 16093.497),(4 23135.064),(5 29643.838),(6 35619.953),(7 41384.305),(8 46485.527),(9 50722.99),(10 55054.61),(11 58964.7),(12 61612.188),(13 64317.805),(14 66631.74),(15 68606.38),(16 70241.79),(17 71980.57),(18 73975.664),(19 75355.26),(20 77035.81),(21 78582.49),(22 79654.37),(23 80397.13),(24 81014.14),(25 81772.484),(26 82712.75),(27 83765.24),(28 84731.6),(29 85400.09),(30 86149.66),(31 87124.05),(32 88426.93),(33 90619.52),(34 92637.664),(35 94608.695),(36 96657.83),(37 98643.68),(38 100271.375),(39 101614.57),(40 102900.65),(41 104183.336),(42 105294.734),(43 106447.96),(44 107808.54),(45 109215.375),(46 110664.22),(47 112472.33),(48 114331.69),(49 116305.555),(50 118161.766),(51 120485.3),(52 122620.414),(53 124748.695),(54 126337.68),(55 127620.484),(56 128888.836),(57 129881.68),(58 130170.11),(59 130019.086),(60 129716.414),(61 129512.09),(62 129872.32),(63 130953.72),(64 131968.63),(65 133379.89),(66 134812),(67 135837.81),(68 136837.7),(69 138082.86),(70 139050.31),(71 140149.69),(72 141236.3),(73 142922.05),(74 144319.27),(75 145493.3),(76 146626.72),(77 147922.73),(78 149768.83),(79 151557.38),
(1 3203.0706),(2 9051.487),(3 16640.863),(4 23871.8),(5 30763.35),(6 37115.754),(7 42622.89),(8 47236.44),(9 50844.266),(10 54312.09),(11 57303.273),(12 59450.023),(13 61430.6),(14 63378.457),(15 65298.746),(16 67325.14),(17 70003.01),(18 72076.22),(19 73795.555),(20 75710.11),(21 77888.01),(22 79888.63),(23 81311.914),(24 82632.516),(25 83761.03),(26 84663.24),(27 85697.984),(28 86758.98),(29 87463.92),(30 88645.43),(31 89903.8),(32 91750.79),(33 93978.52),(34 96243.42),(35 98251.6),(36 100346.87),(37 102448.125),(38 103574.445),(39 104028.29),(40 104476),(41 104631.12),(42 104735.8),(43 105145.555),(44 105722.54),(45 106646.49),(46 108001.234),(47 109987.89),(48 111850.95),(49 113836.734),(50 115678.375),(51 117145.09),(52 119148.28),(53 120905.64),(54 122463.49),(55 123992.414),(56 125606.6),(57 126752.266),(58 127581.266),(59 128408.21),(60 129320.05),(61 130026.42),(62 131245.16),(63 132182.63),(64 133485.67),(65 134868.8),(66 136357.42),(67 137738.17),(68 138512.42),(69 139361.61),(70 140103.56),(71 141281.48),(72 142413.19),(73 143684.08),(74 145147.42),(75 146269.03),(76 147526.17),(77 148095.05),(78 149226.78),(79 150297.58),
