1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 26228.86),(2 52948.527),(3 77552.914),(4 141332.45),(5 195573.14),(6 255319.08),(7 363613.34),(8 470907),(9 591714.25),(10 759448.2),(11 895347.5),(12 1019971.06),(13 1185994),(14 1327261.4),(15 1476992.9),(16 1672933.4),(17 1883198.4),(18 2078582.4),(19 2324101.8),(20 2575799.8),(21 2828888.8),(22 3126508.8),(23 3423248.3),(24 3731554.8),(25 4087911.8),(26 4406404),(27 4683978.5),(28 4968781.5),(29 5209909),(30 5447856.5),(31 5735946),(32 6011569.5),(33 6301000),(34 6613760.5),(35 6932843.5),(36 7252310.5),(37 7578171.5),(38 7883507.5),(39 8207806),(40 8542255),(41 8992852),(42 9824504),(43 10925981),(44 12309291),(45 13300801),(46 14057496),(47 14925796),(48 15791615),(49 16612387),(50 17488594),(51 18420546),(52 19147066),(53 19906954),(54 20669504),(55 21351760),(56 22099408),(57 22899254),(58 23464018),(59 24052510),(60 24610518),(61 25041402),(62 25494784),(63 25881154),(64 25953970),(65 25930086),(66 25896430),(67 25780790),(68 25667728),(69 25658266),(70 25515974),(71 25471222),(72 25413898),(73 25358866),(74 25317554),(75 25401912),(76 25425338),(77 25577904),(78 25725686),(79 25894982),
(1 3269.2957),(2 7041.0854),(3 8647.373),(4 9345.282),(5 10146.213),(6 10539.495),(7 10183.238),(8 9873.273),(9 9825.294),(10 9961.34),(11 10076.469),(12 10264.311),(13 10539.785),(14 10887.743),(15 11221.817),(16 11618.095),(17 11937.417),(18 11834.9375),(19 11536.438),(20 11401.805),(21 11571.727),(22 11685.37),(23 11902.594),(24 12022.085),(25 12250.882),(26 12351.475),(27 12604.759),(28 12644.155),(29 12661.989),(30 13068.804),(31 13184.991),(32 13294.052),(33 13405.627),(34 13640.892),(35 13783.66),(36 13622.114),(37 13606.637),(38 13807.868),(39 13949.563),(40 13856.398),(41 13866.388),(42 13973.481),(43 14272.43),(44 14320.581),(45 14286.763),(46 14526.427),(47 14535.233),(48 14549.074),(49 14609.9795),(50 14662.199),(51 14510.267),(52 14432.306),(53 14478.049),(54 14442.2295),(55 14255.2295),(56 13998.971),(57 14003.489),(58 14144.238),(59 14193.911),(60 14187.639),(61 14278.441),(62 14368.121),(63 14472.106),(64 14302.436),(65 14373.402),(66 14462.942),(67 14694.926),(68 14936.83),(69 14902.144),(70 14840.4),(71 14736.544),(72 14610.08),(73 14331.502),(74 13924.618),(75 13544.375),(76 13551.129),(77 13699.426),(78 13661.387),(79 13670.545),
(1 3230.5896),(2 6903.03),(3 8327.564),(4 8909.613),(5 9589.43),(6 9859.597),(7 9509.092),(8 9359.678),(9 9583.434),(10 9771.187),(11 9632.438),(12 9743.453),(13 9936.135),(14 10116.413),(15 10388.914),(16 10728.984),(17 11258.981),(18 11275.795),(19 11025.71),(20 10991.027),(21 11008.66),(22 10998.505),(23 11189.356),(24 11324.568),(25 11475.14),(26 11457.211),(27 11594.13),(28 11673.9),(29 11621.715),(30 11608.724),(31 11580.788),(32 11700.572),(33 11990.793),(34 12180.853),(35 12481.633),(36 12689.771),(37 12803.811),(38 12984.027),(39 12856.302),(40 12680.205),(41 12779.239),(42 13040.833),(43 13229.107),(44 13173.94),(45 13329.455),(46 13402.046),(47 13480.447),(48 13529.623),(49 13733.683),(50 13921.502),(51 13797.105),(52 13788.653),(53 13854.191),(54 13737.556),(55 13555.684),(56 13458.047),(57 13416.601),(58 13328.529),(59 13301.164),(60 13372.777),(61 13496.082),(62 13623.36),(63 13760.123),(64 13672.822),(65 13602.171),(66 13704.386),(67 13814.426),(68 13934.176),(69 13847.461),(70 13784.769),(71 13797.897),(72 13662.107),(73 13386.394),(74 13227.232),(75 13047.388),(76 13049.033),(77 13096.235),(78 13082.27),(79 13100.73),
(1 3133.9482),(2 6635.6323),(3 7980.1772),(4 8569.185),(5 9170.222),(6 9355.027),(7 9106.171),(8 8954.086),(9 9225.231),(10 9263.229),(11 9178.717),(12 9293.748),(13 9428.3125),(14 9698.758),(15 10006.287),(16 10493.532),(17 10751.521),(18 10684.149),(19 10436.8955),(20 10445.1045),(21 10581.803),(22 10571.431),(23 10583.751),(24 10718.239),(25 11037.504),(26 11090.169),(27 11113.412),(28 11032.129),(29 10954.329),(30 10958.773),(31 10880.996),(32 10905.789),(33 11048.405),(34 11403.533),(35 11789.223),(36 11797.0205),(37 11722.318),(38 11715.083),(39 11662.835),(40 11633.261),(41 11814.256),(42 12028.161),(43 12172.222),(44 12230.536),(45 12415.742),(46 12490.6875),(47 12465.313),(48 12506.941),(49 12752.722),(50 12837.306),(51 12784.031),(52 12591.948),(53 12365.282),(54 12372.507),(55 12425.54),(56 12321.43),(57 12322.746),(58 12369.335),(59 12436.993),(60 12474.839),(61 12614.078),(62 12727.518),(63 12858.008),(64 12935.116),(65 13091.432),(66 13188.6455),(67 13299.969),(68 13374.2705),(69 13398.538),(70 13321.6875),(71 13367.321),(72 13157.178),(73 13145.047),(74 12981.717),(75 12841.751),(76 12895.064),(77 12908.075),(78 12885.568),(79 12930.101),
(1 3165.0845),(2 6685.018),(3 8025.5093),(4 8624.737),(5 9224.816),(6 9520.685),(7 9256.776),(8 9057.714),(9 9251.205),(10 9445.468),(11 9555.423),(12 9624.888),(13 9802.54),(14 10089.592),(15 10457.417),(16 10771.658),(17 10802.486),(18 10770.311),(19 10833.293),(20 10822.08),(21 10972.702),(22 10840.483),(23 10980.8125),(24 10913.285),(25 10906.214),(26 10994.155),(27 11016.439),(28 11005.248),(29 11116.873),(30 11384.804),(31 11441.501),(32 11463.34),(33 11717.812),(34 11897.015),(35 12029.114),(36 12341.113),(37 12609.724),(38 12521.707),(39 12342.262),(40 12465.261),(41 12612.692),(42 12678.289),(43 12704.051),(44 12906.807),(45 12916.092),(46 12972.035),(47 13042.362),(48 13128.733),(49 13190.894),(50 13101.873),(51 13212.241),(52 13096.537),(53 12784.821),(54 12721.931),(55 12662.504),(56 12468.911),(57 12438.314),(58 12417.256),(59 12689.638),(60 12863.911),(61 12839.655),(62 12882.157),(63 12993.364),(64 13015.663),(65 13167.008),(66 13503.507),(67 13537.088),(68 13477.019),(69 13484.66),(70 13574.2705),(71 13577.781),(72 13430.118),(73 13298.157),(74 13201.478),(75 13223.438),(76 13173.626),(77 13147.164),(78 13372.282),(79 13497.629),
(1 3109.2231),(2 6599.6084),(3 8009.7046),(4 8632.173),(5 9155.44),(6 9410.428),(7 9130.649),(8 9148.761),(9 9541.852),(10 9708.012),(11 9736.42),(12 9771.488),(13 9839.096),(14 10009.721),(15 10291.161),(16 10620.3),(17 10494.859),(18 10130.808),(19 10058.901),(20 10196.21),(21 10203.859),(22 10256.818),(23 10487.772),(24 10485.46),(25 10284.352),(26 10343.883),(27 10495.138),(28 10471.881),(29 10723.589),(30 11055.382),(31 11274.877),(32 11352.694),(33 11477.541),(34 11719.59),(35 12051.728),(36 12198.89),(37 12177.96),(38 12153.378),(39 12217.323),(40 12353.788),(41 12368.011),(42 12274.916),(43 12376.541),(44 12421.3955),(45 12333.035),(46 12668.164),(47 12888.6045),(48 12838.59),(49 12863.637),(50 12875.096),(51 12962.78),(52 12828.352),(53 12616.91),(54 12682.074),(55 12757.331),(56 12534.632),(57 12532.429),(58 12578.548),(59 12604.4795),(60 12575.562),(61 12479.926),(62 12439.281),(63 12566.217),(64 12556.98),(65 12684.099),(66 12804.299),(67 12680.316),(68 12702.976),(69 12750.107),(70 12760.333),(71 12755.863),(72 12626.241),(73 12455.609),(74 12360.723),(75 12274.445),(76 12292.954),(77 12471.993),(78 12517.567),(79 12585.784),
(1 3287.8013),(2 6968.7925),(3 8408.153),(4 8990.209),(5 9689.596),(6 10023.208),(7 9647.265),(8 9581.559),(9 9867.237),(10 9933.795),(11 9958.636),(12 10236.37),(13 10390.191),(14 10491.888),(15 10723.222),(16 11088.352),(17 11023.725),(18 10727.484),(19 10541.876),(20 10669.832),(21 10820.226),(22 10878.507),(23 11039.874),(24 11186.959),(25 11215.535),(26 11219.204),(27 11146.575),(28 11237.521),(29 11492.326),(30 11669.181),(31 11652.595),(32 11604.068),(33 11812.352),(34 12115.886),(35 12492.262),(36 12703.44),(37 12661.911),(38 12557.529),(39 12547.129),(40 12648.592),(41 12723.536),(42 12786.074),(43 12760.384),(44 12840.087),(45 12919.582),(46 13028.218),(47 13181.176),(48 13341.256),(49 13367.291),(50 13464.648),(51 13348.746),(52 13229.989),(53 13025.304),(54 13046.67),(55 13126.899),(56 13166.403),(57 13300.775),(58 13414.751),(59 13455.961),(60 13242.212),(61 13093.89),(62 12924.819),(63 12958.782),(64 12870.309),(65 12920.066),(66 13041.951),(67 13266.693),(68 13500.73),(69 13693.547),(70 13751.347),(71 13853.831),(72 13688.7705),(73 13408.822),(74 13281.791),(75 13088.789),(76 13028.435),(77 13055.292),(78 13057.991),(79 13028.001),
(1 3079.8076),(2 6496.6895),(3 7842.172),(4 8554.406),(5 9079.965),(6 9338.295),(7 9051.662),(8 9003.59),(9 9361.7705),(10 9437.964),(11 9550.894),(12 9874.428),(13 9927.745),(14 10002.178),(15 10201.636),(16 10475.242),(17 10501.66),(18 10325.172),(19 10213.815),(20 10111.485),(21 10097.281),(22 10176.492),(23 10345.829),(24 10520.506),(25 10586.552),(26 10594.704),(27 10645.64),(28 10739.628),(29 10860.387),(30 10809.585),(31 10729.87),(32 10674.567),(33 10655.296),(34 10753.074),(35 10973.239),(36 11134.506),(37 11094.94),(38 10912.622),(39 10879.486),(40 10972.829),(41 11073.429),(42 11260.087),(43 11496.284),(44 11442.94),(45 11264.285),(46 11327.834),(47 11356.329),(48 11559.247),(49 11646.682),(50 11487.808),(51 11549.066),(52 11722.966),(53 11931.945),(54 12040.853),(55 12034.466),(56 11932.891),(57 12057.878),(58 11989.861),(59 12024.258),(60 12134.008),(61 12131.995),(62 12099.419),(63 12056.856),(64 12003.773),(65 11933.441),(66 11846.465),(67 11867.217),(68 12240.103),(69 12294.898),(70 12274.665),(71 12317.3955),(72 12269.084),(73 12223.544),(74 12279.967),(75 12152.912),(76 12125.672),(77 12196.086),(78 12155.038),(79 12170.647),
(1 2980.5476),(2 6274.792),(3 7604.6094),(4 8284.209),(5 8916.736),(6 9107.94),(7 8858.117),(8 8872.202),(9 9186.782),(10 9222.285),(11 9200.119),(12 9343.441),(13 9377.722),(14 9525.522),(15 9972.651),(16 10243.231),(17 10272.102),(18 10234.743),(19 10207.668),(20 10156.376),(21 10333.91),(22 10245.835),(23 10351.011),(24 10437.78),(25 10515.906),(26 10599.581),(27 10755.04),(28 10837.613),(29 11025.772),(30 11135.606),(31 11154.691),(32 11170.77),(33 11170.999),(34 11220.649),(35 11276.785),(36 11229.715),(37 11229.236),(38 11267.856),(39 11251.668),(40 11259.885),(41 11276.5),(42 11293.365),(43 11283.828),(44 11113.349),(45 11174.389),(46 11360.465),(47 11499.852),(48 11622.46),(49 11733.309),(50 11823.476),(51 11939.293),(52 11979.686),(53 12008.183),(54 11948.693),(55 11897.462),(56 11956.531),(57 12037.994),(58 11871.181),(59 11796.354),(60 11812.914),(61 11927.147),(62 11925.462),(63 11866.354),(64 11692.836),(65 11700.867),(66 11718.232),(67 11629.224),(68 11620.343),(69 11697.807),(70 11722.423),(71 11843.71),(72 11802.308),(73 11751.887),(74 11888.315),(75 11823.413),(76 11801.601),(77 11731.592),(78 11817.903),(79 11859.308),
(1 2970.9014),(2 6193.356),(3 7495.43),(4 8097.8535),(5 8645.687),(6 8917.856),(7 8742.465),(8 8669.6045),(9 8797.886),(10 8720.425),(11 8677.266),(12 8773.406),(13 8901.226),(14 9039.887),(15 9282.509),(16 9589.105),(17 9694.6045),(18 9486.258),(19 9378.148),(20 9458.736),(21 9503.214),(22 9451.609),(23 9523.241),(24 9674.479),(25 9898.616),(26 10109.921),(27 10281.373),(28 10470.74),(29 10690.538),(30 10745.734),(31 10855.424),(32 10918.795),(33 11133.569),(34 11171.142),(35 11225.123),(36 11270.778),(37 11150.456),(38 11080.338),(39 11056.49),(40 11134.148),(41 11294.64),(42 11379.818),(43 11566.565),(44 11539.837),(45 11366.408),(46 11458.724),(47 11436.245),(48 11389.135),(49 11349.942),(50 11413.063),(51 11440.504),(52 11317.385),(53 11220.697),(54 11094.991),(55 11040.517),(56 11140.391),(57 11360.724),(58 11393.444),(59 11509.5205),(60 11709.485),(61 11746.808),(62 11645.899),(63 11514.317),(64 11436.542),(65 11345.43),(66 11292.453),(67 11113.713),(68 11101.772),(69 11232.804),(70 11215.7),(71 11429.11),(72 11312.194),(73 11253.573),(74 11287.203),(75 11220.411),(76 11226.331),(77 11309.773),(78 11396.936),(79 11527.16),
(1 2989.3992),(2 6281.516),(3 7591.5396),(4 8168.9946),(5 8644.561),(6 8787.379),(7 8639.379),(8 8626.304),(9 8860.719),(10 8919.095),(11 8943.647),(12 9078.926),(13 9286.014),(14 9426.604),(15 9670.609),(16 9888.373),(17 9761.908),(18 9707.154),(19 9674.14),(20 9620.614),(21 9393.929),(22 9260.212),(23 9412.441),(24 9544.208),(25 9707.082),(26 10018.12),(27 10198.711),(28 10252.144),(29 10367.162),(30 10397.377),(31 10505.893),(32 10404.739),(33 10415.165),(34 10544.089),(35 10627.323),(36 10723.156),(37 10688.053),(38 10702.898),(39 10610.433),(40 10549.78),(41 10580.555),(42 10834.372),(43 11000.679),(44 10983.12),(45 11118.61),(46 11471.189),(47 11478.562),(48 11295.005),(49 11301.351),(50 11300.498),(51 11384.847),(52 11508.713),(53 11634.237),(54 11722.276),(55 11648.905),(56 11696.196),(57 11811.04),(58 11813.211),(59 11994.231),(60 12163.005),(61 12053.199),(62 11953.397),(63 11815.559),(64 11762.377),(65 11739.355),(66 11774.597),(67 11856.129),(68 11948.249),(69 12195.404),(70 12075.658),(71 11941.979),(72 11567.036),(73 11636.672),(74 11631.674),(75 11431.385),(76 11460.261),(77 11541.437),(78 11679.898),(79 11725.494),
(1 3030.649),(2 6214.0903),(3 7425.165),(4 8046.1553),(5 8549.296),(6 8905.591),(7 8719.831),(8 8631.841),(9 8850.631),(10 8851.589),(11 8906.841),(12 9030.907),(13 9211.578),(14 9231.588),(15 9309.636),(16 9449.791),(17 9468.802),(18 9515.109),(19 9540.652),(20 9577.412),(21 9558.341),(22 9595.583),(23 9681.134),(24 9819.902),(25 9992.574),(26 10140.918),(27 10257.488),(28 10351.435),(29 10516.523),(30 10479.008),(31 10501.196),(32 10587.748),(33 10588.655),(34 10601.443),(35 10653.623),(36 10720.811),(37 10590.489),(38 10605.783),(39 10748.203),(40 10745.938),(41 10807.92),(42 10856.857),(43 10965.727),(44 10884.733),(45 11084.761),(46 11351.81),(47 11339.229),(48 11310.832),(49 11226.912),(50 11263.432),(51 11418.876),(52 11581.568),(53 11737.519),(54 11861.144),(55 11858.779),(56 12115.782),(57 12262.425),(58 12143.538),(59 12081.937),(60 11973.482),(61 11727.9),(62 11636.178),(63 11669.622),(64 11592.957),(65 11686.18),(66 11876.977),(67 11875.98),(68 11783.351),(69 11600.322),(70 11609.987),(71 11602.284),(72 11510.918),(73 11467.773),(74 11435.535),(75 11382.589),(76 11464.914),(77 11442.994),(78 11398.743),(79 11305.372),
(1 2844.4822),(2 5831.4404),(3 7076.9707),(4 7719.5913),(5 8260.397),(6 8447.853),(7 8299.493),(8 8451.0205),(9 8682.267),(10 8574.284),(11 8637.073),(12 8838.314),(13 8911.418),(14 9035.923),(15 9232.044),(16 9246.466),(17 9340.268),(18 9220.821),(19 9294.611),(20 9572.258),(21 9694.991),(22 9767.177),(23 9782.717),(24 9889.099),(25 10095.017),(26 10073.55),(27 10135.74),(28 10148.42),(29 10341.997),(30 10479.684),(31 10524.896),(32 10425.9),(33 10491.556),(34 10784.621),(35 10925.351),(36 10894.128),(37 11011.052),(38 11153.809),(39 11295.352),(40 11321.399),(41 11381.39),(42 11450.519),(43 11584.472),(44 11575.87),(45 11601.067),(46 11572.521),(47 11522.284),(48 11454.98),(49 11346.208),(50 11209.007),(51 11189.437),(52 11369.203),(53 11469.783),(54 11607.246),(55 11626.241),(56 11584.417),(57 11556.742),(58 11354.961),(59 11285.857),(60 11278.448),(61 11273.627),(62 11340.584),(63 11145.006),(64 11007.583),(65 11106.06),(66 11259.957),(67 11248.261),(68 11077.529),(69 11026.856),(70 10882.071),(71 10818.159),(72 10954.668),(73 11044.868),(74 11093.356),(75 11125.016),(76 11145.79),(77 11140.614),(78 11027.416),(79 10955.347),
(1 2807.9575),(2 5723.6934),(3 6948.6),(4 7705.117),(5 8402.455),(6 8555.568),(7 8453.481),(8 8734.249),(9 8942.285),(10 8877.448),(11 9022.734),(12 9198.48),(13 9295.202),(14 9437.123),(15 9433.67),(16 9322.3125),(17 9234.564),(18 8964.517),(19 9033.75),(20 9190.178),(21 9187.495),(22 9157.317),(23 9201.418),(24 9227.471),(25 9136.989),(26 9223.277),(27 9462.828),(28 9675.807),(29 9942.51),(30 10041.406),(31 9980.701),(32 9835.267),(33 10002.656),(34 10197.577),(35 10238.526),(36 10262.163),(37 10530.793),(38 10617.616),(39 10575.527),(40 10668.948),(41 10768.843),(42 10769.583),(43 10805.0205),(44 10911.538),(45 10950.732),(46 10870.478),(47 10925.564),(48 10966.756),(49 11001.057),(50 10927.015),(51 11104.783),(52 11159.396),(53 11272.235),(54 11457.147),(55 11440.207),(56 11194.755),(57 11186.402),(58 11088.917),(59 10939.888),(60 10728.817),(61 10891.481),(62 11130.679),(63 11257.128),(64 11236.815),(65 11193.261),(66 11152.526),(67 11243.086),(68 11194.88),(69 11170.51),(70 11166.472),(71 11274.45),(72 11260.02),(73 11155.813),(74 11110.845),(75 11134.564),(76 11182.129),(77 11276.917),(78 11187.973),(79 11000.568),
(1 2845.8018),(2 5698.6865),(3 6876.254),(4 7560.3184),(5 8110.7954),(6 8224.105),(7 8174.476),(8 8297.282),(9 8509.658),(10 8512.234),(11 8412.69),(12 8402.083),(13 8559.414),(14 8781.281),(15 8898.139),(16 8943.313),(17 8878.948),(18 8582.695),(19 8692.446),(20 8812.444),(21 8666.672),(22 8685.97),(23 8851.972),(24 8938.48),(25 8844.044),(26 8896.857),(27 9022.511),(28 9144.783),(29 9331.989),(30 9428.447),(31 9534.767),(32 9568.004),(33 9802.8545),(34 10014.473),(35 10100.929),(36 10131.847),(37 10150.588),(38 10062.134),(39 9918.834),(40 9879.278),(41 9844.863),(42 9848.35),(43 9895.615),(44 9954.474),(45 10053.245),(46 10063.776),(47 10132.284),(48 10176.492),(49 10205.383),(50 10150.364),(51 10238.548),(52 10284.239),(53 10299.065),(54 10436.564),(55 10377.386),(56 10293.384),(57 10304.178),(58 10325.226),(59 10247.833),(60 10347.099),(61 10469.436),(62 10615.058),(63 10669.606),(64 10681.638),(65 10821.18),(66 10943.183),(67 10973.452),(68 10788.937),(69 10804.873),(70 10801.247),(71 10851.297),(72 10902.188),(73 10800.645),(74 10760.864),(75 10832.145),(76 10898.726),(77 11018.748),(78 11086.317),(79 11068.267),
(1 2854.6677),(2 5655.3193),(3 6669.1733),(4 7254.2144),(5 7851.7383),(6 8005.4487),(7 7951.5947),(8 8066.1724),(9 8333.114),(10 8343.767),(11 8267.915),(12 8417.111),(13 8618.733),(14 8697.95),(15 8880.606),(16 8960.94),(17 8981.07),(18 9004.42),(19 9050.147),(20 9121.964),(21 9055.227),(22 8960.661),(23 9014.744),(24 9124.254),(25 8997.447),(26 9032.387),(27 9264.514),(28 9459.134),(29 9575.5),(30 9479.544),(31 9557.33),(32 9796.141),(33 10021.572),(34 10136.425),(35 10183.816),(36 10108.411),(37 10147.057),(38 10249.371),(39 10166.103),(40 10103.647),(41 10141.841),(42 10202.044),(43 10293.149),(44 10472.803),(45 10521.704),(46 10487.614),(47 10544.752),(48 10534.235),(49 10539.937),(50 10487.101),(51 10558.949),(52 10547.982),(53 10553.402),(54 10580.789),(55 10576.088),(56 10584.637),(57 10594.211),(58 10680.273),(59 10593.58),(60 10584.479),(61 10672.895),(62 10651.321),(63 10786.953),(64 10779.25),(65 10843.741),(66 10956.335),(67 10963.86),(68 10846.519),(69 10837.389),(70 10919.457),(71 10809.812),(72 10656.078),(73 10554.996),(74 10590.957),(75 10655.413),(76 10565.057),(77 10510.737),(78 10502.886),(79 10597.996),
(1 2939.5347),(2 5900.7617),(3 6889.0293),(4 7550.2744),(5 8174.5693),(6 8209.007),(7 8053.746),(8 8106.173),(9 8307.091),(10 8335.037),(11 8279.145),(12 8431.947),(13 8602.752),(14 8907.359),(15 9219.504),(16 9075.239),(17 8964.35),(18 8963.216),(19 9084.7295),(20 9099.888),(21 8994.24),(22 9082.838),(23 9223.039),(24 9337.53),(25 9431.654),(26 9564.16),(27 9592.027),(28 9604.219),(29 9668.094),(30 9683.901),(31 9817.76),(32 9933.337),(33 10015.638),(34 10078.774),(35 10298.491),(36 10367.628),(37 10446.849),(38 10517.728),(39 10524.802),(40 10422.712),(41 10442.338),(42 10541.227),(43 10810.504),(44 11049.734),(45 11191.96),(46 11288.849),(47 11216.663),(48 11029.371),(49 11020.104),(50 11018.762),(51 10886.99),(52 10907.694),(53 10938.024),(54 10951.466),(55 10929.302),(56 10852.569),(57 10997.208),(58 11100.589),(59 11028.984),(60 11048.13),(61 11100.82),(62 11031.916),(63 11071.256),(64 10931.958),(65 10952.89),(66 11031.016),(67 10997.793),(68 10853.436),(69 10806.043),(70 10938.946),(71 10914.252),(72 10883.5625),(73 10971.978),(74 11349.649),(75 11178.578),(76 10978.052),(77 10875.3125),(78 10953.924),(79 10979.146),
(1 2794.6973),(2 5485.003),(3 6357.6636),(4 7018.7627),(5 7540.679),(6 7527.1187),(7 7376.6743),(8 7465.615),(9 7640.397),(10 7700.99),(11 7749.401),(12 7987.997),(13 8128.849),(14 8311.134),(15 8423.312),(16 8362.1875),(17 8379.674),(18 8359.879),(19 8457.412),(20 8449.773),(21 8435.591),(22 8470.706),(23 8432.597),(24 8469.423),(25 8503.451),(26 8562.357),(27 8699.699),(28 8838.163),(29 8890.606),(30 8928.485),(31 8967.2705),(32 8920.659),(33 8992.944),(34 9012.338),(35 9054.9795),(36 9168.467),(37 9171.406),(38 9128.41),(39 9260.039),(40 9294.908),(41 9249.379),(42 9344.315),(43 9457.107),(44 9694.604),(45 9822.176),(46 9809.053),(47 9811.174),(48 9728.053),(49 9593.775),(50 9497.533),(51 9515.209),(52 9574.067),(53 9679.474),(54 9623.305),(55 9672.526),(56 9655.261),(57 9739.351),(58 9878.856),(59 9881.543),(60 9878.361),(61 9843.568),(62 9867.085),(63 9831.3545),(64 9790.041),(65 9797.699),(66 9853.699),(67 9999.896),(68 9891.441),(69 9963.889),(70 9818.634),(71 9721.249),(72 9618.01),(73 9658.537),(74 9704.549),(75 9678.612),(76 9748.797),(77 9811.254),(78 9746.168),(79 9773.016),
