1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 55807.098),(2 234004.11),(3 512866.28),(4 875149.8),(5 1369981.1),(6 1970798),(7 2688426.3),(8 3463521.3),(9 4350168.5),(10 5270167.5),(11 6234834.5),(12 7281378),(13 8282425.5),(14 9412445),(15 10557404),(16 11811053),(17 13093293),(18 14408119),(19 15708771),(20 16959704),(21 18102714),(22 19212688),(23 20171482),(24 21052922),(25 21833458),(26 22519888),(27 23062176),(28 23487018),(29 23807750),(30 24012848),(31 24149034),(32 24198310),(33 24200954),(34 24167834),(35 24100096),(36 24013210),(37 23791942),(38 23564424),(39 23266592),(40 22992000),(41 22662762),(42 22430098),(43 22257560),(44 22188158),(45 22107874),(46 22041506),(47 21886642),(48 21783190),(49 21761978),(50 21822370),(51 21898654),(52 22060790),(53 22258764),(54 22569222),(55 22841198),(56 23016062),(57 23119494),(58 23265962),(59 23390142),(60 23639602),(61 23876914),(62 24145042),(63 24500742),(64 24865424),(65 25234246),(66 25596488),(67 25928046),(68 26217864),(69 26501110),(70 26752778),(71 26977624),(72 27208486),(73 27463024),(74 27767562),(75 28010760),(76 28246288),(77 28460262),(78 28659046),(79 28827018),
(1 3194.1401),(2 4968.277),(3 5596.1973),(4 5904.0605),(5 6064.562),(6 6177.5273),(7 6391.889),(8 6558.587),(9 6559.2544),(10 6637.0146),(11 6536.8857),(12 6574.749),(13 6551.8237),(14 6494.6323),(15 6579.0674),(16 6587.9897),(17 6504.6416),(18 6512.453),(19 6496.7036),(20 6490.2886),(21 6520.9067),(22 6520.7007),(23 6437.098),(24 6529.004),(25 6569.5273),(26 6575.176),(27 6641.1357),(28 6676.849),(29 6630.453),(30 6576.3975),(31 6531.2227),(32 6477.7935),(33 6354.248),(34 6405.0205),(35 6648.727),(36 6674.9873),(37 6617.29),(38 6570.943),(39 6550.116),(40 6626.7764),(41 6540.563),(42 6435.384),(43 6414.9487),(44 6566.794),(45 6787.541),(46 6915.08),(47 6815.606),(48 6840.585),(49 6895.319),(50 6871.508),(51 6831.537),(52 6803.8286),(53 6706.5967),(54 6665.4224),(55 6624.033),(56 6652.563),(57 6835.9136),(58 6859.6787),(59 6815.7524),(60 6683.9424),(61 6578.249),(62 6563.0493),(63 6754.9473),(64 6781.097),(65 6756.251),(66 6785.502),(67 6864.4854),(68 6894.4756),(69 6901.67),(70 6940.2207),(71 6839.7935),(72 6771.4517),(73 6773.0273),(74 6693.8857),(75 6738.1245),(76 6796.5938),(77 6774.1973),(78 6623.3843),(79 6600.168),
(1 3164.429),(2 4976.8774),(3 5703.716),(4 6079.703),(5 6261.121),(6 6456.802),(7 6611.6006),(8 6672.922),(9 6625.457),(10 6689.345),(11 6630.764),(12 6746.3545),(13 6708.5874),(14 6669.6035),(15 6727.5635),(16 6676.9966),(17 6511.183),(18 6415.923),(19 6477.9893),(20 6614.107),(21 6590.426),(22 6530.785),(23 6446.0073),(24 6479.126),(25 6572.75),(26 6677.78),(27 6749.4204),(28 6707.6025),(29 6549.001),(30 6580.1724),(31 6539.2725),(32 6594.7725),(33 6582.391),(34 6614.93),(35 6707.375),(36 6697.704),(37 6734.673),(38 6664.3594),(39 6626.679),(40 6622.5054),(41 6579.4487),(42 6548.1563),(43 6636),(44 6798.728),(45 6866.6064),(46 6970.1035),(47 6963.3716),(48 7015.957),(49 7096.219),(50 7019.5454),(51 7043.373),(52 6930.4873),(53 6736.3843),(54 6705.5923),(55 6772.0044),(56 6813.241),(57 6847.6733),(58 6899.3394),(59 6807.6494),(60 6836.0674),(61 6842.732),(62 6886.9063),(63 6980.123),(64 6899.699),(65 6821.589),(66 6757.538),(67 6691.609),(68 6750.1006),(69 6738.583),(70 6728.9614),(71 6714.686),(72 6672.778),(73 6691.2046),(74 6689.868),(75 6689.7944),(76 6693.1636),(77 6694.783),(78 6691.6313),(79 6700.2017),
(1 3045.961),(2 4705.484),(3 5403.9526),(4 5760.7915),(5 5931.163),(6 6083.6006),(7 6221.5024),(8 6295.8438),(9 6313.9526),(10 6407.278),(11 6384.2935),(12 6487.024),(13 6451.024),(14 6435.26),(15 6474.604),(16 6390.8345),(17 6277.6665),(18 6220.769),(19 6300.782),(20 6506.4624),(21 6499.8086),(22 6394.4805),(23 6370.5425),(24 6297.799),(25 6308.8),(26 6444.3755),(27 6465.842),(28 6378.098),(29 6219.063),(30 6290.4165),(31 6339.842),(32 6356.868),(33 6289.0938),(34 6224.5176),(35 6235.0376),(36 6150.671),(37 6215.0117),(38 6273.659),(39 6353.657),(40 6299.521),(41 6264.7866),(42 6235.0215),(43 6341.6543),(44 6460.8506),(45 6512.9023),(46 6534.8535),(47 6435.747),(48 6435.119),(49 6387.787),(50 6259.5835),(51 6388.243),(52 6430.045),(53 6331.2783),(54 6410.494),(55 6510.0503),(56 6503.104),(57 6473.853),(58 6383.3887),(59 6299.0283),(60 6374.184),(61 6528.8535),(62 6628.9087),(63 6724.474),(64 6603.105),(65 6645.06),(66 6637.9497),(67 6567.5244),(68 6550.8096),(69 6476.176),(70 6494.428),(71 6525.3906),(72 6412.0586),(73 6392.287),(74 6471.5005),(75 6376.0938),(76 6251.029),(77 6208.521),(78 6342.174),(79 6382.4067),
(1 2951.2695),(2 4512.475),(3 5151.0435),(4 5576.3706),(5 5824.02),(6 5946.0728),(7 6001.2466),(8 6015.088),(9 6003.218),(10 6076.755),(11 5976.8525),(12 6100.3853),(13 6060.3057),(14 6053.9023),(15 6095.6284),(16 6132.4707),(17 6025.802),(18 6018.582),(19 6005.69),(20 6071.273),(21 6053.083),(22 5999.185),(23 5986.8677),(24 5975.492),(25 6001.7437),(26 6098.768),(27 6154.732),(28 6129.307),(29 6168.18),(30 6066.7734),(31 6069.703),(32 5988.2163),(33 5893.0776),(34 5919.395),(35 5928.405),(36 5986.3257),(37 6027.4355),(38 6136.287),(39 6217.415),(40 6148.8374),(41 6043.217),(42 5975.814),(43 5921.3706),(44 5932.74),(45 5964.83),(46 5957.7275),(47 5929.5913),(48 5897.1953),(49 5977.026),(50 5962.4424),(51 6024.964),(52 6111.009),(53 6127.4565),(54 6137.838),(55 6076.004),(56 6076.517),(57 6088.935),(58 6192.3833),(59 6227.1714),(60 6241.0933),(61 6213.1997),(62 6191.649),(63 6200.1113),(64 6129.965),(65 6215.7607),(66 6112.6426),(67 6047.832),(68 6063.5337),(69 6019.453),(70 6120.65),(71 6149.156),(72 5991.1094),(73 5999.091),(74 6093.5107),(75 5997.568),(76 6004.8555),(77 6016.97),(78 6096.378),(79 6046.219),
(1 2990.3315),(2 4685.126),(3 5443.409),(4 5849.947),(5 6030.179),(6 6068.4595),(7 6150.284),(8 6336.5747),(9 6431.2935),(10 6451.966),(11 6294.706),(12 6183.0127),(13 6182.427),(14 6238.4355),(15 6376.106),(16 6407.2764),(17 6315.507),(18 6226.8486),(19 6188.5127),(20 6192.108),(21 6154.6924),(22 6067.1816),(23 6061.9727),(24 6028.4346),(25 6137.1187),(26 6254.5244),(27 6333.712),(28 6391.177),(29 6447.4473),(30 6370.3203),(31 6408.136),(32 6297.1245),(33 6223.7446),(34 6385.1416),(35 6362.168),(36 6294.07),(37 6320.5835),(38 6364.428),(39 6251.337),(40 6148.1274),(41 6076.6084),(42 6136.4688),(43 6181.411),(44 6140.081),(45 6131.072),(46 6181.131),(47 6252.5854),(48 6217.5225),(49 6326.6025),(50 6209.784),(51 6199.065),(52 6039.567),(53 5999.8286),(54 5960.175),(55 5958.2397),(56 5988.182),(57 6113.7036),(58 6163.8003),(59 6200.8506),(60 6282.448),(61 6206.135),(62 6155.9663),(63 6139.033),(64 6160.19),(65 6246.298),(66 6161.9863),(67 6120.506),(68 6094.168),(69 5995.2173),(70 6020.0815),(71 5987.092),(72 5909.9897),(73 5915.42),(74 6051.2334),(75 5896.503),(76 5835.6143),(77 5913.953),(78 6005.0854),(79 6155.213),
(1 2807.222),(2 4349.8237),(3 4970.492),(4 5320.086),(5 5509.329),(6 5604.031),(7 5693.227),(8 5885.2896),(9 5978.243),(10 5877.5215),(11 5715.7217),(12 5595.0474),(13 5601.6763),(14 5663.3745),(15 5743.967),(16 5745.625),(17 5665.6353),(18 5653.5234),(19 5716.158),(20 5719.386),(21 5651.232),(22 5583.3735),(23 5514.9424),(24 5542.354),(25 5708.1064),(26 5791.1797),(27 5871.745),(28 5842.81),(29 5837.737),(30 5824.1045),(31 5811.76),(32 5790.0444),(33 5820.228),(34 5894.6484),(35 5905.9175),(36 5815.779),(37 5844.0005),(38 5773.397),(39 5702.927),(40 5667.6406),(41 5709.848),(42 5752.8105),(43 5823.2026),(44 5808.04),(45 5746.3447),(46 5802.9434),(47 5722.3765),(48 5706.965),(49 5860.492),(50 5824.8105),(51 5768.3354),(52 5672.5234),(53 5700.77),(54 5600.545),(55 5571.7344),(56 5662.2886),(57 5752.5635),(58 5788.6597),(59 5836.5313),(60 5914.098),(61 5914.562),(62 5833.281),(63 5803.2773),(64 5858.018),(65 5918.272),(66 5922.867),(67 5993.7188),(68 5949.096),(69 5811.92),(70 5815.7036),(71 5780.7163),(72 5611.9834),(73 5622.6084),(74 5640.7407),(75 5597.4185),(76 5572.3057),(77 5577.9824),(78 5581.6255),(79 5692.8325),
(1 2685.6504),(2 4109.093),(3 4685.4976),(4 5062.2256),(5 5228.0474),(6 5329.7163),(7 5450.8926),(8 5580.426),(9 5563.4966),(10 5567.0317),(11 5462.6914),(12 5373.8115),(13 5416.4575),(14 5454.621),(15 5456.0493),(16 5354.99),(17 5336.443),(18 5345.9277),(19 5388.531),(20 5411.936),(21 5374.825),(22 5432.841),(23 5382.417),(24 5467.5127),(25 5589.587),(26 5690.6523),(27 5720.228),(28 5637.183),(29 5567.3003),(30 5468.871),(31 5465.28),(32 5580.155),(33 5664.3643),(34 5704.338),(35 5644.9956),(36 5545.755),(37 5561.2065),(38 5512.528),(39 5498.4775),(40 5448.531),(41 5407.785),(42 5427.128),(43 5493.3257),(44 5467.4414),(45 5437.028),(46 5457.2183),(47 5399.347),(48 5424.364),(49 5551.437),(50 5591.834),(51 5531.2803),(52 5477.866),(53 5498.1406),(54 5495.4844),(55 5436.0483),(56 5531.491),(57 5536.8643),(58 5537.3125),(59 5548.262),(60 5528.5684),(61 5583.1553),(62 5621.4526),(63 5685.2114),(64 5758.193),(65 5874.754),(66 5913.9717),(67 5899.0234),(68 5941.364),(69 5847.666),(70 5779.1553),(71 5745.32),(72 5595.792),(73 5642.9165),(74 5622.6865),(75 5551.7627),(76 5479.7183),(77 5481.1387),(78 5524.5444),(79 5558.764),
(1 2649.8335),(2 3986.604),(3 4507.788),(4 4765.422),(5 4881.2046),(6 5039.6514),(7 5161.43),(8 5277.2573),(9 5227.766),(10 5240.465),(11 5142.0796),(12 5019.3755),(13 5028.742),(14 5055.34),(15 5162.1787),(16 5085.8354),(17 5092.4873),(18 5050.8066),(19 5091.141),(20 5179.633),(21 5166.9053),(22 5239.48),(23 5216.9976),(24 5224.011),(25 5245.258),(26 5341.124),(27 5385.442),(28 5404.334),(29 5309.203),(30 5237.5986),(31 5265.9517),(32 5331.812),(33 5367.8105),(34 5449.6543),(35 5436.249),(36 5344.621),(37 5333.617),(38 5293.0327),(39 5196.641),(40 5073.601),(41 4988.6025),(42 5083.9155),(43 5160.934),(44 5169.2886),(45 5231.1597),(46 5362.8774),(47 5234.0884),(48 5160.6543),(49 5122.873),(50 5178.9116),(51 5174.704),(52 5088.788),(53 5093.69),(54 5165.5674),(55 5236.6274),(56 5272.399),(57 5262.2207),(58 5236.989),(59 5287.333),(60 5406.6616),(61 5367.094),(62 5381.9087),(63 5398.25),(64 5383.6553),(65 5380.893),(66 5291.1045),(67 5251.974),(68 5298.8057),(69 5263.9165),(70 5247.9565),(71 5260.439),(72 5176.7446),(73 5270.8135),(74 5303.8535),(75 5273.301),(76 5254.346),(77 5291.8496),(78 5299.045),(79 5285.408),
(1 2627.917),(2 3940.4285),(3 4451.1387),(4 4732.62),(5 4869.037),(6 4922.407),(7 5020.5923),(8 5104.2075),(9 5156.1533),(10 5157.1353),(11 5093.8037),(12 5001.974),(13 4979.37),(14 4952.162),(15 5019.9404),(16 4971.0396),(17 4994.958),(18 5061.7886),(19 5180.014),(20 5252.646),(21 5145.2354),(22 5140.693),(23 5111.64),(24 5068.098),(25 5116.897),(26 5117.0596),(27 5200.888),(28 5192.873),(29 5177.452),(30 5099.08),(31 5049.2197),(32 4988.2163),(33 4947.935),(34 5040.629),(35 5032.5884),(36 5008.56),(37 5070.962),(38 5072.937),(39 4985.7627),(40 4971.997),(41 4916.851),(42 4943.0327),(43 5022.6753),(44 5026.466),(45 5028.133),(46 5039.2065),(47 4929.4976),(48 4914.8047),(49 4922.1475),(50 4937.2544),(51 5018.097),(52 5032.158),(53 5008.504),(54 5087.46),(55 5155.136),(56 5115.394),(57 5054.9155),(58 5099.2236),(59 5148.5693),(60 5220.875),(61 5203.5347),(62 5240.0854),(63 5215.8306),(64 5191.921),(65 5240.584),(66 5303.028),(67 5297.1147),(68 5250.8135),(69 5214.8047),(70 5173.216),(71 5113.7563),(72 5079.7744),(73 5092.266),(74 5118.4346),(75 5155.7954),(76 5119.2095),(77 5154.0327),(78 5152.028),(79 5225.724),
(1 2505.6672),(2 3759.6516),(3 4295.8457),(4 4627.5503),(5 4732.189),(6 4800.336),(7 4959.6953),(8 5131.7095),(9 5221.581),(10 5235.4473),(11 5205.113),(12 5171.8223),(13 5190.108),(14 5103.537),(15 5205.2554),(16 5111.711),(17 5113.2944),(18 5154.722),(19 5196.3916),(20 5189.1636),(21 5104.1504),(22 5055.465),(23 5087.147),(24 5040.1167),(25 5126.8174),(26 5161.5938),(27 5141.1313),(28 5142.6904),(29 5175.5874),(30 5096.0874),(31 4946.3887),(32 4914.4053),(33 4977.512),(34 5032.9775),(35 4990.9785),(36 4995.6216),(37 5101.053),(38 5043.0107),(39 5037.424),(40 5132.07),(41 5193.5293),(42 5126.7793),(43 5114.238),(44 5113.6914),(45 5105.7817),(46 5071.54),(47 5090.592),(48 5087.8174),(49 5118.441),(50 5131.6904),(51 5173.4614),(52 5218.751),(53 5173.4565),(54 5274.461),(55 5310.299),(56 5307.465),(57 5248.9414),(58 5234.5273),(59 5190.1333),(60 5165.2783),(61 5091.5537),(62 5101.599),(63 5133.4023),(64 5174.3525),(65 5235.127),(66 5253.4653),(67 5216.6616),(68 5089.932),(69 5086.046),(70 5140.022),(71 5170.4136),(72 5190.57),(73 5241.4185),(74 5298.88),(75 5300.2114),(76 5254.9653),(77 5285.281),(78 5256.9893),(79 5241.9473),
(1 2408.8284),(2 3601.6995),(3 4015.5142),(4 4313.278),(5 4352.8057),(6 4481.8467),(7 4604.176),(8 4739.793),(9 4815.2456),(10 4903.5522),(11 4923.9814),(12 4919.2256),(13 4907.9717),(14 4823.269),(15 4869.923),(16 4823.314),(17 4789.1416),(18 4877.996),(19 4905.4067),(20 4942.8228),(21 4969.1685),(22 4951.616),(23 4968.0303),(24 4904.0786),(25 4876.8765),(26 4832.0337),(27 4823.914),(28 4836.566),(29 4914.822),(30 4879.046),(31 4812.3105),(32 4719.0435),(33 4762.6167),(34 4735.016),(35 4712.326),(36 4710.4214),(37 4776.008),(38 4775.642),(39 4774.426),(40 4866.2246),(41 4918.7095),(42 4807.9893),(43 4763.491),(44 4870.1055),(45 4905.1763),(46 4898.221),(47 4876.54),(48 4862.8003),(49 4812.6235),(50 4821.356),(51 4768.493),(52 4838.129),(53 4886.435),(54 4838.6636),(55 4782.375),(56 4738.798),(57 4641.7144),(58 4678.7485),(59 4691.503),(60 4704.0195),(61 4709.243),(62 4712.5796),(63 4787.285),(64 4732),(65 4656.27),(66 4708.6045),(67 4696.387),(68 4681.013),(69 4682.7256),(70 4666.403),(71 4687.6006),(72 4644.3657),(73 4717.3213),(74 4799.8594),(75 4794.437),(76 4793.422),(77 4783.673),(78 4740.747),(79 4803.3745),
(1 2358.0364),(2 3578.0247),(3 4106.9697),(4 4288.4165),(5 4413.7017),(6 4534.509),(7 4559.2104),(8 4629.6563),(9 4705.769),(10 4720.3604),(11 4619.557),(12 4635.4272),(13 4633.951),(14 4596.0693),(15 4733.2314),(16 4679.356),(17 4718.667),(18 4734.65),(19 4751.3926),(20 4766.037),(21 4764.872),(22 4779.5537),(23 4747.0405),(24 4700.1343),(25 4719.0264),(26 4629.586),(27 4646.6387),(28 4619.537),(29 4691.0938),(30 4746.903),(31 4757.3066),(32 4743.757),(33 4702.0566),(34 4658.313),(35 4607.4814),(36 4628.0273),(37 4642.029),(38 4689.0327),(39 4658.918),(40 4737.6665),(41 4710.4165),(42 4652.552),(43 4600.867),(44 4679.3516),(45 4698.055),(46 4680.92),(47 4601.014),(48 4518.156),(49 4525.718),(50 4579.504),(51 4545.17),(52 4640.2095),(53 4659.3804),(54 4675.708),(55 4685.7046),(56 4567.218),(57 4497.9165),(58 4508.238),(59 4482.106),(60 4502.459),(61 4548.6816),(62 4620.48),(63 4591.998),(64 4513.9355),(65 4540.8154),(66 4572.5723),(67 4552.938),(68 4515.0396),(69 4531.634),(70 4585.5786),(71 4543.2637),(72 4466.474),(73 4596.5747),(74 4602.968),(75 4640.8643),(76 4614.093),(77 4621.469),(78 4571.6606),(79 4619.5645),
(1 2187.048),(2 3306.172),(3 3836.1),(4 4075.5935),(5 4212.9087),(6 4340.2314),(7 4414.2803),(8 4389.8315),(9 4366.5264),(10 4298.54),(11 4182.76),(12 4160.7246),(13 4224.5205),(14 4344.2017),(15 4505.6465),(16 4449.9546),(17 4443.527),(18 4455.1523),(19 4442.213),(20 4458.897),(21 4464.4463),(22 4560.222),(23 4591.9272),(24 4602.2803),(25 4535.8145),(26 4484.157),(27 4384.5825),(28 4355.0825),(29 4399.7153),(30 4480.5117),(31 4480.3154),(32 4520.3013),(33 4582.684),(34 4523.617),(35 4513.333),(36 4553.158),(37 4520.3257),(38 4522.599),(39 4522.262),(40 4588.0967),(41 4556.6255),(42 4562.0356),(43 4535.5454),(44 4642.5913),(45 4564.088),(46 4518.05),(47 4443.792),(48 4442.2437),(49 4423.974),(50 4444.049),(51 4472.6904),(52 4537.532),(53 4523.0786),(54 4547.5825),(55 4506.1426),(56 4409.074),(57 4410.9473),(58 4461.9995),(59 4460.3193),(60 4429.882),(61 4394.078),(62 4394.857),(63 4405.3022),(64 4381.428),(65 4461.6255),(66 4467.4683),(67 4385.686),(68 4361.301),(69 4406.1304),(70 4475.1245),(71 4451.0146),(72 4365.597),(73 4362.0884),(74 4429.627),(75 4464.694),(76 4442.876),(77 4419.883),(78 4401.926),(79 4425.7935),
(1 2200.2195),(2 3302.6565),(3 3779.9717),(4 3989.9368),(5 4055.0957),(6 4210.16),(7 4335.454),(8 4375.8555),(9 4417.8774),(10 4404.665),(11 4296.0273),(12 4285.4243),(13 4366.5605),(14 4458.9624),(15 4531.3486),(16 4387.4043),(17 4429.7046),(18 4465.4424),(19 4466.7803),(20 4434.743),(21 4477.8),(22 4545.1533),(23 4626.3364),(24 4634.216),(25 4582.8945),(26 4537.3135),(27 4460.4097),(28 4405.2026),(29 4296.9614),(30 4275.8247),(31 4296.2554),(32 4203.5225),(33 4285.9185),(34 4262.914),(35 4315.761),(36 4332.5864),(37 4329.977),(38 4297.315),(39 4288.6943),(40 4309.7354),(41 4254.748),(42 4246.8604),(43 4199.0864),(44 4272.258),(45 4321.936),(46 4357.2944),(47 4386.801),(48 4400.6606),(49 4401.0146),(50 4412.8174),(51 4382.251),(52 4356.75),(53 4321.3145),(54 4304.895),(55 4345.839),(56 4344.707),(57 4370.153),(58 4394.4204),(59 4367.39),(60 4413.9985),(61 4351.8066),(62 4350.668),(63 4439.0234),(64 4420.229),(65 4449.584),(66 4406.695),(67 4367.6396),(68 4357.032),(69 4357.18),(70 4377.5903),(71 4345.329),(72 4259.358),(73 4291.3857),(74 4375.096),(75 4376.6504),(76 4347.7476),(77 4353.016),(78 4335.976),(79 4354.6416),
(1 2166.4612),(2 3163.727),(3 3542.4043),(4 3629.6328),(5 3769.4417),(6 3965.0898),(7 4058.119),(8 4126.634),(9 4134.104),(10 4089.4048),(11 4020.553),(12 4056.2654),(13 4106.9644),(14 4136.538),(15 4243.1714),(16 4182.3213),(17 4254.4536),(18 4268.9956),(19 4255.431),(20 4306.458),(21 4297.009),(22 4414.8677),(23 4520.132),(24 4539.495),(25 4575.2705),(26 4512.273),(27 4412.0186),(28 4347.4346),(29 4272.2593),(30 4317.441),(31 4263.2217),(32 4142.5933),(33 4175.4536),(34 4181.8984),(35 4244.931),(36 4161.681),(37 4159.365),(38 4154.997),(39 4205.796),(40 4194.2437),(41 4186.81),(42 4156.146),(43 4114.434),(44 4110.9995),(45 4212.113),(46 4280.6104),(47 4344.281),(48 4316.622),(49 4328.5757),(50 4294.7583),(51 4249.142),(52 4198.9956),(53 4161.2734),(54 4215.371),(55 4246.689),(56 4252.369),(57 4216.71),(58 4239.191),(59 4289.078),(60 4301.207),(61 4242.1807),(62 4228.161),(63 4309.4844),(64 4188.3),(65 4187.9585),(66 4155.271),(67 4220.175),(68 4203.566),(69 4124.7505),(70 4159.554),(71 4125.0063),(72 4044.3064),(73 4057.8604),(74 4034.3699),(75 4028.7883),(76 4008.4075),(77 4062.3777),(78 4015.8171),(79 4025.0425),
(1 2067.0078),(2 3150.77),(3 3517.051),(4 3622.8452),(5 3748.8674),(6 3876.6099),(7 3962.7576),(8 3983.3887),(9 3962.756),(10 3976.572),(11 3887.227),(12 3904.7476),(13 3975.3528),(14 4021.5745),(15 4089.4744),(16 4046.9211),(17 4114.3047),(18 4127.4526),(19 4112.639),(20 4156.778),(21 4165.753),(22 4195.3647),(23 4248.5664),(24 4269.732),(25 4307.1265),(26 4299.4473),(27 4279.986),(28 4198.0254),(29 4145.1387),(30 4160.353),(31 4119.627),(32 4110.127),(33 4147.169),(34 4132.118),(35 4118.4595),(36 4024.642),(37 4014.033),(38 4024.1443),(39 4076.9458),(40 4041.4883),(41 4017.938),(42 3973.0547),(43 3882.3394),(44 3928.9993),(45 3964.0662),(46 4032.2612),(47 4151.459),(48 4104.8774),(49 4091.9414),(50 4037.3303),(51 3998.3699),(52 4007.287),(53 4010.706),(54 4064.918),(55 4058.4802),(56 4076.8665),(57 4035.4795),(58 4047.4226),(59 4067.9043),(60 4088.4585),(61 4083.5789),(62 4104.2524),(63 4178.1978),(64 4107.6606),(65 4032.296),(66 4013.7559),(67 4025.1052),(68 4017.9695),(69 4019.1052),(70 4026.354),(71 4003.7908),(72 3922.4949),(73 3932.1665),(74 3940.065),(75 3976.7075),(76 4009.108),(77 4040.6042),(78 4003.9722),(79 3993.4985),
