1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46687.23),(2 149804.8),(3 279786.9),(4 419611.78),(5 566404.2),(6 708056.5),(7 853714.56),(8 1028839.44),(9 1229043.4),(10 1461704.9),(11 1700223.4),(12 1982257.6),(13 2298247.5),(14 2624305.8),(15 2946527.3),(16 3269242.3),(17 3586318),(18 3908954.3),(19 4204434),(20 4492245.5),(21 4853613.5),(22 5274897.5),(23 5786781.5),(24 6360954.5),(25 6928202.5),(26 7458757.5),(27 8020489.5),(28 8606711),(29 9168779),(30 9626471),(31 10135313),(32 10607572),(33 11081071),(34 11542692),(35 12030627),(36 12503597),(37 12981804),(38 13470141),(39 14009812),(40 14541108),(41 15104248),(42 15590608),(43 16110847),(44 16595680),(45 17177386),(46 17753718),(47 18360958),(48 18936112),(49 19530646),(50 20087020),(51 20723118),(52 21337832),(53 22051824),(54 22827682),(55 23616360),(56 24393626),(57 25198944),(58 25983174),(59 26741128),(60 27433792),(61 28139174),(62 28918752),(63 29782496),(64 30660074),(65 31568114),(66 32262478),(67 32962882),(68 33608200),(69 34322050),(70 35114316),(71 36027284),(72 36844828),(73 37612170),(74 38184340),(75 38796820),(76 39297732),(77 39834256),(78 40194500),(79 40618700),
(1 15073.409),(2 31725.28),(3 42457.23),(4 49079.7),(5 53829.52),(6 55329.17),(7 56654.81),(8 56714.84),(9 58557.273),(10 60219.07),(11 62976.324),(12 64256.406),(13 66662.48),(14 66922.12),(15 67049.01),(16 68355.73),(17 69189.52),(18 69577.14),(19 70673.06),(20 70552.67),(21 72252.83),(22 71381.7),(23 71076.875),(24 70040.95),(25 71395.25),(26 71633.48),(27 71438.61),(28 70316.35),(29 70027.586),(30 70722.766),(31 71823.76),(32 71035.04),(33 71368.4),(34 71237.414),(35 71481.21),(36 71509.28),(37 73260.58),(38 74365.98),(39 74907.75),(40 73034.984),(41 72535.99),(42 71158.625),(43 71767.88),(44 73154.086),(45 75278.46),(46 75204.71),(47 75180.805),(48 74493.24),(49 75270.41),(50 76462.94),(51 79074.24),(52 79515.06),(53 79480.586),(54 77491.73),(55 76321.984),(56 76021.34),(57 76903.29),(58 76984.19),(59 76713.14),(60 75068.07),(61 75150.664),(62 75224.195),(63 76203.27),(64 76623.45),(65 77457.28),(66 76834.71),(67 76892.695),(68 76752.49),(69 77783.41),(70 78389.79),(71 79223.914),(72 78750.66),(73 78825.85),(74 77551.09),(75 78733.81),(76 79153.29),(77 80824.79),(78 81000.445),(79 81261.68),
(1 15717.893),(2 31792.482),(3 41337.008),(4 47815.918),(5 51294.934),(6 51273.73),(7 53125.457),(8 53954.234),(9 57250.88),(10 58778.152),(11 60508.125),(12 62058.62),(13 64512.707),(14 64008.88),(15 63700.777),(16 63151.223),(17 64282.63),(18 65239.965),(19 67451.39),(20 67982.46),(21 69974.11),(22 68869.25),(23 68972.03),(24 67971.984),(25 68137.37),(26 68372.36),(27 70023.36),(28 69885.22),(29 69986.86),(30 70466.32),(31 71521.63),(32 70893.12),(33 71328.39),(34 70560.43),(35 70622.72),(36 70460.38),(37 72118.09),(38 72967.38),(39 72690.88),(40 69997.03),(41 70255.555),(42 70820.52),(43 72092.414),(44 72045.016),(45 72978.32),(46 71687.414),(47 71010.98),(48 69513.664),(49 69852.82),(50 70338.74),(51 72480.82),(52 71797.48),(53 71566.16),(54 70545.93),(55 70637),(56 71149.195),(57 72759.1),(58 72778.07),(59 72354.766),(60 70230.6),(61 70763.37),(62 70985.54),(63 73192.445),(64 73134.3),(65 73594.62),(66 72245.195),(67 71972.06),(68 72411.28),(69 75957.914),(70 78707.695),(71 80198.69),(72 79316.805),(73 80035.2),(74 79285.84),(75 79943.99),(76 79098.5),(77 79571.35),(78 79202.55),(79 79735.516),
(1 14492.21),(2 29659.803),(3 38793.04),(4 44345.684),(5 47159.367),(6 47691.055),(7 50801.094),(8 51518.563),(9 54140.6),(10 55556.17),(11 57688.645),(12 58753.246),(13 60931.555),(14 60456.438),(15 61655.418),(16 61648.86),(17 62651.77),(18 63388.895),(19 64267.344),(20 64820.168),(21 66033.4),(22 65443.805),(23 65298.152),(24 65216.57),(25 66708.1),(26 68017.59),(27 69949.125),(28 70476.6),(29 72158.72),(30 72313.92),(31 72595.734),(32 72173.195),(33 72368.4),(34 71912.79),(35 72436.38),(36 72086.05),(37 73388.32),(38 72766.72),(39 71462.04),(40 68473.97),(41 67622.99),(42 66325.69),(43 67211.86),(44 67252.87),(45 67282.63),(46 66217.37),(47 65827.64),(48 64176.57),(49 65061.875),(50 65285.266),(51 66449.06),(52 65601.75),(53 65947.664),(54 65875.6),(55 66684.13),(56 66221.9),(57 66974.28),(58 65796.445),(59 65443.168),(60 63961.254),(61 64074.367),(62 63472.746),(63 64506.875),(64 64769.51),(65 66247.44),(66 65701.93),(67 66143.33),(68 65967.79),(69 66620.55),(70 66747.25),(71 68220.34),(72 67979.11),(73 68784.484),(74 68235.12),(75 69505.69),(76 68618.57),(77 70360.35),(78 70641.2),(79 71480.15),
(1 14020.235),(2 29126.13),(3 38405.2),(4 44033.992),(5 48259.004),(6 50764.555),(7 53860.2),(8 54825.23),(9 55532.277),(10 55602.785),(11 58277.152),(12 59785.63),(13 62681.293),(14 63573.5),(15 64161.676),(16 62915.01),(17 63561.133),(18 63961.414),(19 65245.72),(20 65275.12),(21 65807.82),(22 65242.7),(23 66316.73),(24 67788.375),(25 69628.75),(26 69352.07),(27 69055.266),(28 68558.32),(29 68897.4),(30 68574.15),(31 69008.875),(32 69092.53),(33 69175.516),(34 68627.58),(35 68750.88),(36 68622.336),(37 69718.44),(38 68982.54),(39 68504.67),(40 66494.94),(41 65875.56),(42 65607.6),(43 66652.75),(44 67290.16),(45 67683),(46 65898.07),(47 65402.656),(48 65402.465),(49 67832.44),(50 69254.234),(51 69607.51),(52 67803.484),(53 67716.26),(54 67934.805),(55 68956.73),(56 69434.99),(57 70647.16),(58 70891.555),(59 72304.92),(60 72876.21),(61 73384.016),(62 72710.03),(63 72936.445),(64 73733.81),(65 75166.75),(66 74538.68),(67 74204.11),(68 73803.31),(69 74075.4),(70 74090.664),(71 75653.31),(72 75323.08),(73 75877.65),(74 75768.4),(75 76433.27),(76 75783.96),(77 76048.414),(78 76045.89),(79 77119.125),
(1 14208.24),(2 29489.824),(3 39676.49),(4 44803.06),(5 48217.926),(6 50092.996),(7 53274.496),(8 54383.734),(9 55816.66),(10 55789.07),(11 57552.703),(12 59823.785),(13 62933.242),(14 63131.203),(15 63669.953),(16 62220.836),(17 63429.76),(18 63304.785),(19 64100.066),(20 63826.42),(21 63911.71),(22 63239.203),(23 64565.3),(24 64463.16),(25 65349.918),(26 65802.2),(27 66309.41),(28 67127.7),(29 67939.39),(30 67008.39),(31 68135.38),(32 67431.04),(33 67505.336),(34 66646.234),(35 66976.38),(36 66842.55),(37 67409.62),(38 66545.56),(39 65946.51),(40 64235.703),(41 64549.76),(42 64158.793),(43 66469.2),(44 67317.69),(45 67366.12),(46 65564.086),(47 66249.01),(48 67032.234),(49 68839.01),(50 69012.23),(51 69908.86),(52 67805.16),(53 67940.54),(54 68349.38),(55 70295.54),(56 69821.41),(57 69988.69),(58 69542.49),(59 70370.58),(60 69438.86),(61 69213.28),(62 67860.73),(63 68209.11),(64 68182.73),(65 69807.66),(66 68995.164),(67 70186.35),(68 69987.23),(69 70320.66),(70 69259.63),(71 69223.28),(72 68170.1),(73 68772.45),(74 68790.734),(75 69196.78),(76 66656.86),(77 66833.53),(78 66994.4),(79 69223.86),
(1 14102.75),(2 29586.8),(3 38403.387),(4 43431.297),(5 46574.125),(6 48122.035),(7 51663.164),(8 52649.49),(9 52918.813),(10 52560.758),(11 54015.64),(12 56092.05),(13 57788.6),(14 57566.324),(15 58262.785),(16 57370.1),(17 58326.414),(18 58044.773),(19 59250.83),(20 59489.598),(21 60417.508),(22 60036.91),(23 61075.54),(24 61650.355),(25 62738.977),(26 61931.277),(27 63037.527),(28 64654.21),(29 65049.184),(30 64386.418),(31 65491.953),(32 64732.61),(33 65209.46),(34 65039.44),(35 66624.8),(36 66910.71),(37 66609.73),(38 66081.664),(39 66830.914),(40 65805.09),(41 65907.37),(42 66026.79),(43 67230.42),(44 66854.02),(45 66181.02),(46 65119.02),(47 65856.875),(48 65656.04),(49 66814.805),(50 67559.55),(51 68147.1),(52 67642.88),(53 68460.6),(54 68083.375),(55 68066.35),(56 66657.945),(57 65923.67),(58 64804.746),(59 65812.71),(60 65833.99),(61 66042.55),(62 64380.59),(63 64406.58),(64 63746.957),(65 64089.016),(66 63111.785),(67 63615.62),(68 63406.457),(69 64190.168),(70 64251.914),(71 65535.863),(72 65669.836),(73 66881.09),(74 66477.336),(75 67220.95),(76 66039.17),(77 65652.89),(78 65829.25),(79 68060.94),
(1 13898.3),(2 28255.219),(3 37931.707),(4 43669.254),(5 46150.133),(6 47621.418),(7 50221.727),(8 50935.883),(9 52371.246),(10 52304.17),(11 53652.426),(12 54620.754),(13 55692.05),(14 55269.27),(15 56221.742),(16 55911.156),(17 57862.688),(18 58326.504),(19 58745.637),(20 57851.24),(21 57610.777),(22 57270.008),(23 57833.332),(24 57720.406),(25 58181.715),(26 57426.523),(27 59481.563),(28 60767.39),(29 61390.05),(30 61261.55),(31 62419.34),(32 63166.766),(33 64752.54),(34 64951.617),(35 66321.875),(36 65580.586),(37 65282.77),(38 65672.836),(39 67473.53),(40 67418.25),(41 67533.84),(42 67051.414),(43 67441.34),(44 66490.36),(45 66117.18),(46 66093.555),(47 66267.086),(48 65227.14),(49 65664.234),(50 66568.74),(51 67540),(52 66401.02),(53 66549.266),(54 66046.445),(55 66350.555),(56 64909.117),(57 64709.918),(58 64167.34),(59 65232.996),(60 65247.918),(61 66062.03),(62 65313.35),(63 65721.664),(64 65108.727),(65 65506.695),(66 65735.266),(67 66791.234),(68 66571.414),(69 66231.37),(70 65269.62),(71 66718.91),(72 66760.05),(73 66542.125),(74 66828.26),(75 67120.77),(76 66032.055),(77 65738.41),(78 65377.363),(79 66286.164),
(1 12633.144),(2 25430.154),(3 33919.31),(4 39274.26),(5 41845.4),(6 42992.242),(7 46027.89),(8 46108.39),(9 47383.69),(10 47457.734),(11 49009.457),(12 49514.62),(13 50479.457),(14 50638.977),(15 51996.85),(16 52064.996),(17 53962.516),(18 53475.844),(19 53710.85),(20 52687.5),(21 53030.496),(22 53718.56),(23 55797.055),(24 56077.086),(25 55812.395),(26 55210.867),(27 56707.813),(28 56795.22),(29 58151.68),(30 57521.9),(31 57758.094),(32 57204.57),(33 57950.92),(34 57368.535),(35 57426.805),(36 56751.797),(37 57048.652),(38 57503.56),(39 59010.473),(40 58083.74),(41 58787.1),(42 59272.79),(43 60125.906),(44 59523.54),(45 60111.617),(46 60696.566),(47 62120.023),(48 61859.03),(49 62442.96),(50 61290.477),(51 60561.867),(52 59908.58),(53 60883.055),(54 61226.824),(55 60698.375),(56 59084.9),(57 58991.895),(58 58637.582),(59 58981.676),(60 58060.473),(61 58901.164),(62 59023.227),(63 59517.56),(64 59039.383),(65 59569.87),(66 59541.55),(67 59650.277),(68 58839.99),(69 58700.7),(70 58053.1),(71 59043.227),(72 58668.14),(73 59229.56),(74 59109.89),(75 60282.29),(76 59006.42),(77 58510.715),(78 59243.266),(79 61922.992),
(1 13023.348),(2 26029.936),(3 35049.66),(4 39388.37),(5 41710.117),(6 43261.035),(7 46143.535),(8 45673.813),(9 46607.773),(10 47030.055),(11 49092.05),(12 49504.523),(13 50959.895),(14 50805.215),(15 52059.777),(16 52468.543),(17 53714.64),(18 53314.695),(19 53145.508),(20 52407.125),(21 53925.29),(22 55368.61),(23 57132.445),(24 57506.207),(25 57822.44),(26 58191.242),(27 58608.137),(28 57935.484),(29 59178.02),(30 58403.152),(31 58473.758),(32 57746.734),(33 58606.45),(34 58655.81),(35 59478.11),(36 59240.758),(37 60072.957),(38 59952.063),(39 60058.598),(40 59004.234),(41 59815.44),(42 58959.66),(43 58228.12),(44 56585.19),(45 57247.008),(46 57039.492),(47 57313.957),(48 57193.94),(49 57822.953),(50 57167.773),(51 57530.74),(52 57259.6),(53 58491.34),(54 58555.105),(55 58661.96),(56 58023.6),(57 57981.227),(58 57104.684),(59 57711.496),(60 57060.523),(61 57992.535),(62 58465.875),(63 59281.8),(64 59159.992),(65 60525.563),(66 59932.367),(67 59956.043),(68 59156.652),(69 59120.242),(70 58350.227),(71 59065.324),(72 58419.38),(73 59131.65),(74 59385.074),(75 60859.15),(76 60005.785),(77 60329.98),(78 59828.89),(79 60352.617),
(1 12472.117),(2 25216.15),(3 33964.684),(4 38453.72),(5 41573.145),(6 42923.598),(7 46097.332),(8 46454.145),(9 47966.813),(10 47767.04),(11 50104.758),(12 50887.78),(13 52748.836),(14 52904.14),(15 54586.652),(16 54448.047),(17 54685.918),(18 52876.83),(19 52703.023),(20 51375.96),(21 52545.92),(22 53031.82),(23 53902.3),(24 53083.758),(25 52854.957),(26 53172.73),(27 54033.867),(28 53592.14),(29 55196.684),(30 55260.145),(31 56070.86),(32 55666.08),(33 56384.387),(34 55746.824),(35 56179.293),(36 55570.56),(37 56359.04),(38 55785.55),(39 55281.277),(40 54653.926),(41 55167.73),(42 54351.44),(43 54118.42),(44 53577.63),(45 54389.566),(46 54148.773),(47 54447.945),(48 53711.125),(49 54702.527),(50 55369.164),(51 56678.23),(52 56502.86),(53 57069.906),(54 56888.94),(55 57525.66),(56 56846.016),(57 57260.758),(58 56959.37),(59 57516.133),(60 57213.54),(61 58339.9),(62 57983.023),(63 58380.715),(64 58217.203),(65 58441.637),(66 56859.348),(67 57041.9),(68 56547.55),(69 58129.453),(70 58493.117),(71 59301.98),(72 57934.195),(73 58414.65),(74 58472.04),(75 59502.945),(76 58317.56),(77 58203.52),(78 57067.836),(79 58176.234),
(1 12409.916),(2 23936.639),(3 31466.111),(4 35247.617),(5 37744.023),(6 38793.418),(7 41891.93),(8 42152.33),(9 43260.25),(10 43708.77),(11 46219.082),(12 46527.125),(13 47581.7),(14 47742.645),(15 49019.03),(16 48961.813),(17 50424.656),(18 50257.76),(19 50464.367),(20 49765.06),(21 51180.04),(22 50920.88),(23 51618.04),(24 51194.66),(25 51901.863),(26 51874.938),(27 52332.574),(28 51541.54),(29 52304.79),(30 52478.61),(31 53678.28),(32 52972.457),(33 54531.055),(34 55029.64),(35 55678.22),(36 54061.9),(37 53322.223),(38 52168.777),(39 52133.992),(40 51781.645),(41 53074.26),(42 52579.465),(43 53077.383),(44 52670.566),(45 53108.402),(46 52856.617),(47 53241.434),(48 51888.336),(49 52293.164),(50 53167.207),(51 54278.35),(52 53582.336),(53 54501.414),(54 53817.918),(55 53600.54),(56 53301.617),(57 54490.953),(58 55287.91),(59 56989.79),(60 56270.63),(61 56790.504),(62 56332.285),(63 57478.395),(64 56762.777),(65 57022.97),(66 56160.89),(67 56261.984),(68 54919.367),(69 55326.875),(70 54450.785),(71 55268.293),(72 54671.734),(73 56033.344),(74 56127.207),(75 57158.152),(76 55851.09),(77 56091.715),(78 55175.21),(79 56389.41),
(1 12204.816),(2 23318.947),(3 29878.596),(4 33183.78),(5 36171.863),(6 37236.547),(7 41022.72),(8 41166.547),(9 42128.746),(10 42790.867),(11 44387.063),(12 44259.043),(13 45521.31),(14 45880.81),(15 47213.08),(16 47352.74),(17 48495.52),(18 47759.55),(19 48392.223),(20 47939.613),(21 49040.71),(22 49503.254),(23 50691.64),(24 49309.027),(25 50553.047),(26 51567.348),(27 52396.145),(28 51833.285),(29 53544.887),(30 53903.03),(31 54278.94),(32 53514.25),(33 54136.285),(34 54474.6),(35 55427.188),(36 54114.547),(37 54144.12),(38 52946.773),(39 53080.08),(40 52404.285),(41 53213.73),(42 52141.46),(43 51415.97),(44 50301.44),(45 50747.707),(46 49978.36),(47 49859.234),(48 48881.957),(49 49477.98),(50 49372.74),(51 50079.508),(52 49647.61),(53 50875.97),(54 51093.613),(55 51613.617),(56 51047.78),(57 52526.527),(58 52053.75),(59 52690.01),(60 51623.113),(61 52432.906),(62 52238.64),(63 54008.824),(64 53398.965),(65 53611.58),(66 52266.53),(67 53149.383),(68 53057.156),(69 53755.35),(70 53258.84),(71 54499.598),(72 54139.566),(73 54639.2),(74 54354.47),(75 55726.64),(76 55279.902),(77 55334.49),(78 54983.934),(79 55972.848),
(1 11779.132),(2 22053.035),(3 28492.643),(4 32098.012),(5 34959.254),(6 36921.69),(7 40452.152),(8 40218.094),(9 41695.203),(10 42286.145),(11 43713.305),(12 43578.58),(13 44913.14),(14 44687.926),(15 46050.332),(16 44505.258),(17 45699.953),(18 45218.75),(19 45940.06),(20 45932.574),(21 47727.082),(22 48446.258),(23 49208.79),(24 48112.19),(25 49569.914),(26 50525.32),(27 51380.668),(28 50317.504),(29 51180.44),(30 51149.426),(31 52141.492),(32 50814.87),(33 51761.96),(34 51963.53),(35 52927.402),(36 52427.074),(37 52804.55),(38 51884.336),(39 52067.97),(40 51810.855),(41 52715.61),(42 51307.42),(43 50081.45),(44 48958.88),(45 50344.75),(46 50344.113),(47 50985.363),(48 49874.766),(49 50563.438),(50 49967.79),(51 50105.895),(52 49321.895),(53 50073.914),(54 49839.355),(55 51428.19),(56 51290.063),(57 52131.727),(58 51635.34),(59 52191.453),(60 52338.24),(61 53252.348),(62 52805.797),(63 53148.05),(64 52820.62),(65 53791.8),(66 53020.98),(67 53471.75),(68 52909.207),(69 52443.766),(70 51619.477),(71 52972.42),(72 52592.16),(73 52775.4),(74 52186.215),(75 53802.203),(76 52943.047),(77 52965.91),(78 52101.055),(79 52332.42),
(1 11201.848),(2 20663.12),(3 28085.771),(4 30485.428),(5 33305.203),(6 35006.504),(7 38070.1),(8 38214.945),(9 40240.816),(10 40801.566),(11 42012.914),(12 42060.164),(13 43353.99),(14 42875.492),(15 44416.78),(16 43333.17),(17 45121.355),(18 44764.023),(19 45830.36),(20 45583.363),(21 47431.746),(22 47566.363),(23 47404.758),(24 45946.895),(25 47526.41),(26 47943.46),(27 48763.734),(28 48140.668),(29 49550.344),(30 49324.195),(31 50824.77),(32 49328.582),(33 50570.49),(34 50893.18),(35 51854.266),(36 50920.266),(37 51475.652),(38 50644.652),(39 51864.395),(40 51567.73),(41 51754.05),(42 50032.816),(43 49739.73),(44 50032.4),(45 52242.848),(46 53055.94),(47 54213.55),(48 53051.84),(49 53743.895),(50 53144.438),(51 54033.406),(52 53067.867),(53 54193.22),(54 54012.51),(55 54897.855),(56 54186.445),(57 55858.383),(58 55312.875),(59 56322.88),(60 55723.844),(61 56132.063),(62 55388.9),(63 55662.715),(64 54149.97),(65 54988.49),(66 54297.242),(67 54936.715),(68 53689.71),(69 53774.49),(70 52870.18),(71 53967.66),(72 53486.234),(73 54603.914),(74 53906.34),(75 55379.844),(76 53962.12),(77 53946.227),(78 53111.355),(79 54266.13),
(1 11796.293),(2 22434.863),(3 29395.336),(4 32214.496),(5 34290.03),(6 34804.89),(7 37428.4),(8 38008.516),(9 39447.21),(10 39509.742),(11 40385.4),(12 40882.395),(13 42495.93),(14 42693.51),(15 43904.477),(16 42802.523),(17 43521.043),(18 43123),(19 44557.82),(20 44199.46),(21 45801.19),(22 45902.625),(23 46610.367),(24 46260.38),(25 47433.824),(26 47831.355),(27 48804.996),(28 48281.234),(29 48339.098),(30 47287.164),(31 48312.992),(32 46918.945),(33 48031.55),(34 47886.316),(35 48940.184),(36 48589.96),(37 48741.35),(38 48214.47),(39 49002.184),(40 47944.953),(41 48097.168),(42 46936.613),(43 47291.67),(44 47662.5),(45 49527.563),(46 50267.082),(47 51370.65),(48 49930.105),(49 49644.617),(50 48387.813),(51 49871.234),(52 50015.04),(53 50963.656),(54 50413.508),(55 51218.727),(56 50952.414),(57 51999.43),(58 51420.875),(59 52645.797),(60 51918.504),(61 52656.184),(62 52545.14),(63 53512.258),(64 52476.215),(65 53072.543),(66 52854.12),(67 53751.016),(68 52648.266),(69 52317.31),(70 51381.434),(71 52202.582),(72 51917.957),(73 52943.785),(74 53396.32),(75 54604.016),(76 52450.164),(77 52495.54),(78 51400.742),(79 52680.98),
(1 12242.972),(2 22939.97),(3 30387.805),(4 33300.42),(5 35504.91),(6 35913.76),(7 38396.613),(8 38591.965),(9 40209.984),(10 40570.816),(11 41468.27),(12 41149.77),(13 42380.703),(14 42238.605),(15 43215.24),(16 42353.227),(17 43254.727),(18 43156.61),(19 44221.324),(20 43614.87),(21 44937.17),(22 44286.773),(23 45210.664),(24 44712.75),(25 45192.652),(26 44746.445),(27 46448.48),(28 45606.527),(29 45991.516),(30 45460.426),(31 46550.426),(32 44903.375),(33 46256.066),(34 46351.176),(35 47804.87),(36 47692.066),(37 49073.58),(38 48914.836),(39 50297.414),(40 49257.977),(41 49802.145),(42 48041.723),(43 48364.43),(44 48153.023),(45 49843.582),(46 50277.434),(47 50572.28),(48 48669.84),(49 48663.73),(50 48377.46),(51 49493.605),(52 48690.797),(53 48803.035),(54 47831.53),(55 48491.895),(56 47875.676),(57 49535.742),(58 49767.227),(59 50846.527),(60 49708.086),(61 50102.688),(62 49454.47),(63 51013),(64 50471.797),(65 51618.223),(66 50669.555),(67 50632.11),(68 49128.4),(69 49267.875),(70 48751.914),(71 50172.855),(72 49587.965),(73 51224.32),(74 51419.39),(75 52620.457),(76 52018.164),(77 52829.273),(78 51563.008),(79 51747.56),
(1 12256.972),(2 22699.879),(3 29904.12),(4 31645.45),(5 33914.57),(6 34759.063),(7 37786.184),(8 37878.66),(9 39608.14),(10 39778.01),(11 40931.426),(12 40925.26),(13 42022.504),(14 41247.516),(15 42502.535),(16 41537.777),(17 41985.816),(18 41717.7),(19 42944.863),(20 42585.492),(21 43602.617),(22 43099.133),(23 43902.742),(24 42903.082),(25 43596.832),(26 43295.297),(27 44881.83),(28 45024.926),(29 45505.707),(30 45316.68),(31 46220.7),(32 44600.605),(33 45055.4),(34 45092.113),(35 46336.746),(36 46786.7),(37 48001.973),(38 47593.668),(39 48098.76),(40 46690.742),(41 47423.086),(42 46591.832),(43 47339.066),(44 47348.12),(45 48469.508),(46 48100.375),(47 48430.223),(48 46932.617),(49 47353.367),(50 47228.105),(51 47999.633),(52 46475.816),(53 46239.914),(54 45354.45),(55 46405.62),(56 45948.348),(57 47057.08),(58 47132.676),(59 48008.504),(60 47226.77),(61 47892.477),(62 47497.242),(63 48466.316),(64 47790.465),(65 49271.54),(66 48804.9),(67 49570.223),(68 48513.457),(69 48575.98),(70 47298.41),(71 48167.13),(72 46872.715),(73 47639.94),(74 47686.05),(75 49499.402),(76 48243.195),(77 48329.215),(78 46377.047),(79 46765.02),
(1 11715.608),(2 21152.623),(3 27731.06),(4 29749.008),(5 32584.795),(6 33721.574),(7 36087.344),(8 35903.07),(9 37897.87),(10 38249.555),(11 40319.76),(12 39731.85),(13 40801.12),(14 40512.57),(15 41933.992),(16 40180.45),(17 39880.56),(18 39243.65),(19 40490.035),(20 40423.12),(21 41932.37),(22 41133.22),(23 42070.29),(24 41268.703),(25 42780.676),(26 43124.17),(27 44358.668),(28 43553.37),(29 44577.023),(30 44689.32),(31 45412.473),(32 43347.066),(33 44318.61),(34 44679.17),(35 46189.258),(36 45912.22),(37 46557.29),(38 45531.035),(39 45550.414),(40 44445.613),(41 45391.35),(42 44204.836),(43 44301.5),(44 44304.684),(45 46314.703),(46 46271.31),(47 47120.652),(48 45701.33),(49 46940.016),(50 46955.145),(51 48118.105),(52 47353.066),(53 48531.98),(54 47941.1),(55 48600.563),(56 47449.48),(57 48490.613),(58 48009.258),(59 48782.703),(60 48047.777),(61 48776.82),(62 48106.504),(63 48632.027),(64 47305.965),(65 48277.035),(66 47340.805),(67 47855.137),(68 46476.98),(69 46901.813),(70 46111.617),(71 47173.895),(72 46165.11),(73 46997.957),(74 46078.008),(75 46981.88),(76 45277),(77 45761.484),(78 44934.285),(79 45760.016),
