1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64354),(2 199728.61),(3 424289.9),(4 737001.3),(5 1125724),(6 1600681.6),(7 2175078.8),(8 2790770.3),(9 3467397),(10 4199146.5),(11 4962874.5),(12 5775506.5),(13 6652462.5),(14 7617696),(15 8604471),(16 9692388),(17 10807944),(18 12084757),(19 13447115),(20 14974432),(21 16711649),(22 18523774),(23 20518132),(24 22544632),(25 24436864),(26 26307038),(27 27960554),(28 29690142),(29 31373848),(30 33035098),(31 34691824),(32 36527916),(33 38461810),(34 40404820),(35 42368292),(36 44424644),(37 46489988),(38 48772124),(39 50859892),(40 52835180),(41 54762076),(42 56564464),(43 58237724),(44 59693852),(45 60969940),(46 62310656),(47 63582188),(48 65160780),(49 66881744),(50 68539770),(51 70675896),(52 72774616),(53 74787240),(54 77025590),(55 79061150),(56 81022920),(57 82801544),(58 84949896),(59 86904790),(60 88843280),(61 90723416),(62 92584900),(63 94337210),(64 96092930),(65 98047320),(66 100092936),(67 102243110),(68 104567130),(69 106607944),(70 108765180),(71 111103360),(72 113407670),(73 115478720),(74 117871544),(75 120266300),(76 122755080),(77 125287464),(78 128245560),(79 131177690),
(1 24677.105),(2 60133.516),(3 77716.63),(4 78333.664),(5 78544.89),(6 84797.95),(7 92344.46),(8 96284.27),(9 97447.56),(10 98500.73),(11 103009.27),(12 108223.875),(13 111315.81),(14 113952.28),(15 117162.22),(16 119219.54),(17 120369.92),(18 121908.22),(19 125291.09),(20 128554.11),(21 130318.18),(22 133242.9),(23 137343.22),(24 142424.75),(25 147972.55),(26 152381.67),(27 154097.8),(28 155207.97),(29 158493.2),(30 161180.36),(31 163200.52),(32 162652.25),(33 163146.7),(34 162585.89),(35 162856.36),(36 165260.98),(37 167543.58),(38 166918.38),(39 165813.52),(40 164857.64),(41 163653.5),(42 162408.11),(43 162397.64),(44 163453.67),(45 164849.7),(46 165911.06),(47 165540.66),(48 164994.58),(49 165794.22),(50 165353.11),(51 164280.69),(52 162053.17),(53 159811.73),(54 161000.5),(55 161813.7),(56 162154.33),(57 162503.67),(58 164482.8),(59 167220.34),(60 169383.88),(61 170052.64),(62 172184.36),(63 172132.47),(64 171645.58),(65 171439.4),(66 171933.61),(67 172030.69),(68 170258.19),(69 169347.69),(70 167302.86),(71 167284.97),(72 169271.86),(73 172060.34),(74 173172.6),(75 172742.11),(76 171626.83),(77 168565.77),(78 167708.23),(79 165006.22),
(1 25680.979),(2 61309.45),(3 77113.57),(4 77783.92),(5 78239.65),(6 84371.36),(7 92779),(8 97849.305),(9 98258.2),(10 97496.83),(11 99920.125),(12 105778.47),(13 109520.72),(14 111683.89),(15 113762.32),(16 115453.13),(17 115708.74),(18 118094.25),(19 121764.23),(20 124591.19),(21 125216.016),(22 127828.53),(23 132167.14),(24 136236.34),(25 139446.67),(26 143558.9),(27 145990.55),(28 146403.14),(29 147575.52),(30 148757.97),(31 149265.95),(32 150464.53),(33 153806.02),(34 155439.36),(35 157349.44),(36 159001.31),(37 160232.19),(38 159216.98),(39 159030.63),(40 159092.48),(41 159127.19),(42 159995.3),(43 162225.8),(44 163209.11),(45 163387.53),(46 163242.75),(47 162048.22),(48 162271.72),(49 165570.3),(50 168029.16),(51 168655.14),(52 167954.89),(53 167245.47),(54 167234.23),(55 168053.63),(56 168913.73),(57 170490.05),(58 172459.58),(59 173695.67),(60 172961.89),(61 172283.1),(62 174041.16),(63 174944.02),(64 173058.39),(65 171023.75),(66 170836.5),(67 170959.94),(68 169896.13),(69 169617.75),(70 168312.36),(71 167340.88),(72 167188.3),(73 167803.52),(74 168586.63),(75 168881.44),(76 167299.67),(77 162381.25),(78 161670.53),(79 161877.05),
(1 25209.52),(2 59431.867),(3 75427.49),(4 77488.83),(5 79830.266),(6 86068.71),(7 92778.555),(8 96230.125),(9 97846.68),(10 99836.13),(11 104569.22),(12 109417.08),(13 112930.36),(14 115567.516),(15 118079.66),(16 118847.02),(17 118641.06),(18 119837.04),(19 122927.64),(20 125232.37),(21 125761.25),(22 128104.03),(23 131715.44),(24 135918.2),(25 139347.92),(26 142619.84),(27 144075.14),(28 146615.53),(29 147684.67),(30 150007.48),(31 152019.75),(32 153326.78),(33 155425.38),(34 157279.64),(35 157573.03),(36 155727.47),(37 153971.39),(38 154751.19),(39 157590.45),(40 158501.14),(41 158338.8),(42 159243.47),(43 161110.4),(44 161885.08),(45 159588.14),(46 157396.81),(47 155891),(48 156257.45),(49 157713.25),(50 160790.16),(51 160425.25),(52 158981.2),(53 159267.11),(54 160212.03),(55 159945.97),(56 160266.03),(57 163107.23),(58 165327.95),(59 166640.45),(60 167113.61),(61 168326.52),(62 169498.53),(63 170907.6),(64 171609.6),(65 171800.53),(66 172196.16),(67 174117.48),(68 174355.9),(69 171650.9),(70 168208.67),(71 165496.7),(72 164111.97),(73 163062.66),(74 164256.5),(75 165647.78),(76 164298.27),(77 162045.6),(78 162737.81),(79 162058.77),
(1 23532.537),(2 55013.875),(3 69542.83),(4 71687.94),(5 75417.79),(6 82210.93),(7 87503.7),(8 90671.98),(9 92274.94),(10 94128.36),(11 99078.914),(12 103266.445),(13 105392.67),(14 107013.766),(15 110003.89),(16 112569.125),(17 113469.59),(18 116463.13),(19 119725.836),(20 120712.58),(21 121502.68),(22 123977.27),(23 126688.37),(24 132009.78),(25 136752.95),(26 138530.13),(27 140968.3),(28 142648.31),(29 144031.34),(30 148225.63),(31 154192.14),(32 159784.75),(33 164953.42),(34 167390.03),(35 168190.38),(36 168672.72),(37 169424.9),(38 171099.02),(39 171665.2),(40 171152.78),(41 171280.83),(42 173206.64),(43 174091.39),(44 172567.73),(45 169309.48),(46 167555.83),(47 168750.7),(48 169670.4),(49 168945.86),(50 165949.25),(51 164835.44),(52 164792.13),(53 165324.06),(54 166346.72),(55 163826.97),(56 163314.11),(57 164182.6),(58 165678.31),(59 167280.08),(60 170623.28),(61 172616.25),(62 175111.44),(63 174762.5),(64 172916.28),(65 171732.45),(66 173672.27),(67 174300),(68 172571.7),(69 169410.72),(70 168002.42),(71 167346.64),(72 166973.72),(73 166829.36),(74 166793.1),(75 166375.75),(76 164443),(77 160574.78),(78 159721.78),(79 157626.52),
(1 22716.922),(2 52003),(3 64691.496),(4 67296.35),(5 70399.74),(6 76316.93),(7 81520.82),(8 83625.83),(9 86706.97),(10 90104.68),(11 92914.29),(12 94477.75),(13 96184.836),(14 98464.81),(15 100171.73),(16 101116.96),(17 102224.88),(18 104027.414),(19 105104.78),(20 105965.875),(21 108833.37),(22 112231.07),(23 114344.266),(24 116088.445),(25 118663.69),(26 121593.35),(27 124870.055),(28 127420.234),(29 128728.805),(30 132500.13),(31 137302.38),(32 140869.03),(33 144404.5),(34 146500.08),(35 147851.28),(36 148508.78),(37 149261.31),(38 149991.22),(39 149020.97),(40 146888.47),(41 146170.73),(42 147482.9),(43 148756.33),(44 147626),(45 146325.56),(46 145507.17),(47 144330.28),(48 144687.78),(49 145857.23),(50 145203.5),(51 144329.69),(52 142895.39),(53 142077.98),(54 140738.89),(55 140613.17),(56 142695.2),(57 144418.83),(58 144917.42),(59 144290.11),(60 145372.78),(61 148965.73),(62 151225.92),(63 152856.08),(64 152834.27),(65 153304.23),(66 154073.92),(67 154685.4),(68 154164.34),(69 154837.1),(70 154228.25),(71 153580.56),(72 152842.06),(73 151063.61),(74 148589.53),(75 146336.1),(76 144096.81),(77 142203.3),(78 142961.84),(79 143046.52),
(1 21486.926),(2 48826.297),(3 60028.008),(4 62123.3),(5 67088.914),(6 74155.28),(7 79257.77),(8 81352.28),(9 82828.766),(10 86435.266),(11 90536.37),(12 91965.3),(13 92477.164),(14 94323.34),(15 96558.85),(16 98461.88),(17 100423.85),(18 102870.625),(19 104569.79),(20 108127.2),(21 111382.05),(22 114229.1),(23 117046.445),(24 119502.43),(25 121440.8),(26 123311.51),(27 127884.73),(28 132181.61),(29 133676.56),(30 135655.27),(31 139193.36),(32 141763.84),(33 144800.88),(34 148663.38),(35 150772.81),(36 151085.8),(37 150048.42),(38 148919.48),(39 149009.66),(40 147661.52),(41 145891.52),(42 146228.33),(43 147737.14),(44 147592.6),(45 146127.28),(46 144688.86),(47 144723.42),(48 144778.97),(49 144748.2),(50 145163.67),(51 143788.39),(52 142317.48),(53 142510.95),(54 143179.47),(55 143466.17),(56 146070.28),(57 148316.55),(58 148005.13),(59 146703.72),(60 146361.84),(61 148451.36),(62 151492.81),(63 151866.81),(64 148823.55),(65 146704.58),(66 146580.52),(67 146682.45),(68 145963.66),(69 145881.88),(70 143967.23),(71 141099.36),(72 139838.38),(73 139621),(74 139180.86),(75 137936.77),(76 136619.08),(77 134077.14),(78 134874.58),(79 136036.2),
(1 21316.533),(2 49034.38),(3 60004.11),(4 61565.883),(5 66825.266),(6 74836.09),(7 79732.69),(8 81737.88),(9 84627.73),(10 87550.98),(11 90706.59),(12 92767.41),(13 93844.33),(14 95559.914),(15 99057.02),(16 102941.24),(17 105527.695),(18 108044.07),(19 110321.59),(20 112298.336),(21 114208.47),(22 116382.97),(23 119697.766),(24 121749.03),(25 124479.58),(26 129662.75),(27 134324.03),(28 136383.94),(29 136447.03),(30 136934.17),(31 138092.13),(32 139644.2),(33 140291.02),(34 140813.16),(35 142793.81),(36 143827.02),(37 142768.8),(38 142531.2),(39 144084.02),(40 144198.44),(41 143995.2),(42 142519.63),(43 141911.33),(44 142199.05),(45 141978.45),(46 141952.4),(47 141945.23),(48 142030.98),(49 141979.33),(50 141794.11),(51 142907.83),(52 142524.66),(53 142022.92),(54 142646.1),(55 143448.39),(56 145879.33),(57 145523.39),(58 143453.19),(59 141837.16),(60 140231.95),(61 139650.19),(62 139690.53),(63 139233.7),(64 137559.9),(65 135010.55),(66 134050.31),(67 135348.7),(68 136970.58),(69 138454.6),(70 136586.83),(71 135167.16),(72 135195.1),(73 135344.8),(74 134772.3),(75 133799.33),(76 132954.45),(77 132594.58),(78 133538.05),(79 133611.38),
(1 20625.266),(2 46819.742),(3 58172.066),(4 61840.83),(5 66745.25),(6 72389.24),(7 76432.89),(8 78417.17),(9 81800.41),(10 84928.77),(11 88745.88),(12 92124.19),(13 93285.91),(14 94725.9),(15 97180.31),(16 98432.34),(17 98736.28),(18 99975.67),(19 101133.84),(20 102032.96),(21 103697.59),(22 105853.055),(23 107059.76),(24 108251.61),(25 110752.805),(26 112407.08),(27 116274.6),(28 118409.44),(29 120088.92),(30 123552.16),(31 127417.44),(32 128634.43),(33 128806.375),(34 129453.984),(35 131441.16),(36 133428.13),(37 132871.3),(38 131508.73),(39 133027.08),(40 135258.8),(41 136460.75),(42 136789.9),(43 135293.5),(44 134696.89),(45 134360.05),(46 133436.89),(47 132441.45),(48 131052.03),(49 129559.84),(50 128382.086),(51 128099.88),(52 128632.2),(53 128988.516),(54 130706.63),(55 131325.34),(56 130002.33),(57 127618.13),(58 125670.89),(59 126918.41),(60 128396.69),(61 129412.82),(62 129866.98),(63 129835.02),(64 128892.086),(65 128096.69),(66 128468.36),(67 129834.77),(68 130974.016),(69 130658.94),(70 129072.49),(71 128071.66),(72 127778.766),(73 126323.11),(74 125587.84),(75 123733.59),(76 121288.65),(77 118746.03),(78 119031.234),(79 118455.41),
(1 19104.305),(2 41857.36),(3 50612.92),(4 53111.49),(5 57439.445),(6 64048.88),(7 68318.39),(8 71594.36),(9 72700.055),(10 74829.05),(11 76275.16),(12 78919.09),(13 81143.45),(14 83063.44),(15 86145.51),(16 87645.695),(17 90092.87),(18 94048.02),(19 95774.86),(20 96902.93),(21 99739.336),(22 103864.6),(23 106708.68),(24 108936.33),(25 111046.25),(26 114910.32),(27 116444.67),(28 117032.05),(29 118031),(30 121611.984),(31 126716.59),(32 129205.21),(33 129273.38),(34 128564.94),(35 128976.95),(36 129622.41),(37 130388.14),(38 129419.06),(39 129100.375),(40 130186.305),(41 130585.38),(42 129512.41),(43 129507.57),(44 129104.375),(45 127623.984),(46 126698.62),(47 125237.01),(48 124863.41),(49 125143.86),(50 123690.12),(51 122746.79),(52 122648.34),(53 123871.11),(54 125264.56),(55 125712.62),(56 126287.81),(57 126346),(58 125611.71),(59 124976.32),(60 125047.64),(61 124811.8),(62 123670.65),(63 122293.73),(64 121068.34),(65 120749.86),(66 119902.63),(67 118868.2),(68 117946.73),(69 119584.15),(70 119736.836),(71 118762.555),(72 116922.72),(73 115279.99),(74 112971.86),(75 111408.664),(76 112359.336),(77 112927.86),(78 112442.414),(79 111480.766),
(1 19050.076),(2 41811.707),(3 50811.754),(4 53689.24),(5 58415.605),(6 63485.97),(7 66646.07),(8 68590.1),(9 71390.195),(10 74502.516),(11 77318.5),(12 79678.31),(13 82000.87),(14 85281.87),(15 89038.914),(16 90413.68),(17 91949.95),(18 94722.445),(19 97141.28),(20 99299.31),(21 102045.76),(22 103202.79),(23 103411.47),(24 103751.15),(25 106031.01),(26 108294.45),(27 110926.52),(28 111227.914),(29 111235.15),(30 111931.57),(31 113522.85),(32 116462.586),(33 120466.15),(34 122627.45),(35 121910.36),(36 120918.39),(37 120837.66),(38 119869.25),(39 119483.16),(40 120074.47),(41 119361.586),(42 118648.72),(43 118298.734),(44 118447.48),(45 120431.78),(46 121238.71),(47 121718.03),(48 122024.51),(49 122979.516),(50 124348.055),(51 124775.13),(52 123967.22),(53 125036.73),(54 125867.9),(55 125035.82),(56 124854.23),(57 125137.086),(58 126644.75),(59 125076.46),(60 122912.35),(61 122099.79),(62 123591.336),(63 124681.836),(64 124285.125),(65 123349.53),(66 122395.39),(67 121223.18),(68 119410.875),(69 118901.836),(70 117878.91),(71 117617.64),(72 118466.73),(73 118477.67),(74 116690.54),(75 114250.26),(76 111622.4),(77 110021.74),(78 110152.08),(79 108799.3),
(1 19024.145),(2 41170.848),(3 50191.89),(4 53402.07),(5 58381.08),(6 63969.688),(7 66748.06),(8 68091.09),(9 70305.85),(10 72678.22),(11 75774.805),(12 78519.76),(13 79859.234),(14 81382.61),(15 83921.484),(16 85511.4),(17 87452.92),(18 89546.83),(19 91226.27),(20 93686.11),(21 98074.4),(22 100537.37),(23 102193.74),(24 104565.17),(25 106929.17),(26 108428.66),(27 109341.45),(28 111225.15),(29 112332.77),(30 114302.42),(31 115976.016),(32 116914.02),(33 119394.16),(34 120738.836),(35 121153.44),(36 123682.34),(37 126697.82),(38 127078.76),(39 127026.52),(40 126445.82),(41 125171.414),(42 124136.42),(43 123659.125),(44 123088.8),(45 121984.13),(46 120810.21),(47 118180.04),(48 116473.53),(49 116167.44),(50 116349.5),(51 115722.66),(52 115345.71),(53 115341.67),(54 115246.29),(55 115653.03),(56 118323.28),(57 121371.125),(58 121541.984),(59 120886.16),(60 121073.36),(61 121767.03),(62 122267.766),(63 121424.6),(64 120681.53),(65 120284.76),(66 118367.805),(67 117318.16),(68 117165.805),(69 116981.9),(70 117598.82),(71 117521.82),(72 116227.414),(73 114525.05),(74 114455.86),(75 113791.59),(76 112817.18),(77 110462.625),(78 110568.68),(79 110565.24),
(1 19574.135),(2 42663.38),(3 51673.35),(4 53718.336),(5 57129.953),(6 61706.207),(7 66065.64),(8 68715.88),(9 70067.45),(10 71119.88),(11 72312.62),(12 73738.195),(13 74033.695),(14 74802.75),(15 77411.375),(16 79787.2),(17 81518.45),(18 83063.305),(19 83727.66),(20 86307.12),(21 90094.16),(22 92387.6),(23 92988.45),(24 94493.055),(25 97678.56),(26 98968.96),(27 99413.49),(28 102447.32),(29 106118.26),(30 108356.44),(31 109205.016),(32 110393.555),(33 113184.67),(34 114117.2),(35 112929.64),(36 113837.69),(37 114935.98),(38 113592.18),(39 113769.49),(40 115606.78),(41 117674.78),(42 119562.016),(43 118253.75),(44 116408.81),(45 115219.234),(46 115290.945),(47 115102.3),(48 115848.19),(49 116090.266),(50 114495.12),(51 114016.03),(52 115262.2),(53 115348.64),(54 114929.15),(55 115423.53),(56 117627.67),(57 120732.26),(58 121396.26),(59 119752.88),(60 118002.75),(61 116172.83),(62 115557.58),(63 114319.61),(64 114019.375),(65 114256.52),(66 113661.42),(67 112553.25),(68 112629.64),(69 114480.64),(70 113401.58),(71 111636.875),(72 109880.96),(73 108364.78),(74 106239.76),(75 105034.14),(76 105096.055),(77 102943.914),(78 102632.5),(79 103065.164),
(1 18793.35),(2 40034.14),(3 48149.527),(4 50876.04),(5 54804.47),(6 59997.047),(7 64686.74),(8 66312.32),(9 68034.75),(10 69620.71),(11 71266.76),(12 73536.79),(13 74815.59),(14 76764.62),(15 79736.945),(16 81680.32),(17 82914.016),(18 84159.15),(19 85231.56),(20 87341.56),(21 89394.59),(22 91220.86),(23 93069.51),(24 95573),(25 99190.664),(26 99812.29),(27 100420.46),(28 104546.31),(29 108234.164),(30 111386.45),(31 112757.82),(32 114370.74),(33 117881.32),(34 120323.445),(35 121358.92),(36 122509.516),(37 122112.11),(38 120617.5),(39 119810.484),(40 119667.91),(41 121714.72),(42 121749.03),(43 120386.414),(44 119343.19),(45 120011.21),(46 120448.97),(47 119696.11),(48 119462.32),(49 118900.055),(50 118267.695),(51 119578.34),(52 119666.11),(53 118382.8),(54 117595.89),(55 117417.89),(56 117857.15),(57 118713.24),(58 118893.31),(59 119057.3),(60 118665.17),(61 117994.61),(62 119376.914),(63 120018.47),(64 120332.77),(65 119539.82),(66 117871.26),(67 116255.26),(68 115371.85),(69 115996.72),(70 114843.25),(71 112646.75),(72 110135.484),(73 107280.92),(74 105422.17),(75 105619.67),(76 106004.56),(77 104723.11),(78 103798.76),(79 103070.39),
(1 18655.547),(2 39635.785),(3 46904.79),(4 48938.098),(5 53541.953),(6 58290.22),(7 61196.19),(8 62799.41),(9 63833.816),(10 65402.535),(11 67441.93),(12 69088.14),(13 69897.36),(14 71066.87),(15 73418.914),(16 75382.34),(17 77670.39),(18 79838.82),(19 81563.22),(20 84860.4),(21 86214.9),(22 86531.82),(23 87557.37),(24 90711.8),(25 94674.195),(26 95156.875),(27 96037.01),(28 98349.95),(29 100197.47),(30 101646.84),(31 103338.56),(32 105033.586),(33 107583.875),(34 108316.25),(35 107807.31),(36 107842.266),(37 107619.055),(38 107371.48),(39 107453.34),(40 107560.164),(41 107780.51),(42 108286.29),(43 108286.91),(44 108489.85),(45 108314.47),(46 108636.695),(47 109384.695),(48 110600.58),(49 111792.016),(50 112138.484),(51 113694.34),(52 114518.875),(53 113552.88),(54 112956.82),(55 113626.35),(56 115669.234),(57 118178.26),(58 118313.47),(59 117048.03),(60 115474.414),(61 114298.09),(62 114885.91),(63 115930.73),(64 116266.984),(65 116457.56),(66 116589.36),(67 115904.31),(68 114177.89),(69 114251.14),(70 113984.86),(71 113336.25),(72 110928.14),(73 108483.34),(74 105976.836),(75 104411.31),(76 104408.06),(77 103392.85),(78 103163.44),(79 102337.195),
(1 18422.734),(2 38955.406),(3 46131.01),(4 49022.023),(5 52889.797),(6 56973.438),(7 60872.523),(8 62548.355),(9 64886.7),(10 68639.77),(11 72265.93),(12 74422.22),(13 75281.88),(14 76236.13),(15 77760.62),(16 79661.76),(17 82911.43),(18 85577.12),(19 87380.2),(20 90962.37),(21 93431.195),(22 94105.24),(23 94433.19),(24 95296.016),(25 97702.97),(26 99875.56),(27 102432.66),(28 105390.836),(29 107227.92),(30 108694.02),(31 111493.086),(32 113719.78),(33 116474.92),(34 118940.81),(35 119030.64),(36 118823.14),(37 120525.984),(38 122374.016),(39 123432.445),(40 123658.734),(41 123206.766),(42 122033.05),(43 122186.38),(44 123554.016),(45 124217.1),(46 123361.445),(47 122532.055),(48 122433.59),(49 123019.65),(50 124624.625),(51 124691.67),(52 123212.98),(53 123292.625),(54 124461.54),(55 123902.6),(56 123439.03),(57 122620),(58 122534.13),(59 122016.86),(60 121845.875),(61 120915.19),(62 119505.195),(63 119166.555),(64 119096.46),(65 119626.27),(66 119555.945),(67 117822.83),(68 115928.24),(69 115948.2),(70 114341.96),(71 112087.24),(72 111208.34),(73 111769.98),(74 111384.47),(75 110175.17),(76 109834.4),(77 108961.01),(78 108840.06),(79 108754.77),
(1 18328.932),(2 37391.25),(3 43721.066),(4 46289.355),(5 50093.703),(6 54952.656),(7 58546.414),(8 61178.547),(9 64691.477),(10 68852.94),(11 71335.984),(12 73145.45),(13 74921.305),(14 76979.836),(15 79058.91),(16 80198.37),(17 82333.016),(18 84791.8),(19 86237.74),(20 88342.38),(21 90229.24),(22 91921.44),(23 94348.695),(24 96921.02),(25 98867.16),(26 100110.836),(27 101607.47),(28 104129.56),(29 106760.234),(30 107868.836),(31 109095.82),(32 110791.92),(33 113891.34),(34 116331.2),(35 117592.39),(36 117632.06),(37 117375.72),(38 117158.54),(39 117976.336),(40 118235.086),(41 117671.38),(42 116482.1),(43 115811.945),(44 116076.61),(45 117232.06),(46 117830.195),(47 117671.28),(48 117135.055),(49 117713.82),(50 118384.164),(51 118535.23),(52 117539.69),(53 116981.61),(54 117473.03),(55 118201.445),(56 118541.625),(57 118584.36),(58 118568.32),(59 118076.195),(60 116917.43),(61 115812.1),(62 115474.06),(63 113777.9),(64 110950.14),(65 109598.28),(66 108114.14),(67 106672.77),(68 105467.52),(69 106143.73),(70 105114.57),(71 103607.63),(72 102507.37),(73 102177.52),(74 102312.76),(75 102166.61),(76 101567.91),(77 100816.71),(78 100499.15),(79 99957.52),
(1 19222.84),(2 39222.508),(3 45511.918),(4 47269.043),(5 51370.69),(6 56704.836),(7 61033.617),(8 62710.117),(9 66142.016),(10 70587.766),(11 73587.33),(12 74789.38),(13 76010.414),(14 77105.42),(15 79417.305),(16 81260.95),(17 83754.05),(18 87325.25),(19 90070.414),(20 92205.39),(21 92570.26),(22 92968.27),(23 94210.61),(24 95856.63),(25 97369.12),(26 100021.49),(27 102362.73),(28 105724.86),(29 109799.49),(30 111390.086),(31 113367.28),(32 115055.97),(33 116376.45),(34 116694.03),(35 117862.63),(36 118014.945),(37 117598.38),(38 117293.93),(39 118135.63),(40 118843.164),(41 119104.984),(42 118280.74),(43 117888.64),(44 118461.2),(45 120313.27),(46 120948.016),(47 119079.04),(48 117894.766),(49 118691.37),(50 119461),(51 120189.58),(52 120632.836),(53 122013.49),(54 121836.58),(55 119969.914),(56 119674.75),(57 120039.195),(58 119599.36),(59 119079.78),(60 118815.305),(61 118448.6),(62 118668.695),(63 117435.09),(64 116113),(65 115761.49),(66 114292.805),(67 112641.31),(68 111378.71),(69 110106.38),(70 108995.16),(71 106876.74),(72 104195.086),(73 102784.45),(74 101837.65),(75 100903.58),(76 100955.28),(77 99983.664),(78 101190.91),(79 101145.93),
(1 18507.387),(2 37869.79),(3 43638.35),(4 45753.17),(5 48813.62),(6 52739.086),(7 56074.97),(8 58345.215),(9 61130.75),(10 64409.75),(11 66492.42),(12 68532.1),(13 70420.43),(14 72334.49),(15 75586.695),(16 77729.22),(17 78495.58),(18 79190.09),(19 80631.22),(20 83732.016),(21 85434.77),(22 85171.445),(23 85888.82),(24 87876.875),(25 90339.766),(26 92660.75),(27 94730.67),(28 97396.375),(29 99584.44),(30 102408.58),(31 103486.734),(32 104002.06),(33 105147.5),(34 105731.85),(35 106592.97),(36 107067.83),(37 106462.43),(38 105577.7),(39 104998.07),(40 105165.54),(41 104131.984),(42 102737.07),(43 102105.07),(44 102056.48),(45 101929.25),(46 101757.26),(47 101167.1),(48 101373.72),(49 100912.62),(50 101357.53),(51 103220.21),(52 105484.9),(53 105592.516),(54 105947.46),(55 105088.86),(56 105076.234),(57 105437.625),(58 104355.15),(59 102630.09),(60 103168.49),(61 104706.97),(62 104422.97),(63 104173.02),(64 103684.12),(65 102914.71),(66 102469.98),(67 101460.73),(68 99079.875),(69 97626.25),(70 96766.016),(71 96300.22),(72 95194.9),(73 93829.58),(74 91906.336),(75 89965.55),(76 89618.18),(77 88659.9),(78 89475.92),(79 89514.71),
