1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42611.33),(2 152481.08),(3 331447),(4 570750.44),(5 862734.5),(6 1199642.3),(7 1589821.4),(8 2037098.5),(9 2439309.8),(10 2834958.8),(11 3215639),(12 3587766),(13 3956514),(14 4282105.5),(15 4581404.5),(16 4857129.5),(17 5098765.5),(18 5360585.5),(19 5612566.5),(20 5864004.5),(21 6120026.5),(22 6366212),(23 6628169.5),(24 6855410.5),(25 7058902),(26 7238155.5),(27 7412186),(28 7543448),(29 7632901.5),(30 7714183.5),(31 7821576.5),(32 7912129.5),(33 7990794),(34 8056834.5),(35 8110555.5),(36 8182371.5),(37 8265905.5),(38 8378173.5),(39 8484129),(40 8576789),(41 8663435),(42 8749552),(43 8837339),(44 8921824),(45 9019118),(46 9125651),(47 9261045),(48 9385691),(49 9479891),(50 9590031),(51 9709287),(52 9815499),(53 9935544),(54 10063925),(55 10182703),(56 10294311),(57 10388243),(58 10445551),(59 10466478),(60 10460636),(61 10476990),(62 10499401),(63 10553481),(64 10593099),(65 10641004),(66 10671091),(67 10698131),(68 10694245),(69 10675788),(70 10644111),(71 10623083),(72 10589457),(73 10507450),(74 10391472),(75 10261127),(76 10076737),(77 9880427),(78 9657988),(79 9483186),
(1 5890.4),(2 11123.296),(3 14896.333),(4 16139.288),(5 18127.262),(6 18734.807),(7 19930.463),(8 19662.605),(9 20519.998),(10 20479.096),(11 21414.822),(12 21027.299),(13 21573.396),(14 21423.523),(15 22252.738),(16 21398.453),(17 21807.273),(18 21750.523),(19 22344.932),(20 22166.797),(21 22878.992),(22 22491.934),(23 22980.893),(24 22651.27),(25 23415.938),(26 22973.322),(27 23010.375),(28 22489.457),(29 22899.008),(30 22546.646),(31 22601.053),(32 22322.295),(33 23042.43),(34 22985.232),(35 23461.844),(36 23195.252),(37 23702.736),(38 23811.686),(39 24117.133),(40 23359.992),(41 23706.848),(42 23303.162),(43 24367.23),(44 24157.04),(45 24484.842),(46 23908.287),(47 24094.16),(48 23936.953),(49 24413.281),(50 24068.082),(51 24722.309),(52 24512.354),(53 24993.627),(54 24799.313),(55 25086.924),(56 25007.59),(57 25237.422),(58 24892.758),(59 25049.463),(60 24874.48),(61 25388.82),(62 24852.207),(63 25269.45),(64 24798.354),(65 25454.168),(66 25259.152),(67 25086.896),(68 24607.371),(69 25061.117),(70 24951.537),(71 25112.393),(72 24698.893),(73 25345.293),(74 25252.309),(75 25828.725),(76 25249.322),(77 25376.938),(78 25058.523),(79 25352.982),
(1 5701.074),(2 10513.789),(3 14110.33),(4 15324.067),(5 17248.127),(6 17870.53),(7 18855.316),(8 18719.777),(9 19310.74),(10 19085.635),(11 20195.32),(12 20184.309),(13 20873.367),(14 20738.88),(15 21585.229),(16 20555.238),(17 21106.674),(18 21241.957),(19 21644.14),(20 21132.15),(21 21567.506),(22 21368.125),(23 22036.316),(24 21729.313),(25 22380.104),(26 22439.055),(27 22842.516),(28 22537.139),(29 23038.09),(30 22306.268),(31 22199.531),(32 21778.232),(33 22107.035),(34 22002.303),(35 22675.46),(36 22437.83),(37 22837.547),(38 22605.305),(39 22929.813),(40 22405.06),(41 22819.406),(42 22144.945),(43 22721.307),(44 22662.813),(45 23335.822),(46 22971.42),(47 23077.172),(48 22745.076),(49 23328.56),(50 23014.162),(51 23430.262),(52 23309.04),(53 23757.994),(54 23612.219),(55 23828.45),(56 23595.947),(57 23490.611),(58 23101.9),(59 23521.928),(60 23361.37),(61 23798.953),(62 23599.729),(63 24148.521),(64 23514.434),(65 24027.707),(66 23755.04),(67 24018.502),(68 23347.707),(69 23663.701),(70 23668.885),(71 24076.816),(72 24032.955),(73 24738.537),(74 24463.469),(75 24715.43),(76 24273.19),(77 24476.188),(78 24226.209),(79 24617.506),
(1 5548.7793),(2 10263.296),(3 13760.846),(4 15165.909),(5 16970.457),(6 17504.31),(7 18380.174),(8 18210.297),(9 18792.863),(10 18672.268),(11 19694.758),(12 19669.826),(13 20538.855),(14 20335.723),(15 21111.059),(16 20313.93),(17 20761.484),(18 20351.244),(19 20565.576),(20 20115.637),(21 20379.307),(22 19977.178),(23 20779.092),(24 20715.887),(25 21459.43),(26 21264.307),(27 21787.941),(28 21766.809),(29 22480.404),(30 21906.404),(31 21771.275),(32 21523.871),(33 21750.328),(34 21537.023),(35 21871.662),(36 21622.16),(37 22032.904),(38 21905.676),(39 22215.137),(40 21747.736),(41 22226.537),(42 21757.334),(43 22308.238),(44 22266.174),(45 23265.1),(46 22840.5),(47 22892.137),(48 22458.791),(49 22939.17),(50 22632.402),(51 22942.246),(52 22517.707),(53 22711.18),(54 22607.207),(55 22901.969),(56 22774.762),(57 22922.326),(58 22715.701),(59 23167.902),(60 23190.695),(61 23603.389),(62 23396.947),(63 24025.783),(64 23584.166),(65 24040.783),(66 23751.127),(67 24055.691),(68 23485.826),(69 23634.764),(70 23330.117),(71 23826.95),(72 23773.514),(73 24338.621),(74 24313.148),(75 24794.852),(76 24199.363),(77 24321.553),(78 24164.08),(79 24736.555),
(1 5495.531),(2 10352.321),(3 13913.444),(4 15411.311),(5 17375.578),(6 17974.762),(7 18877.137),(8 18662.97),(9 19535.258),(10 19359.635),(11 20153.166),(12 20043.055),(13 21024.865),(14 20761.295),(15 21548.707),(16 20682.395),(17 21177.365),(18 20845.703),(19 21024.889),(20 20786.502),(21 21571.377),(22 21334.465),(23 21781.797),(24 21509.21),(25 22120.703),(26 21861.984),(27 22174.629),(28 22182.936),(29 22810.56),(30 22228.572),(31 22227.66),(32 21690.041),(33 21743.908),(34 21515.418),(35 21762.957),(36 21531.625),(37 22009.889),(38 21794.703),(39 22056.166),(40 21767.244),(41 22077.408),(42 21218.021),(43 21506.24),(44 21657.092),(45 22467.816),(46 22352.018),(47 22581.504),(48 22638.951),(49 23433.756),(50 23172.781),(51 23210.988),(52 22711.566),(53 22985.541),(54 22896.016),(55 23303.098),(56 23460.309),(57 24215.445),(58 24039.148),(59 24079.238),(60 23845.256),(61 24064.479),(62 23837.828),(63 24405.008),(64 24566.178),(65 25034.15),(66 24618.076),(67 24502.984),(68 23914.584),(69 24046.824),(70 23611.273),(71 23819.96),(72 23656.262),(73 24444.068),(74 24628.266),(75 25029.645),(76 24625.727),(77 24904.28),(78 24666.658),(79 24957.248),
(1 5476.8306),(2 10062.29),(3 13622.617),(4 14870.983),(5 16802.92),(6 17148.197),(7 18105.227),(8 17899.305),(9 18719.412),(10 18552.387),(11 19499.785),(12 19087.6),(13 19836.883),(14 19630.79),(15 20558.357),(16 19618.625),(17 20014.344),(18 19655.97),(19 20383.016),(20 19760.6),(21 20116.521),(22 19800.098),(23 20464.695),(24 19909.664),(25 20368.805),(26 20172.275),(27 20965.246),(28 20818.426),(29 21311.662),(30 20864.613),(31 21019.828),(32 20332.633),(33 20852.932),(34 20963.424),(35 21620.264),(36 21779.316),(37 22069.559),(38 21730.443),(39 22110.174),(40 21900.146),(41 22393.514),(42 21671.637),(43 22035.96),(44 21922.39),(45 22604.965),(46 22200.146),(47 22696.068),(48 22995.865),(49 23730.262),(50 23256.03),(51 23438.266),(52 22944.795),(53 23303.994),(54 22953.549),(55 23272.44),(56 23452.602),(57 23939.42),(58 23443.664),(59 23324.813),(60 22570.049),(61 22843.99),(62 22539.574),(63 23161.35),(64 23029.377),(65 23596.336),(66 23252.379),(67 23676.78),(68 23455.92),(69 23528.48),(70 22993.201),(71 23500.393),(72 23759.885),(73 24477.137),(74 24019.588),(75 24401.088),(76 23769.047),(77 24113.986),(78 23604.242),(79 23994.83),
(1 5338.3315),(2 9870.979),(3 13160.539),(4 14486.335),(5 16467.3),(6 16817.916),(7 17545.092),(8 17311.918),(9 18134.129),(10 18143.418),(11 18904.26),(12 18465.344),(13 19124.256),(14 19416.754),(15 20128.111),(16 19142.068),(17 19500.494),(18 19334.729),(19 19628.639),(20 19022.3),(21 19651.727),(22 19588.16),(23 20346.432),(24 19752.756),(25 20076.871),(26 19850.506),(27 20381.674),(28 20116.354),(29 20653.156),(30 20709.13),(31 20898.908),(32 20261.16),(33 20618.406),(34 20680.31),(35 21303.72),(36 21377.037),(37 21763.502),(38 21611.727),(39 21860.656),(40 21377.33),(41 21851.12),(42 21728.541),(43 22246.914),(44 21999.59),(45 22516.129),(46 22277.934),(47 22656.52),(48 22619.3),(49 23088.578),(50 23045.191),(51 23209.85),(52 22762.164),(53 23148.719),(54 23081.93),(55 23267.932),(56 23170.129),(57 23173.512),(58 22833.129),(59 22876.059),(60 22264.521),(61 22398.12),(62 22182.227),(63 22840.844),(64 22425.582),(65 23103.547),(66 23148.809),(67 23272.836),(68 23060.197),(69 23041.262),(70 22621.73),(71 23239.484),(72 23425.951),(73 24128.77),(74 23677.268),(75 23977.057),(76 23812.586),(77 24106.24),(78 23792.113),(79 24155.246),
(1 5488.9775),(2 9908.921),(3 13119.061),(4 14190.396),(5 15780.793),(6 16027.505),(7 16682.318),(8 16573.287),(9 17375.11),(10 17122.732),(11 18055.287),(12 17780.898),(13 18828.684),(14 18756.32),(15 19249.982),(16 18265.48),(17 18713.365),(18 18339.695),(19 18800.395),(20 18369.637),(21 19118.021),(22 18976.89),(23 19529.703),(24 18941.053),(25 19418.215),(26 19048.86),(27 19478.768),(28 19070.21),(29 19744.998),(30 19651.61),(31 20085.336),(32 19564.557),(33 19793.828),(34 19466.154),(35 20242.066),(36 20255.459),(37 20666.639),(38 20194.44),(39 20414.82),(40 19994.11),(41 20285.117),(42 19970.861),(43 20996.408),(44 20972.553),(45 21809.375),(46 21820.94),(47 22379.168),(48 21821.42),(49 22305.27),(50 21737.2),(51 22294.014),(52 21988.994),(53 22132.176),(54 21744.486),(55 22164.887),(56 21996.557),(57 22264.045),(58 22102.426),(59 22440.516),(60 21638.354),(61 21807.443),(62 21466.25),(63 22321.924),(64 22087.031),(65 22530.678),(66 21970.83),(67 22119.523),(68 21604.926),(69 21967.22),(70 21739.479),(71 22536.867),(72 22658.629),(73 23485.875),(74 22946.72),(75 23336.107),(76 22831.375),(77 23031.518),(78 22637.793),(79 22782.982),
(1 5450.9443),(2 9809.487),(3 12778.212),(4 13842.887),(5 15589.695),(6 15690.398),(7 16643.44),(8 16656.615),(9 17160.998),(10 17012.91),(11 18187.828),(12 17985.564),(13 18937.342),(14 18739.373),(15 19291.234),(16 18581.12),(17 19224.762),(18 18995.12),(19 19550.018),(20 19235.92),(21 19747.115),(22 19601.904),(23 19963.756),(24 19393.494),(25 19919.318),(26 19779.521),(27 20272.832),(28 20049.232),(29 20614.977),(30 20412.666),(31 20423.441),(32 19823.174),(33 19951.715),(34 19860.42),(35 20504.691),(36 20486.943),(37 20865.014),(38 20444.553),(39 20678.742),(40 20298.379),(41 20513.281),(42 19832.873),(43 20466.338),(44 20416.12),(45 21203.93),(46 21008.53),(47 21273.057),(48 20538.367),(49 20784.441),(50 20289.541),(51 20781.27),(52 20685.605),(53 21176.115),(54 20851.58),(55 20906.352),(56 20590.979),(57 20818.201),(58 20343.549),(59 20716.06),(60 20347.82),(61 20527.002),(62 20206.38),(63 20893.436),(64 20896.992),(65 21518.291),(66 21090.47),(67 21161.96),(68 20756.182),(69 20968.639),(70 20435.955),(71 21114.313),(72 21205.299),(73 21799.154),(74 21291.09),(75 21494.322),(76 21111.09),(77 21523.135),(78 21342.654),(79 21772.07),
(1 5379.11),(2 9668.237),(3 12933.225),(4 13774.967),(5 15362.154),(6 15452.848),(7 16460.28),(8 16395.824),(9 17209.79),(10 16855.977),(11 18060.99),(12 17934.05),(13 18761.432),(14 18084.988),(15 18780.855),(16 17994.01),(17 18895.656),(18 18916.111),(19 19560.531),(20 18774.154),(21 19229.414),(22 18786.014),(23 19276.8),(24 18830.998),(25 19412.746),(26 18968.006),(27 19352.334),(28 18893.291),(29 19609.768),(30 19170.045),(31 19498.465),(32 18836.375),(33 19157.313),(34 18866.902),(35 19401.393),(36 19208.83),(37 19781.658),(38 19650.77),(39 20029.227),(40 19199.117),(41 19801.453),(42 19346.273),(43 20013.764),(44 19739.059),(45 20254.514),(46 20130.424),(47 20396.764),(48 19835.879),(49 20127.002),(50 19625.498),(51 20343.426),(52 20190.945),(53 20753.527),(54 20276.707),(55 20241.059),(56 19791.967),(57 19987.451),(58 19638.936),(59 19931.027),(60 19852.877),(61 20201.11),(62 19724.133),(63 20198.494),(64 19915.791),(65 20506.04),(66 20165.178),(67 20325),(68 19988.977),(69 20389.768),(70 20083.023),(71 20700.621),(72 20596.688),(73 21258.992),(74 20846.262),(75 21153.232),(76 20717.604),(77 20942.908),(78 20504.66),(79 20652.773),
(1 5303.2603),(2 9670.942),(3 12868.651),(4 13946.732),(5 15587.906),(6 15581.747),(7 16571.404),(8 16430.17),(9 17262.283),(10 16991.283),(11 18140.1),(12 17885.414),(13 18846.928),(14 18309.977),(15 18691.135),(16 17663.826),(17 18315.156),(18 18293.375),(19 18914.443),(20 18454.81),(21 18877.055),(22 18562.549),(23 19076.947),(24 18525.137),(25 19172.207),(26 18766.053),(27 19105.422),(28 18625.4),(29 19362.271),(30 19152.904),(31 19179.074),(32 18637.387),(33 19109.174),(34 18739.709),(35 19155.035),(36 18832.293),(37 19363.047),(38 19402.6),(39 20148.658),(40 19840.371),(41 20356.51),(42 19714.637),(43 20335.658),(44 20103.285),(45 20776.893),(46 20747.68),(47 21054.883),(48 20604.594),(49 20943.197),(50 20485.443),(51 20992.6),(52 21030.824),(53 21712.875),(54 21494.18),(55 21719.174),(56 21820.494),(57 22089.412),(58 21546.363),(59 21618.773),(60 21195.268),(61 21659.414),(62 21635.264),(63 22213.064),(64 21500.285),(65 21956.537),(66 21500.506),(67 21534.174),(68 21168.525),(69 21591.797),(70 21319.85),(71 21814.383),(72 21451.928),(73 21697.79),(74 21219.617),(75 21507.994),(76 21087.498),(77 21462.506),(78 21303.73),(79 21624.719),
(1 5179.222),(2 9512.97),(3 12575.095),(4 13613.716),(5 15142.654),(6 15335.225),(7 16236.122),(8 16121.293),(9 16881.557),(10 16823.576),(11 17797.393),(12 17466.938),(13 18319.572),(14 17937.889),(15 18140.285),(16 17167.76),(17 17754.396),(18 17686.37),(19 18253.393),(20 17901.752),(21 18226.936),(22 17838.877),(23 18306.068),(24 17930.324),(25 18236.668),(26 17754.596),(27 18196.623),(28 18004.48),(29 18650.96),(30 18603.766),(31 18792.951),(32 18334.553),(33 18745.615),(34 18369.246),(35 18820.99),(36 18704.043),(37 19145.59),(38 19128.914),(39 19536.328),(40 19153.172),(41 19709.227),(42 19061.787),(43 19540.385),(44 19207.39),(45 19951.557),(46 19784.535),(47 20258.697),(48 20145.375),(49 20582.963),(50 20141.002),(51 20418.531),(52 20351.686),(53 21057.943),(54 21090.465),(55 21433.844),(56 21532.893),(57 21761.48),(58 21203.375),(59 21259.96),(60 20861.318),(61 21396.068),(62 20970.506),(63 21099.455),(64 20595.502),(65 21030.59),(66 20644.006),(67 20762.408),(68 20547.234),(69 20804.293),(70 20333.408),(71 20734.922),(72 20423.326),(73 20949.453),(74 20721.262),(75 21095.115),(76 20789.586),(77 21126.373),(78 20686.97),(79 20763.973),
(1 5031.9893),(2 9154.971),(3 12134.272),(4 13103.496),(5 14536.097),(6 14777.466),(7 15467.507),(8 15291.199),(9 16038.623),(10 15940.298),(11 16944.889),(12 16759.787),(13 17332.945),(14 16755.67),(15 17176.926),(16 16512.383),(17 16835.09),(18 16729.834),(19 17376.662),(20 17084.426),(21 17648.98),(22 17376.512),(23 17918.896),(24 17396.309),(25 17677.72),(26 17199.367),(27 17478.133),(28 17351.303),(29 18057.584),(30 17892.947),(31 18115.246),(32 17729.16),(33 17997.795),(34 17733.783),(35 18376.002),(36 18326.39),(37 18721.846),(38 18644.59),(39 18967.258),(40 18449.592),(41 18767.021),(42 18119.139),(43 18525.46),(44 18234.42),(45 18931.973),(46 18678.541),(47 18978.338),(48 18823.262),(49 19165.055),(50 18759.537),(51 18965.902),(52 18831.992),(53 19551.684),(54 19492.354),(55 19617.707),(56 19669.34),(57 19920.61),(58 19405.277),(59 19256.533),(60 18796.082),(61 19208.125),(62 18885.66),(63 19295.004),(64 19049.926),(65 19668.15),(66 19488.92),(67 19700.512),(68 19517.334),(69 19661.76),(70 19234.918),(71 19706.344),(72 19440.207),(73 20123.8),(74 19867.742),(75 20344.816),(76 20000.068),(77 20269.32),(78 19830.72),(79 19722.527),
(1 5082.4976),(2 9074.866),(3 11959.958),(4 12630.939),(5 14181.116),(6 14120.04),(7 14880.921),(8 14781.839),(9 15576.151),(10 15358.891),(11 16232.93),(12 16011.011),(13 16768.197),(14 16427.15),(15 17135.197),(16 16262.027),(17 16963.727),(18 16777.818),(19 17387.744),(20 16949.182),(21 17349.957),(22 16927.156),(23 17642.527),(24 17101.59),(25 17633.438),(26 17423.117),(27 17648.014),(28 17238.77),(29 17842.307),(30 17538.96),(31 17725.232),(32 17486.104),(33 17815.307),(34 17490.273),(35 18004.166),(36 17726.502),(37 18271.924),(38 18109.994),(39 18390.732),(40 17913.396),(41 18346.104),(42 17911.395),(43 18288.904),(44 17819.043),(45 18778.916),(46 18699.582),(47 19226.293),(48 19030.719),(49 19387.887),(50 19024.547),(51 19366.664),(52 19054.166),(53 19339.135),(54 19253.707),(55 19548.268),(56 19373.936),(57 19644.71),(58 19166.486),(59 19349.604),(60 18805.104),(61 19211.01),(62 19110.576),(63 19623.543),(64 19429.867),(65 20141.586),(66 19806.42),(67 19826.049),(68 19430.018),(69 19795.322),(70 19260.346),(71 19430.32),(72 18947.607),(73 19730.977),(74 19740.545),(75 20310.182),(76 19934.87),(77 20198.33),(78 19768.059),(79 20165.404),
(1 5007.174),(2 8828.951),(3 11386.076),(4 12108.452),(5 13609.638),(6 13846.404),(7 14607.83),(8 14377.274),(9 15299.349),(10 15157.393),(11 15769.702),(12 15435.197),(13 16324.3125),(14 16165.758),(15 16690.682),(16 16019.807),(17 16703.582),(18 16622.697),(19 17180.629),(20 16755.865),(21 16931.668),(22 16375.496),(23 16937.736),(24 16323.701),(25 16766.611),(26 16587.08),(27 17094.236),(28 16749.984),(29 17263.016),(30 17040.154),(31 17159.986),(32 16646.701),(33 16909.15),(34 16621.271),(35 17155.787),(36 16968.818),(37 17566.559),(38 17512.914),(39 17639.023),(40 17180.896),(41 17670.074),(42 17242.707),(43 17921.873),(44 17858.494),(45 18259.414),(46 17920.506),(47 18262.084),(48 18026.377),(49 18343.922),(50 18002.598),(51 18254.574),(52 18235.91),(53 18803.402),(54 18780.965),(55 18917.725),(56 18843.43),(57 19154.588),(58 18820.133),(59 19068.373),(60 18419.596),(61 18636.895),(62 18504.314),(63 19188.059),(64 19098.87),(65 19569.17),(66 19198.412),(67 19300.494),(68 18936.414),(69 19095.04),(70 18625.371),(71 18681.477),(72 18410.455),(73 18977.922),(74 18930.016),(75 19211.598),(76 18447.764),(77 18494.979),(78 18129.525),(79 18529.514),
(1 4995.106),(2 8897.056),(3 11448.509),(4 12318.546),(5 13999.487),(6 14144.755),(7 14737.554),(8 14366.576),(9 15298.609),(10 15096.102),(11 15834.348),(12 15431.638),(13 16352.229),(14 16122.612),(15 16502.896),(16 15708.043),(17 16542.346),(18 16534.125),(19 17131.953),(20 16801.605),(21 17199.021),(22 16686.11),(23 17112.055),(24 16546.63),(25 17162.877),(26 16902.924),(27 17614.4),(28 17334.45),(29 17959.385),(30 17688.35),(31 18017.22),(32 17586.248),(33 17819.469),(34 17653.498),(35 18122.25),(36 17654.293),(37 17989.75),(38 17614.688),(39 17780.09),(40 17286.857),(41 18058.822),(42 17698.514),(43 18256.02),(44 17904.21),(45 18373.082),(46 17927.016),(47 18232.285),(48 17892.438),(49 18395.293),(50 17903.48),(51 18096.756),(52 17830.78),(53 18382.096),(54 18012.281),(55 18149.918),(56 18054.225),(57 18424.48),(58 18149.22),(59 18424.756),(60 18057.992),(61 18539.89),(62 18433.219),(63 19127.795),(64 19222.4),(65 19805.979),(66 19536.41),(67 19910.695),(68 19433.07),(69 19501.635),(70 18696.604),(71 18855.547),(72 18651.646),(73 19246.31),(74 18801.11),(75 19150.074),(76 18644.666),(77 18928.506),(78 18557.701),(79 19010.87),
(1 4884.2896),(2 8491.026),(3 11288.983),(4 12077.4375),(5 13483.437),(6 13596.705),(7 14274.72),(8 13769.007),(9 14511.269),(10 14399.788),(11 15319.153),(12 15037.283),(13 15929.305),(14 15825.598),(15 16613.313),(16 15837.144),(17 16329.327),(18 15989.9375),(19 16510.508),(20 16308.988),(21 16872.81),(22 16430.34),(23 16734.256),(24 16198.21),(25 16490.012),(26 16094.955),(27 16686.658),(28 16361.741),(29 17042.254),(30 16832.703),(31 17074.186),(32 16711.69),(33 16951.06),(34 16684.805),(35 17050.512),(36 16535.768),(37 16830.063),(38 16631.191),(39 16925.666),(40 16276.559),(41 16790.955),(42 16499.752),(43 17114.898),(44 16651.855),(45 17213.783),(46 16884.498),(47 17242.4),(48 17130.063),(49 17622.195),(50 17262.105),(51 17716.592),(52 17304.941),(53 17865.313),(54 17657.908),(55 17960.88),(56 17805.389),(57 18056.313),(58 17676.756),(59 17889.861),(60 17489.33),(61 17994.316),(62 17792.61),(63 18626.61),(64 18378.014),(65 19029.898),(66 18653.664),(67 18969.18),(68 18854.52),(69 19174.188),(70 18632.557),(71 19012.178),(72 18918.941),(73 19648.348),(74 19109.43),(75 19193.102),(76 18655.89),(77 19083.086),(78 18502.832),(79 18582.346),
(1 4665.9736),(2 8411.2),(3 10733.817),(4 11436.423),(5 12883.111),(6 13197.398),(7 13878.041),(8 13798.154),(9 14362.48),(10 14088.673),(11 14899.52),(12 14825.652),(13 15613.208),(14 15369.721),(15 15818.631),(16 15121.269),(17 15521.733),(18 15188.3125),(19 15609.539),(20 15370.22),(21 15878.762),(22 15586.847),(23 15864.418),(24 15435.664),(25 15658.637),(26 15324.035),(27 15899.331),(28 15751.369),(29 16321.127),(30 16175.152),(31 16516.564),(32 16152.748),(33 16371.262),(34 16103.502),(35 16574.28),(36 16566.258),(37 16996.455),(38 16773.12),(39 16801.475),(40 16351.991),(41 16649.678),(42 16344.373),(43 16681.412),(44 16461.79),(45 16877.57),(46 16543.129),(47 16774.338),(48 16494.633),(49 16996.363),(50 16689.922),(51 17053.867),(52 16928.596),(53 17416.38),(54 17191.076),(55 17481.746),(56 17374.684),(57 17303.71),(58 16809.379),(59 16896.637),(60 16595.65),(61 16942.637),(62 16621.72),(63 17009.28),(64 16806.963),(65 17340.236),(66 17103.805),(67 17178.43),(68 16895.197),(69 17205.096),(70 16751.965),(71 16974.955),(72 16977.912),(73 17670.152),(74 17475.172),(75 17906.342),(76 17602.184),(77 17974.63),(78 17674.115),(79 17764.346),
