1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 222.35422),(2 298.03677),(3 324.78778),(4 345.8447),(5 362.2957),(6 367.90115),(7 378.66418),(8 387.95233),(9 394.88522),(10 398.96136),(11 407.827),(12 415.28253),(13 416.04752),(14 420.94833),(15 425.09045),(16 429.00443),(17 432.1933),(18 431.70508),(19 430.5175),(20 433.58304),(21 433.53085),(22 435.72086),(23 438.02014),(24 435.53162),(25 436.2405),(26 434.07278),(27 433.27454),(28 428.0584),(29 425.59982),(30 424.55453),(31 424.49255),(32 420.85757),(33 417.46103),(34 410.52213),(35 410.56824),(36 418.7031),(37 421.46964),(38 424.7169),(39 422.10965),(40 419.38992),(41 418.28946),(42 420.0565),(43 422.73495),(44 431.52826),(45 438.82388),(46 440.887),(47 442.4011),(48 447.42563),(49 452.0404),(50 457.3979),(51 463.50302),(52 461.87866),(53 466.7841),(54 469.67545),(55 473.65054),(56 476.25327),(57 480.02512),(58 477.78268),(59 479.51437),(60 489.15015),(61 482.7411),(62 482.43292),(63 486.40942),(64 483.49927),(65 489.50067),(66 492.666),(67 489.9476),(68 498.04617),(69 502.79163),(70 503.18893),(71 495.9583),(72 495.25806),(73 493.85153),(74 494.92224),(75 489.52676),(76 489.4985),(77 492.4175),(78 489.9812),(79 491.27768),
(1 216.8706),(2 286.38687),(3 314.39755),(4 332.78876),(5 345.79196),(6 351.2691),(7 356.723),(8 373.3104),(9 375.3284),(10 378.03693),(11 386.93774),(12 398.4564),(13 400.5564),(14 403.5578),(15 407.713),(16 406.98785),(17 405.20923),(18 405.79858),(19 407.54535),(20 410.91153),(21 409.68103),(22 410.2837),(23 411.59784),(24 407.23962),(25 403.55716),(26 402.20157),(27 402.46185),(28 401.27014),(29 396.823),(30 392.66458),(31 393.95724),(32 395.4167),(33 390.47137),(34 388.97778),(35 387.43475),(36 393.23767),(37 394.96994),(38 399.47906),(39 401.11945),(40 409.3056),(41 405.11737),(42 404.62656),(43 412.20148),(44 414.18674),(45 416.27316),(46 416.95776),(47 418.62482),(48 421.2045),(49 425.81177),(50 430.7775),(51 433.82175),(52 436.99722),(53 441.49927),(54 449.13596),(55 453.04007),(56 455.49933),(57 462.12164),(58 465.148),(59 467.15836),(60 476.07895),(61 478.62772),(62 480.39337),(63 479.48645),(64 478.28067),(65 477.48315),(66 474.8299),(67 476.96744),(68 488.2525),(69 490.82153),(70 491.02332),(71 492.2211),(72 489.83328),(73 492.67706),(74 492.37476),(75 487.74985),(76 483.87003),(77 485.47073),(78 486.82697),(79 487.87665),
(1 211.8688),(2 284.07632),(3 311.58743),(4 329.78687),(5 342.6763),(6 346.68835),(7 357.85657),(8 364.8987),(9 368.57727),(10 372.13626),(11 381.87408),(12 389.2577),(13 391.58392),(14 390.8602),(15 394.56924),(16 394.2402),(17 401.19067),(18 404.64487),(19 407.53085),(20 408.9451),(21 409.06448),(22 408.9479),(23 408.86343),(24 410.29187),(25 409.2294),(26 409.9481),(27 411.64526),(28 413.90704),(29 414.32257),(30 409.8141),(31 409.2506),(32 407.42236),(33 406.15872),(34 403.92896),(35 398.24475),(36 401.5652),(37 403.42358),(38 404.33777),(39 400.49063),(40 401.12506),(41 400.5575),(42 403.116),(43 407.31012),(44 410.3587),(45 414.2704),(46 413.92624),(47 419.075),(48 419.67532),(49 421.4517),(50 424.89087),(51 427.6861),(52 427.3055),(53 434.09177),(54 437.73004),(55 441.8718),(56 449.7633),(57 451.21744),(58 457.71796),(59 461.86435),(60 463.68988),(61 464.3382),(62 470.16458),(63 464.68588),(64 461.03586),(65 464.31494),(66 467.03308),(67 472.56992),(68 479.69922),(69 479.95782),(70 483.25375),(71 483.2474),(72 485.2944),(73 488.26767),(74 492.45044),(75 492.24466),(76 488.24142),(77 487.63248),(78 491.0346),(79 486.5954),
(1 206.33688),(2 277.41168),(3 305.91473),(4 317.06415),(5 330.0892),(6 337.3927),(7 347.72714),(8 358.87534),(9 362.67233),(10 365.4014),(11 369.54623),(12 380.86584),(13 387.99268),(14 392.87042),(15 398.03342),(16 393.80777),(17 398.94406),(18 401.60608),(19 404.5385),(20 403.16),(21 404.63657),(22 401.13235),(23 408.04132),(24 407.7202),(25 402.03006),(26 399.79968),(27 396.85107),(28 399.7507),(29 396.81958),(30 397.08282),(31 394.4454),(32 393.99088),(33 394.03442),(34 391.02728),(35 387.87573),(36 387.56754),(37 387.74283),(38 390.36792),(39 391.1267),(40 389.7915),(41 388.6476),(42 392.12946),(43 396.41254),(44 399.35065),(45 404.22894),(46 404.73587),(47 410.34732),(48 415.02887),(49 421.1836),(50 426.57062),(51 424.0727),(52 427.45776),(53 429.59),(54 438.0973),(55 451.22635),(56 455.75818),(57 453.85602),(58 461.98462),(59 467.74707),(60 477.64957),(61 478.67297),(62 481.53247),(63 484.62238),(64 484.8677),(65 495.49326),(66 499.99878),(67 502.7666),(68 501.43),(69 504.62485),(70 507.1245),(71 514.68524),(72 515.07153),(73 515.4453),(74 522.1055),(75 516.72473),(76 519.41315),(77 519.70844),(78 517.34),(79 518.28796),
(1 201.2671),(2 265.30667),(3 290.00293),(4 306.88055),(5 321.38614),(6 329.00955),(7 334.38605),(8 342.54922),(9 347.6049),(10 354.02783),(11 357.5886),(12 367.12885),(13 375.31677),(14 374.6571),(15 374.08337),(16 379.16318),(17 385.3011),(18 390.52872),(19 387.5982),(20 389.82532),(21 391.54297),(22 386.12128),(23 391.05847),(24 391.52237),(25 390.80496),(26 385.2562),(27 385.3313),(28 380.25012),(29 381.25833),(30 382.12003),(31 383.58374),(32 382.79166),(33 380.64807),(34 375.3708),(35 376.2077),(36 376.41217),(37 377.5299),(38 380.49115),(39 376.91943),(40 378.74164),(41 381.9501),(42 384.85947),(43 389.13306),(44 390.96896),(45 393.50305),(46 403.04764),(47 406.70673),(48 409.08203),(49 411.3949),(50 413.88608),(51 417.39813),(52 415.68604),(53 421.5112),(54 428.08185),(55 432.27414),(56 438.51276),(57 441.93005),(58 449.93243),(59 450.1585),(60 451.43335),(61 455.09427),(62 461.47363),(63 462.9707),(64 467.2024),(65 471.65628),(66 473.768),(67 474.95837),(68 481.18912),(69 486.27356),(70 481.51483),(71 481.22913),(72 484.69647),(73 486.61987),(74 488.18542),(75 486.15076),(76 488.1252),(77 489.06744),(78 488.70764),(79 491.62573),
(1 196.02971),(2 262.24622),(3 290.32562),(4 309.55667),(5 319.83347),(6 323.11597),(7 327.67142),(8 339.23853),(9 344.63254),(10 353.76584),(11 356.074),(12 360.22296),(13 367.5504),(14 369.36508),(15 369.85373),(16 375.5598),(17 378.73267),(18 384.7415),(19 386.59238),(20 387.97083),(21 387.98267),(22 388.87326),(23 389.80484),(24 390.03024),(25 387.66013),(26 388.82166),(27 385.79626),(28 379.83295),(29 378.7198),(30 379.22437),(31 378.46655),(32 376.42523),(33 372.10498),(34 368.55075),(35 363.9883),(36 363.05988),(37 364.814),(38 367.75348),(39 369.61673),(40 371.07355),(41 375.92752),(42 377.25177),(43 377.41852),(44 378.03433),(45 386.97467),(46 387.63736),(47 391.57816),(48 392.88452),(49 396.7993),(50 400.67468),(51 406.03998),(52 410.09515),(53 416.70563),(54 422.10385),(55 422.98785),(56 429.0014),(57 435.9289),(58 438.7075),(59 444.70892),(60 449.60712),(61 449.3375),(62 451.5765),(63 456.573),(64 455.87546),(65 461.56143),(66 464.7902),(67 466.37332),(68 469.31845),(69 472.73544),(70 474.33572),(71 478.33267),(72 478.35187),(73 478.31418),(74 478.6975),(75 477.00403),(76 480.2264),(77 477.8814),(78 475.3279),(79 475.88647),
(1 192.45161),(2 254.7607),(3 280.01462),(4 292.37686),(5 303.5776),(6 312.4087),(7 317.8898),(8 327.37845),(9 333.01312),(10 334.77316),(11 337.71408),(12 342.24142),(13 345.89752),(14 351.9943),(15 353.2312),(16 355.4155),(17 359.00647),(18 363.22934),(19 366.30612),(20 369.24203),(21 370.3338),(22 367.52463),(23 365.9114),(24 362.2337),(25 359.2824),(26 362.78162),(27 362.2914),(28 362.4907),(29 360.81155),(30 362.167),(31 362.73157),(32 358.60995),(33 353.8614),(34 354.56107),(35 355.1153),(36 350.6146),(37 352.63934),(38 357.37622),(39 357.80106),(40 358.77225),(41 364.6232),(42 364.13568),(43 364.45142),(44 370.0027),(45 377.12454),(46 379.01157),(47 381.6882),(48 388.6213),(49 390.65158),(50 391.45355),(51 396.08575),(52 398.86554),(53 396.42813),(54 401.0098),(55 405.12488),(56 409.56628),(57 415.29953),(58 420.63153),(59 427.63083),(60 430.3657),(61 429.12646),(62 433.39032),(63 435.0127),(64 436.70068),(65 436.10367),(66 436.4899),(67 439.80817),(68 443.8658),(69 446.51456),(70 448.35635),(71 448.06665),(72 450.0781),(73 454.20782),(74 457.74054),(75 455.50723),(76 450.70135),(77 447.81134),(78 443.91983),(79 440.8211),
(1 187.04877),(2 247.37506),(3 271.21103),(4 286.6406),(5 300.65253),(6 308.79407),(7 312.68457),(8 316.0759),(9 319.28305),(10 322.96664),(11 327.86124),(12 335.1553),(13 337.57343),(14 345.53662),(15 352.38943),(16 348.98196),(17 350.7057),(18 352.56348),(19 354.68478),(20 358.71475),(21 359.60117),(22 362.96124),(23 363.1978),(24 361.63),(25 359.58694),(26 358.11136),(27 358.60687),(28 359.6551),(29 359.0286),(30 361.05145),(31 357.2872),(32 352.7195),(33 347.8385),(34 343.34146),(35 344.78836),(36 344.9863),(37 344.93033),(38 349.7811),(39 350.09183),(40 348.35287),(41 348.73346),(42 347.88614),(43 350.93457),(44 354.8258),(45 358.8638),(46 363.8642),(47 369.40402),(48 367.6282),(49 374.5563),(50 378.60965),(51 382.66644),(52 386.0966),(53 388.36728),(54 392.27155),(55 394.55807),(56 401.10046),(57 403.70148),(58 407.41135),(59 410.385),(60 418.66125),(61 417.2775),(62 422.2804),(63 427.49988),(64 432.23264),(65 433.0379),(66 430.95926),(67 427.93274),(68 435.44135),(69 435.57483),(70 436.8115),(71 440.7697),(72 439.84753),(73 444.49573),(74 447.1768),(75 444.2649),(76 446.39426),(77 446.8411),(78 446.76486),(79 443.0459),
(1 185.80875),(2 245.08876),(3 266.3269),(4 277.76947),(5 288.56598),(6 297.30295),(7 301.56113),(8 307.00656),(9 316.62668),(10 322.8532),(11 322.70462),(12 327.7292),(13 332.14777),(14 334.98706),(15 338.388),(16 340.15613),(17 344.47787),(18 349.93878),(19 345.7252),(20 347.99976),(21 347.1343),(22 348.75674),(23 349.08478),(24 350.00708),(25 350.91272),(26 352.5038),(27 351.819),(28 350.89017),(29 349.2973),(30 346.5612),(31 342.85455),(32 344.03897),(33 337.02643),(34 338.94748),(35 338.77618),(36 337.49338),(37 337.9575),(38 340.64743),(39 340.521),(40 339.17184),(41 342.48245),(42 341.92004),(43 340.40668),(44 342.2652),(45 350.53836),(46 354.10175),(47 358.06354),(48 364.1029),(49 365.96997),(50 372.81833),(51 374.49432),(52 377.4627),(53 383.60477),(54 388.34906),(55 388.28278),(56 391.22653),(57 397.30374),(58 403.27722),(59 408.46716),(60 412.51724),(61 417.14307),(62 418.702),(63 421.83487),(64 424.69202),(65 431.32806),(66 429.97888),(67 432.2707),(68 432.47244),(69 439.9228),(70 438.97186),(71 443.654),(72 441.9105),(73 443.79355),(74 442.8048),(75 445.4836),(76 449.011),(77 447.10345),(78 446.75717),(79 445.69196),
(1 181.08432),(2 237.96591),(3 260.62897),(4 267.88486),(5 283.40106),(6 291.8114),(7 296.93692),(8 305.33423),(9 311.06458),(10 313.22244),(11 318.4957),(12 323.90747),(13 325.69818),(14 331.4546),(15 337.25772),(16 337.73996),(17 343.53394),(18 344.57953),(19 347.13104),(20 347.60513),(21 346.5977),(22 349.2844),(23 354.6478),(24 350.48904),(25 348.84833),(26 347.06866),(27 349.01517),(28 345.8166),(29 342.63275),(30 341.3537),(31 341.30582),(32 338.19107),(33 337.2984),(34 336.90118),(35 336.53137),(36 335.2199),(37 334.92523),(38 337.44196),(39 335.95145),(40 341.29755),(41 340.0336),(42 340.319),(43 344.1483),(44 348.5991),(45 350.72525),(46 352.68982),(47 353.9876),(48 360.38943),(49 366.10165),(50 370.38434),(51 365.434),(52 366.52032),(53 370.44995),(54 377.77197),(55 384.2263),(56 386.39862),(57 394.36142),(58 398.95483),(59 401.13168),(60 403.2774),(61 404.37967),(62 407.28607),(63 411.85092),(64 414.59653),(65 416.8259),(66 414.90698),(67 414.63596),(68 419.4863),(69 422.84863),(70 422.60086),(71 426.70486),(72 427.9302),(73 427.84097),(74 429.46866),(75 430.77994),(76 432.40494),(77 430.17947),(78 431.82788),(79 430.5774),
(1 174.50523),(2 230.85054),(3 253.2862),(4 264.99362),(5 279.89938),(6 286.46603),(7 284.8568),(8 290.3242),(9 294.1256),(10 296.11536),(11 296.59207),(12 302.4946),(13 306.4428),(14 311.96115),(15 314.0464),(16 317.97202),(17 319.53775),(18 323.4181),(19 328.927),(20 330.26907),(21 332.80197),(22 336.86273),(23 337.1706),(24 335.4408),(25 332.77786),(26 334.11765),(27 333.7515),(28 334.90356),(29 336.0582),(30 334.3955),(31 334.8771),(32 331.86868),(33 330.32254),(34 333.17078),(35 331.24295),(36 332.0974),(37 328.94064),(38 332.16177),(39 333.0195),(40 334.27158),(41 334.0666),(42 329.2558),(43 329.85904),(44 332.40073),(45 335.40347),(46 336.81558),(47 340.6388),(48 343.49985),(49 349.89777),(50 345.40652),(51 347.91547),(52 350.1444),(53 358.12213),(54 360.55667),(55 359.4058),(56 360.29172),(57 365.40506),(58 369.85867),(59 374.10205),(60 376.9895),(61 376.48938),(62 383.3082),(63 386.5325),(64 386.6515),(65 390.76547),(66 390.1233),(67 393.45425),(68 395.1156),(69 396.26465),(70 393.0515),(71 394.06256),(72 397.50638),(73 399.33185),(74 398.55664),(75 396.6637),(76 398.64255),(77 398.7714),(78 401.0023),(79 399.29987),
(1 168.90555),(2 221.82347),(3 243.7528),(4 254.61803),(5 266.73004),(6 273.12338),(7 276.38696),(8 283.6509),(9 292.1419),(10 292.65698),(11 293.67508),(12 301.82108),(13 306.44617),(14 307.36664),(15 312.55),(16 316.8306),(17 317.70987),(18 314.36664),(19 319.19278),(20 319.15088),(21 317.67767),(22 317.86832),(23 321.16693),(24 319.14288),(25 316.0621),(26 316.42838),(27 312.48013),(28 312.9806),(29 313.18686),(30 309.8722),(31 308.13925),(32 303.7486),(33 303.41678),(34 305.31146),(35 307.85663),(36 309.85504),(37 306.1256),(38 309.51944),(39 309.2517),(40 308.41724),(41 309.17087),(42 308.91122),(43 314.23044),(44 319.11215),(45 326.93646),(46 326.0691),(47 329.53668),(48 334.15347),(49 334.13632),(50 335.46927),(51 337.61685),(52 339.27463),(53 342.8042),(54 349.1211),(55 350.69897),(56 352.93365),(57 356.72562),(58 353.60458),(59 353.6994),(60 359.35364),(61 359.90332),(62 362.92004),(63 361.8716),(64 363.08572),(65 366.4698),(66 365.29587),(67 364.77133),(68 370.79974),(69 375.273),(70 376.79764),(71 374.70724),(72 373.93335),(73 377.75055),(74 381.78113),(75 379.51852),(76 379.927),(77 380.27707),(78 379.49158),(79 378.80292),
(1 169.53929),(2 219.66483),(3 240.38322),(4 252.00693),(5 265.84497),(6 272.92465),(7 276.76782),(8 284.47067),(9 289.6684),(10 292.24814),(11 293.24872),(12 297.6496),(13 305.1163),(14 310.1809),(15 309.10522),(16 311.93222),(17 314.55606),(18 315.14563),(19 313.93582),(20 312.83423),(21 316.42853),(22 319.43466),(23 322.74515),(24 319.986),(25 321.14532),(26 319.8891),(27 318.26587),(28 318.0085),(29 319.13715),(30 317.1342),(31 315.53693),(32 312.54214),(33 311.579),(34 311.02884),(35 313.32962),(36 314.2728),(37 315.68652),(38 315.2692),(39 315.28625),(40 318.0941),(41 316.74374),(42 314.47998),(43 315.5671),(44 319.00903),(45 327.02884),(46 329.53766),(47 334.17355),(48 334.8517),(49 338.26697),(50 344.15448),(51 343.5214),(52 345.45776),(53 349.36304),(54 352.00143),(55 358.38214),(56 361.20453),(57 365.7316),(58 366.39502),(59 368.14413),(60 370.7642),(61 371.06076),(62 373.317),(63 373.71802),(64 378.08652),(65 378.01303),(66 373.77985),(67 374.52826),(68 378.14294),(69 379.02335),(70 378.49762),(71 375.98962),(72 378.3947),(73 381.69046),(74 380.062),(75 380.67538),(76 382.6225),(77 384.24417),(78 382.7209),(79 382.5236),
(1 166.58055),(2 215.23465),(3 235.8117),(4 246.88622),(5 260.65817),(6 267.2854),(7 270.65085),(8 275.3286),(9 281.32047),(10 286.3275),(11 285.85315),(12 289.51987),(13 291.3189),(14 294.38406),(15 295.00912),(16 292.65826),(17 298.01956),(18 300.47995),(19 302.65286),(20 306.41913),(21 306.8511),(22 308.37723),(23 312.97894),(24 307.47662),(25 310.03864),(26 307.82855),(27 305.1076),(28 304.3201),(29 305.15158),(30 307.73508),(31 306.3599),(32 303.84793),(33 302.56924),(34 301.5614),(35 302.562),(36 305.78873),(37 305.2972),(38 303.5235),(39 304.6863),(40 306.81198),(41 303.6096),(42 305.3216),(43 308.1071),(44 309.50085),(45 315.94067),(46 316.39645),(47 321.06763),(48 324.49048),(49 323.6292),(50 323.0278),(51 323.538),(52 327.94824),(53 333.6194),(54 333.76605),(55 337.57343),(56 341.05472),(57 346.45413),(58 349.81174),(59 352.2987),(60 353.54346),(61 355.00705),(62 357.1599),(63 358.60315),(64 361.86234),(65 361.79935),(66 362.7114),(67 368.39297),(68 368.09012),(69 369.0428),(70 368.73636),(71 369.3643),(72 371.45374),(73 374.2374),(74 374.50916),(75 375.2587),(76 378.26715),(77 377.79608),(78 378.98618),(79 373.7729),
(1 161.56645),(2 213.09819),(3 234.38278),(4 245.34067),(5 255.70898),(6 262.21262),(7 269.5908),(8 274.51764),(9 280.37485),(10 286.34003),(11 287.77454),(12 291.0651),(13 294.43298),(14 294.84552),(15 298.89618),(16 301.08316),(17 304.4875),(18 309.31885),(19 311.19174),(20 318.071),(21 318.0478),(22 315.5812),(23 317.56866),(24 317.3945),(25 314.24536),(26 313.35754),(27 314.05457),(28 313.3646),(29 310.5751),(30 310.4324),(31 308.53125),(32 309.1094),(33 310.77847),(34 311.5366),(35 312.3311),(36 310.6751),(37 311.72318),(38 308.46478),(39 308.54462),(40 310.93475),(41 307.69373),(42 308.24863),(43 308.77902),(44 311.21753),(45 318.86734),(46 322.12),(47 322.31546),(48 325.16092),(49 326.05145),(50 329.66476),(51 330.03134),(52 332.5571),(53 334.53607),(54 336.8838),(55 338.2424),(56 344.78577),(57 350.31857),(58 353.11478),(59 352.81924),(60 356.43295),(61 357.0555),(62 356.68042),(63 362.7174),(64 367.5619),(65 368.77127),(66 368.71945),(67 370.61102),(68 374.57193),(69 375.7342),(70 374.032),(71 373.6433),(72 375.8796),(73 375.05957),(74 375.9304),(75 377.6),(76 380.85495),(77 379.11264),(78 380.4293),(79 380.5275),
(1 160.46712),(2 208.51414),(3 227.79333),(4 240.11935),(5 249.8485),(6 254.71169),(7 262.2533),(8 268.49625),(9 274.89624),(10 277.6288),(11 281.78137),(12 285.87988),(13 290.40802),(14 289.54507),(15 291.34012),(16 292.538),(17 291.60742),(18 295.57886),(19 297.66626),(20 300.89767),(21 301.92078),(22 301.87573),(23 309.25122),(24 303.75253),(25 303.69104),(26 304.43082),(27 304.0816),(28 299.33282),(29 299.12057),(30 296.1197),(31 295.8848),(32 295.6899),(33 296.00497),(34 297.79776),(35 294.50186),(36 295.8444),(37 300.46945),(38 300.68857),(39 299.71066),(40 301.4051),(41 303.61206),(42 305.3489),(43 307.1937),(44 312.3122),(45 316.04242),(46 318.8225),(47 322.55844),(48 322.73782),(49 326.9824),(50 326.70917),(51 324.62225),(52 327.26462),(53 332.47842),(54 336.97653),(55 339.87933),(56 345.4515),(57 347.74948),(58 352.23126),(59 351.68686),(60 360.05316),(61 363.3541),(62 366.92545),(63 366.0256),(64 366.98563),(65 371.10114),(66 370.27188),(67 370.19293),(68 370.17725),(69 367.8213),(70 368.69467),(71 372.27438),(72 374.52878),(73 375.492),(74 376.23),(75 372.89682),(76 375.1452),(77 374.57135),(78 376.33566),(79 378.44995),
(1 158.00446),(2 204.17586),(3 222.41365),(4 233.98093),(5 242.08394),(6 248.26907),(7 254.96338),(8 261.62488),(9 265.33734),(10 270.6586),(11 270.69937),(12 276.1888),(13 283.0675),(14 285.58005),(15 284.96057),(16 286.18408),(17 286.55756),(18 289.89807),(19 291.431),(20 293.9025),(21 293.67328),(22 294.17593),(23 296.35425),(24 297.4839),(25 296.58002),(26 292.72842),(27 292.49323),(28 293.84296),(29 293.18536),(30 289.33606),(31 288.3804),(32 286.52057),(33 285.8338),(34 287.62817),(35 284.44806),(36 286.64908),(37 285.39264),(38 287.20694),(39 289.11774),(40 290.09116),(41 288.34644),(42 293.57336),(43 292.87964),(44 295.03577),(45 298.43698),(46 305.10883),(47 308.6336),(48 309.53174),(49 310.9252),(50 314.10062),(51 317.05646),(52 317.3381),(53 320.58057),(54 322.5133),(55 329.82123),(56 332.13065),(57 336.9288),(58 336.53186),(59 342.00735),(60 345.5878),(61 346.2473),(62 349.70154),(63 348.27658),(64 348.83658),(65 353.14523),(66 354.73276),(67 356.43564),(68 355.7856),(69 355.19473),(70 353.69226),(71 353.1189),(72 355.51343),(73 360.0614),(74 363.58707),(75 360.38864),(76 361.10303),(77 358.5938),(78 360.60773),(79 359.81512),
(1 153.85771),(2 198.45357),(3 215.66824),(4 225.15549),(5 234.16699),(6 237.05919),(7 242.89294),(8 247.50334),(9 250.97913),(10 255.20601),(11 258.4259),(12 263.6879),(13 265.07556),(14 267.76303),(15 271.1967),(16 271.70566),(17 273.3673),(18 277.9806),(19 280.5721),(20 286.28857),(21 288.027),(22 285.9298),(23 290.3409),(24 288.14984),(25 287.24237),(26 285.55386),(27 288.32916),(28 286.19574),(29 282.69077),(30 279.69553),(31 280.1832),(32 276.40543),(33 278.2246),(34 275.16785),(35 276.0964),(36 276.8824),(37 276.30005),(38 277.35333),(39 273.16534),(40 272.551),(41 271.76477),(42 276.62158),(43 282.4896),(44 286.7549),(45 290.67422),(46 294.58548),(47 296.8935),(48 302.55112),(49 305.1203),(50 307.80145),(51 311.98608),(52 311.6969),(53 318.1349),(54 320.7522),(55 325.2079),(56 327.66953),(57 330.4192),(58 332.4225),(59 335.99118),(60 339.9454),(61 340.5908),(62 345.06546),(63 344.70834),(64 344.51596),(65 349.19308),(66 349.3299),(67 348.2893),(68 350.82904),(69 354.10776),(70 356.40955),(71 354.18005),(72 355.0053),(73 356.5372),(74 358.56998),(75 356.6501),(76 356.4202),(77 355.8904),(78 359.41495),(79 360.6212),
(1 151.41116),(2 196.68059),(3 215.12598),(4 222.9324),(5 231.36469),(6 237.75017),(7 242.89272),(8 245.68224),(9 251.30013),(10 256.42798),(11 262.60364),(12 265.95804),(13 269.6073),(14 269.6246),(15 272.23825),(16 276.38913),(17 276.6721),(18 278.7017),(19 279.54672),(20 280.82034),(21 283.19128),(22 285.3395),(23 287.69836),(24 282.94003),(25 283.52423),(26 281.89063),(27 280.7064),(28 279.53754),(29 276.27286),(30 271.72595),(31 272.25525),(32 273.68848),(33 268.69656),(34 267.32626),(35 267.1683),(36 268.24936),(37 268.21255),(38 266.77405),(39 266.36142),(40 263.68948),(41 264.29352),(42 270.17154),(43 275.09103),(44 279.11478),(45 285.71912),(46 287.71616),(47 290.52725),(48 294.67838),(49 299.19485),(50 303.40048),(51 305.75098),(52 310.1892),(53 311.6176),(54 317.21054),(55 322.20096),(56 326.1565),(57 330.09174),(58 332.0002),(59 335.33325),(60 337.01373),(61 340.58603),(62 344.62582),(63 344.64734),(64 342.65527),(65 349.05023),(66 349.40656),(67 352.2012),(68 353.36768),(69 353.93176),(70 354.1308),(71 356.05908),(72 359.02094),(73 359.33932),(74 358.7832),(75 357.1449),(76 357.92026),(77 359.11905),(78 360.6529),(79 361.10992),
