1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1283028.4),(2 1563248.4),(3 576805.44),(4 2167921.8),(5 2713113.3),(6 1768585),(7 3511879.3),(8 4278501),(9 3405531.8),(10 5211541.5),(11 6275086.5),(12 5514569.5),(13 7500734.5),(14 8893720),(15 8231968),(16 10490421),(17 12231883),(18 11445931),(19 13924336),(20 15757255),(21 15120407),(22 17490108),(23 19429942),(24 18839714),(25 21246854),(26 23376528),(27 22870480),(28 25143530),(29 27388998),(30 26619186),(31 28759166),(32 30821238),(33 29858408),(34 31801944),(35 34000930),(36 33187008),(37 34694656),(38 36563108),(39 35597572),(40 36662108),(41 38388180),(42 37369990),(43 38401844),(44 40173576),(45 39126372),(46 39960730),(47 41493700),(48 40188220),(49 40942940),(50 42420284),(51 41187204),(52 41840700),(53 43715160),(54 42622370),(55 43229556),(56 45136320),(57 44053052),(58 44570020),(59 46508596),(60 45451424),(61 45746284),(62 47527776),(63 46176532),(64 46472796),(65 48570964),(66 47734988),(67 48282828),(68 50748284),(69 50249292),(70 50825052),(71 53499330),(72 53053908),(73 53446212),(74 56010268),(75 55305984),(76 55389908),(77 58159124),(78 57653684),(79 57919104),
(1 42480.3),(2 99489.26),(3 124894.74),(4 128528.8),(5 134431.86),(6 143482.17),(7 145550.34),(8 143573.11),(9 144389.53),(10 145516.1),(11 141170.1),(12 136098.14),(13 137863.3),(14 144332.88),(15 145460.6),(16 145646.6),(17 149814.6),(18 156115.83),(19 157338.67),(20 155475.28),(21 157013.83),(22 160571.6),(23 160774.7),(24 162876.31),(25 166688.36),(26 171057.44),(27 174785.63),(28 173214.13),(29 173725.58),(30 173951.52),(31 170187.69),(32 166855.05),(33 167183.19),(34 171069.42),(35 174278.28),(36 175492.17),(37 178351.9),(38 181735.53),(39 181344.83),(40 183113.13),(41 185861.25),(42 186325.05),(43 184662.61),(44 185911.27),(45 188382.45),(46 186726.81),(47 186271.61),(48 188398.28),(49 191718.73),(50 192124.27),(51 190455.4),(52 189706.64),(53 188976.25),(54 187050.25),(55 190122.61),(56 195165.95),(57 193945.06),(58 191486.33),(59 190975.25),(60 191459.86),(61 188043.3),(62 184836.98),(63 186423.66),(64 191043.73),(65 193443.28),(66 191804.56),(67 190922.3),(68 192219.72),(69 195552.34),(70 198847.86),(71 198957.33),(72 197439.56),(73 195804.03),(74 195979.66),(75 195633.39),(76 196162.25),(77 194732.17),(78 193387.92),(79 195142.94),
(1 40151.156),(2 93974.95),(3 119965.01),(4 126615.805),(5 130608.66),(6 134908.28),(7 136895.9),(8 138243.05),(9 140425.34),(10 140791.75),(11 138566.81),(12 136723.6),(13 141503.64),(14 146562.72),(15 149242.58),(16 151761.75),(17 158099.94),(18 162955.27),(19 160840.73),(20 158387.52),(21 159813.2),(22 162077.67),(23 162244.92),(24 166414.47),(25 171370.88),(26 173486.22),(27 173555.8),(28 171251.02),(29 172027.03),(30 169812.78),(31 165214.5),(32 166736.08),(33 170531.19),(34 169843.36),(35 168493.75),(36 174308.67),(37 180906.14),(38 185028.11),(39 186005.47),(40 189070.89),(41 189330.42),(42 185113.47),(43 181060.53),(44 183636.84),(45 187970.81),(46 186256.4),(47 186428.4),(48 185525.52),(49 184922.27),(50 184221.53),(51 182666.42),(52 182023.3),(53 184027.66),(54 185467.14),(55 186803.88),(56 188034.16),(57 187285.3),(58 187046.77),(59 186960.9),(60 185169.77),(61 184155.23),(62 182615.73),(63 183503.94),(64 186109.6),(65 184305.5),(66 180971.17),(67 180240.63),(68 182806.16),(69 187103.4),(70 190953.86),(71 189538.5),(72 185310.77),(73 184439.8),(74 185624.95),(75 185763.89),(76 184375.58),(77 183892.25),(78 186805.78),(79 185191.52),
(1 38148.855),(2 90554.65),(3 114333.76),(4 115935.805),(5 114065.5),(6 117992.78),(7 120394.85),(8 121271.414),(9 123252.28),(10 124270.14),(11 122323.02),(12 121651.1),(13 123711.164),(14 126326.57),(15 127676.85),(16 129666.055),(17 132387.33),(18 130050.055),(19 127155.984),(20 127664.3),(21 132822.03),(22 137409.73),(23 134777.6),(24 136498.34),(25 141009.7),(26 143492.84),(27 144054.25),(28 144954.42),(29 148228.33),(30 146785.67),(31 144936.38),(32 146825.33),(33 148115.55),(34 149862.72),(35 152359.11),(36 159824.38),(37 164901.69),(38 166110.94),(39 170758.95),(40 175050.83),(41 176375.53),(42 173774.97),(43 175027.75),(44 181485.52),(45 187532.52),(46 187999.69),(47 186646.38),(48 184555.08),(49 181194.98),(50 180040.7),(51 179619.94),(52 179664.6),(53 179558.16),(54 182896.48),(55 185052.48),(56 183506.66),(57 177654.31),(58 172610.4),(59 172665.6),(60 175345.78),(61 177665.97),(62 178790.05),(63 176773.33),(64 173742.36),(65 169979),(66 167828.06),(67 169714.67),(68 171531.89),(69 171540.05),(70 169822.3),(71 169152.77),(72 168525.47),(73 167586),(74 166464.6),(75 164038.28),(76 163757.7),(77 166066.42),(78 168597.16),(79 169064.42),
(1 38364.625),(2 89009.78),(3 108663.54),(4 107495.32),(5 107878.055),(6 115080.13),(7 120494.25),(8 122766.45),(9 126284.74),(10 127107.44),(11 125026.84),(12 125524.234),(13 129400.39),(14 132042.86),(15 130395.68),(16 132053.84),(17 136111.17),(18 136322.06),(19 135155.89),(20 135760.75),(21 138897.61),(22 140659.61),(23 139165.9),(24 139360.84),(25 141000.83),(26 143022.86),(27 146684.05),(28 150684.31),(29 152795.31),(30 149101.53),(31 145113.36),(32 145008.73),(33 145856.58),(34 145893.5),(35 148043.11),(36 152969.3),(37 156393.23),(38 154665.97),(39 155446.03),(40 156830.08),(41 157519.6),(42 157873.1),(43 160813.45),(44 165362.03),(45 168815.53),(46 169111.19),(47 169142.53),(48 169778.06),(49 167661.17),(50 164108.48),(51 161555.55),(52 162256.53),(53 164871.33),(54 168778.1),(55 172098.53),(56 172160.16),(57 172053.52),(58 171039.42),(59 168981.7),(60 167476.77),(61 168907.16),(62 170811.56),(63 168984.97),(64 167978.08),(65 168115.67),(66 168166.3),(67 166182.06),(68 165792.58),(69 167479.84),(70 168683.5),(71 168793.25),(72 168045.25),(73 164928.58),(74 162209.1),(75 160563.05),(76 161665.55),(77 161194.81),(78 159966.25),(79 159034.08),
(1 37205.402),(2 86359.23),(3 105363.05),(4 102415.96),(5 102236.41),(6 109199.74),(7 113797.7),(8 117361.555),(9 119460.195),(10 119401.44),(11 119171.984),(12 120580.48),(13 124012.98),(14 124601.52),(15 124792.6),(16 126372.875),(17 128510.96),(18 128691.38),(19 126982.055),(20 129930.95),(21 136849.27),(22 139901.69),(23 138093.7),(24 138043.95),(25 139239.72),(26 141432.23),(27 144556.22),(28 145262.72),(29 147461.53),(30 145885.02),(31 144781.78),(32 146879.55),(33 146591.31),(34 145115.08),(35 145647.28),(36 148838.38),(37 152224.64),(38 152949.75),(39 153405.48),(40 154092.95),(41 155321.36),(42 155511.55),(43 158347.19),(44 162773.16),(45 163886.6),(46 165993.33),(47 168023.38),(48 167737.27),(49 164631.9),(50 163005.77),(51 162744.45),(52 162344.2),(53 164729.19),(54 167842.47),(55 167927.42),(56 166263.17),(57 167700.23),(58 167124.11),(59 163176.45),(60 158593.3),(61 158324.72),(62 160970.66),(63 159505.33),(64 156205.03),(65 156368.64),(66 157597.19),(67 158664.84),(68 158128.45),(69 157548.1),(70 158292.05),(71 160319.44),(72 161173.23),(73 160756.78),(74 158734.3),(75 157467.52),(76 158256.81),(77 157759.36),(78 158068.17),(79 157858.55),
(1 35510.055),(2 80934.94),(3 97539.11),(4 95608.13),(5 97470.14),(6 102947.266),(7 105216.6),(8 106562.01),(9 109271.734),(10 111170.27),(11 111502.875),(12 112343.734),(13 114607.66),(14 114463.9),(15 112078.055),(16 113524.13),(17 115112.46),(18 114674.125),(19 114434.87),(20 116806.86),(21 121328.5),(22 124182.92),(23 124858.805),(24 127727.625),(25 129821.336),(26 129235.266),(27 132027),(28 134466.72),(29 135929.13),(30 134330.52),(31 133804.4),(32 136221.3),(33 137790.52),(34 137888.27),(35 140997.23),(36 144554.92),(37 146113.58),(38 146074.33),(39 148391.36),(40 148934.67),(41 149943.86),(42 150489),(43 153416.72),(44 153905.44),(45 154935.22),(46 156460.39),(47 159986.88),(48 160402.38),(49 161307),(50 161838.6),(51 162771.75),(52 161966.08),(53 162066.4),(54 161361.77),(55 158875.78),(56 157328.16),(57 156433.4),(58 156151.58),(59 155878.34),(60 154092.4),(61 152822.47),(62 151027.97),(63 148816.83),(64 149307.03),(65 151978.22),(66 153722.34),(67 155540.25),(68 155268.58),(69 153265.53),(70 152743.52),(71 154842.4),(72 154988.27),(73 153766.64),(74 152319.11),(75 152388.7),(76 151143.94),(77 149807.31),(78 150048.22),(79 151317.11),
(1 35101.125),(2 79267.24),(3 94957.555),(4 93578.29),(5 96146.65),(6 102599.23),(7 106385.93),(8 107999.31),(9 110270.59),(10 110926.76),(11 108963.79),(12 109294.914),(13 113199.08),(14 115201.36),(15 115419.39),(16 119699.23),(17 122975.69),(18 123107.16),(19 123207.5),(20 125395.79),(21 127917.734),(22 127972.95),(23 130452.445),(24 134988.3),(25 138595.16),(26 141065.47),(27 141268.89),(28 138508.17),(29 138067.83),(30 138492.4),(31 137742.89),(32 138775.03),(33 137322.22),(34 138243.53),(35 141076.98),(36 144549.36),(37 146555.13),(38 148141.95),(39 150278.58),(40 152033.58),(41 155089.64),(42 158862.17),(43 163439.66),(44 164253.08),(45 165660.28),(46 167949.58),(47 168723.84),(48 167465.97),(49 166440.66),(50 165673.5),(51 165710.47),(52 166244.28),(53 162582.86),(54 158352.06),(55 157792.38),(56 159847.44),(57 160229.77),(58 158491.08),(59 158036.81),(60 157326.25),(61 157024.22),(62 156276.31),(63 154284.97),(64 153448.17),(65 152756.33),(66 153854.17),(67 155175.28),(68 154263.47),(69 153319.9),(70 151386.81),(71 148486.36),(72 148901.28),(73 150794.66),(74 153082.13),(75 154090.31),(76 152907.77),(77 151947.7),(78 152817.81),(79 156318.61),
(1 32740.883),(2 72607.336),(3 86914.086),(4 87423.67),(5 90797.86),(6 97218.3),(7 99599.445),(8 101045.19),(9 104172.914),(10 105643.45),(11 102678.734),(12 101669.98),(13 104120.914),(14 108226.055),(15 111818.94),(16 115016.42),(17 116223.1),(18 115206.27),(19 117075.65),(20 122090.38),(21 125315.555),(22 125667.4),(23 126244.62),(24 126976.95),(25 127539.06),(26 130674.625),(27 132856.88),(28 133608.2),(29 132916.58),(30 130811.22),(31 128662.695),(32 130335.766),(33 130816.234),(34 133680.78),(35 137522.05),(36 138897.52),(37 139655.4),(38 139415.45),(39 139567.64),(40 139161.77),(41 139928.97),(42 141277.31),(43 142535.98),(44 143943.8),(45 146275.77),(46 148182.5),(47 149485.84),(48 149730.92),(49 148979.31),(50 147435.3),(51 147818.56),(52 150145.6),(53 151401.89),(54 153063.88),(55 152334.89),(56 151600.25),(57 152206.44),(58 153198.72),(59 151175.08),(60 148583.38),(61 146689.48),(62 144625.02),(63 143254.66),(64 143940.86),(65 144027.13),(66 145496.72),(67 148758.6),(68 151608.6),(69 152849.31),(70 149769.23),(71 147533.17),(72 147064.56),(73 146315.1),(74 144684.66),(75 142752.34),(76 142620.3),(77 142267.06),(78 141797.02),(79 140002.67),
(1 33640.707),(2 74242.54),(3 87041.77),(4 85271.24),(5 88737.82),(6 95217.164),(7 97385.12),(8 99613.586),(9 103439.914),(10 103543.31),(11 101915.875),(12 102765.305),(13 105063.17),(14 106874.55),(15 108936.69),(16 111810.09),(17 111205.01),(18 109659.48),(19 114009.55),(20 119881.08),(21 119486.24),(22 119092.95),(23 120712.66),(24 122366.23),(25 122682.695),(26 124838.086),(27 128139.7),(28 125932.85),(29 125477.195),(30 126899.08),(31 128621.05),(32 127389.945),(33 128390.695),(34 132062.23),(35 136516.14),(36 137922.22),(37 137618.98),(38 137884.88),(39 137021.67),(40 136902.77),(41 140336),(42 142826.38),(43 142321.92),(44 141243.23),(45 142458.47),(46 144466.92),(47 144812.64),(48 143347.06),(49 144058.4),(50 146149.3),(51 148891.11),(52 147361.45),(53 145122.98),(54 146759.58),(55 148473.58),(56 145556.39),(57 143258.92),(58 144202.42),(59 143752.81),(60 140655.61),(61 139240.31),(62 139461.45),(63 140106.97),(64 138065.08),(65 136962.9),(66 136121.77),(67 136539.3),(68 137554.17),(69 138509.81),(70 138899.5),(71 139145.13),(72 138127.47),(73 136679.56),(74 136402.47),(75 135734.36),(76 136048.47),(77 136061.9),(78 135623.31),(79 132753.1),
(1 32709.492),(2 71219.41),(3 82323.26),(4 82106.09),(5 86816.555),(6 90909.55),(7 90550.15),(8 92229.62),(9 96148.96),(10 97476.914),(11 98208.29),(12 100315.35),(13 101326.266),(14 101449.93),(15 104724.695),(16 108066.97),(17 107887.33),(18 106255.75),(19 108920.266),(20 112650.836),(21 113110.07),(22 113100.66),(23 115128.266),(24 116217.984),(25 118088.87),(26 121088.61),(27 121255.73),(28 118369.89),(29 118074.375),(30 118176.47),(31 117959.68),(32 118638.88),(33 122324.15),(34 126766.94),(35 128244.52),(36 127413.93),(37 128046.29),(38 128734.055),(39 128743.19),(40 130217.39),(41 132625.56),(42 134283.83),(43 135668.13),(44 136484),(45 136397.3),(46 136058.2),(47 136341.64),(48 136277.69),(49 135907.2),(50 136742.64),(51 137517.52),(52 136651.61),(53 135771.53),(54 136782.17),(55 137861.6),(56 138021.86),(57 136960.86),(58 137112.77),(59 134507.6),(60 132665.72),(61 132813.9),(62 133957.81),(63 136008.47),(64 138834.06),(65 139951.53),(66 136968.9),(67 134053.63),(68 132947.47),(69 132712.56),(70 132881.75),(71 132576.25),(72 131043.64),(73 129070.8),(74 127151.55),(75 127215.28),(76 128131.38),(77 127312.56),(78 126200.79),(79 125330.484),
(1 33718.043),(2 70964.05),(3 81704.164),(4 81478.66),(5 84696.305),(6 90032.73),(7 90936.23),(8 90870.53),(9 93491.56),(10 96306.57),(11 96935.08),(12 99119.195),(13 103485.93),(14 104297.695),(15 104830.86),(16 106421.414),(17 106099.57),(18 105892.66),(19 108844.11),(20 111578.86),(21 112558.49),(22 113240.03),(23 114126.24),(24 114532.81),(25 115872.53),(26 118990.15),(27 119099.04),(28 116713.45),(29 117231.37),(30 116164.875),(31 114607.836),(32 116127.14),(33 117111.984),(34 120192.766),(35 122957.305),(36 122799.04),(37 124341.33),(38 126053.29),(39 127310.33),(40 130147.64),(41 131419.9),(42 131741.34),(43 133299.38),(44 134994.83),(45 136072.9),(46 135225.22),(47 134033.17),(48 134357.34),(49 134592.67),(50 135107.39),(51 134587.7),(52 134061.3),(53 134595.14),(54 134390.84),(55 132575.45),(56 132526.27),(57 134290.39),(58 134823.81),(59 132845.75),(60 131925.6),(61 132639.7),(62 132914.14),(63 131186.9),(64 132356.44),(65 132767.31),(66 131649.88),(67 129859.2),(68 128427.26),(69 129160.48),(70 133976.8),(71 134941.23),(72 132167.84),(73 130527.67),(74 131538.39),(75 131614.25),(76 129234.75),(77 127413.42),(78 129107.8),(79 132656.11),
(1 31733.854),(2 67054.92),(3 77170.4),(4 77098.64),(5 80669.73),(6 84399.07),(7 84715.55),(8 86679.3),(9 88153.97),(10 87953.56),(11 90303.16),(12 91553.555),(13 92966.04),(14 93872.3),(15 95584.66),(16 98812.805),(17 101933.21),(18 102438.41),(19 102462.14),(20 103447.4),(21 105080.31),(22 105884.63),(23 105736.55),(24 108449.09),(25 112208.34),(26 113695.805),(27 114766.68),(28 113657.15),(29 112675.08),(30 111977.53),(31 113163.2),(32 115960.31),(33 116160.625),(34 118902.125),(35 120831.73),(36 120569.13),(37 121795.58),(38 123014.164),(39 123261.93),(40 127011.13),(41 129875.8),(42 131061.92),(43 131481.39),(44 131494.53),(45 130966.95),(46 131628.08),(47 130947.484),(48 132433.53),(49 133680.84),(50 133369.23),(51 133209.84),(52 133663.11),(53 134830.38),(54 135188.14),(55 135310.16),(56 135917.5),(57 135620.67),(58 134845.22),(59 133934.75),(60 133341.8),(61 132422.52),(62 133940.27),(63 134031.2),(64 134040.78),(65 132533),(66 131080.56),(67 130631.45),(68 131714.52),(69 134199),(70 134083.2),(71 132631.69),(72 130545.17),(73 130451.336),(74 130097.13),(75 128578.53),(76 127943.85),(77 127181.58),(78 126426.71),(79 126797.14),
(1 31058.04),(2 63986.9),(3 71677.11),(4 71646.5),(5 75320.336),(6 79334.36),(7 80348.57),(8 82656.46),(9 83922.94),(10 84008.945),(11 86218.8),(12 88927.05),(13 90377.92),(14 91330.14),(15 92732.42),(16 94296.71),(17 94835.03),(18 94457.8),(19 95289.09),(20 96635.57),(21 98354.984),(22 98595.8),(23 100106.97),(24 103153.59),(25 106903.54),(26 109417.01),(27 111253.42),(28 110761.484),(29 110740.22),(30 110336.91),(31 109539.43),(32 110181.2),(33 110822.12),(34 115111.086),(35 117652.164),(36 117113.29),(37 117849.43),(38 118878.87),(39 121531.47),(40 123981.47),(41 126077.445),(42 126901.42),(43 127421.39),(44 126484.16),(45 125388.5),(46 126071.65),(47 127985.164),(48 131140),(49 134498.45),(50 134048.44),(51 132402.52),(52 131860.95),(53 133183.4),(54 133411.89),(55 132855.56),(56 133790.7),(57 133549.52),(58 130799.98),(59 129532.06),(60 129346.836),(61 129217.7),(62 127990.695),(63 128798.13),(64 128979.766),(65 128335.484),(66 127593.43),(67 127771.76),(68 127686.61),(69 127648.555),(70 127106.99),(71 124979.92),(72 124022.61),(73 124001.82),(74 123565.94),(75 124495.43),(76 126656.28),(77 128172.46),(78 127333.91),(79 125590.22),
(1 28201.482),(2 58491.98),(3 67273.914),(4 68530.016),(5 71997.47),(6 75270.62),(7 75373.875),(8 77517.68),(9 79368.18),(10 79742.305),(11 82718.625),(12 85430.59),(13 85890.26),(14 86357.05),(15 89782.91),(16 94359.69),(17 95264.4),(18 94501.97),(19 94838.93),(20 95818.83),(21 98151.17),(22 99554.34),(23 100400.516),(24 102547.26),(25 104747.52),(26 105780.33),(27 107988.18),(28 110297.97),(29 111243.62),(30 109740.266),(31 109957.73),(32 111898.336),(33 113221.03),(34 114744.53),(35 116098.55),(36 116178.52),(37 118134.66),(38 120147.89),(39 121314.85),(40 122343.69),(41 123256),(42 121384.414),(43 120835.86),(44 122437.63),(45 125988.03),(46 128421.62),(47 130418.75),(48 130902.164),(49 130736.74),(50 129504.4),(51 128116.836),(52 127229.04),(53 126739.836),(54 126288.44),(55 127542.125),(56 129314.56),(57 127949.04),(58 125703.164),(59 125146.55),(60 124821.56),(61 125450.586),(62 123716.125),(63 123646.29),(64 125656.63),(65 125085.2),(66 124509.74),(67 125605.58),(68 126671.18),(69 127192.96),(70 124935.07),(71 123754.766),(72 123131.195),(73 121691.04),(74 120069.71),(75 118476.11),(76 119882.305),(77 121063.93),(78 120941.055),(79 120848.055),
(1 29696.504),(2 61952.59),(3 70939.12),(4 71998.46),(5 74834.22),(6 77317.18),(7 77414.6),(8 78657.63),(9 79156.3),(10 79855.89),(11 80923.58),(12 83317.84),(13 85580.27),(14 88640.55),(15 91131.99),(16 92782.445),(17 90817.98),(18 91036.75),(19 93069),(20 94533.664),(21 96106.95),(22 95723.71),(23 96442.66),(24 100080.16),(25 101761.72),(26 101592.99),(27 101231.24),(28 101111.65),(29 100640.74),(30 101046.95),(31 103502.805),(32 106357.46),(33 108095.45),(34 110511.69),(35 112022.234),(36 113147.32),(37 112758.31),(38 114562.664),(39 116432.34),(40 115834.76),(41 114748.31),(42 113239.87),(43 112559.3),(44 115302.54),(45 118306.195),(46 118598.68),(47 119374.58),(48 119728.97),(49 119125.3),(50 118897.11),(51 118659.23),(52 117848.5),(53 115855.82),(54 116511.88),(55 118791.75),(56 119502.7),(57 119832.39),(58 120068.445),(59 120431.83),(60 120971.19),(61 122390.98),(62 123414.86),(63 121541.2),(64 119985.53),(65 119027.88),(66 120365.9),(67 121841.555),(68 120300.42),(69 119349.49),(70 119252.39),(71 117342.055),(72 117664.13),(73 117766.26),(74 116350.27),(75 116051.3),(76 116343.555),(77 114402.37),(78 114357.66),(79 116081.805),
(1 28315.098),(2 58357.992),(3 66452.945),(4 68484.164),(5 72490.73),(6 75601.83),(7 76156.56),(8 78913.305),(9 79883.29),(10 79312.3),(11 79860.49),(12 82304.26),(13 85147.32),(14 88795.45),(15 91684.98),(16 93198.875),(17 93018.99),(18 92962.44),(19 93215.92),(20 94411.695),(21 94575.09),(22 95027.08),(23 95342.88),(24 98150.09),(25 100509.055),(26 100885.44),(27 102781.2),(28 104292.21),(29 104647.414),(30 105592.59),(31 106477.27),(32 107054.984),(33 106410.15),(34 106861.67),(35 109190.7),(36 110895.18),(37 112080.89),(38 111877.8),(39 113472.74),(40 113910.56),(41 113438.78),(42 113782.375),(43 114735.4),(44 116270.06),(45 118507.63),(46 118497.94),(47 118841.336),(48 120587.586),(49 120940.1),(50 120441.71),(51 120240.2),(52 118725.695),(53 117284.45),(54 118385.17),(55 119097.05),(56 118751.17),(57 118520.516),(58 121477.07),(59 123890.31),(60 123399.42),(61 122234.266),(62 121936.125),(63 120869.21),(64 120566.82),(65 119797.22),(66 119835.22),(67 121220.33),(68 121532.15),(69 119860.37),(70 119193.17),(71 120402.89),(72 119826.83),(73 119596.33),(74 119206.02),(75 117133.586),(76 116814.41),(77 116561.625),(78 115339.52),(79 114197.92),
(1 28643.516),(2 57733.137),(3 63397.156),(4 63848.09),(5 67864.13),(6 70886.16),(7 72341.06),(8 73364.42),(9 73607.62),(10 72728.83),(11 73745.67),(12 75543.85),(13 75649.59),(14 77441.88),(15 80850.71),(16 82696.29),(17 83860.38),(18 85061.13),(19 85207.57),(20 84456.31),(21 87079.3),(22 90227.86),(23 92505.68),(24 94657.98),(25 95870.34),(26 96010.26),(27 96814.195),(28 95623.48),(29 94953.82),(30 95654.23),(31 98352.266),(32 99682.52),(33 98151.664),(34 98807.98),(35 101942.94),(36 103450.01),(37 104631.63),(38 106172.85),(39 108380.45),(40 108275.516),(41 107917.73),(42 108705.86),(43 109731.59),(44 110894.836),(45 112342.68),(46 112230.625),(47 111984.484),(48 112355.86),(49 112564.734),(50 112241.05),(51 110818.26),(52 108996.586),(53 108129.68),(54 108827.95),(55 109603),(56 110539.94),(57 111366.72),(58 111767.36),(59 111135.53),(60 110691.46),(61 109665.48),(62 109283.55),(63 109145.18),(64 108367.65),(65 106656.14),(66 105950.86),(67 106915.766),(68 107317.766),(69 108126.82),(70 107811.125),(71 107025.88),(72 107909.04),(73 108152.914),(74 107648.23),(75 106596.99),(76 107008.94),(77 107719.555),(78 106673.766),(79 106250.11),
(1 26496.39),(2 53503.977),(3 61452.586),(4 63453.164),(5 66246.9),(6 68330.06),(7 71098.195),(8 72593.86),(9 71956.445),(10 70622.65),(11 71267.36),(12 73329.49),(13 74906.44),(14 76522.305),(15 78600.12),(16 80218.67),(17 82042.74),(18 82162.3),(19 83644.75),(20 86164.195),(21 88206.68),(22 88596.35),(23 89719.51),(24 92249.65),(25 93446.87),(26 93766.94),(27 94965.555),(28 94493.305),(29 94923.77),(30 96298.52),(31 97897.32),(32 99660.055),(33 99833.516),(34 100369.25),(35 102091.49),(36 104096.29),(37 104871.64),(38 106259.06),(39 108194.336),(40 108711.56),(41 108860.87),(42 109745.16),(43 111675.49),(44 112759.29),(45 113524.85),(46 113784.086),(47 113066.58),(48 113031.95),(49 113824.36),(50 112937.734),(51 109470.67),(52 108110.195),(53 109804.49),(54 110502.664),(55 110097.195),(56 110291.98),(57 111067.24),(58 110161.59),(59 109312.51),(60 109214.58),(61 108559.17),(62 108023.22),(63 106706.12),(64 108204.984),(65 107686.06),(66 106666.984),(67 106181.664),(68 106959.29),(69 106303.11),(70 105084.75),(71 105869.96),(72 108275.06),(73 109194.06),(74 108329.98),(75 107513.23),(76 107417.77),(77 107731.96),(78 107710.02),(79 107842.82),
