1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 79536.01),(2 282891.63),(3 592443.8),(4 968519.3),(5 1388657.1),(6 1802003.4),(7 2212640),(8 2600696.8),(9 2937166.8),(10 3220376),(11 3444015),(12 3595228),(13 3681372.3),(14 3699900),(15 3706602),(16 3726112),(17 3718508),(18 3760019.8),(19 3913669.3),(20 4166115),(21 4486752.5),(22 4901677.5),(23 5382964.5),(24 5957830.5),(25 6583076.5),(26 7310844),(27 8180611.5),(28 9219488),(29 10386760),(30 11699080),(31 13107420),(32 14484901),(33 15966563),(34 17542190),(35 19128684),(36 20761946),(37 22454432),(38 24183194),(39 25918838),(40 27644602),(41 29361592),(42 31099306),(43 32740834),(44 34274170),(45 35678620),(46 37074130),(47 38194412),(48 39141292),(49 39904764),(50 40448696),(51 40673890),(52 40792188),(53 40662932),(54 40402790),(55 40038310),(56 39689600),(57 39332444),(58 38906224),(59 38330156),(60 37700316),(61 36977932),(62 36187852),(63 35282440),(64 34391684),(65 33515018),(66 32692472),(67 31777768),(68 30858174),(69 29964290),(70 29092942),(71 28265168),(72 27550688),(73 26889498),(74 26337592),(75 25848178),(76 25510950),(77 25289728),(78 25084256),(79 24979920),
(1 7234.619),(2 16180.712),(3 23076.64),(4 28465.205),(5 32283.652),(6 35211.164),(7 37168.195),(8 38261.297),(9 39615.383),(10 40667.51),(11 41828.965),(12 42967.426),(13 44326.77),(14 45794.875),(15 46515.83),(16 47170.508),(17 47855.617),(18 48252.6),(19 48010.293),(20 48353.957),(21 48578.906),(22 48358.473),(23 48180.938),(24 48783.49),(25 49619.586),(26 49650.973),(27 49689.184),(28 50001.08),(29 50255.32),(30 50239.6),(31 50672.2),(32 51167.62),(33 51386.727),(34 51176.273),(35 51055.203),(36 51063.645),(37 51123.34),(38 51107.742),(39 51391.06),(40 51275.227),(41 50994.586),(42 51438.754),(43 51476.543),(44 51589.63),(45 52077.113),(46 52756.57),(47 53114.617),(48 54170.203),(49 54569),(50 54456.92),(51 54358.848),(52 54126.645),(53 54189.37),(54 54270.242),(55 54135.785),(56 54051.57),(57 53607.813),(58 53444.125),(59 53541.066),(60 53536.4),(61 53899.29),(62 54548.31),(63 54774.94),(64 54969.227),(65 55074.25),(66 54678.277),(67 54890.266),(68 54522.918),(69 53984.98),(70 54235.4),(71 54864.836),(72 54863.11),(73 54743.75),(74 54595.766),(75 54675.28),(76 54755.31),(77 54599.016),(78 54222.02),(79 53762.344),
(1 7442.3086),(2 16376.047),(3 23186.732),(4 27985.22),(5 31566.924),(6 34120.027),(7 35619.12),(8 37107.402),(9 38255.707),(10 39458.07),(11 40723.777),(12 41772.91),(13 42900.125),(14 44334.61),(15 45307.754),(16 45994.8),(17 46507.715),(18 46665.53),(19 46286.78),(20 46645.598),(21 46176.203),(22 46040.58),(23 46107.582),(24 46865.297),(25 47522.594),(26 48398.875),(27 48854.016),(28 49649.395),(29 50168.05),(30 50949.13),(31 51748.223),(32 52103.973),(33 52275.375),(34 52799.69),(35 53419.91),(36 54049.047),(37 54303.94),(38 54517.113),(39 55119.965),(40 55476.3),(41 55613.418),(42 56079.19),(43 56009.645),(44 55993.59),(45 55845.453),(46 55465.832),(47 55169.78),(48 55329.66),(49 54522.004),(50 54408.44),(51 54286.098),(52 54310.895),(53 54380.035),(54 54559.605),(55 54007.215),(56 53979.973),(57 54037.863),(58 53834.156),(59 53558.676),(60 53304.406),(61 53690.535),(62 53889.31),(63 53738.105),(64 53531.297),(65 53179.66),(66 52924.895),(67 53095.31),(68 53237.28),(69 53111.035),(70 53659.58),(71 54188.387),(72 54443.246),(73 54887.082),(74 54996.613),(75 55244.363),(76 55154.67),(77 55121.72),(78 54878.918),(79 54625.395),
(1 7357.8154),(2 15654.003),(3 22047.934),(4 26870.55),(5 30037.39),(6 32483.613),(7 34573.695),(8 36141.074),(9 36797.652),(10 37630.063),(11 38714.43),(12 39971.266),(13 41191.16),(14 42495.176),(15 43316.066),(16 43694.31),(17 44283.9),(18 44440.043),(19 45028.84),(20 45585.22),(21 46090.348),(22 46736.676),(23 47393.766),(24 48025.51),(25 48346.273),(26 48410.594),(27 48727.523),(28 49335.914),(29 49367.586),(30 49611.99),(31 50255.58),(32 50645.164),(33 50705.75),(34 50959.117),(35 51330.57),(36 51472.758),(37 51787.266),(38 52187.61),(39 52278.54),(40 52235.832),(41 52463.734),(42 52880.97),(43 52555.906),(44 52143.523),(45 51994.52),(46 51453.34),(47 51081.31),(48 51460.16),(49 51134.496),(50 51067.684),(51 51040.777),(52 50910.25),(53 51193.715),(54 51073.047),(55 50676.25),(56 50739.92),(57 50403.242),(58 51278.004),(59 52124.11),(60 52074.668),(61 52204.473),(62 51722.594),(63 51693.152),(64 51974.535),(65 52074.547),(66 51867.434),(67 51790.434),(68 51548.52),(69 51581.01),(70 51346.855),(71 51139.258),(72 51024.33),(73 51270.832),(74 51632.496),(75 52153.547),(76 52294.074),(77 52069.98),(78 51565.1),(79 50905.625),
(1 7002.833),(2 15037.186),(3 21241.918),(4 26329.4),(5 29786.006),(6 32753.604),(7 34808.38),(8 36276.543),(9 37229.555),(10 38134.75),(11 38702.477),(12 39178.164),(13 39961.65),(14 40953.22),(15 41821.344),(16 42572.664),(17 42574.547),(18 42574.07),(19 43089.57),(20 43622.25),(21 44338.887),(22 44980.3),(23 45480.9),(24 45505.184),(25 45473.918),(26 45941.914),(27 46371.83),(28 47005.176),(29 47372.29),(30 47665.082),(31 47459.83),(32 47059.777),(33 47058.348),(34 47157.46),(35 47831.027),(36 47951.39),(37 48306.406),(38 48704.742),(39 49009.027),(40 49026.86),(41 48940.67),(42 48783.78),(43 48678.47),(44 48595.504),(45 48862.547),(46 48899.43),(47 48899.285),(48 48870.17),(49 48602.348),(50 49096.563),(51 49311.207),(52 49602.26),(53 50398.65),(54 50867.59),(55 50921.25),(56 51041.402),(57 51305.305),(58 51775.188),(59 51896.99),(60 51292.973),(61 51438.65),(62 51773.57),(63 51902.117),(64 51837.68),(65 51655.29),(66 51263.277),(67 51001.684),(68 50941.49),(69 50749.453),(70 50533.598),(71 50351.535),(72 50491.22),(73 50528.14),(74 50894.434),(75 51030.824),(76 50859.063),(77 50818.523),(78 50453.32),(79 49901.258),
(1 6911.917),(2 14688.099),(3 20628.152),(4 25076.947),(5 28359.428),(6 30852.373),(7 32777.55),(8 34315.355),(9 35731.88),(10 36936.47),(11 37779.746),(12 38430.1),(13 39386.758),(14 40181.543),(15 40792.82),(16 41700.1),(17 42226.594),(18 42404.063),(19 42835.598),(20 43681.74),(21 44344.79),(22 45098.62),(23 45254.92),(24 45383.85),(25 45480.184),(26 45413.285),(27 45702.813),(28 45810.332),(29 45811.12),(30 46417.336),(31 46701.844),(32 46724.617),(33 47285.887),(34 47947.93),(35 48408.516),(36 48423.063),(37 48729.066),(38 48635.297),(39 48600.684),(40 47929.813),(41 48056.453),(42 48224.336),(43 48371.53),(44 48904.785),(45 48793.656),(46 49018.67),(47 49540.72),(48 50159.7),(49 50285.855),(50 50615.855),(51 50664.82),(52 50820.76),(53 51270.746),(54 51661.266),(55 51512.55),(56 50944.117),(57 50522.367),(58 50525.42),(59 50285.668),(60 50390.137),(61 51199.082),(62 51355.004),(63 51919.246),(64 51666.594),(65 51017.633),(66 50731.2),(67 50882.92),(68 51214.33),(69 51222.348),(70 51191.617),(71 51609.582),(72 51549.03),(73 51543.496),(74 51655.133),(75 51630.082),(76 51523.367),(77 51660.535),(78 51314.87),(79 50608.1),
(1 7001.0503),(2 14992.224),(3 20935.299),(4 25170.53),(5 28393.799),(6 30766.432),(7 32714.256),(8 34162.152),(9 35553.91),(10 36514.59),(11 37377.535),(12 38023.51),(13 38958.727),(14 39758.563),(15 40158.832),(16 40715.64),(17 41066.633),(18 41173.992),(19 41521.34),(20 41318.375),(21 41354.344),(22 41396.29),(23 42040.28),(24 42545.24),(25 42798.918),(26 43266.543),(27 44119.285),(28 44438.16),(29 44614.74),(30 44877.137),(31 45421.742),(32 45276.055),(33 45750.383),(34 46062.42),(35 45764.598),(36 45673.31),(37 45540.527),(38 45362.11),(39 45326.39),(40 45481.27),(41 46126.78),(42 46556.047),(43 46887.69),(44 47067.453),(45 47316.71),(46 47327.2),(47 47243.387),(48 47079.47),(49 46667.164),(50 46238.57),(51 46604.285),(52 46998.77),(53 46726.09),(54 46493.793),(55 46673.145),(56 46924.816),(57 47410.508),(58 47620.742),(59 47696.395),(60 47860.527),(61 48179.305),(62 48672.8),(63 49058.945),(64 49141.55),(65 49084.605),(66 48803.363),(67 48657.78),(68 48596.137),(69 48312.332),(70 47886.42),(71 48152.715),(72 48484.34),(73 48581.9),(74 48446.324),(75 48049.16),(76 47557.207),(77 47453.53),(78 47275.25),(79 46995.387),
(1 6871.2227),(2 14526.109),(3 19955.799),(4 24054.893),(5 27112.752),(6 29347.752),(7 31018.088),(8 32218.158),(9 33230.152),(10 34175.273),(11 34912.184),(12 35608.54),(13 36410.504),(14 37392.42),(15 38370.914),(16 38987.07),(17 39426.25),(18 39974.406),(19 40440.594),(20 40637.793),(21 40912.29),(22 41383.168),(23 41792.668),(24 42368.406),(25 42729.316),(26 43190.89),(27 43465.086),(28 43676.504),(29 43960.41),(30 44316.625),(31 44836.63),(32 45372.234),(33 45847.383),(34 45759.055),(35 45438.688),(36 45263.176),(37 45076.707),(38 45278.42),(39 45211.21),(40 44831.508),(41 45221.543),(42 45602.56),(43 45674.906),(44 46133.316),(45 46587.688),(46 46865.543),(47 47474.03),(48 47732.46),(49 47928.74),(50 48217.047),(51 49004.36),(52 49219.508),(53 49116.34),(54 48903.67),(55 48888.984),(56 49469.027),(57 50058.67),(58 50212.184),(59 49863.72),(60 49905.03),(61 49670.316),(62 49647.383),(63 49790.13),(64 50070.824),(65 49689.58),(66 49137.34),(67 49046.863),(68 48659.05),(69 48188.01),(70 47906.086),(71 48067.688),(72 47831.82),(73 47991.918),(74 48097.164),(75 47850.95),(76 47531.805),(77 47332.67),(78 47623),(79 47613.36),
(1 6953.4146),(2 14548.415),(3 20255.393),(4 24521.115),(5 27817.107),(6 30384.813),(7 31965.055),(8 33447.523),(9 34839.566),(10 36079.297),(11 36940.957),(12 37739.62),(13 38514.973),(14 38841.89),(15 39672.496),(16 40251.805),(17 40937.824),(18 41461.645),(19 41605.156),(20 41564.258),(21 41727.97),(22 41928.85),(23 42222.805),(24 42822.363),(25 43180.72),(26 43435.137),(27 43525.19),(28 43694.316),(29 43788.53),(30 44014.938),(31 44658.242),(32 44512.793),(33 44375.24),(34 44152.754),(35 43951.215),(36 43796.113),(37 44069.793),(38 43880.07),(39 44197.64),(40 44194.723),(41 44452.945),(42 44454.563),(43 44451.87),(44 44321.49),(45 44207.45),(46 44289.043),(47 44364.44),(48 44344.21),(49 44120.91),(50 44169.3),(51 44426.355),(52 44504.508),(53 44408.03),(54 44941.508),(55 45273.805),(56 45914.492),(57 46229.277),(58 46752.125),(59 46926.13),(60 46747.28),(61 46867.785),(62 47085.96),(63 47423.676),(64 47974.637),(65 47917.31),(66 47959.99),(67 47923.957),(68 47725.39),(69 47874.15),(70 47896.43),(71 48025.59),(72 48380.31),(73 48580.098),(74 48838.09),(75 48883.37),(76 48143.47),(77 47357.977),(78 46921.438),(79 46484.223),
(1 6747.4565),(2 14264.198),(3 19469.92),(4 23443.895),(5 26610.426),(6 29021.273),(7 30828.19),(8 32314.207),(9 33520.715),(10 34562.07),(11 35390.465),(12 36440.496),(13 37657.098),(14 38662.76),(15 39566.855),(16 40339.918),(17 40566.543),(18 40743.08),(19 40983.766),(20 41034.977),(21 41433.82),(22 41948.383),(23 42393.51),(24 43070.547),(25 43091.46),(26 42889.832),(27 43020.305),(28 42799),(29 42765.313),(30 43380.785),(31 43987.402),(32 43966.836),(33 43870.297),(34 44106.47),(35 44075.406),(36 43918.8),(37 43774.32),(38 43870.973),(39 44235.527),(40 44639.7),(41 44457.86),(42 44046.32),(43 43636.707),(44 43625.293),(45 43900.39),(46 44639.55),(47 44697.906),(48 44860.344),(49 44191.33),(50 44034.34),(51 44235.258),(52 44257.29),(53 44433.45),(54 44703.844),(55 44403.875),(56 44630.746),(57 45123.156),(58 46056.754),(59 46409.633),(60 46211.67),(61 45985.883),(62 45598.664),(63 45691.957),(64 45816.49),(65 45755.38),(66 45730.97),(67 46486.86),(68 46757.348),(69 47325.97),(70 47771.027),(71 47804.38),(72 47150.15),(73 46565.832),(74 46169.137),(75 45901.85),(76 45564.965),(77 45610.11),(78 45534.348),(79 45202.246),
(1 6662.841),(2 14017.902),(3 19338.857),(4 23186.361),(5 25870.238),(6 28025.242),(7 29697.178),(8 30833.904),(9 31882.686),(10 32446.078),(11 32593.756),(12 33224.992),(13 34155.215),(14 34590.33),(15 35264.86),(16 35934.934),(17 36547.848),(18 36816.55),(19 37120.43),(20 37295.625),(21 37828.434),(22 38186.133),(23 38709.535),(24 38852.527),(25 38929.074),(26 39074.406),(27 39715.074),(28 39911.79),(29 40085.5),(30 40203.336),(31 40231.8),(32 39984.9),(33 39516.703),(34 39384.92),(35 39341.574),(36 39526.12),(37 39627.98),(38 40137.414),(39 40895.637),(40 41169.758),(41 41251.918),(42 41021.926),(43 41085.23),(44 40957.61),(45 41251.668),(46 41484.83),(47 41649.453),(48 41582.527),(49 41972.348),(50 41971.727),(51 42150.79),(52 42411.668),(53 42599.39),(54 43020.71),(55 43891.844),(56 44247.816),(57 44133.945),(58 44393.492),(59 44588.008),(60 44220.203),(61 44176.777),(62 44511.18),(63 44804.25),(64 44944.24),(65 45029.22),(66 45210.293),(67 45518.387),(68 45348.055),(69 45305.563),(70 45205.19),(71 44725.355),(72 44268.668),(73 44261.023),(74 44532.6),(75 44735.797),(76 44756.73),(77 45144.543),(78 45380.547),(79 45504.08),
(1 6688.2925),(2 14082.422),(3 19278.096),(4 22876.488),(5 25593.03),(6 27828.5),(7 29370.68),(8 30260.59),(9 31287.334),(10 32188.084),(11 32876.016),(12 33676.61),(13 34573.797),(14 35073.63),(15 35526.777),(16 35980.363),(17 36498.414),(18 36959.32),(19 37196.71),(20 37522.465),(21 37744.38),(22 38259.055),(23 38712.17),(24 39112.156),(25 39282.465),(26 39425.105),(27 39554.51),(28 39531.844),(29 39626.63),(30 39858.945),(31 39767.688),(32 39609.85),(33 39399.008),(34 39669.777),(35 39674.934),(36 39520.246),(37 39506.36),(38 39530.64),(39 39564.273),(40 40101.617),(41 40195.574),(42 40225.7),(43 40352.484),(44 40969.016),(45 41355.457),(46 41693.06),(47 41809.246),(48 41363.15),(49 41107.44),(50 41428.58),(51 41702.78),(52 41785.164),(53 42060.04),(54 42405.223),(55 42540.293),(56 42733.3),(57 42549.633),(58 42454.117),(59 42502.348),(60 42105.15),(61 42087.34),(62 42106.734),(63 42360.86),(64 42887.87),(65 43373.145),(66 43412.11),(67 43633.188),(68 43271.063),(69 43613.35),(70 43483.504),(71 43201.32),(72 43104.047),(73 42984.598),(74 42851.305),(75 42744.973),(76 42906.156),(77 43326.832),(78 43683.66),(79 43783.168),
(1 6543.015),(2 13640.642),(3 18724.643),(4 22135.32),(5 24794.723),(6 26549.709),(7 28197.098),(8 29558.828),(9 30537.094),(10 31247.613),(11 31835.563),(12 32708.459),(13 33606.207),(14 34065.64),(15 34459.49),(16 34755.004),(17 35346.96),(18 35436.375),(19 35513.055),(20 35646.16),(21 36282.613),(22 36761.617),(23 37264.867),(24 37394.145),(25 37696.035),(26 37720.254),(27 37944.836),(28 38183.484),(29 38379.887),(30 38766.188),(31 39142.492),(32 39069.348),(33 39381.438),(34 39596.297),(35 39657.645),(36 39572.34),(37 39702.207),(38 39424.766),(39 39537.285),(40 39153.68),(41 38945.184),(42 38385.984),(43 38327.984),(44 38578.86),(45 38792.047),(46 39116.504),(47 39765.633),(48 40040.332),(49 39994.645),(50 40529.176),(51 40712.613),(52 40883.16),(53 41241.758),(54 41108.477),(55 40992.598),(56 41009.066),(57 40894.867),(58 40692.29),(59 40641.34),(60 40234.81),(61 40210.535),(62 40745.984),(63 41005.42),(64 41354.688),(65 41597.543),(66 41963.56),(67 41675.707),(68 41699.324),(69 42039.824),(70 41820.707),(71 41600.676),(72 41476.1),(73 41438.402),(74 41602.387),(75 41634.58),(76 41102.973),(77 41014.844),(78 41186.125),(79 41301.027),
(1 6532.6797),(2 13813.468),(3 19097.484),(4 22943.434),(5 25731.746),(6 27224.541),(7 28427.424),(8 29454.064),(9 30571.357),(10 31423.137),(11 32335.576),(12 33223.848),(13 34142.652),(14 34933.527),(15 35574.293),(16 35780.117),(17 36006.156),(18 35906.203),(19 36034.297),(20 35940.813),(21 36001.652),(22 36125.64),(23 36456.28),(24 36681.582),(25 36743.395),(26 37040.906),(27 37391.156),(28 37864.754),(29 38437.28),(30 38748.52),(31 38978.93),(32 39179.863),(33 39173.93),(34 39470.926),(35 39808.418),(36 39471.594),(37 39797.637),(38 39514.44),(39 39281.023),(40 39285.83),(41 39248.637),(42 39171.105),(43 39289.05),(44 39420.676),(45 39509.375),(46 39538.875),(47 39805.883),(48 39853.383),(49 39964.113),(50 40013.28),(51 39640.004),(52 39231.902),(53 39377.023),(54 39148.37),(55 39197.723),(56 39189.207),(57 39401.51),(58 39680.008),(59 40008.996),(60 39765.324),(61 39719.19),(62 40169.688),(63 39899.105),(64 39955.63),(65 40325.83),(66 40404.914),(67 40435.438),(68 40475.6),(69 40632.074),(70 40300.42),(71 39709.375),(72 39478.48),(73 39596.5),(74 39549.293),(75 39860.996),(76 39860.72),(77 39664.29),(78 39189.316),(79 38933.633),
(1 6425.474),(2 13380.794),(3 18461.867),(4 21911.299),(5 24228.31),(6 26078.592),(7 27422.688),(8 28232.406),(9 29222.072),(10 30143.564),(11 30997.086),(12 31799.924),(13 32532.273),(14 33134.56),(15 33618.023),(16 33884.195),(17 34300.004),(18 34622.516),(19 34750.33),(20 34608.797),(21 34886.363),(22 35207.51),(23 35651.844),(24 36389.25),(25 36666.89),(26 36612.06),(27 36723.098),(28 36776.76),(29 36857.76),(30 37002.344),(31 37282.973),(32 37903.055),(33 38152.555),(34 38513.156),(35 38463.844),(36 38523.13),(37 38558.258),(38 38234.566),(39 38228.94),(40 38168.74),(41 38323.168),(42 38461.836),(43 38721.383),(44 38988.215),(45 38904.492),(46 38709.6),(47 38577.97),(48 38400.96),(49 38984.742),(50 39384.934),(51 39797.715),(52 39983.832),(53 40263.44),(54 40482.71),(55 40894.215),(56 41187.477),(57 41058.6),(58 40998.63),(59 40919.016),(60 41364.83),(61 41700.08),(62 41588.742),(63 41433.098),(64 41150.195),(65 41107.324),(66 41201.28),(67 40968.48),(68 40632.785),(69 40542.83),(70 40361.445),(71 40266.35),(72 40668.242),(73 40834.875),(74 40755.74),(75 41046.043),(76 41121.543),(77 40957.45),(78 40837.26),(79 40592.375),
(1 6297.8945),(2 12984.257),(3 17807.803),(4 21167.813),(5 23509.521),(6 25067.791),(7 26618.098),(8 27631.906),(9 28478.445),(10 29631.682),(11 30691.133),(12 31498.768),(13 32219.4),(14 32926.85),(15 33561.895),(16 33933.02),(17 34148.344),(18 34179.895),(19 34182.82),(20 34115.12),(21 33989.99),(22 34316.188),(23 34823.57),(24 35372.184),(25 35785.246),(26 36249.215),(27 36662.543),(28 36723.305),(29 36609.594),(30 36419.086),(31 36544.133),(32 36427.816),(33 36257.99),(34 36069.496),(35 35964.465),(36 36207.926),(37 36029.156),(38 35728.88),(39 35601.695),(40 35563.254),(41 35585.72),(42 35698.94),(43 36029.91),(44 36300.39),(45 36268.625),(46 36135.92),(47 36085.793),(48 36218.625),(49 36207.38),(50 36201.008),(51 36286.004),(52 36359.055),(53 36229.508),(54 36354.676),(55 36594.066),(56 36682.23),(57 36605.992),(58 36677.21),(59 36355.234),(60 36194.426),(61 36200.25),(62 36183.207),(63 36333.06),(64 36690.555),(65 36835.773),(66 36925.152),(67 37232.27),(68 37543.17),(69 37689.53),(70 37949.746),(71 37907.777),(72 38430.773),(73 38790.414),(74 38790.246),(75 38923.74),(76 38901.375),(77 38553.52),(78 38389.125),(79 38116.945),
(1 6234.363),(2 13045.593),(3 17822.834),(4 20906.883),(5 23193.434),(6 24939.771),(7 26367.395),(8 27421.67),(9 28054.191),(10 28768.027),(11 29264.424),(12 29675.469),(13 30475.58),(14 31351.61),(15 32332.193),(16 33081.598),(17 33524.723),(18 33942.305),(19 34202.668),(20 34347.992),(21 34089.57),(22 34397.254),(23 34306.93),(24 34054.848),(25 34323.277),(26 34541.004),(27 34649.355),(28 34974.71),(29 34872.414),(30 34957.97),(31 35363.055),(32 35767.277),(33 35749.223),(34 35474.742),(35 35380.543),(36 35501.063),(37 35582.805),(38 35627.97),(39 35334.39),(40 35021.855),(41 34900.64),(42 35162.234),(43 35380.867),(44 35534.164),(45 35685.43),(46 36094.348),(47 36106.664),(48 35818.453),(49 35593.813),(50 35606.11),(51 36549.77),(52 36779.895),(53 36411.07),(54 36335.926),(55 36152.027),(56 36191.055),(57 36307.395),(58 36722.35),(59 36748.11),(60 36920.69),(61 37197.383),(62 37735.44),(63 37943.055),(64 38259.902),(65 38524.223),(66 38822.926),(67 38665.27),(68 38443.945),(69 38660.07),(70 38801.434),(71 38863.867),(72 38900.266),(73 38746.695),(74 38649.203),(75 38850.668),(76 38905.242),(77 38759.734),(78 38292.313),(79 37710.586),
(1 6455.682),(2 13107.219),(3 18079.723),(4 21447.906),(5 24066.537),(6 25862.945),(7 26939.756),(8 27325.385),(9 27680.2),(10 28056.178),(11 28352.205),(12 28633.201),(13 29421.625),(14 30494.537),(15 31592.516),(16 32494.32),(17 32776.016),(18 33500.53),(19 33933.82),(20 33681.05),(21 33820.625),(22 34138.41),(23 34156.383),(24 34149.777),(25 34216.934),(26 34199.953),(27 34201.902),(28 34369.71),(29 34585.64),(30 35005.324),(31 35592.176),(32 36117.055),(33 36353.586),(34 36316.12),(35 36546.85),(36 36545.26),(37 36498.277),(38 36462.516),(39 36457.777),(40 36560.098),(41 36452.598),(42 36490.883),(43 36546.44),(44 36364.535),(45 36396.258),(46 36252.145),(47 36396.406),(48 36240.54),(49 36464.4),(50 36388.98),(51 36805.168),(52 36998.695),(53 36998.773),(54 37059.26),(55 36930.38),(56 37094.73),(57 37278.426),(58 37402.758),(59 37384.85),(60 37532.742),(61 37464.816),(62 37842.3),(63 38159.9),(64 38392.55),(65 38468.59),(66 38613.125),(67 38813.51),(68 39095.844),(69 39308.582),(70 39418.684),(71 39237.875),(72 39522.836),(73 39471.49),(74 39673.227),(75 40117.73),(76 40267.336),(77 40185.73),(78 39894.57),(79 39450.734),
(1 6323.497),(2 13010.0205),(3 17523.09),(4 20606.309),(5 23137.498),(6 24924.973),(7 26352.072),(8 27130.06),(9 27856.5),(10 28578.676),(11 28969.139),(12 29465.926),(13 30270.578),(14 30967.06),(15 31531.965),(16 32023.63),(17 32318.26),(18 32645.332),(19 32970.12),(20 33115.844),(21 32999.957),(22 33359.61),(23 33572.34),(24 33259.367),(25 33414.44),(26 33463.574),(27 33391.426),(28 33511.86),(29 33864.813),(30 34359.58),(31 34657.68),(32 34974.6),(33 34990.258),(34 35182.598),(35 35291.008),(36 35270.207),(37 35389.008),(38 35113.906),(39 34865.06),(40 34591.3),(41 34589.91),(42 34423.43),(43 34352.28),(44 34405.34),(45 34547.86),(46 34801.53),(47 34973.16),(48 34896.113),(49 34548.113),(50 34556.277),(51 34898.375),(52 34750.4),(53 34972.92),(54 35248.844),(55 35283.56),(56 35385.035),(57 35509.43),(58 35221.01),(59 35386.83),(60 35536.273),(61 36013.207),(62 36456.43),(63 36466.164),(64 36440.81),(65 36493.703),(66 36564.434),(67 36692.01),(68 36727.25),(69 36811.836),(70 36954.387),(71 36801.746),(72 36773.426),(73 36716.176),(74 36985.86),(75 37268.473),(76 37389.78),(77 37533.723),(78 37201.336),(79 36957.754),
