1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 107753.164),(2 381777.9),(3 790978.7),(4 1308021.1),(5 1911924),(6 2571432),(7 3281298),(8 3999480.8),(9 4707892),(10 5381842.5),(11 6039045.5),(12 6688770),(13 7348641.5),(14 8066492),(15 8820223),(16 9621199),(17 10515011),(18 11401632),(19 12352816),(20 13293339),(21 14223340),(22 15198772),(23 16218181),(24 17259614),(25 18295214),(26 19277454),(27 20358168),(28 21516392),(29 22785730),(30 24098064),(31 25476606),(32 26859326),(33 28292970),(34 29918888),(35 31652912),(36 33436680),(37 35319790),(38 37213020),(39 38935330),(40 40660370),(41 42393790),(42 44247860),(43 46013036),(44 47787170),(45 49613468),(46 51397664),(47 53485760),(48 55671230),(49 57936428),(50 60077790),(51 62206690),(52 64162948),(53 65946160),(54 67947030),(55 69875460),(56 71799030),(57 73452216),(58 75062750),(59 76737544),(60 78541750),(61 80336640),(62 82037280),(63 83657496),(64 85236040),(65 86864170),(66 88328870),(67 89890560),(68 91440860),(69 93509290),(70 95287304),(71 97295100),(72 99356200),(73 101611390),(74 103988800),(75 106288840),(76 108539720),(77 110549464),(78 112479030),(79 113831624),
(1 4104.3784),(2 5467.291),(3 7290.4595),(4 8676.058),(5 10050.32),(6 10717.492),(7 11889.461),(8 12240.95),(9 12855.979),(10 13134.345),(11 13667.562),(12 13510.537),(13 13921.839),(14 13992.535),(15 14270.966),(16 14104.984),(17 14101.298),(18 14021.694),(19 14118.937),(20 13968.3545),(21 13712.093),(22 13534.372),(23 13620.052),(24 13517.876),(25 13655.157),(26 13835.509),(27 14106.053),(28 14341.854),(29 14633.145),(30 14636.9375),(31 14957.346),(32 15211.749),(33 15829.308),(34 15841.149),(35 16217.437),(36 16338.804),(37 16829.205),(38 17138.512),(39 17601.725),(40 17628.646),(41 18112.455),(42 18499.62),(43 19103.26),(44 19367.838),(45 19949.635),(46 20207.814),(47 20908.541),(48 21119.56),(49 21558.572),(50 21722.42),(51 22090.34),(52 22178.809),(53 22451.037),(54 21973.57),(55 21833.629),(56 21343.281),(57 20779.13),(58 20115.078),(59 19716.684),(60 19205.947),(61 19379.285),(62 19025.506),(63 18974.715),(64 18667.793),(65 18598.744),(66 18272.756),(67 18337.357),(68 18172.713),(69 18463.236),(70 18733.283),(71 19385.174),(72 19791.537),(73 20483.496),(74 20854.938),(75 21660.66),(76 21918.84),(77 22619.975),(78 22845.385),(79 23523.066),
(1 4007.2566),(2 5419.246),(3 7435.073),(4 8861.84),(5 10136.201),(6 11268.612),(7 12343.884),(8 13008.514),(9 13818.563),(10 14225.435),(11 14825.685),(12 14958.371),(13 15592.331),(14 15783.371),(15 16159.761),(16 15957.261),(17 16113.851),(18 15897.855),(19 16116.31),(20 15888.347),(21 15536.757),(22 15375.919),(23 15365.08),(24 15247.3125),(25 15240.511),(26 15189.872),(27 15457.363),(28 15374.335),(29 15487.633),(30 15422.635),(31 15659.231),(32 15738.093),(33 16509.822),(34 16587.852),(35 16944.654),(36 17167.371),(37 17472.814),(38 17565.744),(39 17831.715),(40 17920.299),(41 18424.813),(42 18805.572),(43 19597.543),(44 19972.383),(45 20479.15),(46 20690.322),(47 21212.883),(48 21505.799),(49 21874.838),(50 22170.455),(51 22484.008),(52 22576.902),(53 22852.2),(54 22330.88),(55 22234.049),(56 21635.025),(57 21321.063),(58 20684.914),(59 20431.621),(60 20067.508),(61 20306.373),(62 20047.957),(63 20179.273),(64 19829.734),(65 19755.416),(66 19607.486),(67 19846.883),(68 19826.363),(69 20508.29),(70 21019.941),(71 21659.395),(72 22170.502),(73 22898.662),(74 23278.852),(75 23902.752),(76 23992.27),(77 24282.592),(78 24278.84),(79 24858.76),
(1 4084.4546),(2 5222.396),(3 7072.1133),(4 8474.352),(5 9442.575),(6 10439.48),(7 11442.553),(8 12148.673),(9 12566.791),(10 13081.797),(11 13561.132),(12 13659.003),(13 14243.56),(14 14133.833),(15 14434.792),(16 14257.368),(17 14405.014),(18 14302.144),(19 14538.286),(20 14288.167),(21 14192.59),(22 14054.392),(23 14033.437),(24 14087.419),(25 14297.882),(26 14355.596),(27 14652.248),(28 14654.853),(29 14667.993),(30 14639.169),(31 14888.482),(32 15070.821),(33 15681.749),(34 15804.879),(35 16137.3),(36 16364.652),(37 16516.299),(38 16454.365),(39 16744.127),(40 16855.135),(41 17400.36),(42 17614.559),(43 18090.408),(44 18338.564),(45 18581.244),(46 18785.438),(47 19155.092),(48 19339.281),(49 19945.844),(50 20224.313),(51 20549.13),(52 20566.004),(53 20699.707),(54 20181.791),(55 20087.193),(56 19536.71),(57 19205.238),(58 18647.27),(59 18323.87),(60 17856.2),(61 17802.564),(62 17580.66),(63 17526.484),(64 17331.701),(65 17356.941),(66 17252.582),(67 17630.006),(68 17804.846),(69 18145.123),(70 18467.908),(71 18942.168),(72 19495.178),(73 20097.98),(74 20415.861),(75 20767.107),(76 20772.807),(77 21112.379),(78 21186.572),(79 21573.824),
(1 3780.2498),(2 5149.3115),(3 6998.8496),(4 8409.69),(5 9661.084),(6 10582.127),(7 11726.289),(8 12250.525),(9 12716.316),(10 13152.269),(11 13643.349),(12 13671.122),(13 14061.909),(14 14168.134),(15 14396.27),(16 14284.387),(17 14522.413),(18 14272.425),(19 14264.978),(20 13856.733),(21 13657.689),(22 13442.191),(23 13381.283),(24 13344.366),(25 13556.707),(26 13771.05),(27 14217.499),(28 14435.405),(29 14621.661),(30 14683.732),(31 15107.409),(32 15305.334),(33 15970.56),(34 16189.648),(35 16608.297),(36 16790.79),(37 17143.838),(38 17083.41),(39 17256.703),(40 17365.13),(41 17802.73),(42 17970.516),(43 18421.984),(44 18662.535),(45 19203.344),(46 19389.637),(47 19864.764),(48 19920.783),(49 20270.24),(50 20362.543),(51 20553.828),(52 20618.023),(53 20882.506),(54 20310.09),(55 20032.848),(56 19508.766),(57 19053.633),(58 18418.871),(59 18103.277),(60 17524.877),(61 17642.361),(62 17362.818),(63 17474.568),(64 17262.584),(65 17503.582),(66 17537.479),(67 17917.305),(68 18172.172),(69 18787.45),(70 19097.639),(71 19586.637),(72 20015.807),(73 20726.135),(74 20936.05),(75 21439.113),(76 21392.248),(77 21643.92),(78 21577.684),(79 21805.055),
(1 3553.694),(2 4897.452),(3 6471.8276),(4 7847.8335),(5 8974.103),(6 9814.069),(7 10563.006),(8 11013.374),(9 11477.979),(10 11837.49),(11 12374.404),(12 12315.773),(13 12809.129),(14 12929.106),(15 13125.979),(16 13083.411),(17 13143.424),(18 13066.251),(19 13143.21),(20 12878.654),(21 12820.984),(22 12703.751),(23 12682.175),(24 12844.655),(25 13014.427),(26 13195.319),(27 13454.412),(28 13465.147),(29 13630.435),(30 13570.484),(31 13879.685),(32 14124.058),(33 14604.325),(34 14876.825),(35 15211.527),(36 15355.709),(37 15720.008),(38 15791.916),(39 16026.247),(40 16186.079),(41 16523.947),(42 16631.89),(43 17084.074),(44 17373.367),(45 17959.266),(46 18235.6),(47 18838.379),(48 19025.09),(49 19422.361),(50 19518.123),(51 19697.152),(52 19707.504),(53 20033.262),(54 19499.555),(55 19314.496),(56 18871.684),(57 18487.893),(58 18034.395),(59 17954.344),(60 17597.473),(61 17756.719),(62 17449.22),(63 17348.746),(64 17118.01),(65 17042.676),(66 17165.617),(67 17432.727),(68 17714.545),(69 18443.557),(70 18767.979),(71 19454.738),(72 20064.635),(73 20710.518),(74 20973.727),(75 21484.596),(76 21447.193),(77 21542.229),(78 21552.49),(79 21846.02),
(1 3335.7449),(2 4652.253),(3 6198.729),(4 7467.789),(5 8476.595),(6 9291.43),(7 10109.247),(8 10638.891),(9 11160.202),(10 11566.36),(11 12039.604),(12 12086.6875),(13 12525.813),(14 12503.613),(15 12728.502),(16 12527.6875),(17 12664.922),(18 12572.907),(19 12636.535),(20 12419.72),(21 12265.846),(22 12199.3125),(23 12090.165),(24 12096.031),(25 12315.53),(26 12393.787),(27 12696.004),(28 12705.7705),(29 12809.252),(30 12785.139),(31 13094.665),(32 13303.4375),(33 13724.926),(34 13872.827),(35 14158.478),(36 14308.455),(37 14760.935),(38 14763.213),(39 15007.562),(40 15196.364),(41 15509.823),(42 15748.926),(43 16216.597),(44 16422.373),(45 16746.936),(46 16917.39),(47 17296.2),(48 17498.129),(49 17804.61),(50 18071.24),(51 18258.354),(52 18474.918),(53 18668.805),(54 18086.316),(55 17790.773),(56 17286.182),(57 16933.916),(58 16625.953),(59 16599.568),(60 16448.898),(61 16497.984),(62 16238.314),(63 16247.187),(64 15980.104),(65 16121.652),(66 16080.025),(67 16349.39),(68 16519.02),(69 17144.367),(70 17401.014),(71 18023.809),(72 18552.61),(73 18990.05),(74 19357.53),(75 19682.418),(76 19621.738),(77 19703.984),(78 19708.492),(79 20113.654),
(1 3378.2446),(2 4468.752),(3 5883.777),(4 7039.7515),(5 7959.299),(6 8590.745),(7 9327.568),(8 9736.993),(9 10241.6875),(10 10654.913),(11 11045.14),(12 11209.886),(13 11582.19),(14 11638.73),(15 12011.566),(16 11876.673),(17 12067.492),(18 12004.684),(19 12093.354),(20 11995.82),(21 12067.563),(22 11969.093),(23 11895.401),(24 11704.248),(25 11945.47),(26 11804.142),(27 11898.032),(28 11777.546),(29 11716.882),(30 11754.1045),(31 11956.152),(32 12171.369),(33 12639.655),(34 12785.921),(35 13002.104),(36 13116.446),(37 13441.107),(38 13608.575),(39 13879.762),(40 14004.709),(41 14212.226),(42 14155.019),(43 14503.187),(44 14658.672),(45 14897.712),(46 15124.472),(47 15467.782),(48 15590.054),(49 15984.064),(50 16077.481),(51 16488.81),(52 16549.79),(53 16941.467),(54 16550.666),(55 16368.854),(56 16085.935),(57 15752.953),(58 15565.625),(59 15408.071),(60 15180.661),(61 15347.675),(62 15192.303),(63 15156.44),(64 15011.992),(65 15127.61),(66 15145.979),(67 15497.467),(68 15634.119),(69 16044.241),(70 16190.119),(71 16771.33),(72 17060.78),(73 17611.775),(74 17805.379),(75 18251.646),(76 18179.217),(77 18271.074),(78 18255.516),(79 18511.057),
(1 3324.802),(2 4383.9937),(3 5771.974),(4 6891.2954),(5 7766.969),(6 8504.483),(7 9163.08),(8 9477.557),(9 9780.542),(10 10162.707),(11 10499.8955),(12 10612.544),(13 10828.774),(14 10877.298),(15 11061.439),(16 11076.326),(17 11142.06),(18 11050.346),(19 11147.626),(20 10915.162),(21 10897.834),(22 10744.748),(23 10799.893),(24 10746.244),(25 11079.492),(26 11070.858),(27 11215.972),(28 11185.46),(29 11257.004),(30 11312.068),(31 11421.434),(32 11565.251),(33 11932.069),(34 12062),(35 12316.554),(36 12479.034),(37 12786.658),(38 12872.431),(39 13189.26),(40 13247.11),(41 13479.511),(42 13321.054),(43 13646.816),(44 13774.276),(45 14074.439),(46 14197.193),(47 14458.852),(48 14712.686),(49 14928.034),(50 15029.864),(51 15289.119),(52 15372.758),(53 15611.086),(54 15315.968),(55 15144.036),(56 14845.364),(57 14683.303),(58 14310.513),(59 14227.572),(60 14026.96),(61 14148.987),(62 13995.131),(63 13986.743),(64 13769.608),(65 13819.431),(66 13677.708),(67 14038.972),(68 13971.909),(69 14387.996),(70 14447.03),(71 14779.497),(72 15202.278),(73 15634.634),(74 15849.358),(75 16133.3125),(76 16102.771),(77 16074.909),(78 16107.852),(79 16340.036),
(1 3176.6624),(2 4324.5986),(3 5622.129),(4 6703.568),(5 7533.135),(6 8150.9053),(7 8782.643),(8 9133.162),(9 9561.424),(10 9960.488),(11 10275.442),(12 10451.816),(13 10737.34),(14 10744.818),(15 10904.671),(16 10838.248),(17 10958.041),(18 10823.712),(19 10933.646),(20 10738.086),(21 10823.764),(22 10620.943),(23 10681.428),(24 10517.7295),(25 10581.145),(26 10522.574),(27 10729.417),(28 10675.415),(29 10679.296),(30 10729.373),(31 10898.243),(32 11090.987),(33 11409.673),(34 11530.202),(35 11748.192),(36 11724.928),(37 12074.648),(38 12120.451),(39 12529.276),(40 12524.572),(41 12691.494),(42 12526.712),(43 12823.112),(44 12846.985),(45 13209.585),(46 13435.401),(47 13799.128),(48 13965.878),(49 14227.829),(50 14325.19),(51 14586.216),(52 14629.502),(53 14941.096),(54 14694.002),(55 14621.486),(56 14343.411),(57 14268.159),(58 14072.947),(59 14021.283),(60 13742.915),(61 13912.289),(62 13705.807),(63 13798.507),(64 13706.3125),(65 13973.852),(66 13947.666),(67 14249.22),(68 14292.841),(69 14542.688),(70 14607.55),(71 14928.719),(72 15125.588),(73 15436.6045),(74 15643.438),(75 15870.141),(76 15714.328),(77 15817.488),(78 15766.93),(79 15892.666),
(1 3002.5625),(2 4038.696),(3 5286.6235),(4 6315.2534),(5 7036.8784),(6 7663.1553),(7 8351.05),(8 8686.165),(9 9188.419),(10 9544.945),(11 9927.985),(12 10225.314),(13 10523.497),(14 10491.876),(15 10779.462),(16 10598.433),(17 10695.327),(18 10581.819),(19 10622.345),(20 10467.129),(21 10510.35),(22 10399.685),(23 10391.795),(24 10348.843),(25 10532.426),(26 10454.443),(27 10556.896),(28 10525.457),(29 10635.163),(30 10690.03),(31 10798.782),(32 10828.205),(33 11145.017),(34 11130.222),(35 11306.141),(36 11274.288),(37 11479.246),(38 11599.936),(39 11897.456),(40 11926.726),(41 12117.503),(42 12171.598),(43 12530.271),(44 12806.462),(45 13253.141),(46 13518.117),(47 13999.017),(48 14036.056),(49 14248.114),(50 14316.388),(51 14456.605),(52 14456.593),(53 14574.457),(54 14239.8545),(55 14010.071),(56 13614.366),(57 13372.492),(58 13142.244),(59 12889.417),(60 12670.997),(61 12917.594),(62 12892.41),(63 13105.064),(64 13166.345),(65 13428.457),(66 13504.229),(67 13916.282),(68 14102.06),(69 14620.527),(70 14739.548),(71 15367.4375),(72 15625.018),(73 16007.297),(74 16159.646),(75 16418.518),(76 16150.852),(77 16259.788),(78 16116.349),(79 16306.643),
(1 2982.4106),(2 3953.2937),(3 5222.9507),(4 6075.459),(5 6749.988),(6 7390.2607),(7 8027.4336),(8 8404.979),(9 8811.708),(10 9157.845),(11 9546.032),(12 9691.29),(13 9967.033),(14 9898.206),(15 10131.558),(16 9903.291),(17 9996.607),(18 9852.668),(19 10077.592),(20 9866.941),(21 9857.025),(22 9617.726),(23 9593.115),(24 9467.54),(25 9686.92),(26 9693.338),(27 9736.686),(28 9825.144),(29 10085.578),(30 10191.134),(31 10412.356),(32 10496.399),(33 10918.609),(34 11048.579),(35 11225.109),(36 11346.561),(37 11599.391),(38 11832.636),(39 12056.49),(40 12126.725),(41 12194.289),(42 12290.405),(43 12469.702),(44 12598.322),(45 12982.935),(46 12967.788),(47 13210.046),(48 13228.978),(49 13359.146),(50 13413.321),(51 13601.746),(52 13671.037),(53 13931.82),(54 13638.416),(55 13410.472),(56 13098.389),(57 12849.394),(58 12677.373),(59 12727.357),(60 12522.24),(61 12923.751),(62 12708.962),(63 12756.172),(64 12709.863),(65 12757.878),(66 12680.334),(67 13013.282),(68 13267.647),(69 13813.001),(70 14091.12),(71 14475.216),(72 14739.414),(73 15103.003),(74 15161.021),(75 15409.333),(76 15217.591),(77 15298.206),(78 15187.148),(79 15494.487),
(1 2835.6636),(2 3786.1174),(3 5003.666),(4 5817.7393),(5 6593.929),(6 7188.9146),(7 7864.881),(8 8219.449),(9 8699.883),(10 9074.569),(11 9323.734),(12 9533.942),(13 9835.133),(14 9891.409),(15 10132.644),(16 10062.938),(17 10143.661),(18 10073.687),(19 10133.882),(20 9918.283),(21 9875.686),(22 9763.849),(23 9742.598),(24 9660.946),(25 9858.259),(26 9829.413),(27 9877.858),(28 9912.093),(29 10207.79),(30 10259.77),(31 10410.416),(32 10549.709),(33 10915.924),(34 10983.966),(35 11226.922),(36 11440.623),(37 11629.918),(38 11793.806),(39 12047.454),(40 11995.354),(41 12138.686),(42 12221.649),(43 12536.47),(44 12679.477),(45 13078.269),(46 13234.366),(47 13637.868),(48 13572.63),(49 13793.596),(50 13799.977),(51 13989.082),(52 14049.604),(53 14187.31),(54 13834.711),(55 13607.522),(56 13342.301),(57 13007.76),(58 12802.293),(59 12704.442),(60 12482.852),(61 12642.927),(62 12506.134),(63 12688.656),(64 12503.841),(65 12727.752),(66 12762.3545),(67 13108.1),(68 13206.167),(69 13814.553),(70 13943.927),(71 14386.35),(72 14656.418),(73 15064.816),(74 14969.479),(75 15293.432),(76 15115.659),(77 15254.65),(78 15036.221),(79 15241.007),
(1 2779.1665),(2 3708.6821),(3 4890.3867),(4 5753.089),(5 6532.6846),(6 7020.3833),(7 7588.1255),(8 7894.3857),(9 8333.997),(10 8541.524),(11 8765.215),(12 8828.923),(13 9101.297),(14 9166.308),(15 9334.976),(16 9327.387),(17 9374.364),(18 9322.046),(19 9303.752),(20 9148.951),(21 9101.579),(22 8995.806),(23 8985.945),(24 9023.053),(25 9130.193),(26 9053.612),(27 9136.985),(28 9111.745),(29 9265.943),(30 9366.6875),(31 9487.314),(32 9595.054),(33 9983.698),(34 10072.017),(35 10369.05),(36 10414.955),(37 10642.37),(38 10772.099),(39 10919.277),(40 11033.15),(41 11116.755),(42 11176.267),(43 11519.32),(44 11755.447),(45 12129.441),(46 12237.47),(47 12654.997),(48 12721.506),(49 12973.985),(50 12877.872),(51 13077.903),(52 13069.036),(53 13072.3),(54 12848.775),(55 12740.775),(56 12372.399),(57 12181.223),(58 11913.161),(59 11904.579),(60 11568.074),(61 11662.433),(62 11520.759),(63 11646.602),(64 11594.172),(65 11758.138),(66 11881.676),(67 12116.661),(68 12274.804),(69 12731.786),(70 12818.082),(71 13282.102),(72 13546.238),(73 13882.511),(74 13982.969),(75 14335.805),(76 14101.043),(77 14174.252),(78 13948.263),(79 14113.048),
(1 2658.391),(2 3611.1482),(3 4814.495),(4 5698.0625),(5 6411.445),(6 6926.6367),(7 7603.7236),(8 7974.9863),(9 8366.966),(10 8717.693),(11 9035.714),(12 9177.435),(13 9491.338),(14 9651.086),(15 9815.474),(16 9759.642),(17 9821.434),(18 9785.963),(19 9785.859),(20 9573.383),(21 9480.748),(22 9256.488),(23 9212.956),(24 9025.046),(25 9099.469),(26 8962.866),(27 9080.588),(28 9104.821),(29 9321.21),(30 9339.797),(31 9434.303),(32 9596.998),(33 9932.954),(34 10043.061),(35 10280.708),(36 10372.234),(37 10571.082),(38 10706.927),(39 10831.522),(40 10971.798),(41 11084.318),(42 11139.074),(43 11538.777),(44 11721.772),(45 12005.997),(46 12198.096),(47 12482.872),(48 12591.108),(49 12733.019),(50 12762.937),(51 12888.783),(52 12828.417),(53 12973.751),(54 12683.306),(55 12607.173),(56 12247.765),(57 12120.31),(58 11872.735),(59 11837.064),(60 11615.284),(61 11863.588),(62 11720.545),(63 11870.641),(64 11869.246),(65 12153.902),(66 12331.469),(67 12604.745),(68 12829.953),(69 13484.248),(70 13727.82),(71 14180.416),(72 14634.654),(73 15096.21),(74 15191.002),(75 15495.628),(76 15200.695),(77 15112.045),(78 14803.58),(79 14782.135),
(1 2597.5676),(2 3470.2915),(3 4618.769),(4 5381.734),(5 6070.219),(6 6564.189),(7 7140.848),(8 7502.422),(9 7848.864),(10 8161.414),(11 8463.18),(12 8580.336),(13 8859.349),(14 8991.255),(15 9199.023),(16 9151.376),(17 9231.377),(18 9206.662),(19 9290.287),(20 9131.643),(21 9094.663),(22 8798.67),(23 8809.885),(24 8646.112),(25 8753.805),(26 8729.016),(27 8891.976),(28 8863.344),(29 9155.435),(30 9234.299),(31 9392.24),(32 9495.221),(33 9829.766),(34 9829.041),(35 10165.504),(36 10222.874),(37 10436.532),(38 10524.463),(39 10660.68),(40 10755.626),(41 10992.439),(42 10992.965),(43 11212.589),(44 11339.138),(45 11555.138),(46 11664.86),(47 11877.733),(48 11930.183),(49 12032.892),(50 12009.258),(51 12096.2705),(52 11991.025),(53 11942.678),(54 11680.516),(55 11528.22),(56 11196.493),(57 11053.624),(58 10843.05),(59 10859.566),(60 10665.082),(61 10931.374),(62 10798.371),(63 10995.76),(64 10966.296),(65 11205.068),(66 11242.131),(67 11501.299),(68 11674.836),(69 11999.189),(70 12144.376),(71 12396.427),(72 12573.047),(73 12768.402),(74 12862.968),(75 13027.174),(76 12743.615),(77 12721.478),(78 12464.536),(79 12506.572),
(1 2483.3044),(2 3378.444),(3 4443.323),(4 5289.487),(5 5947.125),(6 6346.504),(7 7020.497),(8 7410.302),(9 7843.177),(10 8156.961),(11 8440.775),(12 8523.315),(13 8818.138),(14 8808.114),(15 8958.884),(16 8882.335),(17 8918.958),(18 8833.359),(19 8886.558),(20 8741.886),(21 8766.859),(22 8591.834),(23 8633.52),(24 8486.073),(25 8561.902),(26 8397.165),(27 8562.982),(28 8569.218),(29 8788.164),(30 8806.343),(31 8945.333),(32 9022.811),(33 9244.277),(34 9206.08),(35 9488.912),(36 9525.402),(37 9835.442),(38 9954.387),(39 10180.8955),(40 10299.941),(41 10619.977),(42 10610.819),(43 10890.117),(44 11043.965),(45 11310.759),(46 11406.132),(47 11691.241),(48 11750.829),(49 11857.354),(50 11816.302),(51 11914.754),(52 11797.249),(53 11824.246),(54 11569.885),(55 11387.686),(56 11142.551),(57 10946.958),(58 10664.715),(59 10632.66),(60 10357.286),(61 10570.974),(62 10393.441),(63 10582.238),(64 10559.533),(65 10769.489),(66 10877.492),(67 11200.673),(68 11287.289),(69 11750.838),(70 11930.093),(71 12284.999),(72 12432.513),(73 12718.054),(74 12743.041),(75 13033.582),(76 12773.036),(77 12744.198),(78 12540.247),(79 12562.522),
(1 2330.0457),(2 3117.4878),(3 4203.027),(4 4922.235),(5 5590.881),(6 5919.221),(7 6582.6826),(8 6879.614),(9 7161.75),(10 7386.4575),(11 7684.098),(12 7719.355),(13 7980.266),(14 7990.3906),(15 8153.8906),(16 8059.4517),(17 8121.2017),(18 8098.582),(19 8099.213),(20 8038.3726),(21 7976.4585),(22 7764.78),(23 7802.388),(24 7685.227),(25 7781.832),(26 7712.129),(27 7939.665),(28 7932.2446),(29 8156.1045),(30 8231.895),(31 8441.68),(32 8517.658),(33 8740.36),(34 8737.889),(35 8973.512),(36 9024.774),(37 9208.368),(38 9264.109),(39 9290.864),(40 9258.022),(41 9385.001),(42 9380.955),(43 9574.572),(44 9704.136),(45 9933.555),(46 10053.377),(47 10277.182),(48 10407.205),(49 10473.894),(50 10445.768),(51 10564.035),(52 10490.645),(53 10504.787),(54 10437.67),(55 10306.326),(56 10087.0625),(57 10095.746),(58 9943.964),(59 10026.976),(60 9839.253),(61 9977.331),(62 9942.573),(63 10160.556),(64 10060.9795),(65 10246.006),(66 10270.765),(67 10500.175),(68 10627.26),(69 11057.551),(70 11255.105),(71 11541.843),(72 11635.964),(73 11817.943),(74 11848.432),(75 11996.971),(76 11686.065),(77 11579.309),(78 11265.98),(79 11279.372),
