1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98929.31),(2 175696.88),(3 179070.39),(4 370665.72),(5 546388.3),(6 618307.2),(7 878761.3),(8 1121797.4),(9 1248442.1),(10 1556484.6),(11 1859105.9),(12 2036394.6),(13 2402938.8),(14 2789540.8),(15 3041900.8),(16 3504452.8),(17 4014474),(18 4354541),(19 4909367),(20 5495757.5),(21 5891613.5),(22 6504763.5),(23 7224536.5),(24 7676736),(25 8383912),(26 9151975),(27 9716160),(28 10527325),(29 11461568),(30 12160568),(31 13155380),(32 14294231),(33 15184099),(34 16282605),(35 17524954),(36 18472272),(37 19657778),(38 21040984),(39 22104910),(40 23374590),(41 24881734),(42 26046832),(43 27425482),(44 28991744),(45 30171128),(46 31472854),(47 32986922),(48 34259588),(49 35610396),(50 37185720),(51 38450692),(52 39821276),(53 41377116),(54 42647684),(55 43966240),(56 45545164),(57 46819788),(58 48145708),(59 49699244),(60 50914572),(61 52228576),(62 53753950),(63 55053428),(64 56247636),(65 57752990),(66 58899360),(67 60175620),(68 61733836),(69 62873044),(70 63990804),(71 65514652),(72 66649844),(73 67641896),(74 68859270),(75 69561180),(76 70103030),(77 71097520),(78 71683650),(79 72205560),
(1 6755.702),(2 16865.143),(3 22968.883),(4 25571.643),(5 27948.719),(6 29954.67),(7 30860.518),(8 30872.303),(9 30323.537),(10 30203.883),(11 30381.025),(12 30995.213),(13 31738.223),(14 32448.574),(15 32577.432),(16 32632.371),(17 33182.27),(18 33463.234),(19 33138.055),(20 32649.967),(21 32904.51),(22 33386.082),(23 33483.2),(24 33323.563),(25 33473.766),(26 34227.457),(27 34930.934),(28 35289.7),(29 35232.094),(30 35051.164),(31 34858.39),(32 34877.82),(33 34519.535),(34 34445.125),(35 34719.86),(36 34939.094),(37 34680.785),(38 34784.92),(39 35710.414),(40 36219.027),(41 36552.832),(42 36853.066),(43 36963.395),(44 37027.355),(45 37744.086),(46 38092.54),(47 38558.906),(48 38651.68),(49 39440.137),(50 39865.35),(51 40226.5),(52 40229.14),(53 40097.633),(54 40217.973),(55 40857.41),(56 41401.08),(57 42409.47),(58 43434.977),(59 44223.438),(60 44527.254),(61 44744.49),(62 45502.594),(63 46077.004),(64 46345.656),(65 46469.055),(66 46922.066),(67 47322.316),(68 48496.027),(69 49917.758),(70 50324.855),(71 50864.258),(72 51525.234),(73 52128),(74 52754.008),(75 53363.273),(76 53260.64),(77 53581.285),(78 53490.11),(79 53726.39),
(1 6733.8027),(2 16531.861),(3 21733.764),(4 23657.27),(5 25382.62),(6 26870.213),(7 27557.201),(8 27858.65),(9 27754.006),(10 27638.39),(11 27717.066),(12 28007.016),(13 28573.676),(14 29468.62),(15 29883.648),(16 29950.654),(17 30456.438),(18 30701.5),(19 30768.213),(20 30868.443),(21 30529.635),(22 30344.041),(23 30480.846),(24 30482.254),(25 30461.295),(26 30937.113),(27 31332.145),(28 31592.943),(29 31556.213),(30 31381.852),(31 31304.717),(32 31404.422),(33 31690.479),(34 32291.793),(35 32927.31),(36 33561.207),(37 33756.098),(38 33949.145),(39 34172.01),(40 34078.76),(41 34565.848),(42 35481.316),(43 35779.78),(44 35615.594),(45 36141.676),(46 37135.41),(47 37230.668),(48 37195.12),(49 37809.133),(50 38709.652),(51 39225.688),(52 39085.113),(53 39842.25),(54 41205.23),(55 41653.26),(56 41093.297),(57 41428.96),(58 42031.59),(59 42427.14),(60 42485.15),(61 42997.555),(62 43958.773),(63 44196.703),(64 44135.395),(65 44678.24),(66 45178.273),(67 45939.31),(68 46894.926),(69 47485.996),(70 47889.785),(71 48688.21),(72 50216.438),(73 51663.805),(74 51490.97),(75 51029.41),(76 51761.473),(77 52409.23),(78 52477.113),(79 52458.31),
(1 6549.2783),(2 16219.797),(3 21534.416),(4 23291.557),(5 24950.959),(6 26316.514),(7 26591.416),(8 26716.105),(9 27064.158),(10 27378.088),(11 27761.848),(12 28305.8),(13 29165.69),(14 30157.217),(15 30610.488),(16 30779.625),(17 30766.684),(18 30729.277),(19 31112.393),(20 31558.498),(21 31297.287),(22 31068.988),(23 31717.082),(24 32353.988),(25 32388.324),(26 32289.97),(27 32688.988),(28 32730.86),(29 31849.895),(30 31025.52),(31 30762.469),(32 30513.023),(33 30377.2),(34 30696.143),(35 31307.957),(36 31654.69),(37 31632.21),(38 32088.17),(39 32701.375),(40 32808.867),(41 33045.035),(42 34096.05),(43 34875.61),(44 35283.563),(45 36100.938),(46 36914.637),(47 36868.203),(48 36325.082),(49 36602.027),(50 37437.71),(51 37864.316),(52 37889.92),(53 38701.234),(54 39695.36),(55 39867.625),(56 39800.75),(57 40262.895),(58 41286.96),(59 41685.098),(60 41365.215),(61 41970.32),(62 42796.953),(63 42777.06),(64 43150.207),(65 43719.77),(66 43983.96),(67 44148.99),(68 44775.004),(69 45528.57),(70 46184.938),(71 46381.324),(72 47078.656),(73 47931.133),(74 48129.09),(75 48718.707),(76 49212.375),(77 49383.48),(78 49526.19),(79 50072.41),
(1 6627.5654),(2 16238.981),(3 21252.852),(4 22932.984),(5 24551.152),(6 25976.371),(7 26140.322),(8 25775.213),(9 25822.217),(10 25981.566),(11 26099.303),(12 26368.451),(13 27317.396),(14 27947.56),(15 27778.678),(16 27677.299),(17 28072.863),(18 28186.707),(19 28069.379),(20 28079.734),(21 28121.82),(22 28340.066),(23 29296.229),(24 29690.51),(25 29773.473),(26 29904.559),(27 30210.744),(28 30560.936),(29 30363.271),(30 29676.379),(31 29569.732),(32 30000.271),(33 30289.293),(34 30788.36),(35 31838.857),(36 32957.297),(37 32703.512),(38 32395.613),(39 32561.518),(40 32737.281),(41 32802.047),(42 32884.555),(43 33225.7),(44 33414.445),(45 33793.9),(46 34738.52),(47 35431.34),(48 35655.08),(49 35955.395),(50 36692.86),(51 37450.785),(52 38042.645),(53 39060.438),(54 40010.195),(55 40432.156),(56 40404.688),(57 40664.066),(58 41215.93),(59 41531.508),(60 42163.73),(61 43278.883),(62 44226.65),(63 44497.473),(64 44428.785),(65 45568.86),(66 46591.277),(67 46707.62),(68 46715.58),(69 47452.813),(70 48583.715),(71 49715.414),(72 49367.227),(73 49166.082),(74 49987.4),(75 50767.266),(76 50794.457),(77 51663.12),(78 52101.89),(79 52578.78),
(1 6379.5005),(2 15660.238),(3 20564.895),(4 21785.854),(5 23004.47),(6 23908.422),(7 24172.16),(8 24149.52),(9 24358.273),(10 24725.965),(11 25048.693),(12 25333.697),(13 26054.11),(14 26895.148),(15 27324.674),(16 27697.035),(17 27639.117),(18 27510.178),(19 27163.143),(20 27355.428),(21 27552.998),(22 27473.896),(23 27364.248),(24 27483.395),(25 27639.654),(26 27703.512),(27 27605.04),(28 27719.912),(29 27905.4),(30 28381.97),(31 28635.05),(32 28591.018),(33 28575.354),(34 29352.2),(35 30421.832),(36 30771.06),(37 30579.998),(38 30893.918),(39 31503.691),(40 31594.035),(41 31789.783),(42 32127.73),(43 32286.715),(44 32410.89),(45 32704.486),(46 33281.9),(47 33536.688),(48 33625.95),(49 34012.332),(50 34525.52),(51 34952.652),(52 35760.984),(53 37024.504),(54 37176.117),(55 37122.492),(56 37344.098),(57 37421.848),(58 37611.465),(59 38111.695),(60 39167.887),(61 40087.793),(62 40569.215),(63 40841.313),(64 41876.83),(65 42598.813),(66 43304.64),(67 43749.816),(68 44124.51),(69 44716.293),(70 45532.164),(71 45852.37),(72 46264.207),(73 46989.406),(74 47307.16),(75 47482.496),(76 47535.434),(77 48241.633),(78 48888.73),(79 48657.188),
(1 6424.874),(2 15823.291),(3 20913.785),(4 22404.807),(5 23822.668),(6 25111.494),(7 25742.586),(8 26236.408),(9 26770.68),(10 27319.29),(11 27428.592),(12 27542.936),(13 28219.574),(14 29247.535),(15 29645.893),(16 29884.447),(17 29972.746),(18 29902.473),(19 29555.443),(20 29780.213),(21 29938.81),(22 29786.887),(23 29450.195),(24 29241.05),(25 29405.66),(26 29534.482),(27 29441.375),(28 29208.781),(29 28972.736),(30 29102.576),(31 29139.398),(32 28946.459),(33 28934.62),(34 29244.604),(35 29949.283),(36 30010.328),(37 29876.725),(38 30515.19),(39 31129.264),(40 30753.396),(41 30231.018),(42 30473.678),(43 31117.467),(44 31087.77),(45 30992.781),(46 31534.654),(47 32188.996),(48 32459.332),(49 32982.53),(50 33532.824),(51 34191.395),(52 35120.047),(53 36029.617),(54 36312.89),(55 36731.75),(56 37005.074),(57 37066.277),(58 36917.105),(59 37043.875),(60 37363.215),(61 37991.85),(62 38721.13),(63 39356.297),(64 40338.47),(65 41386.355),(66 42027.055),(67 42535.344),(68 42926.883),(69 43673.98),(70 44419.62),(71 44855.285),(72 45431.195),(73 46082.855),(74 46683.953),(75 47157.906),(76 47218.52),(77 47444.41),(78 47829.86),(79 48175.36),
(1 6211.054),(2 15047.512),(3 19420.43),(4 20733.629),(5 22309.21),(6 23621.838),(7 24123.697),(8 24088.18),(9 24558.047),(10 25123.479),(11 25575.355),(12 26186.418),(13 27079.932),(14 27750.557),(15 28270.45),(16 28918.064),(17 29505.12),(18 29265.748),(19 28752.076),(20 28891.89),(21 28945.137),(22 29037.846),(23 28615.314),(24 28401),(25 28341.938),(26 27911.855),(27 27563.96),(28 27565.65),(29 27395.047),(30 27353.234),(31 27673.633),(32 28408.734),(33 29103.592),(34 29599.662),(35 29741.742),(36 29626.236),(37 29751.373),(38 30062.65),(39 30012.816),(40 29640.264),(41 29604.988),(42 29662.13),(43 29813.338),(44 30033.613),(45 30814.752),(46 31873.787),(47 32656.053),(48 33114.043),(49 33588.453),(50 34127.8),(51 34937.438),(52 35625.043),(53 35774.527),(54 35799.9),(55 36347.07),(56 36703.598),(57 36797.523),(58 36690.746),(59 36877.15),(60 37099.52),(61 37340.26),(62 37533.93),(63 37714.63),(64 38183.637),(65 38440.836),(66 38738.176),(67 39360.82),(68 40097.465),(69 40619.504),(70 41106.207),(71 41380.883),(72 41728.37),(73 42058.285),(74 42250.117),(75 42584.996),(76 43444.21),(77 43916.695),(78 43826.92),(79 43724.82),
(1 6041.607),(2 14676.437),(3 18840.605),(4 19938.416),(5 21353.906),(6 22801.908),(7 23340.818),(8 23392.092),(9 23758.018),(10 24395.176),(11 24804.709),(12 25340.688),(13 26328.328),(14 26974.367),(15 26953.883),(16 26680.97),(17 26495.152),(18 26313.959),(19 26485.678),(20 26850.307),(21 26791.139),(22 26926.164),(23 26879.994),(24 26978.732),(25 27103.91),(26 27009.664),(27 26649.646),(28 26497.615),(29 26559.604),(30 26695.65),(31 27240.627),(32 27842.408),(33 28030.959),(34 28093.672),(35 28170.877),(36 28029.701),(37 28156.03),(38 28195.977),(39 28212.006),(40 28164.244),(41 27709.797),(42 27614.486),(43 28280.219),(44 28619.348),(45 28808.596),(46 29180.244),(47 30023.846),(48 30343.922),(49 30434.068),(50 30811.623),(51 31655.195),(52 32157.154),(53 31993.822),(54 32187.89),(55 32658.184),(56 32905.113),(57 33254.93),(58 33882.387),(59 34385.656),(60 35140.914),(61 36193.547),(62 36866.7),(63 36899.816),(64 36891.59),(65 37403.906),(66 37879.69),(67 38218.438),(68 38610.523),(69 39070.78),(70 39282.05),(71 39722.766),(72 40235.625),(73 40881.04),(74 41227.758),(75 41534.81),(76 42058.01),(77 42380.027),(78 42330.582),(79 42524.02),
(1 5977.7573),(2 14251.257),(3 18016.287),(4 19285.912),(5 20988.377),(6 22288.654),(7 22854.66),(8 22797.037),(9 23063.598),(10 23556.729),(11 24084.55),(12 24624.297),(13 25440.652),(14 26073.752),(15 26559.82),(16 26556.525),(17 26297.273),(18 26286.357),(19 26552.285),(20 26726.965),(21 26676.586),(22 26974.068),(23 26765.773),(24 26606.62),(25 26582.9),(26 26037.828),(27 25485.635),(28 25316.926),(29 25656.598),(30 25799.666),(31 25358.92),(32 25583.848),(33 26071.352),(34 26336.12),(35 26330.469),(36 26304.885),(37 26596.566),(38 26422.643),(39 26367.957),(40 26252.795),(41 26080.148),(42 26466.314),(43 27150.236),(44 27450.291),(45 27667.414),(46 28032.482),(47 28586.14),(48 28963.717),(49 29382.31),(50 29999.932),(51 31056.234),(52 31749.23),(53 32164.889),(54 32633.443),(55 33069.5),(56 33243.973),(57 33564.46),(58 34083.785),(59 34539.043),(60 34910.836),(61 35379.97),(62 36079.754),(63 36545.06),(64 36894.777),(65 37329.074),(66 37537.58),(67 37981.086),(68 38887.684),(69 39423.324),(70 39117.41),(71 39064.44),(72 39647.63),(73 39997.766),(74 40448),(75 40776.645),(76 40286.285),(77 39846.73),(78 39899.32),(79 39989.813),
(1 5809.6313),(2 13892.029),(3 17581.02),(4 18555.178),(5 19687.932),(6 20867.752),(7 21692.168),(8 21972.492),(9 22307.629),(10 22788.629),(11 23275.525),(12 24001.74),(13 24789.885),(14 25254.62),(15 25338.072),(16 25234.318),(17 25022.46),(18 25007.215),(19 25033.967),(20 25005.834),(21 25045.893),(22 25673.668),(23 25829.238),(24 25519.525),(25 25019.607),(26 24743.107),(27 24530.754),(28 24028.695),(29 24097.521),(30 24576.473),(31 24553.525),(32 24738.262),(33 24857.652),(34 24883.453),(35 24554.418),(36 24715.145),(37 25289.967),(38 25591.68),(39 25617.322),(40 25211.36),(41 25200.309),(42 25516.701),(43 25918.172),(44 25996.092),(45 26131.371),(46 26650.422),(47 27567.44),(48 28397.348),(49 28863.295),(50 29486.52),(51 30321.168),(52 30366.115),(53 30322.96),(54 30510.436),(55 30898.342),(56 31036.547),(57 31145.012),(58 31416.154),(59 31831.111),(60 32709.088),(61 33535.223),(62 33901.953),(63 33862.453),(64 34079.164),(65 34937.934),(66 35462.76),(67 36128.125),(68 36633.195),(69 36907.254),(70 37067.547),(71 37357.9),(72 37486.586),(73 37651.23),(74 37651.824),(75 37796.63),(76 38113.207),(77 38375.094),(78 38569.22),(79 38601.02),
(1 5909.492),(2 14200.337),(3 17977.623),(4 18863.277),(5 19859.627),(6 20889.602),(7 21510.441),(8 21892.727),(9 22323.285),(10 22715.893),(11 23057.191),(12 23802.023),(13 24397.783),(14 24550.988),(15 24616.16),(16 24627.8),(17 24602.873),(18 24307.672),(19 24092.723),(20 24023.068),(21 23730.396),(22 23549.656),(23 23509.86),(24 23429.492),(25 23292.674),(26 23121.938),(27 22796.547),(28 22672.191),(29 23048.832),(30 23686.781),(31 23477.127),(32 23697.037),(33 24363.236),(34 24817.854),(35 24562.096),(36 24698.418),(37 25010.047),(38 24914.402),(39 24823.04),(40 24839.107),(41 25136.379),(42 25456.658),(43 25984.7),(44 26217.05),(45 26230.908),(46 26579.957),(47 27282.332),(48 27977.68),(49 28809.787),(50 29544.809),(51 29985.691),(52 30189.7),(53 30454.803),(54 30492.275),(55 30545.248),(56 30686.006),(57 31111.809),(58 32056.91),(59 33055.055),(60 33440.65),(61 33745.64),(62 34099.836),(63 34592.227),(64 34847.918),(65 35077.727),(66 35901.754),(67 36735.203),(68 37066.438),(69 37457.04),(70 37904.086),(71 38244.668),(72 38863.758),(73 39694.33),(74 39775.863),(75 39477.848),(76 39599.156),(77 40164.273),(78 39861.227),(79 39465.555),
(1 5564.238),(2 13204.535),(3 16827.17),(4 17864.453),(5 18946.4),(6 20118.66),(7 20833.764),(8 21328.07),(9 22078.895),(10 22645.285),(11 22991.191),(12 23494.285),(13 24185.408),(14 24747.291),(15 24849.033),(16 24929.719),(17 24813.67),(18 24265.105),(19 24015.346),(20 24180.117),(21 23738.844),(22 23738.852),(23 23744.598),(24 23758.07),(25 23564.422),(26 23341.87),(27 23217.043),(28 23097.785),(29 23038.215),(30 23025.252),(31 22943.605),(32 23215.494),(33 23946.701),(34 24163.596),(35 23784.752),(36 24032.617),(37 24287.863),(38 24127.064),(39 24295.05),(40 24657.506),(41 25028.08),(42 24986.33),(43 25008.785),(44 25342.018),(45 25898.934),(46 26225.656),(47 26797.008),(48 27356.729),(49 27936.727),(50 28705.041),(51 28871.662),(52 29027.883),(53 29143.74),(54 29245.584),(55 28951.316),(56 28984.064),(57 29128.986),(58 29738.738),(59 30554.07),(60 31072.82),(61 31530.46),(62 31606.514),(63 31771.441),(64 32279.213),(65 32767.416),(66 33374.324),(67 33519.46),(68 33439.145),(69 33765.17),(70 34103.438),(71 34317.848),(72 34567.42),(73 34814.137),(74 35259.35),(75 35240.367),(76 35223.125),(77 35555.063),(78 35843.88),(79 36029.996),
(1 5522.144),(2 13087.145),(3 16449.969),(4 17213.793),(5 18271.959),(6 19331.844),(7 20099.115),(8 20632.691),(9 21078.152),(10 21353.016),(11 21499.02),(12 22090.281),(13 22917.01),(14 23337.256),(15 23287.955),(16 23112.158),(17 23109.6),(18 22789.936),(19 22673.281),(20 22559.111),(21 22057.125),(22 21853.275),(23 21564.719),(24 21629.05),(25 21739.047),(26 21921.547),(27 21888.41),(28 21999.107),(29 22061.703),(30 21855.428),(31 21771.13),(32 22082.53),(33 22457.328),(34 22414.777),(35 22441.072),(36 22848.121),(37 23053.998),(38 22367.887),(39 22062.387),(40 22248.291),(41 22754.992),(42 22825.428),(43 22573.375),(44 22749.746),(45 23020.105),(46 23348.564),(47 23873.402),(48 24322.082),(49 25487.195),(50 26329.473),(51 26521.621),(52 26296.617),(53 26165.059),(54 26185.516),(55 26310.695),(56 26347.17),(57 27228.445),(58 28080.06),(59 28777.23),(60 29112.262),(61 29202.154),(62 29567.762),(63 30366.629),(64 31067.037),(65 31603.322),(66 31985.74),(67 31977.01),(68 32239.254),(69 32755.264),(70 32881.734),(71 32682.545),(72 32905.13),(73 33318.305),(74 33374.707),(75 33304.07),(76 33522.473),(77 33876.633),(78 34031.53),(79 34403.6),
(1 5348.2036),(2 12653.565),(3 15547.038),(4 16057.542),(5 17003.078),(6 18031.479),(7 18631.838),(8 19074.508),(9 19547.084),(10 20017.893),(11 20345.361),(12 20715.65),(13 21495.979),(14 21876.518),(15 22068.273),(16 22048.281),(17 22012.803),(18 21891.777),(19 21765.352),(20 21687.357),(21 21831.861),(22 22094.924),(23 21846.934),(24 21801.248),(25 21551.68),(26 21432.611),(27 21241.729),(28 21108.057),(29 21233.184),(30 21238.275),(31 21210.137),(32 21787.367),(33 22231.338),(34 22037.11),(35 22101.002),(36 22526.12),(37 22763.004),(38 22786.889),(39 22727.455),(40 22780.611),(41 22854.225),(42 22293.934),(43 22584.14),(44 23294.016),(45 23917.33),(46 24617.344),(47 25092.27),(48 25203.926),(49 26154.768),(50 26646.896),(51 26833.379),(52 26639.082),(53 26406.77),(54 26445.453),(55 26790.725),(56 27109.219),(57 27592.828),(58 28065.615),(59 28375.553),(60 28571.338),(61 28897.717),(62 29124.584),(63 29456.256),(64 30066.635),(65 30294.885),(66 30476.434),(67 30722.73),(68 31116.498),(69 31227.807),(70 31217.365),(71 31436.205),(72 31852.11),(73 32266.814),(74 32530.047),(75 32692.486),(76 33112.043),(77 33210.27),(78 33584.543),(79 34147.24),
(1 5183.129),(2 12197.286),(3 15240.392),(4 16239.17),(5 17422.705),(6 18239.645),(7 18536.988),(8 18858.617),(9 19306.64),(10 19868.297),(11 20152.385),(12 20548.684),(13 21019.975),(14 21275.838),(15 21678.846),(16 21843.264),(17 21844.676),(18 21852.938),(19 21946.586),(20 21797.85),(21 21513.549),(22 21270.453),(23 21215.254),(24 21262.857),(25 21079.342),(26 21009.762),(27 20959.063),(28 20959.576),(29 20883.71),(30 20777.021),(31 20830.178),(32 21173.604),(33 21242.045),(34 21336.146),(35 21733.178),(36 22208.467),(37 22315.44),(38 22173.893),(39 22063.883),(40 22326.883),(41 22850.205),(42 22815.738),(43 23087.795),(44 23522.615),(45 23859.959),(46 24100.566),(47 24341.248),(48 24894.9),(49 25401.576),(50 25462.533),(51 25509.459),(52 25525.16),(53 25677.475),(54 25990.396),(55 26535.846),(56 27591.467),(57 28399.56),(58 28812.668),(59 29295.813),(60 29862.97),(61 30377.877),(62 30430.54),(63 30579.133),(64 31111.656),(65 31663.15),(66 31872.508),(67 32148.146),(68 32286.379),(69 32167.234),(70 32221.424),(71 32874.78),(72 33283.453),(73 33315.957),(74 33366.88),(75 33609.8),(76 33552.313),(77 33674.42),(78 33938.477),(79 34094.23),
(1 5071.3086),(2 11730.256),(3 14220.977),(4 14928.641),(5 16121.278),(6 16910.361),(7 17370.389),(8 17842.576),(9 18483.45),(10 19044.379),(11 19480.744),(12 19977.498),(13 20457.875),(14 20582.666),(15 20481.09),(16 20349.4),(17 20253.842),(18 20254.1),(19 20267.898),(20 20281.65),(21 20259.549),(22 20120.344),(23 20140.912),(24 20366.875),(25 20122.559),(26 19860.752),(27 19672.73),(28 19619.896),(29 19554.814),(30 19623.428),(31 20026.768),(32 20335.03),(33 20233.453),(34 20184.855),(35 20816.125),(36 21528.637),(37 21597.955),(38 21444.84),(39 21700.564),(40 21782.586),(41 22003.695),(42 21936.832),(43 22241.7),(44 22793.477),(45 23233.111),(46 23670.36),(47 24088.486),(48 24575.879),(49 24926.93),(50 25395.379),(51 25587.07),(52 25983.8),(53 26148.387),(54 26409.262),(55 26994.127),(56 27598.092),(57 27927.766),(58 28045.352),(59 28250.52),(60 28297.67),(61 28163.443),(62 28193.703),(63 28573.6),(64 28912.14),(65 28916.465),(66 29409.47),(67 30030.064),(68 30110.53),(69 30353.414),(70 30744.703),(71 30856.396),(72 30953.879),(73 31374.81),(74 31730.33),(75 31964.422),(76 31998.371),(77 32496.043),(78 32425.297),(79 32260.2),
(1 5007.1006),(2 11580.999),(3 14166.314),(4 14803.635),(5 15831.273),(6 16645.857),(7 16742.4),(8 16978.033),(9 17428.424),(10 17899.74),(11 18215.648),(12 18744.283),(13 19319.795),(14 19808.648),(15 20050.514),(16 19689.764),(17 19351.525),(18 19251.57),(19 19615.549),(20 19650.11),(21 19315.076),(22 19139.31),(23 19193.752),(24 19339.678),(25 19243.168),(26 18973.998),(27 18805.39),(28 18782.943),(29 18452.33),(30 18320.88),(31 18840.963),(32 18998.244),(33 18897.074),(34 19081.244),(35 19598.244),(36 19997.906),(37 20154.34),(38 20228.1),(39 20339.02),(40 20634.363),(41 20847.082),(42 20779.943),(43 21021.178),(44 21234.924),(45 21470.518),(46 21879.186),(47 22093.006),(48 22245.592),(49 22386),(50 22476.705),(51 22659.387),(52 22661.207),(53 22993.184),(54 23389.486),(55 23937.531),(56 24433.799),(57 24679.18),(58 24526.39),(59 24951.89),(60 25206.416),(61 25170.246),(62 25607.791),(63 25996.89),(64 25780.016),(65 26183.629),(66 27024.455),(67 27178.164),(68 27240.34),(69 27663.475),(70 27854.178),(71 27825.51),(72 28062.613),(73 28768.49),(74 28916.248),(75 28914.291),(76 29013.406),(77 28980.764),(78 28422.277),(79 28354.568),
(1 5031.601),(2 11707.137),(3 14314.505),(4 14825.413),(5 15594.902),(6 16185.989),(7 16535.361),(8 16858.543),(9 17414.799),(10 18144.346),(11 18623.291),(12 19150.62),(13 19738.373),(14 20154.834),(15 20259.098),(16 20082.135),(17 19857.555),(18 19938.135),(19 20027.146),(20 19900.408),(21 19676.443),(22 19523.453),(23 19589.18),(24 19883.861),(25 19864.078),(26 19494.008),(27 19454.486),(28 19280.445),(29 18867.37),(30 19158.096),(31 19363.324),(32 19282.88),(33 19172.654),(34 19409.57),(35 19671.889),(36 19694.693),(37 19739.072),(38 19863.143),(39 20064.523),(40 20294.73),(41 20721.563),(42 21167.867),(43 21449.053),(44 21392.81),(45 21601.53),(46 22012.889),(47 22711.703),(48 22884.125),(49 23082.37),(50 23449.709),(51 23868.88),(52 24181.318),(53 24518.732),(54 24449.979),(55 24477.572),(56 24798.389),(57 25073.709),(58 25275.756),(59 25955.19),(60 26103.016),(61 26305.656),(62 26653.242),(63 27032.516),(64 27624.412),(65 28005.994),(66 28434.234),(67 28693.453),(68 29096.248),(69 29555.975),(70 29530.844),(71 29679.094),(72 29747.838),(73 29840.344),(74 30038.58),(75 30274.158),(76 30231.553),(77 29861.13),(78 29666.791),(79 30102.701),
