1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 35743.23),(2 98789.54),(3 168930.11),(4 258892.58),(5 369556.22),(6 451583.4),(7 538595.56),(8 628524.3),(9 692866.5),(10 727929),(11 762758.06),(12 817670.3),(13 853348.44),(14 894308.3),(15 945578.25),(16 999408.8),(17 1030121.8),(18 1053802),(19 1098626.9),(20 1123214.1),(21 1144571.9),(22 1147932.9),(23 1166932.9),(24 1157092.5),(25 1141526.6),(26 1149904.1),(27 1174470.5),(28 1169530.4),(29 1186531.5),(30 1217129.3),(31 1254209.5),(32 1334595.6),(33 1406774),(34 1467367.4),(35 1502769),(36 1566995),(37 1653533.9),(38 1730602.4),(39 1835855.4),(40 1964802.4),(41 2054592),(42 2149555),(43 2211270.3),(44 2309677),(45 2369492.5),(46 2424202.3),(47 2449697.8),(48 2504796.3),(49 2510439),(50 2539962.3),(51 2572880.5),(52 2621299.3),(53 2647377.5),(54 2731169),(55 2840482.3),(56 2933530.3),(57 3045830.3),(58 3204482),(59 3378081.3),(60 3539474.8),(61 3652608.8),(62 3795036.8),(63 3913239.3),(64 4039266.8),(65 4135471),(66 4203498.5),(67 4266993.5),(68 4367585.5),(69 4477463.5),(70 4584557.5),(71 4677721),(72 4783538.5),(73 4883433.5),(74 4996182),(75 5105633.5),(76 5208387.5),(77 5269212.5),(78 5294791.5),(79 5327500.5),
(1 3354.621),(2 6495.261),(3 8437.281),(4 9513.647),(5 10364.671),(6 11300.398),(7 12248.468),(8 12868.788),(9 13003.819),(10 13157.278),(11 13167.772),(12 13480.407),(13 13787.695),(14 13796.859),(15 13770.923),(16 13879.962),(17 14143.12),(18 14332.511),(19 14357.741),(20 14255.096),(21 14399.863),(22 14602.504),(23 14821.35),(24 15003.448),(25 15000.705),(26 15023.302),(27 15142.613),(28 15178.277),(29 15118.946),(30 14970.676),(31 14874.681),(32 14924.115),(33 15002.315),(34 15139.897),(35 15099.805),(36 15023.714),(37 15184.103),(38 15430.31),(39 15451.193),(40 15461.447),(41 15515.528),(42 15571.914),(43 15612.939),(44 15785.721),(45 15878.026),(46 15936.685),(47 15944.844),(48 15917.236),(49 16042.398),(50 16173.45),(51 16352.354),(52 16506.396),(53 16554.498),(54 16495.691),(55 16363.458),(56 16266.223),(57 16204.217),(58 16212.676),(59 16112.424),(60 16125.212),(61 16118.188),(62 16196.832),(63 16263.832),(64 16272.667),(65 16257.039),(66 16335.489),(67 16361.723),(68 16320.493),(69 16305.376),(70 16326.445),(71 16295.857),(72 16321.634),(73 16291.021),(74 16191.701),(75 16210.991),(76 16174.954),(77 16186.158),(78 16272.621),(79 16427.838),
(1 3287.5674),(2 6273.727),(3 8073.8467),(4 9065.89),(5 9935.242),(6 10846.704),(7 11597.218),(8 12240.217),(9 12365.83),(10 12458.437),(11 12424.851),(12 12798.64),(13 13142.282),(14 13128.045),(15 13081.071),(16 13147.083),(17 13463.537),(18 13774.867),(19 13828.195),(20 13664.91),(21 13682.835),(22 13898.473),(23 14040.043),(24 14225.123),(25 14263.687),(26 14322.253),(27 14341.501),(28 14404.062),(29 14373.75),(30 14401.557),(31 14479.5205),(32 14646.015),(33 14591.636),(34 14739.399),(35 14832.149),(36 14935.701),(37 14955.663),(38 14925.775),(39 14890.787),(40 14768.464),(41 14775.284),(42 14832.023),(43 14927.8955),(44 15155.1045),(45 15456.255),(46 15686.83),(47 15830.846),(48 15880.284),(49 16004.969),(50 15982.431),(51 16071.337),(52 16093.42),(53 16019.11),(54 15995.324),(55 15860.688),(56 15722.208),(57 15648.212),(58 15587.969),(59 15520.151),(60 15493.612),(61 15552.062),(62 15558.575),(63 15685.441),(64 15733.044),(65 15658.903),(66 15571.033),(67 15417.973),(68 15349.358),(69 15182.525),(70 15147.39),(71 14964.2705),(72 14942.865),(73 15006.407),(74 15060.665),(75 15103.602),(76 15190.123),(77 15324.328),(78 15423.553),(79 15476.797),
(1 3185.1436),(2 6064.991),(3 7827.4023),(4 8692.436),(5 9408.209),(6 10195.657),(7 10936.081),(8 11514.207),(9 11679.622),(10 11733.54),(11 11765.597),(12 12162.083),(13 12470.042),(14 12377.068),(15 12188.089),(16 12355.215),(17 12650.82),(18 12714.5),(19 12813.936),(20 12719.451),(21 12697.76),(22 12899.62),(23 13029.369),(24 13172.993),(25 13107.969),(26 13177.203),(27 13310.207),(28 13512.33),(29 13425.834),(30 13356.935),(31 13426.072),(32 13677.331),(33 13744.743),(34 13967.816),(35 14202.325),(36 14448.709),(37 14592.416),(38 14706.835),(39 14764.597),(40 14736.33),(41 14726.973),(42 14695.79),(43 14744.718),(44 14881.21),(45 15003.163),(46 15142.528),(47 15155.241),(48 15099.865),(49 14978.465),(50 15044.415),(51 15112.942),(52 15206.618),(53 15260.834),(54 15298.999),(55 15186.33),(56 15036.147),(57 15068.75),(58 15249.298),(59 15320.08),(60 15293.212),(61 15238.068),(62 15162.73),(63 15182.335),(64 15115.919),(65 15064.424),(66 15007.648),(67 15053.188),(68 15025.831),(69 14931.495),(70 14827.333),(71 14632.333),(72 14458.64),(73 14438.1),(74 14316.896),(75 14401.153),(76 14331.96),(77 14394.985),(78 14538.591),(79 14505.508),
(1 3164.3584),(2 5964.151),(3 7654.2256),(4 8516.927),(5 9254.202),(6 9960.672),(7 10535.198),(8 10977.778),(9 11040.105),(10 11078.142),(11 11068.594),(12 11326.9795),(13 11490.407),(14 11498.551),(15 11397.383),(16 11634.044),(17 11835.613),(18 11893.527),(19 11914.939),(20 11943.183),(21 12023.607),(22 12148.571),(23 12328.223),(24 12404.534),(25 12353.9795),(26 12400.122),(27 12502.202),(28 12666.501),(29 12680.435),(30 12769.28),(31 12941.453),(32 13207.2),(33 13382.341),(34 13452.771),(35 13546.264),(36 13642.445),(37 13659.288),(38 13765.529),(39 13881.187),(40 13937.832),(41 14052.848),(42 14017.223),(43 13976.409),(44 14066.976),(45 14156.494),(46 14266.745),(47 14214.959),(48 14229.232),(49 14219.13),(50 14230.759),(51 14242.676),(52 14237.218),(53 14124.46),(54 14160.207),(55 14092.011),(56 14058.186),(57 14146.676),(58 14271.553),(59 14337.068),(60 14405.663),(61 14444.386),(62 14335.745),(63 14365.01),(64 14290.242),(65 14188.949),(66 14135.985),(67 14057.808),(68 13999.502),(69 13986.555),(70 13976.591),(71 13876.528),(72 13794.266),(73 13720.845),(74 13767.3125),(75 13908.466),(76 13926.443),(77 14011.34),(78 14071.424),(79 14064.99),
(1 3044.2266),(2 5634.164),(3 7148.0537),(4 7921.4277),(5 8618.916),(6 9249.07),(7 9913.416),(8 10323.728),(9 10451.831),(10 10556.983),(11 10613.043),(12 10832.489),(13 11051.893),(14 11066.36),(15 10970.464),(16 10990.701),(17 11115.556),(18 11214.381),(19 11310.117),(20 11361.857),(21 11527.86),(22 11640.997),(23 11723.116),(24 11705.965),(25 11653.958),(26 11685.991),(27 11861.692),(28 11957.048),(29 11955.82),(30 11932.445),(31 12027.196),(32 12193.453),(33 12272.384),(34 12338.08),(35 12263.692),(36 12229.804),(37 12332.213),(38 12450.968),(39 12597.193),(40 12624.794),(41 12693.289),(42 12722.944),(43 12736.165),(44 12791.794),(45 12926.45),(46 13020.573),(47 13127.174),(48 13155.369),(49 13229.851),(50 13268.567),(51 13305.218),(52 13355.556),(53 13453.89),(54 13563.894),(55 13566.171),(56 13656.712),(57 13782.503),(58 13763.562),(59 13811.335),(60 13806.941),(61 13821.031),(62 13834.455),(63 13854.713),(64 13750.137),(65 13548.511),(66 13488.182),(67 13426.882),(68 13492.908),(69 13469.913),(70 13536.752),(71 13477.369),(72 13534.964),(73 13576.619),(74 13638.517),(75 13770.268),(76 13854.771),(77 13832.054),(78 13929.697),(79 13929.76),
(1 2932.7676),(2 5351.2095),(3 6772.002),(4 7516.6733),(5 8164.139),(6 8823.634),(7 9338.253),(8 9712.598),(9 9901.818),(10 10031.615),(11 10076.923),(12 10338.539),(13 10494.765),(14 10517.73),(15 10440.357),(16 10414.313),(17 10638.306),(18 10710.285),(19 10837.17),(20 10912.847),(21 11077.551),(22 11204.48),(23 11278.198),(24 11282.831),(25 11234.134),(26 11230.731),(27 11462.237),(28 11560.182),(29 11567.292),(30 11576.991),(31 11628.51),(32 11773.904),(33 11912.631),(34 12117.237),(35 12099.607),(36 12132.3125),(37 12258.994),(38 12385.24),(39 12494.088),(40 12440.006),(41 12524.184),(42 12558.655),(43 12545.922),(44 12489.966),(45 12545.535),(46 12602.545),(47 12599.207),(48 12620.554),(49 12701.148),(50 12768.366),(51 12816.286),(52 12806.152),(53 12775.632),(54 12691.899),(55 12674.999),(56 12721.776),(57 12801.244),(58 12822.178),(59 12745.774),(60 12733.99),(61 12809.124),(62 12812.892),(63 12737.1),(64 12597.971),(65 12487.91),(66 12470.133),(67 12513.001),(68 12461.76),(69 12472.367),(70 12547.956),(71 12523.811),(72 12545.846),(73 12615.052),(74 12613.746),(75 12566.393),(76 12544.18),(77 12561.288),(78 12502.501),(79 12521.574),
(1 2892.9856),(2 5313.465),(3 6765.9453),(4 7465.0156),(5 8044.434),(6 8601.891),(7 9025.553),(8 9343.453),(9 9399.183),(10 9472.782),(11 9645.694),(12 9965.873),(13 10212.991),(14 10216.32),(15 10172.92),(16 10211.206),(17 10447.159),(18 10630.274),(19 10719.667),(20 10759.51),(21 10860.998),(22 11072.603),(23 11161.471),(24 11257.649),(25 11276.728),(26 11241.194),(27 11354.572),(28 11407.017),(29 11379.813),(30 11426.667),(31 11493.169),(32 11667.254),(33 11845.259),(34 12032.794),(35 11955.164),(36 11940.277),(37 11913.223),(38 11916.398),(39 11944.654),(40 11858.836),(41 11864.339),(42 11873.071),(43 11938.714),(44 12050.267),(45 12110.621),(46 12127.367),(47 12066.389),(48 12052.9375),(49 11974.327),(50 11966.237),(51 12086.108),(52 12038.054),(53 12044.69),(54 12086.908),(55 12008.473),(56 12019.483),(57 12127.092),(58 12103.28),(59 12102.617),(60 12030.989),(61 12059.536),(62 12040.029),(63 12009.268),(64 11957.801),(65 11961.134),(66 11898),(67 11910.748),(68 11909.594),(69 12018.464),(70 12165.233),(71 12243.561),(72 12302.617),(73 12410.912),(74 12472.237),(75 12476.884),(76 12386.251),(77 12349.117),(78 12419.16),(79 12571.598),
(1 2819.0276),(2 5212.393),(3 6638.608),(4 7342.169),(5 7868.964),(6 8453.174),(7 9033.327),(8 9414.442),(9 9416.629),(10 9375.459),(11 9459.957),(12 9817.8545),(13 10118.934),(14 10170.195),(15 10150.469),(16 10293.391),(17 10629.207),(18 10846.99),(19 10986.939),(20 10899.112),(21 10916.77),(22 11024.526),(23 11053.774),(24 11058.039),(25 10913.195),(26 10901.918),(27 11103.612),(28 11132.95),(29 11113.112),(30 11058.052),(31 11047.4),(32 11096.837),(33 11125.937),(34 11252.177),(35 11178.003),(36 11145.561),(37 11231.465),(38 11179.561),(39 11142.424),(40 11084.4),(41 11127.205),(42 11165.776),(43 11269.865),(44 11342.373),(45 11470.219),(46 11618.198),(47 11701.012),(48 11768.38),(49 11762.204),(50 11823.588),(51 11936.401),(52 11924.031),(53 11922.134),(54 11972.859),(55 11953.523),(56 11989.401),(57 12039.317),(58 11984.227),(59 12067.788),(60 12061.484),(61 11982.819),(62 11892.154),(63 11906.939),(64 11870.172),(65 11899.265),(66 11891.301),(67 11896.459),(68 11892.006),(69 11891.637),(70 11960.148),(71 11898.779),(72 11888.584),(73 11919.065),(74 11944.16),(75 11941.555),(76 11995.209),(77 11951.13),(78 11937.844),(79 11999.338),
(1 2802.5579),(2 5022.052),(3 6421.2236),(4 7150.639),(5 7674.3633),(6 8160.017),(7 8602.881),(8 8842.382),(9 8929.78),(10 8986.537),(11 9133.401),(12 9515.167),(13 9776.564),(14 9899.662),(15 9964.572),(16 10118.897),(17 10386.428),(18 10448.302),(19 10406.29),(20 10435.229),(21 10573.071),(22 10726.756),(23 10794.262),(24 10865.534),(25 10821.428),(26 10780.912),(27 10956.604),(28 11080.002),(29 11138.762),(30 11074.27),(31 11069.2295),(32 11113.096),(33 11116.178),(34 11148.728),(35 11157.695),(36 11179.621),(37 11301.685),(38 11323.999),(39 11375.573),(40 11251.541),(41 11208.796),(42 11102.26),(43 11142.746),(44 11115.882),(45 11106.013),(46 11125.226),(47 11098.621),(48 11047.656),(49 11027.886),(50 11037.946),(51 11107.593),(52 11173.65),(53 11210.821),(54 11214.161),(55 11263.8),(56 11435.353),(57 11496.899),(58 11581.716),(59 11646.352),(60 11691.0205),(61 11699.753),(62 11739.359),(63 11765.548),(64 11723.382),(65 11719.849),(66 11635.826),(67 11532.968),(68 11524.461),(69 11510.016),(70 11479.728),(71 11431.727),(72 11412.454),(73 11421.337),(74 11411.982),(75 11479.164),(76 11458.697),(77 11344.182),(78 11348.01),(79 11356.928),
(1 2656.2964),(2 4715.819),(3 6122.083),(4 6788.35),(5 7303.339),(6 7844.719),(7 8240.206),(8 8539.356),(9 8534.205),(10 8576.961),(11 8694.483),(12 8950.356),(13 9147.042),(14 9272.846),(15 9381.944),(16 9516.218),(17 9706.44),(18 9702.689),(19 9739.117),(20 9746.933),(21 9836.232),(22 9966.919),(23 10096.72),(24 10037.164),(25 10076.193),(26 10037.096),(27 10118.661),(28 10208.539),(29 10201.397),(30 10142.293),(31 10173.631),(32 10177.807),(33 10242.475),(34 10417.932),(35 10437.651),(36 10541.2),(37 10522.62),(38 10523.881),(39 10574.028),(40 10508.751),(41 10465.062),(42 10483.538),(43 10536.218),(44 10541.571),(45 10479.996),(46 10476.456),(47 10391.558),(48 10446.343),(49 10439.332),(50 10481.226),(51 10537.556),(52 10573.134),(53 10646.114),(54 10668.654),(55 10680.278),(56 10757.641),(57 10797.354),(58 10871.245),(59 10937.852),(60 10992.515),(61 10955.496),(62 10868.255),(63 10867.612),(64 10811.259),(65 10840.599),(66 10889.989),(67 10858.397),(68 10855.376),(69 10851.015),(70 10878.351),(71 10889.97),(72 10906.002),(73 10895.901),(74 10911.719),(75 10914.093),(76 10906.157),(77 10934.985),(78 10966.765),(79 10979.448),
(1 2538.344),(2 4636.1733),(3 5870.717),(4 6568.423),(5 7170.544),(6 7736.289),(7 8210.463),(8 8540.717),(9 8704.202),(10 8795.745),(11 8918.171),(12 9139.159),(13 9315.149),(14 9275.394),(15 9187.373),(16 9327.767),(17 9532.456),(18 9587.892),(19 9612.088),(20 9662.933),(21 9745.294),(22 10010.492),(23 10193.879),(24 10330.727),(25 10411.827),(26 10418.917),(27 10452.987),(28 10472.596),(29 10381.898),(30 10338.106),(31 10319.756),(32 10370.316),(33 10456.966),(34 10521.95),(35 10596.736),(36 10688.896),(37 10753.394),(38 10752.58),(39 10696.144),(40 10727.486),(41 10750.268),(42 10728.327),(43 10597.261),(44 10523.251),(45 10462.144),(46 10465.6045),(47 10404.061),(48 10376.204),(49 10405.42),(50 10403.969),(51 10533.947),(52 10502.79),(53 10576.586),(54 10602.292),(55 10580.308),(56 10613.124),(57 10675.73),(58 10728.5205),(59 10705.919),(60 10709.95),(61 10670.71),(62 10689.386),(63 10714.781),(64 10649),(65 10596.351),(66 10683.539),(67 10633.904),(68 10660.263),(69 10638.913),(70 10678.701),(71 10708.851),(72 10633.982),(73 10549.488),(74 10482.646),(75 10483.797),(76 10459.106),(77 10491.9795),(78 10485.903),(79 10536.833),
(1 2536.6313),(2 4552.1177),(3 5791.319),(4 6470.658),(5 7034.3643),(6 7552.517),(7 8006.423),(8 8329.459),(9 8395.749),(10 8373.492),(11 8431.818),(12 8576.975),(13 8728.906),(14 8807.879),(15 8828.927),(16 9008.943),(17 9236.273),(18 9287.247),(19 9249.253),(20 9246.331),(21 9275.475),(22 9465.959),(23 9647.454),(24 9741.339),(25 9665.049),(26 9687.443),(27 9814.9375),(28 9809.366),(29 9750.248),(30 9678.528),(31 9658.717),(32 9756.699),(33 9886.373),(34 9919.942),(35 10019.548),(36 10088.894),(37 10100.106),(38 10120.295),(39 10126.529),(40 10060.827),(41 9989.825),(42 10010.608),(43 9970.462),(44 9967.285),(45 9997.783),(46 10047.291),(47 10031.711),(48 10083.704),(49 10119.698),(50 10117.232),(51 10183.838),(52 10097.347),(53 10081.806),(54 10098.581),(55 10039.071),(56 9989.8545),(57 9973.215),(58 9946.184),(59 9910.7295),(60 9943.655),(61 9947.448),(62 9982.481),(63 10107.626),(64 10149.686),(65 10203.589),(66 10216.298),(67 10251.702),(68 10267.392),(69 10352.745),(70 10415.921),(71 10423.523),(72 10314.602),(73 10233.635),(74 10263.626),(75 10209.479),(76 10071.279),(77 10024.297),(78 10047.079),(79 10172.233),
(1 2380.5117),(2 4198.6997),(3 5393.791),(4 6022.746),(5 6593.2993),(6 7073.476),(7 7514.7817),(8 7839.9634),(9 7878.037),(10 7963.9033),(11 8033.5513),(12 8150.0796),(13 8376.613),(14 8481.773),(15 8604.452),(16 8777.714),(17 8892.143),(18 8967.256),(19 9058.524),(20 9024.676),(21 9015.448),(22 9120.2),(23 9162.44),(24 9226.265),(25 9274.708),(26 9347.28),(27 9420.878),(28 9452.348),(29 9376.078),(30 9347.774),(31 9415.269),(32 9491.977),(33 9616.359),(34 9627.975),(35 9644.372),(36 9679.852),(37 9709.541),(38 9746.838),(39 9817.523),(40 9790.2),(41 9808.022),(42 9880.54),(43 9825.687),(44 9878.137),(45 9893.899),(46 9912.199),(47 9901.185),(48 9936.775),(49 9948.044),(50 9937.393),(51 9895.939),(52 9945.361),(53 9938.725),(54 9912.594),(55 9860.378),(56 9842.461),(57 9878.239),(58 9808.224),(59 9788.428),(60 9843.954),(61 9896.678),(62 9780.443),(63 9827.742),(64 9813.307),(65 9850.931),(66 9923.829),(67 9916.933),(68 9928.818),(69 9954.646),(70 10035.74),(71 10124.768),(72 10134.486),(73 10040.863),(74 10039.139),(75 10109.837),(76 10121.144),(77 10136.185),(78 10155.291),(79 10201.197),
(1 2328.9673),(2 4142.223),(3 5237.299),(4 5806.703),(5 6377.7764),(6 6886.665),(7 7237.99),(8 7480.916),(9 7504.9624),(10 7410.545),(11 7430.3096),(12 7542.4624),(13 7711.4307),(14 7779.234),(15 7728.722),(16 7774.568),(17 7939.193),(18 8113.3994),(19 8239.982),(20 8187.9487),(21 8207.094),(22 8320.78),(23 8385.867),(24 8413.088),(25 8375.179),(26 8348.51),(27 8476.314),(28 8518.985),(29 8515.924),(30 8586.742),(31 8674.943),(32 8766.028),(33 8826.688),(34 8928.434),(35 9022.973),(36 9056.258),(37 9097.195),(38 9148.055),(39 9228.522),(40 9250.276),(41 9380.3),(42 9448.914),(43 9441.967),(44 9499.05),(45 9564.638),(46 9593.141),(47 9663.108),(48 9695.28),(49 9695.904),(50 9632.527),(51 9615.838),(52 9586.397),(53 9597.824),(54 9561.927),(55 9537.138),(56 9497.147),(57 9515.161),(58 9628.584),(59 9659.937),(60 9698.074),(61 9770.339),(62 9672.7705),(63 9687.258),(64 9616.263),(65 9612.713),(66 9616.73),(67 9588.405),(68 9614.852),(69 9688.138),(70 9726.858),(71 9708.717),(72 9630.197),(73 9581.59),(74 9588.295),(75 9631.634),(76 9644.854),(77 9640.925),(78 9626.437),(79 9590.699),
(1 2374.7363),(2 4267.903),(3 5448.002),(4 5998.235),(5 6465.184),(6 6864.801),(7 7269.4927),(8 7512.958),(9 7514.0283),(10 7576.805),(11 7602.7725),(12 7742.5796),(13 7902.93),(14 7979.8374),(15 8022.142),(16 8144.2676),(17 8339.078),(18 8462.445),(19 8516.045),(20 8496.857),(21 8536.775),(22 8595.799),(23 8658.67),(24 8616.84),(25 8573.972),(26 8595.013),(27 8767.096),(28 8797.31),(29 8783.98),(30 8789.541),(31 8894.586),(32 9019.795),(33 9146.75),(34 9144.575),(35 9149.954),(36 9190.643),(37 9311.677),(38 9454.565),(39 9521.014),(40 9561.495),(41 9590.08),(42 9663.55),(43 9740.434),(44 9744.962),(45 9785.329),(46 9856.424),(47 9904.225),(48 9914.267),(49 9820.606),(50 9798.795),(51 9782.262),(52 9683.475),(53 9722.269),(54 9658.442),(55 9627.399),(56 9577.925),(57 9594.649),(58 9600.48),(59 9585.127),(60 9528.937),(61 9533.098),(62 9527.191),(63 9583.267),(64 9505.623),(65 9615.691),(66 9623.322),(67 9663.363),(68 9711.267),(69 9676.022),(70 9750.411),(71 9774.136),(72 9755.521),(73 9747.72),(74 9795.782),(75 9815.5205),(76 9659.804),(77 9585.781),(78 9619.953),(79 9618.217),
(1 2299.238),(2 4113.2676),(3 5223.758),(4 5770.136),(5 6240.2524),(6 6624.2935),(7 6944.9785),(8 7198.4146),(9 7305.964),(10 7377.461),(11 7390.8506),(12 7564.4385),(13 7745.393),(14 7851.6455),(15 7808.363),(16 7842.7485),(17 8037.556),(18 8209.768),(19 8220.175),(20 8153.697),(21 8176.6563),(22 8290.554),(23 8351.121),(24 8363.56),(25 8283.636),(26 8247.817),(27 8379.513),(28 8437.199),(29 8489.763),(30 8482.662),(31 8633.265),(32 8724.16),(33 8759.983),(34 8784.991),(35 8723.631),(36 8720.275),(37 8824.247),(38 8990.917),(39 9051.521),(40 9022.549),(41 9065.775),(42 9162.156),(43 9266.316),(44 9339.221),(45 9380.047),(46 9374.077),(47 9321.66),(48 9349.383),(49 9317.102),(50 9293.64),(51 9408.53),(52 9420.269),(53 9463.721),(54 9421.017),(55 9472.886),(56 9443.104),(57 9536.713),(58 9538.256),(59 9561.099),(60 9584.845),(61 9646.14),(62 9654.35),(63 9749.498),(64 9682.279),(65 9714.526),(66 9702.561),(67 9717.132),(68 9743.717),(69 9655.474),(70 9774.82),(71 9813.653),(72 9841.364),(73 9833.1),(74 9824.39),(75 9804.715),(76 9706.555),(77 9661.631),(78 9522.283),(79 9517.963),
(1 2295.895),(2 4074.197),(3 5181.918),(4 5708.118),(5 6140.7676),(6 6512.371),(7 6798.1953),(8 6986.2217),(9 7013.4805),(10 7025.1973),(11 7047.5146),(12 7165.849),(13 7307.752),(14 7356.179),(15 7272.706),(16 7297.135),(17 7393.777),(18 7494.2896),(19 7484.345),(20 7490.517),(21 7579.243),(22 7744.9805),(23 7884.039),(24 7970.6587),(25 7933.6353),(26 7921.492),(27 8054.362),(28 8115.4565),(29 8092.336),(30 8095.3037),(31 8099.9863),(32 8202.153),(33 8271.619),(34 8337.214),(35 8312.852),(36 8363.115),(37 8429.871),(38 8453.452),(39 8596.55),(40 8620.226),(41 8665.909),(42 8707.54),(43 8795.229),(44 8830.074),(45 8839.179),(46 8869.255),(47 8841.795),(48 8810.977),(49 8804.562),(50 8863.271),(51 8914.067),(52 8942.841),(53 8962.521),(54 8958.333),(55 8994.416),(56 9022.823),(57 9063.598),(58 9133.889),(59 9131.841),(60 9121.044),(61 9160.056),(62 9204.016),(63 9279.41),(64 9297.961),(65 9291.715),(66 9236.464),(67 9215.989),(68 9225.092),(69 9200.394),(70 9197.631),(71 9156.578),(72 9157.6875),(73 9114.26),(74 9129.459),(75 9099.233),(76 9032.345),(77 8929.987),(78 8860.928),(79 8819.2),
