1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 543.03827),(2 752.9989),(3 866.16016),(4 937.1681),(5 988.4777),(6 1036.4536),(7 1055.8003),(8 1083.8555),(9 1114.6213),(10 1123.8215),(11 1127.2289),(12 1140.0968),(13 1154.7285),(14 1154.859),(15 1165.4098),(16 1169.1846),(17 1178.7834),(18 1198.2957),(19 1200.9138),(20 1207.9991),(21 1212.611),(22 1227.29),(23 1230.0901),(24 1244.6027),(25 1245.8163),(26 1250.6178),(27 1266.4056),(28 1265.7521),(29 1266.7804),(30 1271.3994),(31 1275.9905),(32 1276.4346),(33 1273.208),(34 1267.3594),(35 1266.4364),(36 1272.6882),(37 1264.666),(38 1269.2983),(39 1267.9011),(40 1265.7296),(41 1266.9745),(42 1273.5939),(43 1266.2372),(44 1265.1039),(45 1266.1613),(46 1258.8201),(47 1261.6187),(48 1267.4363),(49 1270.7261),(50 1272.559),(51 1281.1554),(52 1278.1941),(53 1267.808),(54 1288.4457),(55 1301.2247),(56 1298.9655),(57 1301.8094),(58 1294.6755),(59 1302.7129),(60 1294.837),(61 1305.5161),(62 1315.2083),(63 1318.4274),(64 1326.3096),(65 1309.2052),(66 1313.4937),(67 1313.5734),(68 1322.6444),(69 1325.9281),(70 1316.066),(71 1306.4932),(72 1292.7559),(73 1306.2211),(74 1309.261),(75 1302.6633),(76 1302.6599),(77 1305.283),(78 1312.7701),(79 1307.7164),
(1 545.02765),(2 759.2574),(3 876.55206),(4 942.81036),(5 983.7839),(6 1018.87366),(7 1037.1343),(8 1052.0249),(9 1084.673),(10 1099.1566),(11 1121.9835),(12 1129.3868),(13 1134.3448),(14 1138.776),(15 1157.4464),(16 1168.5034),(17 1163.1465),(18 1189.9565),(19 1187.5797),(20 1197.883),(21 1211.8551),(22 1215.2028),(23 1217.8307),(24 1215.3823),(25 1224.0316),(26 1230.9485),(27 1239.6844),(28 1244.4),(29 1242.3943),(30 1242.6414),(31 1240.4034),(32 1238.9283),(33 1243.4943),(34 1245.1615),(35 1239.5552),(36 1242.0735),(37 1244.1388),(38 1257.7894),(39 1255.8372),(40 1256.297),(41 1247.8097),(42 1264.9917),(43 1255.9042),(44 1268.5453),(45 1268.6301),(46 1257.7645),(47 1266.112),(48 1278.4493),(49 1271.6022),(50 1275.2384),(51 1276.0488),(52 1272.7526),(53 1287.9116),(54 1277.4069),(55 1267.7308),(56 1280.0084),(57 1287.612),(58 1288.1819),(59 1291.9761),(60 1287.2677),(61 1284.7009),(62 1292.774),(63 1304.2465),(64 1310.5498),(65 1317.7742),(66 1329.0956),(67 1336.4783),(68 1341.2142),(69 1335.6992),(70 1320.5028),(71 1324.7161),(72 1322.1156),(73 1312.137),(74 1312.3121),(75 1323.6638),(76 1311.9467),(77 1304.9714),(78 1322.6534),(79 1319.9751),
(1 520.6624),(2 719.862),(3 830.7722),(4 907.5976),(5 945.20105),(6 998.10046),(7 1028.8031),(8 1045.5226),(9 1063.6924),(10 1082.9492),(11 1094.726),(12 1114.6642),(13 1125.9568),(14 1121.0327),(15 1131.6993),(16 1140.0563),(17 1149.1128),(18 1170.6635),(19 1168.5023),(20 1166.2704),(21 1181.9753),(22 1179.5538),(23 1195.0645),(24 1187.1509),(25 1181.8497),(26 1192.5797),(27 1189.3689),(28 1181.326),(29 1184.1422),(30 1195.7957),(31 1189.0641),(32 1188.5497),(33 1195.5499),(34 1200.959),(35 1199.0558),(36 1200.6063),(37 1196.6167),(38 1208.7397),(39 1195.5695),(40 1194.1227),(41 1204.9163),(42 1204.4172),(43 1207.6208),(44 1205.7174),(45 1206.3007),(46 1204.0859),(47 1207.3605),(48 1218.3873),(49 1218.4338),(50 1228.5515),(51 1243.4249),(52 1246.8512),(53 1248.9274),(54 1257.286),(55 1261.3248),(56 1275.9883),(57 1276.4569),(58 1269.1265),(59 1276.7013),(60 1272.6354),(61 1266.1808),(62 1265.248),(63 1270.843),(64 1268.5242),(65 1261.2921),(66 1272.8424),(67 1281.5012),(68 1287.4628),(69 1279.4799),(70 1279.7588),(71 1270.6588),(72 1261.0192),(73 1250.026),(74 1253.6874),(75 1256.4088),(76 1253.7445),(77 1258.8282),(78 1253.585),(79 1262.4556),
(1 502.82187),(2 692.937),(3 802.19806),(4 872.3834),(5 913.0374),(6 958.81976),(7 980.935),(8 1007.21826),(9 1018.74),(10 1028.55),(11 1037.112),(12 1049.4886),(13 1062.5044),(14 1069.8207),(15 1087.093),(16 1098.6709),(17 1099.293),(18 1102.0472),(19 1106.8186),(20 1109.4347),(21 1115.1813),(22 1120.2402),(23 1122.3212),(24 1117.508),(25 1117.2047),(26 1126.5891),(27 1127.5713),(28 1122.6752),(29 1129.113),(30 1146.4205),(31 1145.6346),(32 1137.428),(33 1148.0197),(34 1143.6145),(35 1151.2893),(36 1159.7136),(37 1150.5542),(38 1150.8008),(39 1156.6798),(40 1153.7247),(41 1150.0411),(42 1143.9347),(43 1144.7467),(44 1148.0366),(45 1146.0526),(46 1156.188),(47 1175.8545),(48 1182.2981),(49 1175.6342),(50 1187.2109),(51 1189.1008),(52 1182.9508),(53 1191.9961),(54 1193.5315),(55 1193.1514),(56 1200.3552),(57 1208.5645),(58 1213.3497),(59 1212.2634),(60 1212.8955),(61 1212.6602),(62 1217.8451),(63 1218.216),(64 1210.3932),(65 1226.0518),(66 1231.649),(67 1221.301),(68 1223.0856),(69 1218.4381),(70 1213.0378),(71 1210.7604),(72 1195.2301),(73 1198.5865),(74 1190.6082),(75 1190.701),(76 1193.2587),(77 1192.8649),(78 1198.0028),(79 1211.8386),
(1 494.67496),(2 687.9294),(3 809.80475),(4 861.1828),(5 900.1934),(6 948.63293),(7 975.15045),(8 996.0936),(9 1012.77344),(10 1026.1752),(11 1033.6066),(12 1060.9951),(13 1064.6897),(14 1072.3279),(15 1088.8733),(16 1095.5201),(17 1099.1969),(18 1112.6255),(19 1108.3207),(20 1123.6815),(21 1129.5181),(22 1132.9556),(23 1136.9633),(24 1132.85),(25 1136.3792),(26 1152.8807),(27 1147.879),(28 1144.1548),(29 1138.7004),(30 1141.9155),(31 1148.6997),(32 1147.0725),(33 1140.2678),(34 1146.9004),(35 1148.0139),(36 1151.7477),(37 1163.7433),(38 1155.45),(39 1160.0652),(40 1154.461),(41 1150.6388),(42 1157.5516),(43 1173.33),(44 1178.5104),(45 1179.5785),(46 1179.6284),(47 1191.8107),(48 1194.6553),(49 1192.0999),(50 1194.2521),(51 1202.2804),(52 1204.7546),(53 1198.9689),(54 1216.9913),(55 1206.2383),(56 1209.452),(57 1207.1707),(58 1207.388),(59 1211.4384),(60 1217.855),(61 1225.5254),(62 1229.4669),(63 1232.1152),(64 1227.9229),(65 1231.1189),(66 1239.0754),(67 1232.2954),(68 1221.5358),(69 1231.1704),(70 1222.9001),(71 1222.9525),(72 1228.3822),(73 1224.5549),(74 1223.852),(75 1224.2833),(76 1216.3807),(77 1223.5775),(78 1227.1191),(79 1234.0974),
(1 482.10593),(2 670.1123),(3 767.89935),(4 823.8014),(5 871.39),(6 924.12665),(7 946.0741),(8 958.958),(9 968.4174),(10 986.3631),(11 995.99854),(12 1005.8519),(13 1013.53174),(14 1028.0813),(15 1029.2433),(16 1028.9786),(17 1033.8073),(18 1041.9496),(19 1042.6484),(20 1047.2312),(21 1049.8193),(22 1052.4109),(23 1056.9344),(24 1055.735),(25 1050.6466),(26 1057.9845),(27 1067.3644),(28 1068.0686),(29 1066.8002),(30 1069.5139),(31 1061.3181),(32 1072.863),(33 1089.3746),(34 1090.405),(35 1085.5212),(36 1090.7587),(37 1091.1926),(38 1097.7727),(39 1105.2755),(40 1099.2961),(41 1102.2118),(42 1108.9761),(43 1116.0624),(44 1116.9757),(45 1110.4548),(46 1108.7803),(47 1126.6553),(48 1133.8022),(49 1133.7831),(50 1135.35),(51 1140.7532),(52 1137.7363),(53 1138.9653),(54 1150.5345),(55 1136.2462),(56 1150.6665),(57 1148.435),(58 1140.9318),(59 1145.8652),(60 1155.0708),(61 1161.1624),(62 1160.4615),(63 1169.3522),(64 1166.3844),(65 1170.7947),(66 1172.4932),(67 1169.6194),(68 1173.9642),(69 1167.8452),(70 1161.8829),(71 1149.5695),(72 1155.3484),(73 1152.4515),(74 1161.5315),(75 1162.8071),(76 1152.4261),(77 1161.7386),(78 1174.3563),(79 1184.0343),
(1 484.17276),(2 668.3694),(3 762.63684),(4 820.4249),(5 861.5086),(6 907.79395),(7 926.4131),(8 936.3782),(9 946.9225),(10 967.0507),(11 985.1182),(12 998.5364),(13 1010.3905),(14 1023.26654),(15 1033.7737),(16 1042.9796),(17 1051.0153),(18 1074.0933),(19 1067.1382),(20 1065.131),(21 1074.9801),(22 1082.1104),(23 1078.3953),(24 1077.4171),(25 1069.9446),(26 1073.2307),(27 1074.7546),(28 1071.2196),(29 1068.3884),(30 1080.8973),(31 1077.5406),(32 1068.5203),(33 1074.7611),(34 1080.6044),(35 1086.4913),(36 1085.5105),(37 1090.7566),(38 1085.2096),(39 1077.4458),(40 1084.1416),(41 1089.6469),(42 1094.1378),(43 1086.3936),(44 1098.6193),(45 1106.5397),(46 1115.323),(47 1120.9067),(48 1122.573),(49 1125.3666),(50 1130.0457),(51 1138.305),(52 1147.7805),(53 1152.9628),(54 1153.9125),(55 1149.224),(56 1158.0242),(57 1176.498),(58 1171.0496),(59 1174.383),(60 1182.7184),(61 1196.5752),(62 1198.5935),(63 1199.6322),(64 1200.9906),(65 1204.1447),(66 1195.2437),(67 1181.403),(68 1182.0261),(69 1187.9906),(70 1184.9188),(71 1187.2877),(72 1190.5603),(73 1183.2711),(74 1185.8164),(75 1190.7379),(76 1178.3228),(77 1173.9124),(78 1178.0634),(79 1183.7045),
(1 472.44623),(2 656.50635),(3 745.3159),(4 795.2133),(5 831.27155),(6 876.23395),(7 899.83984),(8 908.2442),(9 929.58624),(10 952.6915),(11 969.71387),(12 973.868),(13 982.5389),(14 987.40564),(15 996.6589),(16 1009.48914),(17 1018.49866),(18 1035.585),(19 1036.0708),(20 1034.5916),(21 1041.9877),(22 1043.3273),(23 1039.9344),(24 1051.3236),(25 1051.9572),(26 1047.4148),(27 1045.9978),(28 1039.6981),(29 1044.8353),(30 1051.6409),(31 1054.1124),(32 1045.8755),(33 1050.6968),(34 1048.7408),(35 1036.6171),(36 1040.6405),(37 1039.7529),(38 1041.3574),(39 1045.7599),(40 1048.2588),(41 1048.6816),(42 1050.675),(43 1055.7606),(44 1055.6727),(45 1051.3495),(46 1060.543),(47 1069.5614),(48 1069.5211),(49 1077.0977),(50 1087.8026),(51 1098.0155),(52 1103.3214),(53 1107.8179),(54 1112.153),(55 1120.4713),(56 1123.361),(57 1129.815),(58 1121.384),(59 1124.2969),(60 1126.7654),(61 1136.4087),(62 1131.6205),(63 1139.1863),(64 1138.9336),(65 1139.0128),(66 1127.631),(67 1115.76),(68 1122.1532),(69 1121.8418),(70 1119.9937),(71 1114.7474),(72 1111.6989),(73 1105.1246),(74 1105.3901),(75 1114.9435),(76 1116.9692),(77 1113.625),(78 1122.2102),(79 1127.703),
(1 460.8579),(2 627.3976),(3 717.2564),(4 764.2148),(5 800.0601),(6 843.0235),(7 868.7921),(8 890.213),(9 902.97986),(10 911.8341),(11 935.039),(12 951.6684),(13 953.5567),(14 956.63544),(15 963.2827),(16 979.56665),(17 979.46387),(18 990.6279),(19 991.33936),(20 993.44604),(21 1014.4655),(22 1015.7439),(23 1015.7338),(24 1015.5065),(25 1008.3125),(26 1003.8693),(27 1001.8184),(28 1008.23016),(29 1005.81665),(30 1005.9013),(31 1005.0028),(32 1006.86206),(33 1009.0203),(34 1001.21466),(35 1001.2384),(36 1000.4795),(37 997.61127),(38 1011.47253),(39 1014.836),(40 1016.1106),(41 1026.7197),(42 1038.7832),(43 1032.3815),(44 1031.0447),(45 1026.1003),(46 1022.71063),(47 1019.3161),(48 1029.3417),(49 1031.7583),(50 1034.3195),(51 1049.919),(52 1054.8767),(53 1053.5217),(54 1057.5736),(55 1064.2595),(56 1064.6705),(57 1072.3358),(58 1073.8373),(59 1072.011),(60 1068.6776),(61 1078.6757),(62 1084.7191),(63 1085.8054),(64 1077.1676),(65 1080.4441),(66 1075.0851),(67 1074.3259),(68 1078.3838),(69 1076.2437),(70 1069.0375),(71 1068.3336),(72 1070.6029),(73 1072.1405),(74 1082.1929),(75 1072.6002),(76 1068.1615),(77 1070.7924),(78 1083.8258),(79 1097.5516),
(1 458.95584),(2 625.0394),(3 718.5979),(4 766.3154),(5 807.98505),(6 839.35376),(7 866.6515),(8 890.6655),(9 899.77155),(10 918.57697),(11 931.4048),(12 931.8722),(13 934.7252),(14 928.022),(15 937.72217),(16 941.966),(17 945.3448),(18 964.5137),(19 972.4173),(20 978.9195),(21 990.92566),(22 992.86676),(23 998.71375),(24 1001.0605),(25 1001.5955),(26 996.78723),(27 1007.04395),(28 1006.9336),(29 1004.8129),(30 1004.9592),(31 1003.76874),(32 1005.2079),(33 997.4493),(34 997.1562),(35 991.5678),(36 993.95325),(37 990.02625),(38 992.4051),(39 999.36346),(40 997.6266),(41 1003.3333),(42 1016.4583),(43 1024.7877),(44 1037.6183),(45 1028.3812),(46 1025.6315),(47 1034.6027),(48 1048.9814),(49 1052.1051),(50 1050.0957),(51 1059.0768),(52 1066.7449),(53 1066.6744),(54 1074.5092),(55 1082.1094),(56 1074.6667),(57 1077.6074),(58 1078.3016),(59 1070.4373),(60 1069.8702),(61 1076.4014),(62 1076.4469),(63 1071.869),(64 1067.1996),(65 1072.1315),(66 1074.9932),(67 1078.8491),(68 1073.6759),(69 1073.6558),(70 1070.6697),(71 1072.3698),(72 1072.2938),(73 1072.9807),(74 1080.0305),(75 1086.6038),(76 1086.9226),(77 1092.208),(78 1089.7203),(79 1098.9844),
(1 443.3979),(2 610.34796),(3 695.1986),(4 746.00507),(5 775.1249),(6 814.06195),(7 841.905),(8 862.4496),(9 865.52203),(10 880.3463),(11 886.41766),(12 889.5968),(13 895.6158),(14 899.3968),(15 910.0787),(16 914.67145),(17 919.95447),(18 941.6398),(19 946.6938),(20 948.6557),(21 956.0026),(22 961.09454),(23 966.59686),(24 967.8369),(25 966.003),(26 966.5228),(27 974.25397),(28 969.2858),(29 971.4903),(30 980.7554),(31 981.6456),(32 978.4864),(33 988.1668),(34 985.31213),(35 984.8298),(36 993.50714),(37 989.8669),(38 988.00903),(39 984.36743),(40 984.3718),(41 978.7424),(42 977.95654),(43 980.99915),(44 987.53485),(45 986.37634),(46 983.2616),(47 1003.63324),(48 1019.53705),(49 1016.85297),(50 1006.47925),(51 1011.89325),(52 1011.33057),(53 1016.56104),(54 1027.2079),(55 1034.3785),(56 1039.8037),(57 1038.3522),(58 1046.1348),(59 1052.6486),(60 1052.2909),(61 1053.465),(62 1045.8486),(63 1046.1663),(64 1038.3866),(65 1032.74),(66 1042.2689),(67 1038.5973),(68 1029.291),(69 1032.1835),(70 1027.6569),(71 1030.1068),(72 1027.885),(73 1020.1424),(74 1022.3853),(75 1029.2627),(76 1034.5347),(77 1040.748),(78 1045.1077),(79 1037.8523),
(1 436.85477),(2 598.40247),(3 688.024),(4 730.69824),(5 768.3125),(6 807.0269),(7 830.38837),(8 847.02515),(9 858.8366),(10 869.6216),(11 875.07336),(12 891.37524),(13 900.0384),(14 910.83276),(15 922.20624),(16 925.5373),(17 922.00714),(18 944.2261),(19 942.6641),(20 942.73456),(21 943.7334),(22 952.17883),(23 958.5357),(24 952.4409),(25 955.6186),(26 952.94354),(27 952.4918),(28 953.5986),(29 956.68774),(30 959.0945),(31 964.73865),(32 964.08484),(33 968.79626),(34 959.31537),(35 968.9819),(36 968.0993),(37 974.30365),(38 984.08435),(39 987.0703),(40 985.1935),(41 984.5202),(42 986.8351),(43 979.79987),(44 981.6517),(45 983.1411),(46 977.9804),(47 991.4272),(48 1003.1534),(49 1011.47534),(50 1014.1929),(51 1024.6193),(52 1017.1678),(53 1025.1832),(54 1019.74963),(55 1018.8913),(56 1023.5651),(57 1023.56885),(58 1019.92084),(59 1025.2068),(60 1022.81854),(61 1027.8043),(62 1023.80164),(63 1034.4148),(64 1034.3649),(65 1031.0669),(66 1035.3262),(67 1029.0201),(68 1033.7731),(69 1046.8309),(70 1049.1914),(71 1047.1194),(72 1044.3759),(73 1045.099),(74 1048.3673),(75 1048.3339),(76 1048.7532),(77 1051.0565),(78 1071.8197),(79 1070.4172),
(1 432.8377),(2 589.99066),(3 680.80164),(4 727.4074),(5 771.2247),(6 811.3681),(7 825.0539),(8 840.5697),(9 858.75757),(10 864.93744),(11 880.96136),(12 893.6705),(13 896.83),(14 906.4098),(15 907.43774),(16 918.7797),(17 918.23846),(18 947.2177),(19 949.086),(20 954.86646),(21 959.3532),(22 959.5787),(23 954.2001),(24 954.6172),(25 950.6188),(26 952.11707),(27 945.9226),(28 944.22534),(29 948.39056),(30 949.6364),(31 950.035),(32 953.2326),(33 956.40546),(34 957.17035),(35 960.10913),(36 956.51056),(37 964.8636),(38 966.4393),(39 968.38104),(40 963.9765),(41 958.97),(42 968.4635),(43 971.0199),(44 973.8659),(45 972.73),(46 969.84094),(47 970.7133),(48 985.44946),(49 981.6479),(50 986.3186),(51 988.30927),(52 990.42487),(53 987.504),(54 994.2296),(55 995.2847),(56 1005.47363),(57 1010.6798),(58 1010.9909),(59 999.3297),(60 1003.72516),(61 1011.43036),(62 1010.6889),(63 1017.25336),(64 1011.50543),(65 1009.2864),(66 1014.5659),(67 1013.9456),(68 1020.42303),(69 1028.4703),(70 1019.7329),(71 1024.0995),(72 1023.19244),(73 1022.397),(74 1027.1136),(75 1023.756),(76 1024.9564),(77 1028.6154),(78 1031.4657),(79 1035.2196),
(1 425.46854),(2 588.701),(3 680.02246),(4 728.80554),(5 761.0538),(6 797.02295),(7 816.352),(8 832.5467),(9 851.6896),(10 865.2355),(11 874.46466),(12 880.753),(13 883.05286),(14 893.2528),(15 903.21436),(16 904.57965),(17 911.8559),(18 923.2995),(19 931.0897),(20 933.3422),(21 937.4786),(22 943.9137),(23 941.7831),(24 935.5241),(25 936.621),(26 935.7823),(27 936.2371),(28 934.09906),(29 935.27026),(30 938.9326),(31 947.3856),(32 946.6537),(33 956.40155),(34 948.9131),(35 948.38794),(36 956.96436),(37 958.24023),(38 953.1026),(39 953.5801),(40 951.3166),(41 947.72406),(42 951.3583),(43 956.5742),(44 959.16504),(45 962.70166),(46 965.73456),(47 968.8897),(48 979.878),(49 982.1482),(50 987.17804),(51 995.75085),(52 994.4989),(53 994.8758),(54 996.5032),(55 1003.7706),(56 1007.0103),(57 1017.5375),(58 1017.56415),(59 1025.1699),(60 1022.4408),(61 1022.13715),(62 1017.86584),(63 1023.90674),(64 1014.71173),(65 1007.733),(66 1009.6809),(67 1010.7317),(68 1007.858),(69 1003.5473),(70 997.12006),(71 994.8526),(72 990.7459),(73 985.7091),(74 986.3703),(75 996.5911),(76 996.68756),(77 994.9867),(78 1008.4535),(79 999.7912),
(1 416.15433),(2 565.3605),(3 646.41266),(4 693.3565),(5 721.93115),(6 766.18506),(7 793.87994),(8 808.7838),(9 822.44855),(10 822.2398),(11 843.9759),(12 850.6359),(13 863.53186),(14 859.0231),(15 865.68146),(16 871.6651),(17 878.6226),(18 894.92444),(19 894.8637),(20 894.47723),(21 894.984),(22 902.01575),(23 908.32495),(24 906.18195),(25 905.0826),(26 904.929),(27 903.16205),(28 902.17474),(29 907.5148),(30 913.08923),(31 919.44403),(32 923.0947),(33 924.4849),(34 916.8043),(35 930.7731),(36 930.23376),(37 929.6296),(38 933.33026),(39 941.7858),(40 944.32135),(41 946.97614),(42 942.337),(43 937.7829),(44 944.7896),(45 952.4179),(46 954.8655),(47 958.1691),(48 964.25525),(49 968.6187),(50 966.00977),(51 972.03394),(52 977.20294),(53 970.4987),(54 982.5624),(55 983.76166),(56 985.4415),(57 983.8173),(58 981.37555),(59 984.8895),(60 979.862),(61 981.585),(62 974.68726),(63 982.48737),(64 981.28925),(65 977.3307),(66 988.5696),(67 989.4993),(68 994.2669),(69 994.5554),(70 988.8576),(71 983.3818),(72 982.5828),(73 978.75336),(74 985.0692),(75 985.016),(76 983.21185),(77 990.0658),(78 1007.3613),(79 1009.1428),
(1 396.93442),(2 540.7029),(3 614.78784),(4 660.2613),(5 694.50226),(6 731.73334),(7 747.848),(8 761.89026),(9 770.8176),(10 777.10016),(11 792.3101),(12 806.9588),(13 820.31067),(14 826.34717),(15 829.31213),(16 828.0737),(17 833.06885),(18 849.0495),(19 848.7701),(20 840.5885),(21 851.0618),(22 854.32745),(23 860.2191),(24 861.8996),(25 856.94305),(26 859.7801),(27 853.54614),(28 853.54596),(29 845.3108),(30 856.91925),(31 851.9023),(32 854.7173),(33 861.5714),(34 862.3506),(35 863.79065),(36 868.83154),(37 869.8799),(38 871.76697),(39 872.0205),(40 875.83685),(41 891.29755),(42 888.9231),(43 882.8887),(44 882.67566),(45 885.1443),(46 887.6537),(47 892.3889),(48 889.28973),(49 896.23193),(50 913.9159),(51 911.4092),(52 908.84235),(53 902.4097),(54 903.9902),(55 906.59283),(56 913.89325),(57 916.15894),(58 911.5015),(59 914.4309),(60 916.9189),(61 922.0561),(62 913.6882),(63 918.122),(64 911.6711),(65 912.7277),(66 928.9503),(67 918.42255),(68 920.1768),(69 918.4155),(70 922.8036),(71 922.22107),(72 917.32574),(73 914.34436),(74 916.4844),(75 926.1212),(76 936.9),(77 943.68964),(78 953.6847),(79 954.5574),
(1 397.12027),(2 543.4717),(3 618.94495),(4 658.828),(5 692.0169),(6 718.0802),(7 746.23834),(8 761.47437),(9 773.2861),(10 783.886),(11 787.45013),(12 794.1599),(13 802.6922),(14 804.2844),(15 810.53296),(16 814.02405),(17 815.9848),(18 838.09155),(19 841.06946),(20 835.5936),(21 829.73785),(22 836.6142),(23 845.255),(24 846.28784),(25 847.0048),(26 846.934),(27 851.8862),(28 847.7659),(29 843.9293),(30 847.99005),(31 848.3219),(32 858.23285),(33 861.2652),(34 865.26025),(35 870.0834),(36 865.98663),(37 864.8438),(38 873.28534),(39 869.27094),(40 869.3163),(41 876.3643),(42 886.1955),(43 883.8587),(44 878.7565),(45 878.51715),(46 883.263),(47 890.39496),(48 898.1637),(49 905.5601),(50 908.9496),(51 912.90857),(52 917.1998),(53 925.2816),(54 927.3136),(55 924.7399),(56 925.0013),(57 924.7937),(58 926.35486),(59 922.8222),(60 920.7095),(61 936.0807),(62 930.49585),(63 934.04364),(64 928.2877),(65 931.193),(66 938.5129),(67 939.4591),(68 945.97906),(69 947.8515),(70 945.4124),(71 945.43445),(72 941.6138),(73 935.986),(74 936.70526),(75 931.8616),(76 934.6411),(77 938.12555),(78 940.5306),(79 944.11774),
