1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.045105502),(2 0.045173567),(3 0.0698035),(4 0.110721156),(5 0.12577918),(6 0.12597273),(7 0.12864083),(8 0.13661362),(9 0.1452915),(10 0.14547573),(11 0.15972294),(12 0.17270122),(13 0.16763906),(14 0.16759948),(15 0.1735332),(16 0.19450311),(17 0.19503665),(18 0.1949755),(19 0.20301954),(20 0.21667036),(21 0.20853204),(22 0.20861427),(23 0.21929504),(24 0.22720565),(25 0.22884993),(26 0.22894585),(27 0.23379976),(28 0.23121296),(29 0.23095489),(30 0.23098025),(31 0.22996037),(32 0.24098302),(33 0.2318878),(34 0.23202068),(35 0.22991094),(36 0.23499607),(37 0.23444761),(38 0.23442549),(39 0.24249013),(40 0.252641),(41 0.24558748),(42 0.24565655),(43 0.2473408),(44 0.24748482),(45 0.2475274),
(1 0.040788192),(2 0.04087232),(3 0.063254185),(4 0.100818455),(5 0.113966875),(6 0.114098795),(7 0.11697283),(8 0.12404296),(9 0.13527562),(10 0.13539785),(11 0.14695601),(12 0.15741296),(13 0.15344393),(14 0.15345097),(15 0.15843213),(16 0.17743276),(17 0.18055142),(18 0.18054968),(19 0.18858804),(20 0.20002887),(21 0.19334899),(22 0.19350363),(23 0.20107745),(24 0.20799953),(25 0.20801543),(26 0.20821387),(27 0.2156096),(28 0.2122234),(29 0.21356992),(30 0.21357797),(31 0.2142012),(32 0.2227579),(33 0.21467046),(34 0.21472324),(35 0.21367086),(36 0.2186132),(37 0.21800432),(38 0.21814361),(39 0.2261025),(40 0.23552601),(41 0.22985812),(42 0.22974966),(43 0.22983664),(44 0.22997159),(45 0.22998902),
(1 0.039333433),(2 0.03941538),(3 0.062333547),(4 0.096881926),(5 0.110403255),(6 0.11049586),(7 0.112378545),(8 0.12020989),(9 0.12851036),(10 0.12862305),(11 0.13971943),(12 0.15044324),(13 0.14476183),(14 0.14484008),(15 0.1514047),(16 0.17051683),(17 0.17059049),(18 0.17050403),(19 0.17834422),(20 0.19044615),(21 0.1813122),(22 0.1814222),(23 0.18927297),(24 0.19655453),(25 0.19777197),(26 0.19780101),(27 0.20140097),(28 0.19989385),(29 0.20005503),(30 0.20008889),(31 0.20070142),(32 0.20946383),(33 0.20130153),(34 0.20135532),(35 0.20001662),(36 0.2033179),(37 0.20447066),(38 0.20451419),(39 0.21127367),(40 0.21915072),(41 0.21383822),(42 0.21384795),(43 0.21503098),(44 0.21510096),(45 0.21510299),
(1 0.03600433),(2 0.03612871),(3 0.055538654),(4 0.08816016),(5 0.100145824),(6 0.100251794),(7 0.102513105),(8 0.10948166),(9 0.11818604),(10 0.118318394),(11 0.12814195),(12 0.13830626),(13 0.13337965),(14 0.13346212),(15 0.13900267),(16 0.15655755),(17 0.15858972),(18 0.15860644),(19 0.16617607),(20 0.17720637),(21 0.16988324),(22 0.16998464),(23 0.17833951),(24 0.18388176),(25 0.18511222),(26 0.18517107),(27 0.19011895),(28 0.18817204),(29 0.18845871),(30 0.18846153),(31 0.18860975),(32 0.19581416),(33 0.18992838),(34 0.18992344),(35 0.18781249),(36 0.1927436),(37 0.19244342),(38 0.19244191),(39 0.19951272),(40 0.20761509),(41 0.20176859),(42 0.20176627),(43 0.20161512),(44 0.20183623),(45 0.201887),
(1 0.032492723),(2 0.0325685),(3 0.05089694),(4 0.08038866),(5 0.09226352),(6 0.0923422),(7 0.09392021),(8 0.10055981),(9 0.107537895),(10 0.107741736),(11 0.11681133),(12 0.12605438),(13 0.12153217),(14 0.121657394),(15 0.12741916),(16 0.14465044),(17 0.1452874),(18 0.14521706),(19 0.15183765),(20 0.16159458),(21 0.1543642),(22 0.15449695),(23 0.16272901),(24 0.16684932),(25 0.1670721),(26 0.16708076),(27 0.17126845),(28 0.17001478),(29 0.17129435),(30 0.17135417),(31 0.17185889),(32 0.18067835),(33 0.17279406),(34 0.17286408),(35 0.17120737),(36 0.1747843),(37 0.17635527),(38 0.17648755),(39 0.18247275),(40 0.19041397),(41 0.18568666),(42 0.1856725),(43 0.18560423),(44 0.1857677),(45 0.18576498),
(1 0.029092),(2 0.029160546),(3 0.044554863),(4 0.07229589),(5 0.08346636),(6 0.08355203),(7 0.08458941),(8 0.089501746),(9 0.09670867),(10 0.09678941),(11 0.10488922),(12 0.114393994),(13 0.11059456),(14 0.110720605),(15 0.11495584),(16 0.13236195),(17 0.1330663),(18 0.1330486),(19 0.13937686),(20 0.14932111),(21 0.1429924),(22 0.14298642),(23 0.1507165),(24 0.15523125),(25 0.15515926),(26 0.15513471),(27 0.15856726),(28 0.15751548),(29 0.15759642),(30 0.15758955),(31 0.1570623),(32 0.16593197),(33 0.15870818),(34 0.15877607),(35 0.15822072),(36 0.16226587),(37 0.1625778),(38 0.16254874),(39 0.16889788),(40 0.17612268),(41 0.17132513),(42 0.17128795),(43 0.1718877),(44 0.1721411),(45 0.17216289),
(1 0.02769198),(2 0.027714001),(3 0.042138807),(4 0.068677895),(5 0.079527624),(6 0.07969859),(7 0.07964396),(8 0.08494568),(9 0.091715425),(10 0.091864415),(11 0.098711945),(12 0.1072423),(13 0.10461701),(14 0.10462643),(15 0.10852315),(16 0.12570345),(17 0.12646563),(18 0.1264879),(19 0.13265915),(20 0.14077671),(21 0.13446698),(22 0.1346101),(23 0.14228229),(24 0.14697412),(25 0.146371),(26 0.1464369),(27 0.14913541),(28 0.14758378),(29 0.1498152),(30 0.14987595),(31 0.14982775),(32 0.15847223),(33 0.15128914),(34 0.1513595),(35 0.15058914),(36 0.15377055),(37 0.1536758),(38 0.15383705),(39 0.15928325),(40 0.16780622),(41 0.16249804),(42 0.16249254),(43 0.16371925),(44 0.1639592),(45 0.16394241),
(1 0.027110102),(2 0.027137041),(3 0.040913768),(4 0.06633653),(5 0.07651041),(6 0.07659674),(7 0.07660488),(8 0.081477486),(9 0.087896995),(10 0.08799779),(11 0.09530833),(12 0.103715435),(13 0.10098669),(14 0.10105225),(15 0.10481449),(16 0.1212029),(17 0.122149296),(18 0.122041285),(19 0.12779993),(20 0.13624167),(21 0.12964432),(22 0.12970231),(23 0.13639599),(24 0.14220859),(25 0.14080524),(26 0.14094011),(27 0.14478521),(28 0.14335263),(29 0.14454575),(30 0.14456859),(31 0.14408743),(32 0.15213254),(33 0.14541534),(34 0.14545801),(35 0.14468412),(36 0.1485551),(37 0.14858958),(38 0.14861722),(39 0.15386936),(40 0.16133021),(41 0.15727177),(42 0.15725966),(43 0.1578486),(44 0.15809017),(45 0.15808788),
(1 0.025561607),(2 0.025583187),(3 0.03768341),(4 0.062136434),(5 0.072312996),(6 0.07243777),(7 0.07234696),(8 0.07698006),(9 0.08292037),(10 0.08300832),(11 0.089592755),(12 0.09729842),(13 0.09523634),(14 0.095288314),(15 0.09828512),(16 0.11470117),(17 0.11492296),(18 0.114888586),(19 0.12053274),(20 0.12891406),(21 0.12229394),(22 0.122387275),(23 0.12853448),(24 0.13477045),(25 0.13344994),(26 0.13355501),(27 0.13734144),(28 0.13574584),(29 0.13689207),(30 0.13696402),(31 0.1360542),(32 0.14362365),(33 0.13778181),(34 0.13777965),(35 0.1370596),(36 0.14134018),(37 0.14088498),(38 0.1409748),(39 0.14508978),(40 0.15323322),(41 0.1484356),(42 0.1484654),(43 0.15010361),(44 0.15023388),(45 0.15025827),
(1 0.02458237),(2 0.024625529),(3 0.036819648),(4 0.060502455),(5 0.07029197),(6 0.07036465),(7 0.06956618),(8 0.074816056),(9 0.08059873),(10 0.08072562),(11 0.08763512),(12 0.09507388),(13 0.09193247),(14 0.091919884),(15 0.09560745),(16 0.11161617),(17 0.11248551),(18 0.112542965),(19 0.117846124),(20 0.12572622),(21 0.11916945),(22 0.11927446),(23 0.12621816),(24 0.13166682),(25 0.1299024),(26 0.1299779),(27 0.13395384),(28 0.13266428),(29 0.13416477),(30 0.13420749),(31 0.1328571),(32 0.14042194),(33 0.13528663),(34 0.13528661),(35 0.13309585),(36 0.13623488),(37 0.13667516),(38 0.13672894),(39 0.14125496),(40 0.14943992),(41 0.1445042),(42 0.14462447),(43 0.14575069),(44 0.14593393),(45 0.14591648),
