1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.14179017),(2 0.14199695),(3 0.249201),(4 0.38273036),(5 0.43134442),(6 0.43156222),(7 0.4570185),(8 0.4913296),(9 0.5154124),(10 0.5157735),(11 0.527394),(12 0.5584485),(13 0.55410826),(14 0.55419236),(15 0.57437694),(16 0.63337725),(17 0.6424315),(18 0.6423852),(19 0.6694243),(20 0.70988846),(21 0.7018321),(22 0.7020532),(23 0.7313976),(24 0.7236546),(25 0.7374159),(26 0.7373754),(27 0.73759747),(28 0.726592),(29 0.73674035),(30 0.737455),(31 0.757334),(32 0.75886804),(33 0.73539555),(34 0.73540205),(35 0.76044255),(36 0.7719143),(37 0.7665406),(38 0.7667064),(39 0.80913943),(40 0.78449255),(41 0.792665),(42 0.7924993),(43 0.7869222),(44 0.786973),(45 0.78697664),
(1 0.12789561),(2 0.12807214),(3 0.22219075),(4 0.33870882),(5 0.3844415),(6 0.38458052),(7 0.415326),(8 0.4409991),(9 0.4576875),(10 0.45778936),(11 0.46813238),(12 0.4979741),(13 0.4919237),(14 0.49203873),(15 0.5058025),(16 0.5534709),(17 0.55951035),(18 0.5597705),(19 0.58509463),(20 0.6212051),(21 0.6201994),(22 0.6200739),(23 0.64472777),(24 0.63226444),(25 0.63787335),(26 0.6379166),(27 0.64443755),(28 0.64427847),(29 0.653135),(30 0.6529763),(31 0.6616623),(32 0.67103076),(33 0.644522),(34 0.6442903),(35 0.6678934),(36 0.6826955),(37 0.677951),(38 0.6784698),(39 0.7063506),(40 0.6941854),(41 0.6947734),(42 0.69486034),(43 0.6896045),(44 0.6895161),(45 0.6892719),
(1 0.097420074),(2 0.0975055),(3 0.17894492),(4 0.26920247),(5 0.3044234),(6 0.30460572),(7 0.32692942),(8 0.3538664),(9 0.36967823),(10 0.3697995),(11 0.37909493),(12 0.4006723),(13 0.39038235),(14 0.3904078),(15 0.40470815),(16 0.44428277),(17 0.44572932),(18 0.4458839),(19 0.47135076),(20 0.5014345),(21 0.49957132),(22 0.49969772),(23 0.5192273),(24 0.5046317),(25 0.51144505),(26 0.5113298),(27 0.51616836),(28 0.51284516),(29 0.51570493),(30 0.5159179),(31 0.5288278),(32 0.53302586),(33 0.51740825),(34 0.51761156),(35 0.54130733),(36 0.5546445),(37 0.5434145),(38 0.54381174),(39 0.57107353),(40 0.55802935),(41 0.56052715),(42 0.56047755),(43 0.5576076),(44 0.558148),(45 0.558111),
(1 0.07772329),(2 0.07783808),(3 0.14314964),(4 0.21387684),(5 0.24190219),(6 0.24217933),(7 0.25975382),(8 0.28189966),(9 0.29175487),(10 0.29191998),(11 0.29878324),(12 0.3202378),(13 0.3097213),(14 0.3095897),(15 0.31601033),(16 0.34389752),(17 0.35503444),(18 0.35539472),(19 0.37738934),(20 0.4001594),(21 0.40126386),(22 0.40123013),(23 0.4213568),(24 0.4040331),(25 0.41375676),(26 0.41374722),(27 0.41507497),(28 0.41557112),(29 0.41736883),(30 0.41747084),(31 0.42444736),(32 0.4372874),(33 0.4205769),(34 0.42042014),(35 0.43949804),(36 0.4466093),(37 0.44041058),(38 0.44048092),(39 0.47131062),(40 0.46701646),(41 0.47330827),(42 0.47317427),(43 0.46868896),(44 0.46942672),(45 0.46942857),
(1 0.06440171),(2 0.06447268),(3 0.120234214),(4 0.17785159),(5 0.20141166),(6 0.20162193),(7 0.21858576),(8 0.2388493),(9 0.25097102),(10 0.25109255),(11 0.25228435),(12 0.26935065),(13 0.26153922),(14 0.26162758),(15 0.2689518),(16 0.2958236),(17 0.30732483),(18 0.3074342),(19 0.32572708),(20 0.3452749),(21 0.34392738),(22 0.34391055),(23 0.35919404),(24 0.3439221),(25 0.3515797),(26 0.35162398),(27 0.35470468),(28 0.35084817),(29 0.36053208),(30 0.36057588),(31 0.3669234),(32 0.37549096),(33 0.3647971),(34 0.36491758),(35 0.37621808),(36 0.38132468),(37 0.38266397),(38 0.38252187),(39 0.40799168),(40 0.40295208),(41 0.41093838),(42 0.41059333),(43 0.40427482),(44 0.40487653),(45 0.40480646),
(1 0.054737717),(2 0.054771066),(3 0.1060197),(4 0.15599108),(5 0.17518288),(6 0.17531301),(7 0.18937592),(8 0.20537555),(9 0.21716349),(10 0.2171721),(11 0.22192077),(12 0.23553783),(13 0.227608),(14 0.22756548),(15 0.23406303),(16 0.25480404),(17 0.26477763),(18 0.26473796),(19 0.28128242),(20 0.30106035),(21 0.30085588),(22 0.30076906),(23 0.31818736),(24 0.30197868),(25 0.30865356),(26 0.30866268),(27 0.30829802),(28 0.30886593),(29 0.3144618),(30 0.31433177),(31 0.32462347),(32 0.32899508),(33 0.31873685),(34 0.31872258),(35 0.33323696),(36 0.34043944),(37 0.33984748),(38 0.33979508),(39 0.3604489),(40 0.35592088),(41 0.36172375),(42 0.36198464),(43 0.3552384),(44 0.35529467),(45 0.3551931),
(1 0.048592098),(2 0.04857682),(3 0.094772495),(4 0.13874781),(5 0.1551928),(6 0.1552652),(7 0.1676225),(8 0.17935017),(9 0.19018658),(10 0.19035795),(11 0.19406205),(12 0.20466559),(13 0.19700618),(14 0.19702922),(15 0.2012416),(16 0.22012036),(17 0.2279483),(18 0.22816576),(19 0.24354193),(20 0.26364496),(21 0.26462743),(22 0.2647154),(23 0.27821514),(24 0.26764455),(25 0.27221006),(26 0.27228117),(27 0.27416646),(28 0.27305034),(29 0.27981803),(30 0.2798487),(31 0.2856193),(32 0.29020202),(33 0.28005105),(34 0.2803358),(35 0.29292336),(36 0.30064023),(37 0.29841217),(38 0.29865023),(39 0.31946197),(40 0.31655082),(41 0.3192982),(42 0.31930092),(43 0.31663603),(44 0.31694528),(45 0.31691784),
(1 0.043619927),(2 0.043644566),(3 0.08496953),(4 0.122463934),(5 0.13707352),(6 0.13711862),(7 0.14766304),(8 0.15706155),(9 0.16831847),(10 0.16841906),(11 0.17214411),(12 0.18124865),(13 0.17470916),(14 0.17472647),(15 0.17635155),(16 0.19490485),(17 0.204207),(18 0.2042442),(19 0.21825966),(20 0.23520203),(21 0.23716635),(22 0.23730496),(23 0.248864),(24 0.24137342),(25 0.24419157),(26 0.24429774),(27 0.2455296),(28 0.24210384),(29 0.25030333),(30 0.25039235),(31 0.25771242),(32 0.26182905),(33 0.25074083),(34 0.25083786),(35 0.26321724),(36 0.2707001),(37 0.26705843),(38 0.2671392),(39 0.2864846),(40 0.28497237),(41 0.28901315),(42 0.28901243),(43 0.28744578),(44 0.2877351),(45 0.28782058),
(1 0.038521893),(2 0.038567185),(3 0.0745337),(4 0.10737274),(5 0.12134378),(6 0.12143434),(7 0.1301028),(8 0.13876243),(9 0.14719898),(10 0.14736281),(11 0.1507981),(12 0.15992075),(13 0.15605049),(14 0.15620089),(15 0.15740323),(16 0.172961),(17 0.18168652),(18 0.18163459),(19 0.19655795),(20 0.20816627),(21 0.21084191),(22 0.21106005),(23 0.2221465),(24 0.21436387),(25 0.21776181),(26 0.21779175),(27 0.22059645),(28 0.22088706),(29 0.22542097),(30 0.22549586),(31 0.23042469),(32 0.23377208),(33 0.22625092),(34 0.2263373),(35 0.23609093),(36 0.24427345),(37 0.24357753),(38 0.24361438),(39 0.25961497),(40 0.25641906),(41 0.2608029),(42 0.26080278),(43 0.25771886),(44 0.2578026),(45 0.2578608),
(1 0.033140257),(2 0.03313919),(3 0.06526494),(4 0.09645128),(5 0.11002413),(6 0.110034406),(7 0.11808231),(8 0.12600964),(9 0.13517635),(10 0.13520907),(11 0.13818973),(12 0.14461334),(13 0.13962859),(14 0.1397398),(15 0.14328931),(16 0.15822311),(17 0.166509),(18 0.16636953),(19 0.17876898),(20 0.19187328),(21 0.19186299),(22 0.19181114),(23 0.20193645),(24 0.19276173),(25 0.1970422),(26 0.1970355),(27 0.19835462),(28 0.19848265),(29 0.2045891),(30 0.20454448),(31 0.20762853),(32 0.21272345),(33 0.20726173),(34 0.20728357),(35 0.21707223),(36 0.22189786),(37 0.22208257),(38 0.22200707),(39 0.23738126),(40 0.23425594),(41 0.23812385),(42 0.23816803),(43 0.23377948),(44 0.23374966),(45 0.23381026),
(1 0.032267377),(2 0.03230617),(3 0.06480119),(4 0.093250915),(5 0.10469826),(6 0.10478421),(7 0.1121106),(8 0.12093504),(9 0.12823066),(10 0.12838069),(11 0.13022771),(12 0.1376498),(13 0.13228223),(14 0.13236041),(15 0.1359559),(16 0.15092678),(17 0.15719844),(18 0.15713724),(19 0.16862485),(20 0.18065056),(21 0.18102723),(22 0.18104489),(23 0.19203928),(24 0.18360314),(25 0.18642054),(26 0.18645293),(27 0.18804713),(28 0.18770567),(29 0.19326358),(30 0.19330382),(31 0.19650057),(32 0.20097464),(33 0.19525018),(34 0.19521074),(35 0.20379952),(36 0.21090013),(37 0.2094909),(38 0.20956205),(39 0.22540843),(40 0.2218804),(41 0.22500843),(42 0.22491664),(43 0.22262637),(44 0.22277921),(45 0.2227925),
(1 0.029163366),(2 0.029183732),(3 0.05771272),(4 0.0843583),(5 0.09530176),(6 0.09545933),(7 0.102518745),(8 0.110175155),(9 0.11596266),(10 0.116009034),(11 0.11877392),(12 0.12629373),(13 0.12159916),(14 0.12158488),(15 0.12346783),(16 0.1382093),(17 0.14505687),(18 0.1450151),(19 0.15489395),(20 0.1674296),(21 0.16708793),(22 0.16703479),(23 0.17505944),(24 0.16920903),(25 0.17033245),(26 0.17036538),(27 0.17173864),(28 0.17132106),(29 0.17758103),(30 0.1776165),(31 0.18084827),(32 0.18473713),(33 0.17810827),(34 0.17806295),(35 0.18578187),(36 0.19232398),(37 0.19105025),(38 0.19130826),(39 0.2052707),(40 0.20379202),(41 0.20703958),(42 0.20704305),(43 0.20584804),(44 0.20621452),(45 0.20624708),
(1 0.027498458),(2 0.027492382),(3 0.053817507),(4 0.079626605),(5 0.08990616),(6 0.089973025),(7 0.0951047),(8 0.10302233),(9 0.109425485),(10 0.109454505),(11 0.1112932),(12 0.11767143),(13 0.11379177),(14 0.1138293),(15 0.1157247),(16 0.12871642),(17 0.13534369),(18 0.13539797),(19 0.14703251),(20 0.15778461),(21 0.15751573),(22 0.1576464),(23 0.16546391),(24 0.15927748),(25 0.16190656),(26 0.16205347),(27 0.16261081),(28 0.16191058),(29 0.16727887),(30 0.16732584),(31 0.17117195),(32 0.17454265),(33 0.16997387),(34 0.17007822),(35 0.1762872),(36 0.181925),(37 0.18196264),(38 0.18213327),(39 0.19432376),(40 0.19426963),(41 0.19789426),(42 0.19782206),(43 0.19643879),(44 0.19673647),(45 0.19671826),
(1 0.026538098),(2 0.0265444),(3 0.051539786),(4 0.07674068),(5 0.08562482),(6 0.08564847),(7 0.09155925),(8 0.09846221),(9 0.10457562),(10 0.10454549),(11 0.10619386),(12 0.11295133),(13 0.10988011),(14 0.109929346),(15 0.11133234),(16 0.12441552),(17 0.13166912),(18 0.13160041),(19 0.14067265),(20 0.15155952),(21 0.15149681),(22 0.15152559),(23 0.15864938),(24 0.1522406),(25 0.1557628),(26 0.15588419),(27 0.15645403),(28 0.15644817),(29 0.16096167),(30 0.16096768),(31 0.16375619),(32 0.16820641),(33 0.1640139),(34 0.16402979),(35 0.17037505),(36 0.17547019),(37 0.1756525),(38 0.175813),(39 0.18805346),(40 0.1873794),(41 0.19049586),(42 0.19059652),(43 0.1886552),(44 0.18888141),(45 0.18885581),
(1 0.02569991),(2 0.025726058),(3 0.05054367),(4 0.07411044),(5 0.08352802),(6 0.08358967),(7 0.08876811),(8 0.096697785),(9 0.10178592),(10 0.10188335),(11 0.10303796),(12 0.10944499),(13 0.105215274),(14 0.10524052),(15 0.107565664),(16 0.11955443),(17 0.12461521),(18 0.12469661),(19 0.13586718),(20 0.14464147),(21 0.14466925),(22 0.14475182),(23 0.15353963),(24 0.14784898),(25 0.15103446),(26 0.15109178),(27 0.15161732),(28 0.15184772),(29 0.15607537),(30 0.15611406),(31 0.15864855),(32 0.1631659),(33 0.15711854),(34 0.15725893),(35 0.16359858),(36 0.17026408),(37 0.1692975),(38 0.16931096),(39 0.1821426),(40 0.18078701),(41 0.18386571),(42 0.18380839),(43 0.18259874),(44 0.18284337),(45 0.18283784),
(1 0.024589984),(2 0.024615616),(3 0.04800107),(4 0.07048561),(5 0.07942916),(6 0.07953888),(7 0.08514891),(8 0.09141786),(9 0.096955456),(10 0.09701804),(11 0.099058144),(12 0.10578708),(13 0.101410866),(14 0.10142604),(15 0.10239846),(16 0.11416362),(17 0.12024717),(18 0.120317265),(19 0.12915741),(20 0.13944106),(21 0.13845712),(22 0.13843818),(23 0.14739354),(24 0.14179413),(25 0.14377208),(26 0.1438401),(27 0.14485757),(28 0.14500616),(29 0.14955878),(30 0.14956912),(31 0.15255101),(32 0.15723933),(33 0.15030533),(34 0.15034248),(35 0.15818581),(36 0.16280594),(37 0.16221736),(38 0.16233358),(39 0.1749808),(40 0.17322738),(41 0.17528665),(42 0.17531186),(43 0.175187),(44 0.17550214),(45 0.17554145),
(1 0.02324447),(2 0.023281284),(3 0.04591265),(4 0.06725955),(5 0.07594607),(6 0.07602637),(7 0.08145489),(8 0.08801972),(9 0.09287943),(10 0.092936225),(11 0.09517792),(12 0.099928945),(13 0.09587861),(14 0.095882945),(15 0.09728493),(16 0.11003704),(17 0.11513209),(18 0.11514941),(19 0.12444978),(20 0.13291223),(21 0.13406481),(22 0.13413848),(23 0.1418499),(24 0.137166),(25 0.13878042),(26 0.13886835),(27 0.13996607),(28 0.13963479),(29 0.14383537),(30 0.14386204),(31 0.14708905),(32 0.1511972),(33 0.14685392),(34 0.14690962),(35 0.15308048),(36 0.15837799),(37 0.1581062),(38 0.1581814),(39 0.16969003),(40 0.16883561),(41 0.17104477),(42 0.17106155),(43 0.16985078),(44 0.16989203),(45 0.16987498),
(1 0.022627419),(2 0.022659728),(3 0.043961804),(4 0.064761184),(5 0.07350292),(6 0.07350466),(7 0.078946695),(8 0.08424993),(9 0.089467056),(10 0.08945457),(11 0.09202191),(12 0.096387014),(13 0.09333307),(14 0.093325034),(15 0.0945209),(16 0.106922984),(17 0.11216613),(18 0.11213811),(19 0.121007554),(20 0.13025078),(21 0.13099734),(22 0.13103989),(23 0.13824514),(24 0.13303798),(25 0.13473818),(26 0.13476211),(27 0.13619779),(28 0.13648354),(29 0.13982521),(30 0.13982485),(31 0.14345552),(32 0.14682747),(33 0.14258265),(34 0.14259237),(35 0.14911215),(36 0.1531848),(37 0.15358539),(38 0.15371339),(39 0.16551101),(40 0.16372965),(41 0.16633406),(42 0.16637863),(43 0.16391605),(44 0.16394283),(45 0.16389944),
(1 0.022724157),(2 0.02275775),(3 0.044160765),(4 0.06481862),(5 0.07291094),(6 0.07296544),(7 0.077958465),(8 0.08412935),(9 0.088529736),(10 0.08863341),(11 0.0907123),(12 0.09610378),(13 0.09275331),(14 0.09281879),(15 0.09406187),(16 0.105611116),(17 0.111009754),(18 0.11101961),(19 0.12075097),(20 0.13005875),(21 0.12967353),(22 0.12967342),(23 0.13716128),(24 0.13178444),(25 0.13447379),(26 0.13454603),(27 0.1355443),(28 0.13529934),(29 0.13853872),(30 0.13861027),(31 0.14246278),(32 0.14660487),(33 0.14098006),(34 0.14102139),(35 0.14755484),(36 0.15321991),(37 0.15223733),(38 0.1524065),(39 0.16369858),(40 0.1620011),(41 0.16409637),(42 0.16411166),(43 0.16183582),(44 0.16196275),(45 0.16193917),
(1 0.02196361),(2 0.021987788),(3 0.043011785),(4 0.06337316),(5 0.07171589),(6 0.071826085),(7 0.0774367),(8 0.082606204),(9 0.08725473),(10 0.08728722),(11 0.08852911),(12 0.094013155),(13 0.09082438),(14 0.090760745),(15 0.09175791),(16 0.102694),(17 0.10890003),(18 0.108952634),(19 0.11799997),(20 0.12630135),(21 0.12656535),(22 0.12650362),(23 0.13470668),(24 0.12849288),(25 0.13113149),(26 0.13122217),(27 0.13170108),(28 0.13194698),(29 0.13601983),(30 0.13604465),(31 0.13906659),(32 0.14291693),(33 0.1375332),(34 0.13755614),(35 0.14476861),(36 0.14947997),(37 0.14880621),(38 0.14897297),(39 0.16076134),(40 0.158877),(41 0.16147567),(42 0.16152841),(43 0.15958266),(44 0.15979415),(45 0.15980886),
(1 0.018971829),(2 0.01898935),(3 0.03630563),(4 0.053201098),(5 0.06063832),(6 0.06077347),(7 0.065198325),(8 0.070328504),(9 0.07407672),(10 0.07413787),(11 0.075051725),(12 0.080036744),(13 0.077294946),(14 0.07724468),(15 0.07888664),(16 0.08816139),(17 0.09205755),(18 0.09219198),(19 0.09965842),(20 0.10560024),(21 0.10588196),(22 0.105937205),(23 0.11344745),(24 0.10874802),(25 0.111053534),(26 0.1111342),(27 0.110921),(28 0.11028125),(29 0.113839686),(30 0.11383618),(31 0.115844004),(32 0.119527295),(33 0.115490206),(34 0.11559784),(35 0.1201399),(36 0.12384026),(37 0.12347174),(38 0.1234914),(39 0.13238452),(40 0.13227648),(41 0.13499953),(42 0.13505156),(43 0.13348451),(44 0.13360809),(45 0.13359343),
(1 0.008804608),(2 0.008829005),(3 0.015852949),(4 0.022826318),(5 0.02624386),(6 0.026265772),(7 0.02812709),(8 0.030288149),(9 0.03224344),(10 0.032242186),(11 0.032738864),(12 0.03443958),(13 0.034100816),(14 0.034097783),(15 0.034877263),(16 0.038704757),(17 0.039880604),(18 0.039932854),(19 0.042216845),(20 0.044632677),(21 0.044715248),(22 0.04474592),(23 0.04772005),(24 0.04617455),(25 0.047376737),(26 0.047392156),(27 0.046611253),(28 0.046715517),(29 0.04761683),(30 0.04756397),(31 0.048020616),(32 0.04992047),(33 0.0483507),(34 0.048336275),(35 0.05057171),(36 0.051275145),(37 0.05134002),(38 0.05139745),(39 0.054273225),(40 0.05492522),(41 0.056028772),(42 0.05604743),(43 0.05446486),(44 0.054502986),(45 0.05450867),
(1 0.0020340355),(2 0.0020374646),(3 0.0026356021),(4 0.003470702),(5 0.0033868467),(6 0.003387749),(7 0.0034610892),(8 0.004045175),(9 0.003760248),(10 0.003771081),(11 0.0036859035),(12 0.00419384),(13 0.0038250887),(14 0.0038298205),(15 0.0037978282),(16 0.0043727555),(17 0.003987901),(18 0.003994872),(19 0.003976842),(20 0.0044269767),(21 0.004053994),(22 0.0040654093),(23 0.0041842503),(24 0.0045176027),(25 0.004174898),(26 0.00418673),(27 0.004164096),(28 0.004431745),(29 0.0041743596),(30 0.004188883),(31 0.0041205827),(32 0.004571296),(33 0.0041971183),(34 0.004202379),(35 0.0041831844),(36 0.004532554),(37 0.00420329),(38 0.004194866),(39 0.0041594286),(40 0.004485671),(41 0.0042585377),(42 0.004267183),(43 0.00430056),(44 0.0043239654),(45 0.004320615),
(1 0.0016758357),(2 0.0016857064),(3 0.0021692857),(4 0.0028703057),(5 0.002750461),(6 0.0027568275),(7 0.0027958122),(8 0.003250436),(9 0.0030575306),(10 0.0030613444),(11 0.0029782222),(12 0.0033606554),(13 0.0030869248),(14 0.00310503),(15 0.0030854745),(16 0.0035328253),(17 0.0032446824),(18 0.0032603715),(19 0.003224414),(20 0.003556727),(21 0.0032425132),(22 0.0032612402),(23 0.0033824272),(24 0.00366703),(25 0.0034036844),(26 0.0034035156),(27 0.003339397),(28 0.0035481483),(29 0.0032925978),(30 0.0032944726),(31 0.0033150483),(32 0.0036846537),(33 0.003399297),(34 0.0034021232),(35 0.0033615464),(36 0.0036393672),(37 0.0034093154),(38 0.0034160423),(39 0.0033495175),(40 0.0036245831),(41 0.0034228638),(42 0.0034293022),(43 0.0034920033),(44 0.0035137339),(45 0.0035106293),
