1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 420805.34),(2 1433481),(3 2935397.3),(4 4769583.5),(5 6951569.5),(6 9403123),(7 12019819),(8 14632881),(9 17268510),(10 19960576),(11 22653710),(12 25205066),(13 27553974),(14 29793850),(15 31766650),(16 33708468),(17 35458252),(18 37111628),(19 38463404),(20 39715332),(21 40796380),(22 41787024),(23 42596772),(24 43342990),(25 44046172),(26 44627676),(27 45364736),(28 46109516),(29 47127412),(30 49297804),(31 51061788),(32 52860880),(33 55320096),(34 57205972),(35 59111070),(36 62110308),(37 66123700),(38 70791464),(39 76143970),(40 81980580),(41 88493240),(42 95721090),(43 104167770),(44 113328100),(45 123472540),(46 134338000),(47 146081570),(48 158136820),(49 170852420),(50 182569920),(51 195077440),(52 207363580),(53 220438270),(54 233673600),(55 247750030),(56 262726140),(57 277888700),(58 293130900),(59 308309400),(60 323069340),(61 338661340),(62 352963970),(63 362245020),(64 368793950),(65 372919140),(66 374772960),(67 373862240),(68 372307550),(69 369794400),(70 364530270),(71 359186900),(72 351288960),(73 343694560),(74 334071140),(75 324518820),(76 313422530),(77 300970600),(78 288543520),(79 274788830),
(1 24490.621),(2 30177.025),(3 30391.104),(4 30132.959),(5 30573.723),(6 31790.87),(7 34919.51),(8 35666.402),(9 34819.582),(10 36235.535),(11 38195.176),(12 38233.707),(13 39739.145),(14 37513.758),(15 39601.754),(16 37956.91),(17 38283.316),(18 37993.82),(19 38012.363),(20 39906.52),(21 38175.42),(22 39376.57),(23 38264.113),(24 38630.457),(25 38192.035),(26 38934.617),(27 37919.15),(28 37938.28),(29 38231.54),(30 38455.71),(31 38576.164),(32 37025.633),(33 37355.27),(34 37951.766),(35 38334.8),(36 38037.734),(37 37439.684),(38 37418.816),(39 37748.21),(40 37894.51),(41 37956.746),(42 36915.945),(43 36511.5),(44 36078.668),(45 36630.875),(46 36680.434),(47 36489.695),(48 35892.355),(49 35799.16),(50 35822.258),(51 35807.086),(52 35633.375),(53 35498.28),(54 35513.84),(55 35311.215),(56 35116.1),(57 34789.344),(58 34797.805),(59 35051.34),(60 34813.82),(61 35115.22),(62 34852.832),(63 35147.56),(64 35432.832),(65 35526.563),(66 34951.938),(67 35778.355),(68 36199.086),(69 36497.805),(70 37071.145),(71 37018.7),(72 37047.727),(73 37314.137),(74 37892.047),(75 37420.926),(76 37362.516),(77 37605.273),(78 37212.668),(79 38123.414),
(1 23917.14),(2 29528.027),(3 29387.115),(4 29358.906),(5 29647.795),(6 30424.443),(7 32892.742),(8 34639.844),(9 33994.67),(10 34892.195),(11 36686.113),(12 36318.492),(13 37598.414),(14 35989.324),(15 37701.645),(16 36462.836),(17 37275.438),(18 36639.277),(19 37010.59),(20 38679.242),(21 37550.934),(22 38501.703),(23 37298),(24 37884.375),(25 37408.063),(26 37837.316),(27 37334.656),(28 37882.516),(29 37980.645),(30 38309.316),(31 37949.473),(32 37597.51),(33 37050.125),(34 37251.1),(35 37722.055),(36 38040.45),(37 37986.51),(38 37552.855),(39 37587.7),(40 37772.19),(41 37673.51),(42 36772.008),(43 36548.863),(44 36246.004),(45 36576.547),(46 36730.51),(47 36914.918),(48 37005.367),(49 37036.08),(50 36441.89),(51 36797.57),(52 36821.188),(53 36168.605),(54 36225.77),(55 36011.785),(56 35755.24),(57 35714.38),(58 35932.457),(59 35841.367),(60 36108.996),(61 36333.457),(62 35528.957),(63 35967.355),(64 36086.063),(65 35500.754),(66 35205.6),(67 35382.49),(68 36133.17),(69 36346.566),(70 36231.492),(71 36787.73),(72 36900.777),(73 36370.477),(74 36761.71),(75 36682.453),(76 36272.824),(77 36336.22),(78 36078.49),(79 36689.99),
(1 24299.266),(2 30179.727),(3 30569.846),(4 29378.621),(5 29463.803),(6 29932.832),(7 32142.605),(8 34904.086),(9 33594.06),(10 33883.266),(11 36250.406),(12 35550.535),(13 37147.85),(14 35746.246),(15 37564.383),(16 35858.17),(17 38069.652),(18 37560.133),(19 37625.668),(20 38356.05),(21 37448.9),(22 38725.69),(23 37043.637),(24 37355.348),(25 36932.6),(26 37473.125),(27 37161.887),(28 37821.23),(29 37137.95),(30 37360.49),(31 37251.8),(32 36885.77),(33 36288.125),(34 37169.246),(35 37466.793),(36 37449.902),(37 37673.17),(38 37330.785),(39 37570.887),(40 36747.8),(41 36734.15),(42 36054.316),(43 36561.938),(44 35629.113),(45 36152.813),(46 36462.117),(47 36547.484),(48 36658.64),(49 36497.027),(50 35815.027),(51 36247.965),(52 35974.125),(53 35039.508),(54 35230.69),(55 34962.74),(56 34733.94),(57 34994.266),(58 35411.953),(59 35394.816),(60 35245.22),(61 35131.96),(62 34877.95),(63 35432.793),(64 35664.188),(65 35245.92),(66 34845.156),(67 34942.44),(68 35390.44),(69 36163.113),(70 36584.047),(71 36512.68),(72 36651.19),(73 36324.883),(74 35863.43),(75 35614.99),(76 35752.27),(77 35944.996),(78 35798.137),(79 36635.6),
(1 22771.49),(2 27913.969),(3 28167.775),(4 27443.865),(5 28326.709),(6 28713.43),(7 30757.344),(8 32519.941),(9 31820.795),(10 31715.902),(11 34457.72),(12 34071.707),(13 35626.004),(14 34679.68),(15 35750.88),(16 34314.926),(17 36207.145),(18 34790.164),(19 35573.37),(20 36235.69),(21 34683.77),(22 36167.43),(23 34527.88),(24 35077.387),(25 35105.145),(26 35052.984),(27 34490.38),(28 35927.3),(29 34948.78),(30 35264.81),(31 35563.35),(32 34378.59),(33 34337.316),(34 34935.043),(35 34971.367),(36 34877.527),(37 35089.09),(38 34799.105),(39 35242.367),(40 34446.145),(41 34474.656),(42 34336.09),(43 34576.78),(44 33920.633),(45 34038.668),(46 34654.95),(47 34519.78),(48 34604.906),(49 34731.625),(50 34605.62),(51 34823.574),(52 34347.016),(53 34455.027),(54 34203.934),(55 34585.76),(56 34516.473),(57 34539.223),(58 34934.67),(59 34698.813),(60 34649.504),(61 34821.527),(62 34423.938),(63 34181.508),(64 34460.105),(65 34046.145),(66 33878.355),(67 34317.71),(68 34572.33),(69 34850.02),(70 35056.68),(71 34839.875),(72 34538.953),(73 34273.004),(74 34140.133),(75 33822.574),(76 33857.863),(77 33979.777),(78 33520.96),(79 34276.28),
(1 22236.021),(2 27732.588),(3 26967.64),(4 26537.195),(5 27720.049),(6 28565.305),(7 30055.125),(8 31851.67),(9 31743.111),(10 31071.129),(11 33306.797),(12 33472.2),(13 34025.97),(14 33654.242),(15 34656.42),(16 33452.305),(17 34859.758),(18 33901.074),(19 34183.54),(20 34535.434),(21 34324.895),(22 35674.324),(23 34290.75),(24 35122.273),(25 34562.64),(26 34830.027),(27 34575.37),(28 35636.168),(29 34780.61),(30 35277.734),(31 35510.5),(32 34081.14),(33 33824.69),(34 34673.305),(35 34865.13),(36 34677.04),(37 34428.203),(38 34469.65),(39 34744.484),(40 34745.137),(41 34921.945),(42 34385.703),(43 34624.832),(44 34090.277),(45 34678.063),(46 34478.14),(47 34578.215),(48 34699.68),(49 34168.598),(50 33859.87),(51 33767.97),(52 33503.043),(53 33686.37),(54 33858.42),(55 33949.816),(56 33815.74),(57 33746.2),(58 33549.938),(59 33418.82),(60 33444.758),(61 33458.773),(62 32947.2),(63 32811.42),(64 32803.094),(65 33114.26),(66 32928.91),(67 32958.59),(68 33163.043),(69 33429.086),(70 33470.637),(71 33297.28),(72 33227.86),(73 32523.58),(74 32759.68),(75 32871.09),(76 32531.428),(77 32923.9),(78 32903.508),(79 33119.176),
(1 22261.828),(2 27407.754),(3 26009.771),(4 26522.05),(5 27292.3),(6 28277.453),(7 29795.54),(8 30841.498),(9 30733.611),(10 30280.531),(11 32176.209),(12 33266.492),(13 33460.395),(14 32837.273),(15 33605.156),(16 32544.26),(17 33438.133),(18 32698.008),(19 33247.203),(20 34085.297),(21 34074.664),(22 34254.316),(23 32796.84),(24 33635.87),(25 32941.336),(26 33659.59),(27 33337.453),(28 33889.484),(29 34132.086),(30 34862.918),(31 34151.406),(32 32931.652),(33 32699.4),(34 33039.598),(35 33500.434),(36 33084.266),(37 32791.563),(38 32857.227),(39 33069.277),(40 33023.477),(41 33107.31),(42 32221.078),(43 32708.77),(44 32366.037),(45 32715.941),(46 32264.387),(47 32902.363),(48 33293.336),(49 33294.316),(50 32890.855),(51 32786.047),(52 32798.32),(53 32907.098),(54 33392.082),(55 33120.3),(56 32739.791),(57 33276.664),(58 33196.848),(59 32819.066),(60 33213.375),(61 33679.32),(62 33257.72),(63 32942.688),(64 33194.703),(65 32975.375),(66 33085.203),(67 32999.758),(68 33268.973),(69 33319.375),(70 32614.674),(71 33067.883),(72 33250.13),(73 32452.73),(74 32405.932),(75 32685.162),(76 32142.25),(77 32395.172),(78 32358.906),(79 32594.291),
(1 22471.8),(2 27172.412),(3 25382.754),(4 26339.99),(5 27605.742),(6 27966.533),(7 29234.754),(8 30242.076),(9 30818.596),(10 30487.102),(11 31857.22),(12 32770.99),(13 33313.953),(14 32828.69),(15 32847.324),(16 32384.992),(17 33161.92),(18 32699.076),(19 32723.676),(20 33163.074),(21 33490.445),(22 33911.605),(23 32844.28),(24 33701.926),(25 33296.72),(26 34046.414),(27 33862.875),(28 34259.594),(29 34005.266),(30 35284.895),(31 34546.25),(32 33390.95),(33 33664.395),(34 33051.414),(35 33784.754),(36 33386.348),(37 33453.33),(38 33386.965),(39 33986.07),(40 33356.004),(41 33111.086),(42 33103.453),(43 33478.66),(44 32874.176),(45 33057.3),(46 32838.504),(47 32646.723),(48 32744.723),(49 32523.201),(50 32349.484),(51 32080.936),(52 31600.615),(53 31869.555),(54 32000.748),(55 31403.662),(56 31522.348),(57 31550.62),(58 32176.463),(59 32201.18),(60 32576.744),(61 32890.723),(62 32673.742),(63 32353.512),(64 32892.695),(65 32545.178),(66 32653.576),(67 32542.13),(68 33550.363),(69 33482.063),(70 32978.05),(71 33360.918),(72 33717.47),(73 32871.09),(74 32508.12),(75 33177.46),(76 33014.105),(77 32889.727),(78 33093.938),(79 33640.56),
(1 22049.346),(2 27058.629),(3 25026.398),(4 25792.443),(5 27101.31),(6 26908.355),(7 28433.67),(8 29731.746),(9 30086.336),(10 29806.414),(11 30768.941),(12 31675.254),(13 32115.664),(14 31270.72),(15 31646.426),(16 31583.563),(17 32600.791),(18 31643.098),(19 31794.125),(20 31644.096),(21 31896.572),(22 32816.28),(23 31768.795),(24 32510.715),(25 32525.607),(26 32946.848),(27 32928.305),(28 33512.19),(29 33070.363),(30 34346.203),(31 33772.203),(32 33385.043),(33 32971.875),(34 32508.145),(35 33749.203),(36 33192.535),(37 33042.36),(38 33163.59),(39 33392.87),(40 32818.37),(41 33150.87),(42 32897.363),(43 32563.832),(44 32697.643),(45 32684.22),(46 32754.936),(47 32091.242),(48 32124.65),(49 32201.906),(50 32386.459),(51 32233.738),(52 31517.707),(53 31947.512),(54 31471.754),(55 31954.258),(56 31952.566),(57 31881.582),(58 32135.05),(59 32396.332),(60 32716.371),(61 33098.535),(62 32368.328),(63 31674.176),(64 31939.072),(65 31878.035),(66 31920.96),(67 32239.752),(68 32185.803),(69 32326.813),(70 32162.959),(71 31880.564),(72 32226.607),(73 31830.32),(74 31630.197),(75 31488.738),(76 31541.95),(77 31803.959),(78 31806.994),(79 32301.234),
(1 20164.943),(2 24541.367),(3 23422.676),(4 24439.408),(5 25230.453),(6 25626.238),(7 26701.232),(8 27879.51),(9 28264.482),(10 27916.229),(11 29144.76),(12 29395.83),(13 30636.445),(14 29671.03),(15 30257.043),(16 29841.057),(17 31064.82),(18 29891.248),(19 30492.807),(20 30059.1),(21 29963.807),(22 31579.459),(23 30485.137),(24 30765.08),(25 30911.459),(26 31369.46),(27 31187.377),(28 32028.123),(29 31676.113),(30 32421.24),(31 32168.293),(32 32151.668),(33 30971.32),(34 31251.717),(35 32222.533),(36 31622.244),(37 32152.773),(38 31728.068),(39 31747.504),(40 31069.678),(41 31070.033),(42 30772.375),(43 30734.613),(44 30648.408),(45 30739.336),(46 30973.201),(47 30802.637),(48 30797.166),(49 30392.701),(50 30753.973),(51 30401.361),(52 29750.81),(53 29868.412),(54 29499.848),(55 30046.793),(56 30236.463),(57 30525.51),(58 30178.842),(59 30345.217),(60 30693.918),(61 30565.55),(62 30463.104),(63 30245.682),(64 30053.396),(65 29554.176),(66 29587.703),(67 30023.844),(68 29961.041),(69 30186.781),(70 30596.082),(71 30527.238),(72 30483.463),(73 30230.402),(74 29805.69),(75 29562.783),(76 29730.46),(77 30558.846),(78 30222.383),(79 30237.662),
(1 20786.828),(2 25257.646),(3 23542.012),(4 25096.729),(5 25873.746),(6 26048.07),(7 27048.64),(8 28300.303),(9 28647.537),(10 27754.15),(11 29317.771),(12 28771.955),(13 30972.67),(14 29741.951),(15 30536.047),(16 30075.037),(17 30982.047),(18 29367.443),(19 30322.621),(20 30207.61),(21 29696.785),(22 31179.932),(23 30073.465),(24 30369.316),(25 30389.17),(26 30867.906),(27 30760.23),(28 31528.691),(29 31509.467),(30 31896.33),(31 32342.799),(32 32188.152),(33 31304.139),(34 31877.34),(35 32392.398),(36 32304.916),(37 32327.887),(38 32291.543),(39 32450.883),(40 32078.367),(41 32140.4),(42 31583.723),(43 31487.135),(44 31433.318),(45 31694.365),(46 31628.707),(47 31749.672),(48 31593.238),(49 31238.99),(50 31771.059),(51 31542.766),(52 30800.686),(53 30539.941),(54 30918.762),(55 30516.762),(56 30715.525),(57 31173.068),(58 30906.729),(59 30884.713),(60 31231.674),(61 31531.703),(62 30970.707),(63 30809.24),(64 30641.547),(65 30184.86),(66 30407.215),(67 30456.68),(68 30474.816),(69 30041.854),(70 30399.23),(71 30305.912),(72 29669.406),(73 29647.488),(74 29204.73),(75 29446.564),(76 29321.008),(77 29417.406),(78 28889.953),(79 29103.443),
(1 21351.586),(2 25909.342),(3 23575.21),(4 25476.736),(5 26111.295),(6 26035.559),(7 26898.867),(8 28175.512),(9 28241.096),(10 27813.313),(11 29534.074),(12 28636.85),(13 30627.162),(14 29647.19),(15 30529.658),(16 29378.697),(17 31090.84),(18 28923.857),(19 30271.621),(20 29941.04),(21 29657.47),(22 30037.38),(23 29663.441),(24 29923.03),(25 29635.084),(26 30381.164),(27 30995.586),(28 31080.398),(29 30817.705),(30 30974.81),(31 31897.008),(32 32002.045),(33 31009.506),(34 31472.225),(35 31917.992),(36 32237.688),(37 31805.555),(38 31617.273),(39 31631.445),(40 31687.5),(41 31842.795),(42 31717.773),(43 31420.744),(44 31359.238),(45 31617.97),(46 31832.375),(47 31424.563),(48 30891.154),(49 30984.81),(50 30973.201),(51 31119.78),(52 30724.639),(53 30285.623),(54 30515.45),(55 30263.572),(56 30441.7),(57 30802.049),(58 30833.012),(59 30317.906),(60 30970.066),(61 31526.092),(62 31070.145),(63 30873.846),(64 30615.152),(65 30846.506),(66 30093.676),(67 30446.664),(68 31049.87),(69 30826.355),(70 30728.248),(71 30845.037),(72 30345.615),(73 30187.365),(74 29927.38),(75 30230.225),(76 30394.842),(77 30384.69),(78 30319.225),(79 30571.19),
(1 19601.227),(2 23762.525),(3 21559.893),(4 23296.988),(5 23682.914),(6 24229.377),(7 24765.775),(8 26063.365),(9 26252.287),(10 26620.283),(11 27641.62),(12 26676.154),(13 28257.072),(14 28043.54),(15 28521.73),(16 27191.664),(17 29765.71),(18 27301.982),(19 28259.125),(20 27782.646),(21 27749.834),(22 27883.809),(23 27588.873),(24 28541.54),(25 27738.156),(26 28892.23),(27 29159.979),(28 28915.383),(29 29018.064),(30 28867.324),(31 29603.83),(32 30037.344),(33 28884.752),(34 29903.635),(35 30435.03),(36 30524.707),(37 30709.115),(38 30208.238),(39 30387.49),(40 30739.863),(41 30675.182),(42 30642.148),(43 31330.922),(44 30851.938),(45 31193.441),(46 30885.459),(47 30477.38),(48 29676.521),(49 29927.465),(50 30335.865),(51 30531.52),(52 30274.873),(53 29695.973),(54 29888.89),(55 29615.063),(56 29389.92),(57 29767.248),(58 29845.242),(59 29972.748),(60 29642.531),(61 29882.797),(62 29732.246),(63 29327.313),(64 29529.66),(65 28920.232),(66 28470.123),(67 28477.96),(68 29078.486),(69 28700.38),(70 28560.484),(71 28236.9),(72 28138.87),(73 28164.89),(74 28116.549),(75 28295.775),(76 28416.648),(77 28624.004),(78 28642.213),(79 28719.643),
(1 19478.955),(2 23553.988),(3 21363.326),(4 23639.1),(5 23577.412),(6 24102.771),(7 24711.95),(8 26301.588),(9 26705.232),(10 26611.684),(11 27212.303),(12 27120.035),(13 28334.916),(14 28035.385),(15 28712.813),(16 27286.889),(17 30253.42),(18 27303.871),(19 28512.729),(20 28074.889),(21 28404.666),(22 27762.64),(23 26822.184),(24 28617.066),(25 27706.664),(26 29077.783),(27 28618.47),(28 28528.646),(29 29162.254),(30 28542.889),(31 29410.191),(32 29493.025),(33 28118.016),(34 28744.32),(35 29332.586),(36 29663.607),(37 29677.371),(38 29016.03),(39 29393.816),(40 29481.604),(41 29520.127),(42 29392.223),(43 30005.275),(44 29300.66),(45 29059.68),(46 28958.814),(47 29265.533),(48 27995.64),(49 28117.385),(50 28668.572),(51 29204.195),(52 29175.51),(53 28062.977),(54 28637.521),(55 28247.176),(56 28159.104),(57 27979.762),(58 27918.863),(59 28492.652),(60 28218.037),(61 28399.854),(62 28744.822),(63 28087.008),(64 28319.389),(65 27732.797),(66 27860.055),(67 27699.535),(68 27649.545),(69 27461.31),(70 27635.117),(71 27814.254),(72 27826.44),(73 27845.379),(74 27611.074),(75 27607.086),(76 27696.334),(77 27680.58),(78 27482.271),(79 27847.934),
(1 19098.69),(2 22898.451),(3 20991.566),(4 23175.002),(5 23824.072),(6 23734.895),(7 24219.816),(8 26131.11),(9 26438.4),(10 26281.979),(11 26953.26),(12 26990.297),(13 28037.666),(14 27260.541),(15 27870.162),(16 26561.635),(17 28611.748),(18 26293.875),(19 27774.508),(20 27153.527),(21 27637.604),(22 26844.389),(23 26872.162),(24 28252.055),(25 27471.86),(26 28171.416),(27 28350.31),(28 28300.66),(29 28967.906),(30 28002.111),(31 28621.232),(32 29052.375),(33 27939.732),(34 28520.152),(35 28896.738),(36 29281.518),(37 28811.42),(38 29422.686),(39 29370.707),(40 29410.604),(41 29343.041),(42 29425.848),(43 29544.947),(44 29674.861),(45 29263.205),(46 29062.604),(47 29544.928),(48 28671.752),(49 28971.727),(50 29094.287),(51 29690.93),(52 29060.754),(53 28709.242),(54 28745),(55 28607.352),(56 29063.73),(57 28867.096),(58 28685.104),(59 29103.809),(60 28921.395),(61 29141.957),(62 29105.803),(63 28682.326),(64 28314.875),(65 27447.838),(66 27830.045),(67 28299.95),(68 28164.123),(69 27452.043),(70 27759.31),(71 27437.117),(72 27621.338),(73 28003.76),(74 27227.705),(75 27369.402),(76 27790.121),(77 27770.434),(78 27979.17),(79 27720.97),
(1 18907.889),(2 22733.332),(3 20823.514),(4 22528.586),(5 23157.352),(6 23053.604),(7 23738.785),(8 25372.408),(9 25460.307),(10 25478.828),(11 26868.537),(12 26188.87),(13 26838.256),(14 26628.373),(15 26881.025),(16 25951.184),(17 27176.072),(18 25962.053),(19 27172.813),(20 26216.834),(21 27289.242),(22 26178.459),(23 26554.63),(24 27366.373),(25 26815.977),(26 27339.113),(27 27731.602),(28 28218.277),(29 28208.22),(30 27966.389),(31 28860.719),(32 28960.498),(33 28088.166),(34 28634.219),(35 29236.809),(36 28960.105),(37 28954.51),(38 29525.6),(39 29661.564),(40 28982.473),(41 28965.53),(42 28803.42),(43 28754.373),(44 29981.611),(45 29576.443),(46 29195.328),(47 29132.547),(48 28476.05),(49 28420.355),(50 28510.41),(51 28942.068),(52 28264.46),(53 28380.965),(54 27961.842),(55 27846.963),(56 28225),(57 28410.123),(58 27891.861),(59 27918.47),(60 27903.771),(61 27832.746),(62 27802.299),(63 27807.033),(64 27346.893),(65 26901.643),(66 27115.96),(67 27859.81),(68 27591.748),(69 26826.002),(70 27527.947),(71 27516.078),(72 27328.55),(73 27628.965),(74 27093.771),(75 27029.03),(76 27263.31),(77 27295.205),(78 27667.348),(79 27396.016),
(1 18330.85),(2 22229.322),(3 20216.898),(4 22116.385),(5 22602.096),(6 22613.715),(7 23338.555),(8 24629),(9 25015.254),(10 25562.484),(11 26252.775),(12 25684.746),(13 26249.852),(14 26044.953),(15 25581.951),(16 25187.172),(17 26011.24),(18 25452.387),(19 26535.275),(20 25570.742),(21 26322.377),(22 25792.08),(23 25188.889),(24 26299.488),(25 26043.51),(26 26787.834),(27 26512.43),(28 27712.42),(29 26809.17),(30 26752.234),(31 28094.941),(32 27671.436),(33 26755.791),(34 27531.1),(35 28260.752),(36 27819.7),(37 28069.91),(38 27974.225),(39 28342.762),(40 27807.184),(41 27839.04),(42 27770.777),(43 27733.39),(44 28223.28),(45 28097.877),(46 28186.637),(47 28031.287),(48 27653.11),(49 27194.266),(50 27342.76),(51 27473.861),(52 27517.555),(53 27299.115),(54 27450.275),(55 27125.514),(56 27123.672),(57 27323.703),(58 27105.324),(59 27400.947),(60 27489.309),(61 27819.525),(62 27448.9),(63 27277.527),(64 27112.396),(65 26582.074),(66 26628.549),(67 27287.973),(68 26816.926),(69 26603.986),(70 26999.371),(71 27083.283),(72 26912.885),(73 27010.672),(74 27231.06),(75 27181.652),(76 27167.338),(77 27033.805),(78 27276.123),(79 27609.115),
(1 17090.428),(2 20698.07),(3 18850.297),(4 21335.756),(5 21537.746),(6 21698.113),(7 22658.1),(8 23711.637),(9 24418.281),(10 24515.596),(11 25027.432),(12 25021.918),(13 24971.672),(14 24793.371),(15 24517.535),(16 24649.688),(17 25203.219),(18 24329.727),(19 25606.088),(20 24804.912),(21 25214.793),(22 25523.188),(23 24772.625),(24 25433.39),(25 25361.35),(26 25843.078),(27 25536.688),(28 26458.625),(29 25637.904),(30 25691.982),(31 27054.559),(32 26750.78),(33 25764.338),(34 26895.377),(35 27141.707),(36 27058.865),(37 27604.336),(38 27113.459),(39 26952.697),(40 26554.21),(41 26887.38),(42 27008.654),(43 26777.77),(44 26892.791),(45 26938.951),(46 27607.295),(47 27098.049),(48 26530.355),(49 26273.254),(50 26217.365),(51 26467.773),(52 26268.07),(53 26129.46),(54 26315.703),(55 26007.738),(56 26350.14),(57 26355.21),(58 26215.182),(59 26341.367),(60 26340.143),(61 26659.582),(62 26471.697),(63 25795.926),(64 25833.555),(65 24966.488),(66 25602.738),(67 25738.605),(68 25489.994),(69 25183.281),(70 25374.31),(71 24725.1),(72 24991.432),(73 25190.48),(74 25060.975),(75 25071.115),(76 25342.283),(77 25773.402),(78 25806.922),(79 25951.531),
(1 17356.566),(2 21142.703),(3 19293.373),(4 21965.488),(5 22121.756),(6 22186.645),(7 23122.434),(8 23511.584),(9 24643.26),(10 24284.68),(11 25504.81),(12 25378.104),(13 25097.717),(14 25433.648),(15 24773.193),(16 24840.8),(17 25323.387),(18 24586.23),(19 25704.58),(20 25536.807),(21 25066.008),(22 25654.098),(23 25160.809),(24 25193.82),(25 25299.178),(26 25467.557),(27 25591.338),(28 25821.207),(29 25673.191),(30 25704.393),(31 27257.086),(32 26801.283),(33 25760.99),(34 26837.83),(35 26895.21),(36 27044.543),(37 27196.525),(38 26616.232),(39 26648.795),(40 26935.516),(41 27002.152),(42 26744.69),(43 26528.49),(44 27070.814),(45 27030.516),(46 27647.508),(47 26919.027),(48 26507.434),(49 26509.955),(50 26796.582),(51 26229.154),(52 26136.303),(53 25936.934),(54 25890.186),(55 25847.273),(56 25826.137),(57 26007.262),(58 26256.518),(59 26316.418),(60 26479.627),(61 26438.813),(62 26518.111),(63 26044.396),(64 25779.447),(65 25849.334),(66 25957.11),(67 25823.16),(68 25726.498),(69 25426.234),(70 25765.035),(71 25586.21),(72 25685.373),(73 25722.77),(74 25687.086),(75 25820.55),(76 25622.4),(77 25658.041),(78 26272.111),(79 26093.807),
