1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 60828.26),(2 194573.88),(3 441969.66),(4 722235.3),(5 1094955.9),(6 1534794),(7 2055939.9),(8 2661674.3),(9 3387317),(10 4261489),(11 5169142.5),(12 6160847.5),(13 7271282.5),(14 8478819),(15 9775812),(16 11160460),(17 12673383),(18 14308249),(19 16113435),(20 18048820),(21 20138574),(22 22367074),(23 24794224),(24 27348714),(25 30136618),(26 33084506),(27 36118492),(28 39405276),(29 42690704),(30 46221020),(31 49699980),(32 53265748),(33 56783404),(34 60308624),(35 63854320),(36 67352184),(37 70893260),(38 74398250),(39 77971910),(40 81573090),(41 85310696),(42 88740470),(43 92146616),(44 95483656),(45 98760510),(46 101910180),(47 104954070),(48 107785976),(49 110407900),(50 112793830),(51 115004610),(52 117039944),(53 118989080),(54 120868490),(55 122657210),(56 124312584),(57 126085944),(58 127531784),(59 129023990),(60 130399450),(61 131863416),(62 133126744),(63 134355860),(64 135498510),(65 136604430),(66 137564050),(67 138471790),(68 139396370),(69 140362990),(70 141290820),(71 142234690),(72 143122220),(73 144015120),(74 144900540),(75 145681680),(76 146420510),(77 147116830),(78 147573380),(79 148042770),
(1 6002.8647),(2 10650.027),(3 11948.655),(4 13541.592),(5 14940.373),(6 15773.672),(7 16548.813),(8 17002.428),(9 17326.955),(10 17352.357),(11 17300.998),(12 17092.146),(13 17221.363),(14 17319.256),(15 17972.94),(16 18440.02),(17 18567.215),(18 18757.26),(19 18969.924),(20 19327.258),(21 19084.848),(22 18713.969),(23 18697.479),(24 18717.227),(25 18852.805),(26 19185.107),(27 19587.49),(28 19557.225),(29 19357.455),(30 19446.355),(31 19496.16),(32 19564.598),(33 19608.693),(34 19295.3),(35 19067.467),(36 19001.213),(37 19074.387),(38 19227.041),(39 19422.86),(40 19198.447),(41 18878.309),(42 18720.316),(43 18538.824),(44 18428.9),(45 18285.193),(46 18191.453),(47 18086.822),(48 18005.4),(49 18118.316),(50 18344.031),(51 18458.648),(52 18436.373),(53 18585.81),(54 18671.148),(55 18719.686),(56 18863.025),(57 18894.3),(58 19177.94),(59 19454.387),(60 19668.695),(61 19882.412),(62 20200.936),(63 20259.531),(64 20483.912),(65 20434.93),(66 20490.639),(67 20337.697),(68 20316.156),(69 20322.82),(70 20545.787),(71 20794.848),(72 21110.943),(73 21447.709),(74 21822.477),(75 22079.293),(76 22172.809),(77 22217.7),(78 22383.398),(79 22505.31),
(1 6087.0874),(2 10532.122),(3 11814.372),(4 12980.942),(5 14411.364),(6 15158.305),(7 15566.844),(8 15759.18),(9 16019),(10 16413.482),(11 16777.03),(12 16773.354),(13 16931.428),(14 17180.492),(15 17474.12),(16 17636.674),(17 17926.53),(18 17967.92),(19 18154.69),(20 18619.016),(21 18844.982),(22 19041.607),(23 19214.502),(24 19434.826),(25 19549.896),(26 19692.912),(27 19772.266),(28 19751.748),(29 19689.803),(30 19594.127),(31 19349.373),(32 19222.06),(33 19299.62),(34 19299.264),(35 19206.99),(36 19095.854),(37 19016.797),(38 19008.014),(39 18737.828),(40 18438.566),(41 18267.762),(42 18102.068),(43 17855.895),(44 17873.232),(45 17916.896),(46 18297.676),(47 18524.693),(48 18472.947),(49 18436.428),(50 18303.057),(51 18417.533),(52 18490.541),(53 18747.328),(54 18929.389),(55 19083.299),(56 19486.678),(57 19781.672),(58 20177.973),(59 20290.547),(60 20451.732),(61 20553.018),(62 20586.93),(63 20631.76),(64 20859.732),(65 20867.756),(66 20982.791),(67 21089.484),(68 21136.582),(69 21312.906),(70 21567.86),(71 21705.436),(72 21978.344),(73 22211.955),(74 22255.69),(75 22276.318),(76 22269.229),(77 22255.75),(78 22121.24),(79 22216.68),
(1 6010.76),(2 10567.251),(3 12165.96),(4 13840.723),(5 15069.948),(6 15651.466),(7 15964.611),(8 16049.768),(9 16780.996),(10 17057.807),(11 17094.178),(12 17247.518),(13 17591.379),(14 18156.15),(15 18353.736),(16 18209.002),(17 18246.068),(18 18517.113),(19 18785.602),(20 18962.896),(21 18953.377),(22 19221.309),(23 19276.795),(24 19386.27),(25 19465.719),(26 19544.201),(27 19611.34),(28 19473.889),(29 19287.129),(30 18998.926),(31 18756.178),(32 18639.125),(33 18538.545),(34 18097.555),(35 17701.494),(36 17589.73),(37 17500.537),(38 17366.99),(39 17306.818),(40 17251.412),(41 17303.8),(42 17418.016),(43 17284.953),(44 17184.883),(45 17047.707),(46 17130.879),(47 17437.225),(48 17862.65),(49 18059.742),(50 18174.203),(51 18255.457),(52 18253.371),(53 18466.977),(54 18454.084),(55 18490.533),(56 18402.035),(57 18735.66),(58 18949.46),(59 19206.27),(60 19048.186),(61 19295.887),(62 19478.268),(63 19598.92),(64 19972.445),(65 20248.008),(66 20473.707),(67 20409.889),(68 20402.377),(69 20633.88),(70 20940.254),(71 21204.666),(72 21527.396),(73 21701.434),(74 21757.633),(75 21880.992),(76 21869.834),(77 21894.992),(78 21902.88),(79 22223.775),
(1 5748.5693),(2 10049.469),(3 11726.016),(4 13247.619),(5 14363.874),(6 14987.468),(7 15394.041),(8 15469.816),(9 15719.626),(10 15989.155),(11 16153.505),(12 16212.832),(13 16263.889),(14 16450.225),(15 16757.355),(16 16824.125),(17 16808.766),(18 17257.875),(19 17789.797),(20 18140.607),(21 18223.863),(22 18337.969),(23 18302.87),(24 18244.016),(25 18504.293),(26 18901.227),(27 19229.813),(28 19259.404),(29 19245.973),(30 19189.506),(31 18962.545),(32 18843.299),(33 18910.436),(34 18761.26),(35 18747.197),(36 18553.402),(37 18378.152),(38 18467.855),(39 18492.426),(40 18407.662),(41 18443.775),(42 18112.754),(43 17997.074),(44 17834.836),(45 17428.98),(46 17056.854),(47 17141.273),(48 17296.281),(49 17376.5),(50 17494.54),(51 17583.383),(52 17598.223),(53 17515.469),(54 17431.6),(55 17368.336),(56 17318.24),(57 17539.088),(58 17702.56),(59 17823.316),(60 18273.557),(61 18742.111),(62 18653.533),(63 18806.146),(64 18981.752),(65 19169.656),(66 19354.166),(67 19331.586),(68 19498.41),(69 19814.51),(70 20101.895),(71 20302.56),(72 20359.63),(73 20271.842),(74 20056.824),(75 20154.252),(76 20265.145),(77 20531.057),(78 20562.834),(79 20592.047),
(1 5548.888),(2 9638.929),(3 11190.615),(4 12633.612),(5 13574.588),(6 14133.066),(7 14417.574),(8 14612.559),(9 15078.153),(10 15650.078),(11 15856.326),(12 16157.95),(13 16213.475),(14 16093.345),(15 16246.408),(16 16603.568),(17 16904.96),(18 17017.404),(19 17148.379),(20 17197.002),(21 17257.244),(22 17483.078),(23 17543.102),(24 17679.125),(25 17907.885),(26 18307.973),(27 18389.016),(28 18431.438),(29 18461.71),(30 18536.086),(31 18670.822),(32 18485.432),(33 18532.148),(34 18555.56),(35 18728.697),(36 18960.662),(37 18814.29),(38 18867.69),(39 19151.135),(40 19135.098),(41 18994.814),(42 18907.404),(43 18804.666),(44 18609.482),(45 18352.559),(46 18312.047),(47 18485.34),(48 18814.422),(49 18678.588),(50 18465.668),(51 18457.55),(52 18549.164),(53 18532.035),(54 18626.154),(55 18735.553),(56 18878.666),(57 18932.58),(58 19063.781),(59 19153.193),(60 19202.31),(61 19505.193),(62 19374.268),(63 19148.594),(64 19188.258),(65 19340.87),(66 19485.91),(67 19570.004),(68 19792.89),(69 20105.445),(70 20519.135),(71 20559.344),(72 20724.29),(73 20706.92),(74 20839.344),(75 21065.252),(76 21197.941),(77 21395.832),(78 21425.01),(79 21448.352),
(1 5330.7046),(2 9021.519),(3 10467.055),(4 11789.322),(5 12538.959),(6 13142.781),(7 13626.587),(8 13859.652),(9 14302.964),(10 14538.952),(11 14638.306),(12 14771.672),(13 14909.456),(14 15122.502),(15 15298.255),(16 15346.944),(17 15496.7705),(18 15593.679),(19 15564.183),(20 15488.507),(21 15438.84),(22 15550.587),(23 15725.913),(24 16091.749),(25 16369.454),(26 16491.115),(27 16508.885),(28 16489.021),(29 16486.777),(30 16446.527),(31 16373.162),(32 16339.271),(33 16351.445),(34 16362.66),(35 16267.29),(36 16132.009),(37 15983.705),(38 16053.02),(39 16204.337),(40 16236.425),(41 16458.396),(42 16553.098),(43 16577.645),(44 16466.72),(45 16528.934),(46 16663.553),(47 16655.156),(48 16813.736),(49 17220.156),(50 17351.223),(51 17506.156),(52 17706.486),(53 17842.67),(54 17802.492),(55 17647.37),(56 17423.455),(57 17422.402),(58 17451.666),(59 17538.904),(60 17681.86),(61 17890.457),(62 17813.756),(63 17757.98),(64 17982.557),(65 18311.123),(66 18628.67),(67 18828.871),(68 18837.582),(69 18886),(70 18998.396),(71 19141.107),(72 19370.006),(73 19480.803),(74 19734.723),(75 19762.1),(76 19843.375),(77 20019.404),(78 20172.803),(79 20257.797),
(1 5290.5405),(2 8899.281),(3 10198.678),(4 11656.682),(5 12642.314),(6 13034.172),(7 13433.292),(8 13831.168),(9 14263.152),(10 14363.9795),(11 14444.318),(12 14617.971),(13 14886.364),(14 15055.066),(15 15233.782),(16 15403.864),(17 15337.753),(18 15499.975),(19 15672.178),(20 15696.209),(21 15642.021),(22 15757.891),(23 15755.062),(24 15705.891),(25 15880.2),(26 16243.164),(27 16583.592),(28 16741.137),(29 16705.133),(30 16615.992),(31 16545.594),(32 16459.02),(33 16549.447),(34 16502.24),(35 16365.483),(36 16203.436),(37 16184.568),(38 16239.341),(39 16370.782),(40 16279.716),(41 16195.864),(42 16196.028),(43 15980.884),(44 15960.001),(45 16057.341),(46 16233.861),(47 16201.004),(48 16389.11),(49 16797.293),(50 17231.895),(51 17628.422),(52 17688.396),(53 17557.443),(54 17562.924),(55 17625.014),(56 17800.219),(57 17750.787),(58 18000.016),(59 18229.46),(60 18366.785),(61 18458.736),(62 18378.803),(63 18416.744),(64 18395.617),(65 18409.133),(66 18409.135),(67 18551.09),(68 18642.27),(69 18729.71),(70 18990.213),(71 19131.79),(72 19251.727),(73 19318.959),(74 19617.54),(75 19812.422),(76 19914.342),(77 19974.309),(78 20028.81),(79 20015.469),
(1 5205.8506),(2 8819.763),(3 10102.928),(4 11622.462),(5 12462.2295),(6 12691.921),(7 12907.298),(8 13332.194),(9 13580.255),(10 13589.393),(11 13517.062),(12 13710.551),(13 13977.24),(14 14293.303),(15 14698.664),(16 14831.4375),(17 14810.481),(18 14710.926),(19 14802.541),(20 14860.566),(21 15038.351),(22 15077.596),(23 15104.173),(24 15365.174),(25 15533.518),(26 15583.434),(27 15642.261),(28 15809.973),(29 15717.334),(30 15694.711),(31 15814.906),(32 15880.037),(33 15716.168),(34 15564.821),(35 15409.858),(36 15147.793),(37 15138.787),(38 15320.235),(39 15664.662),(40 15782.832),(41 15996.669),(42 15959.088),(43 15765.786),(44 15752.4),(45 15806.419),(46 15845.751),(47 15833.536),(48 15925.09),(49 16010.36),(50 16449.111),(51 16839.178),(52 16818.371),(53 16769.178),(54 16836.791),(55 16963.348),(56 17222.83),(57 17347.678),(58 17580.385),(59 17656.832),(60 17739.195),(61 17791.578),(62 17789.951),(63 17854.432),(64 18000.898),(65 18225.541),(66 18421.432),(67 18689.18),(68 18875.246),(69 19085.082),(70 19178.484),(71 19104.598),(72 18984.555),(73 19109.012),(74 19320.785),(75 19418.654),(76 19521.97),(77 19535.268),(78 19491.229),(79 19410.334),
(1 5201.4673),(2 8793.88),(3 10175.088),(4 11697.481),(5 12726.64),(6 13314.564),(7 13695.44),(8 13764.565),(9 13986.779),(10 14286.595),(11 14347.223),(12 14212.492),(13 14346.279),(14 14336.376),(15 14447.112),(16 14495.8),(17 14266.518),(18 14439.488),(19 14694.692),(20 14991.148),(21 15277.857),(22 15135.061),(23 15011.61),(24 15311.313),(25 15764.513),(26 15938.857),(27 15751.197),(28 15623.682),(29 15617.462),(30 15514.205),(31 15470.231),(32 15401.182),(33 15561.548),(34 15678.384),(35 15544.727),(36 15332.35),(37 15583.004),(38 15813.34),(39 16020.116),(40 16095.516),(41 16237.428),(42 15999.421),(43 15890.927),(44 15740.944),(45 15766.271),(46 15720.947),(47 15604.227),(48 15661.492),(49 15777.931),(50 16128.239),(51 16495.566),(52 16753.648),(53 17044.42),(54 17214.574),(55 17188.057),(56 17338.6),(57 17578.84),(58 17816.668),(59 18150.248),(60 18422.365),(61 18484.928),(62 18212.4),(63 18240.11),(64 18136.75),(65 18083.695),(66 18132.158),(67 18204.4),(68 18378.242),(69 18591.63),(70 18938.252),(71 19181.094),(72 19257.326),(73 19316.438),(74 19336.818),(75 19415.412),(76 19605.79),(77 19664.93),(78 19724.549),(79 19497.79),
(1 5014.006),(2 8312.626),(3 9726.402),(4 11232.813),(5 12321.029),(6 12754.354),(7 13078.322),(8 13078.186),(9 13217.776),(10 13666.243),(11 14026.098),(12 14154.584),(13 14330.859),(14 14280.671),(15 14394.078),(16 14104.8545),(17 14021.234),(18 14210.5),(19 14429.319),(20 14543.695),(21 14784.449),(22 15030.08),(23 15046.722),(24 15131.035),(25 15318.423),(26 15264.852),(27 15166.59),(28 15270.241),(29 15260.678),(30 15102.901),(31 14952.511),(32 14751.842),(33 14799.707),(34 14729.861),(35 14837.044),(36 14866.734),(37 15020.454),(38 15070.881),(39 15025.539),(40 14919.546),(41 14975.176),(42 15032.854),(43 14945.569),(44 15145.099),(45 15252.677),(46 15334.481),(47 15327.27),(48 15300.023),(49 15435.538),(50 15494.905),(51 15592.524),(52 15673.858),(53 15730.598),(54 15796.506),(55 15841.361),(56 16103.702),(57 16235.663),(58 16355.779),(59 16507.637),(60 16718.752),(61 16806.023),(62 16724.61),(63 16919.992),(64 17021.39),(65 17104.1),(66 17043.4),(67 17236.432),(68 17189.715),(69 17079.865),(70 17270.865),(71 17476.64),(72 17426.932),(73 17400.111),(74 17351.719),(75 17509.127),(76 17511.389),(77 17501.236),(78 17610.238),(79 17747.852),
(1 5024.4805),(2 8419.107),(3 9659.296),(4 10900.546),(5 11681.583),(6 12115.769),(7 12609.647),(8 13002.029),(9 13131.568),(10 13495.372),(11 13760.765),(12 13961.649),(13 14016.116),(14 14123.082),(15 14347.483),(16 14172.547),(17 14129.64),(18 14367.872),(19 14532.621),(20 14263.118),(21 14028.439),(22 14109.342),(23 14143.052),(24 14273.974),(25 14276.21),(26 14370.001),(27 14581.193),(28 14572.752),(29 14354.7705),(30 14290.841),(31 14371.665),(32 14515.835),(33 14704.21),(34 14548.879),(35 14610.721),(36 14587.392),(37 14686.867),(38 14798.981),(39 14818.354),(40 14827.182),(41 14894.311),(42 14863.795),(43 14750.542),(44 14623.015),(45 14460.708),(46 14453.362),(47 14524.193),(48 14545.677),(49 14851.529),(50 15161.027),(51 15336.832),(52 15414.721),(53 15514.664),(54 15723.06),(55 15905.305),(56 16189.355),(57 16198.037),(58 16137.844),(59 16139.936),(60 16289.357),(61 16456.648),(62 16474.63),(63 16589.64),(64 16913.42),(65 17145.547),(66 17333.418),(67 17459.746),(68 17495.732),(69 17506.982),(70 17429.736),(71 17340.46),(72 17367.262),(73 17379.676),(74 17480.951),(75 17618.795),(76 17561.695),(77 17294.803),(78 17328.615),(79 17520.877),
(1 5071.608),(2 8441.413),(3 9841.492),(4 11113.667),(5 12025.561),(6 12489.881),(7 12800.903),(8 12937.279),(9 13165.749),(10 13644.339),(11 13780.306),(12 13531.546),(13 13618.971),(14 13741.7705),(15 13677.491),(16 13478.124),(17 13426.129),(18 13775.3955),(19 14074.034),(20 14278.094),(21 14518.959),(22 14579.895),(23 14480.309),(24 14508.204),(25 14585.836),(26 14793.63),(27 15022.248),(28 14988.835),(29 14783.704),(30 14768.901),(31 14697.96),(32 14758.939),(33 14898.695),(34 15044.095),(35 15203.595),(36 15125.809),(37 14960.776),(38 14906.201),(39 14594.309),(40 14537.584),(41 14491.062),(42 14604.443),(43 14554.224),(44 14528.021),(45 14406.568),(46 14502.507),(47 14506.875),(48 14542.264),(49 14731.797),(50 14882.246),(51 15026.364),(52 15010.613),(53 15028.765),(54 15052.311),(55 14938.304),(56 15259.904),(57 15583.466),(58 15910.233),(59 16233.794),(60 16493.088),(61 16473.742),(62 16357.515),(63 16339.273),(64 16348.891),(65 16378.471),(66 16647.521),(67 16930.549),(68 16997.213),(69 17134.555),(70 17370.182),(71 17163.143),(72 17281.463),(73 17358.057),(74 17399.486),(75 17383.662),(76 17471.736),(77 17436.572),(78 17379.496),(79 17411.963),
(1 4984.059),(2 8233.061),(3 9402.931),(4 10950.461),(5 11835.093),(6 12029.436),(7 12114.849),(8 12198.961),(9 12455.289),(10 12693.255),(11 12934.095),(12 13095.558),(13 13425.738),(14 13678.915),(15 13736.904),(16 13887.679),(17 13798.548),(18 13881.954),(19 13983.999),(20 14060.277),(21 14062.944),(22 14118.604),(23 14076.304),(24 14226.669),(25 14262.001),(26 14319.827),(27 14218.341),(28 14086.721),(29 14002.016),(30 14095.456),(31 14125.707),(32 14323.477),(33 14577.673),(34 14709.334),(35 14917.344),(36 14874.436),(37 14802.062),(38 14818.485),(39 14698.954),(40 14592.388),(41 14498.231),(42 14525.84),(43 14422.037),(44 14313.743),(45 14325.459),(46 14399.719),(47 14282.365),(48 14201.86),(49 14190.091),(50 14384.01),(51 14696.161),(52 15008.46),(53 15133.249),(54 15157.076),(55 15273.601),(56 15443.296),(57 15560.899),(58 15644.099),(59 15818.438),(60 16164.852),(61 16335.822),(62 16199.733),(63 16079.977),(64 15930.865),(65 15950.107),(66 16040.82),(67 16143.2295),(68 16193.96),(69 16146.339),(70 16449.117),(71 16561.555),(72 16774.594),(73 16937.797),(74 17263.291),(75 17572.05),(76 17557.889),(77 17477.598),(78 17551.875),(79 17692.795),
(1 4929.8325),(2 8247.283),(3 9572.664),(4 10744.293),(5 11550.009),(6 11883.537),(7 12234.214),(8 12362.4375),(9 12579.264),(10 13074.669),(11 13169.101),(12 13124.223),(13 13140.349),(14 13087.52),(15 13100.732),(16 13064.806),(17 13156.344),(18 13409.173),(19 13643.749),(20 13613.822),(21 13524.634),(22 13399.249),(23 13503.218),(24 13635.0625),(25 13661.34),(26 13660.466),(27 13623.538),(28 13738.717),(29 13682.9375),(30 13776.004),(31 13727.949),(32 13586.44),(33 13697.174),(34 13736.604),(35 13890.835),(36 13863.301),(37 13909.314),(38 14050.708),(39 13976.564),(40 13685.322),(41 13543.522),(42 13446.341),(43 13520.567),(44 13622.669),(45 13521.353),(46 13521.299),(47 13545.869),(48 13679.938),(49 13797.514),(50 13929.764),(51 14201.308),(52 14511.471),(53 14540.786),(54 14723.769),(55 14921.761),(56 15125.054),(57 15320.904),(58 15418.899),(59 15516.539),(60 15661.452),(61 15787.303),(62 15975.11),(63 15891.839),(64 16037.009),(65 16097.934),(66 16261.548),(67 16314.471),(68 16562.361),(69 16679.344),(70 16640.219),(71 16605.938),(72 16782.459),(73 16780.97),(74 16920.248),(75 17067.627),(76 16933.35),(77 16953.314),(78 17229.441),(79 17383.275),
(1 4831.1563),(2 8052.6763),(3 9214.504),(4 10275.543),(5 11011.423),(6 11460.872),(7 11720.759),(8 11934.7),(9 12309.918),(10 12655.707),(11 12830.286),(12 12827.671),(13 13022.434),(14 13091.043),(15 13347.704),(16 13359.171),(17 13274.742),(18 13577.5205),(19 13622.905),(20 13657.147),(21 13578.643),(22 13629.206),(23 13578.069),(24 13419.848),(25 13444.73),(26 13698.197),(27 13725.359),(28 13885.807),(29 13939.829),(30 13832.564),(31 13672.084),(32 13515.852),(33 13463.628),(34 13377.711),(35 13535.265),(36 13352.538),(37 13203.977),(38 13320.693),(39 13250.361),(40 13094.383),(41 12969.025),(42 12997.987),(43 13122.488),(44 13188.996),(45 13169.925),(46 13374.816),(47 13404.436),(48 13473.746),(49 13470.776),(50 13623.943),(51 13762.94),(52 14039.371),(53 14255.902),(54 14464.318),(55 14621.241),(56 14861.32),(57 15091.386),(58 15211.678),(59 15153.824),(60 15240.59),(61 15275.672),(62 15377.801),(63 15626.52),(64 15650.564),(65 15675.181),(66 15712.297),(67 15794.966),(68 15964.304),(69 16254.946),(70 16417.807),(71 16393.803),(72 16433.12),(73 16267.499),(74 16380.575),(75 16532.652),(76 16600.58),(77 16583.785),(78 16596.63),(79 16536.602),
(1 4782.9863),(2 7905.1274),(3 9152.927),(4 10299.598),(5 10971.768),(6 11364.6875),(7 11887.294),(8 12089.273),(9 12288.252),(10 12706.104),(11 13006.904),(12 13179.788),(13 13501.55),(14 13675.6045),(15 13696.264),(16 13711.018),(17 13875.981),(18 14063.948),(19 14117.858),(20 14036.073),(21 14017.825),(22 14171.925),(23 14141.049),(24 14212.055),(25 14233.6045),(26 14242.637),(27 14212.479),(28 14122.733),(29 14034.028),(30 14109.12),(31 13970.377),(32 13804.925),(33 13755.34),(34 13689.167),(35 13783.062),(36 13391.578),(37 13173.201),(38 13246.524),(39 13296.564),(40 13139.677),(41 13146.703),(42 13141.887),(43 13188.579),(44 13193.831),(45 13089.187),(46 13127.456),(47 13207.074),(48 13200.22),(49 13132.227),(50 13369.637),(51 13736.455),(52 13849.541),(53 13921.385),(54 14107.932),(55 14406.682),(56 14770.073),(57 15012.34),(58 15181.123),(59 15230.932),(60 15466.865),(61 15543.322),(62 15288.336),(63 15235.067),(64 15383.413),(65 15456.387),(66 15659.008),(67 15836.836),(68 16072.932),(69 16109.13),(70 16322.726),(71 16418.273),(72 16599.377),(73 16734.006),(74 17163.707),(75 17381.482),(76 17440.367),(77 17468.283),(78 17478.379),(79 17531.266),
(1 4549.3413),(2 7519.9272),(3 8792.895),(4 9720.621),(5 10299.244),(6 10934.536),(7 11408.531),(8 11699.766),(9 12173.009),(10 12560.049),(11 12685.451),(12 12908.374),(13 13066.299),(14 13297.7295),(15 13565.616),(16 13655.473),(17 13831.484),(18 14054.014),(19 14249.312),(20 14269.524),(21 14082.234),(22 14013.556),(23 14136.122),(24 14274.33),(25 14437.435),(26 14491.919),(27 14077.207),(28 13832.405),(29 13655.047),(30 13380.958),(31 13031.827),(32 13225.2295),(33 13459.956),(34 13560.209),(35 13611.581),(36 13399.497),(37 13514.657),(38 13754.067),(39 13789.537),(40 13661.717),(41 13676.638),(42 13713.958),(43 13828.753),(44 13772.11),(45 13601.598),(46 13481.19),(47 13435.789),(48 13475.364),(49 13442.204),(50 13484.718),(51 13789.98),(52 14058.221),(53 14200.549),(54 14275.764),(55 14387.357),(56 14443.599),(57 14507.126),(58 14570.956),(59 14654.775),(60 14737.505),(61 14646.452),(62 14453.138),(63 14510.076),(64 14596.958),(65 14623.864),(66 14656.049),(67 14790.728),(68 14950.121),(69 14915.558),(70 14994.787),(71 15221.391),(72 15413.954),(73 15432.953),(74 15713.312),(75 15912.964),(76 15943.06),(77 15911.914),(78 15820.237),(79 15800.414),
(1 4436.2363),(2 7320.018),(3 8500.716),(4 9616.997),(5 10314.37),(6 10810.341),(7 11072.877),(8 11135.858),(9 11434.054),(10 11711.411),(11 11881.212),(12 12231.347),(13 12355.385),(14 12550.007),(15 12733.182),(16 12915.588),(17 13125.265),(18 13187.207),(19 13034.971),(20 12826.085),(21 12708.578),(22 12891.509),(23 12960.282),(24 13020.283),(25 13182.767),(26 13172.237),(27 13062.559),(28 13119.247),(29 13271.14),(30 13144.304),(31 13086.616),(32 13163.41),(33 13302.594),(34 13321.192),(35 13233.341),(36 12969.123),(37 12973.144),(38 13044.889),(39 12938.207),(40 12848.37),(41 12919.121),(42 12920.57),(43 12888.931),(44 12905.774),(45 12864.735),(46 12972.192),(47 12984.529),(48 12976.21),(49 13044.884),(50 13086.17),(51 13223.623),(52 13263.505),(53 13324.73),(54 13355.244),(55 13521.151),(56 13733.089),(57 13735.369),(58 13763.341),(59 13842.702),(60 13911.19),(61 13964.537),(62 14116.524),(63 14300.071),(64 14269.319),(65 14222.771),(66 14377.326),(67 14389.339),(68 14399.522),(69 14352.0205),(70 14471.805),(71 14548.808),(72 14608.935),(73 14640.761),(74 14899.735),(75 15104.09),(76 15100.385),(77 15334.015),(78 15542.97),(79 15567.9795),
