1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88917.37),(2 272410.25),(3 573039.75),(4 932303),(5 1345503),(6 1771057),(7 2261737.3),(8 2797396.3),(9 3350852.8),(10 3933190.3),(11 4436184.5),(12 4948993),(13 5496287.5),(14 6073665.5),(15 6807194.5),(16 7613162.5),(17 8389167),(18 9181328),(19 9987395),(20 10792154),(21 11512547),(22 12303016),(23 12986232),(24 13768025),(25 14624884),(26 15607603),(27 16622495),(28 17740066),(29 18885926),(30 20039846),(31 21144438),(32 22265380),(33 23508274),(34 24779926),(35 26005510),(36 27143766),(37 28201130),(38 29108800),(39 30039370),(40 30970560),(41 31989530),(42 33100162),(43 34134276),(44 35286690),(45 36356572),(46 37342756),(47 38295636),(48 39220796),(49 40013456),(50 40691756),(51 41381330),(52 41937732),(53 42421844),(54 42878240),(55 43265028),(56 43575870),(57 43894576),(58 44195132),(59 44453880),(60 44923892),(61 45397376),(62 46035412),(63 46528404),(64 47071196),(65 47498484),(66 48017540),(67 48510050),(68 49148276),(69 49866260),(70 50545984),(71 51474892),(72 52455136),(73 53817492),(74 55200196),(75 56716428),(76 58305570),(77 60071892),(78 61823516),(79 63797332),
(1 27408.697),(2 73680.11),(3 113426.51),(4 140547.72),(5 160401.39),(6 176775.06),(7 188520.33),(8 199745.89),(9 209101.89),(10 215648.03),(11 220562.19),(12 226581.39),(13 234543.44),(14 241120.1),(15 245336.33),(16 247704.25),(17 247763.45),(18 247207.47),(19 246353.08),(20 246168.86),(21 246916.19),(22 245932.97),(23 246984.73),(24 247601.22),(25 249579.9),(26 250501.8),(27 250855.36),(28 251637.1),(29 252680.17),(30 251095.55),(31 250501.14),(32 250084.03),(33 251187.4),(34 250336.34),(35 250100.34),(36 248334.55),(37 248111.4),(38 247103.52),(39 249436.48),(40 251167.38),(41 255881.39),(42 257724.08),(43 258241.16),(44 258975.56),(45 260381.7),(46 262250.8),(47 263119.94),(48 264014.78),(49 265642.66),(50 268741.06),(51 268406.34),(52 267454.2),(53 263845.3),(54 260761.14),(55 259186.5),(56 261541.16),(57 265543.28),(58 268815.5),(59 270307.28),(60 271107.47),(61 269214.7),(62 266753.88),(63 262913.94),(64 262127.14),(65 259723.45),(66 257230.78),(67 252838.78),(68 250467.81),(69 251007.13),(70 253908.39),(71 258287.48),(72 261923.89),(73 264119),(74 265475.8),(75 264835.8),(76 263072.75),(77 262379.63),(78 263959.1),(79 265957.44),
(1 29688.871),(2 79751.336),(3 122058.3),(4 150998.53),(5 171486.14),(6 184085.23),(7 191871.13),(8 198221.8),(9 202815.77),(10 206885.5),(11 210391.2),(12 214195.66),(13 217296.44),(14 220884.13),(15 223170.95),(16 227993.27),(17 230026.1),(18 231626.38),(19 232076.83),(20 234592.31),(21 239717.55),(22 244138.8),(23 249149.06),(24 252257.16),(25 253017.83),(26 250711.05),(27 248436.84),(28 245543.56),(29 242803.06),(30 240551.95),(31 238753.53),(32 237582.47),(33 239213.75),(34 240125.61),(35 242225.7),(36 241083.31),(37 241222.8),(38 239989.61),(39 241493.88),(40 240438.13),(41 240472.89),(42 240240.17),(43 238693.19),(44 237947.58),(45 236503.61),(46 238860.45),(47 240444.42),(48 244290.14),(49 248790.2),(50 252484.84),(51 251245.83),(52 248764.77),(53 244663.63),(54 245206.39),(55 246999.16),(56 251016.6),(57 254809.11),(58 260572.16),(59 263915.28),(60 264433.78),(61 263761.53),(62 263647.97),(63 262918.28),(64 266095.13),(65 268956.34),(66 270390.34),(67 270156.34),(68 267992.34),(69 264104.13),(70 261121.27),(71 261742.73),(72 262302.5),(73 263742.63),(74 264296.53),(75 263082.25),(76 261136.9),(77 262536.34),(78 265060.6),(79 265313.53),
(1 27439.107),(2 73367.82),(3 111039.85),(4 138819.78),(5 158477.1),(6 171991.23),(7 182520.08),(8 190203.75),(9 194198.17),(10 197049.44),(11 200225.61),(12 204938.2),(13 208197.75),(14 211170.56),(15 211391.6),(16 212698.48),(17 213473.34),(18 215121.81),(19 217277.06),(20 221398.94),(21 225556.92),(22 226133.56),(23 224871.44),(24 225625.9),(25 224852.84),(26 223079.6),(27 221592.98),(28 219790.17),(29 217095.8),(30 212850.1),(31 211728.3),(32 213671.34),(33 217075.64),(34 218101.61),(35 218648.45),(36 217964.95),(37 218044.56),(38 217651.08),(39 220067.23),(40 217668.84),(41 217912.7),(42 218483.8),(43 219414.75),(44 220994.66),(45 224306.97),(46 229500.19),(47 231561.67),(48 235965.64),(49 240683.64),(50 244910.23),(51 245921.88),(52 245624.33),(53 244140.33),(54 242401.69),(55 242460.75),(56 245121.61),(57 246420.88),(58 247386.81),(59 247618.28),(60 246395.13),(61 245258.23),(62 244744.61),(63 244573.38),(64 247200.84),(65 248568.61),(66 249774.64),(67 249794.25),(68 250078.75),(69 250622.13),(70 247437.83),(71 245136),(72 241876.83),(73 240285.88),(74 239691.34),(75 240727.23),(76 240742.67),(77 239709.69),(78 239695.8),(79 239214.53),
(1 26993.543),(2 70448.05),(3 107131.945),(4 135069.4),(5 156779.31),(6 171312.06),(7 177733.38),(8 182061.7),(9 187604.06),(10 194025.67),(11 199652.56),(12 203161.34),(13 203625.67),(14 203698.06),(15 204501.42),(16 210090.42),(17 214022.3),(18 214884.28),(19 216337.13),(20 218368.84),(21 219677.02),(22 219489.4),(23 221632.77),(24 225037.02),(25 225822.88),(26 223472.28),(27 223738.16),(28 221992.42),(29 220585.33),(30 218100.98),(31 216049.95),(32 214664.13),(33 214550.45),(34 214368.95),(35 214574.42),(36 213942.7),(37 214037.66),(38 213356.63),(39 214674.14),(40 213995.17),(41 215665.67),(42 218556.6),(43 223229.33),(44 227216.3),(45 228920.13),(46 230924.84),(47 232586.48),(48 236766.17),(49 240160.75),(50 243326.86),(51 243506.72),(52 243467.4),(53 241530.6),(54 240094.3),(55 241101.1),(56 243422.4),(57 243732.53),(58 243664.1),(59 242678.95),(60 243220.25),(61 244534.9),(62 247932.2),(63 248195.27),(64 248784.95),(65 245965.11),(66 245277.13),(67 243614.47),(68 242206.3),(69 240447.56),(70 238804.45),(71 238222.14),(72 237911.83),(73 239551.63),(74 239349.83),(75 241209.75),(76 242373.8),(77 243281.67),(78 243917.4),(79 241481.63),
(1 26624.201),(2 68480.39),(3 100865.11),(4 123779.61),(5 141128.97),(6 152435.03),(7 158923.3),(8 165659.27),(9 172761.48),(10 179216.39),(11 184547.7),(12 188343.89),(13 191432.7),(14 194264.02),(15 196159.05),(16 200246.73),(17 200924.88),(18 198512.27),(19 196557.22),(20 194051.44),(21 194293.17),(22 193879.34),(23 195738.61),(24 200749.48),(25 207418.03),(26 208863.84),(27 209580.6),(28 209659.5),(29 211053.11),(30 210534.1),(31 211251.31),(32 209458.1),(33 209616.13),(34 210617.36),(35 212586.55),(36 214675.84),(37 215815.53),(38 216804.2),(39 219559.14),(40 218567.9),(41 220543.94),(42 221688.94),(43 224941.36),(44 228202.28),(45 228990.88),(46 229456.48),(47 228868.31),(48 229540.67),(49 230179.97),(50 233445.83),(51 234712.75),(52 234028.38),(53 229015.4),(54 223780.08),(55 221905.53),(56 223948.94),(57 225863.55),(58 227734.02),(59 227631.63),(60 226643.22),(61 224346.08),(62 223916.69),(63 222285.39),(64 224234.39),(65 223698.58),(66 226316.78),(67 229426.08),(68 232621.94),(69 234181.72),(70 233668.48),(71 234377.72),(72 235481.5),(73 237938.66),(74 240291.89),(75 242100.45),(76 241298.38),(77 240214.92),(78 240634.88),(79 240230.2),
(1 25710.717),(2 67248.02),(3 100049.98),(4 123852.13),(5 139397.13),(6 147874.36),(7 152735.47),(8 160000.08),(9 167330.77),(10 175289.45),(11 182853.7),(12 188024.03),(13 189474.48),(14 191231.34),(15 190709.84),(16 193319.88),(17 194276.34),(18 195439.72),(19 198025.84),(20 200444.11),(21 202355.7),(22 202254.23),(23 204372.78),(24 206012.5),(25 206582.58),(26 206210.97),(27 207570.77),(28 209071.92),(29 211111.81),(30 210263.06),(31 209769.38),(32 208862.03),(33 209130.05),(34 207848.53),(35 207512.25),(36 206845.97),(37 206376.39),(38 206436.5),(39 207803.75),(40 207964.23),(41 210350.16),(42 210332.7),(43 210864.95),(44 211953.2),(45 210683.1),(46 212426.13),(47 214721.02),(48 217358.05),(49 218220.16),(50 216397.16),(51 213121.7),(52 211541.73),(53 209429.63),(54 207458.1),(55 205988.66),(56 205961.84),(57 205196.45),(58 204521.22),(59 200621.9),(60 198793.16),(61 197798.84),(62 197026.38),(63 195430.13),(64 196959.36),(65 197547.78),(66 201505.17),(67 203346.19),(68 204909.6),(69 206521.72),(70 207368.66),(71 209545.97),(72 210869.38),(73 212879.3),(74 213480.78),(75 215796.53),(76 218524.42),(77 220307.11),(78 220585.34),(79 220642.52),
(1 26547.295),(2 67474.734),(3 99145.31),(4 122449.484),(5 139315.47),(6 148823.77),(7 155089.63),(8 160145.11),(9 166802.47),(10 174537.73),(11 178739.3),(12 182401.22),(13 187309.22),(14 190074.1),(15 189465.67),(16 192052.67),(17 191622.94),(18 191846.28),(19 195579.7),(20 199883.13),(21 201588.3),(22 199353.7),(23 199443.52),(24 199365.42),(25 198215.17),(26 196660.1),(27 198263.9),(28 200133.98),(29 199592.8),(30 197129.33),(31 197996.67),(32 197780.8),(33 198750.67),(34 199214.13),(35 200622.17),(36 201388.81),(37 202211.47),(38 200754.44),(39 202416.83),(40 204517.67),(41 209161.67),(42 211639.38),(43 213407.72),(44 214537.98),(45 213188.44),(46 213307.73),(47 214851.19),(48 218361.3),(49 219230.58),(50 220072.02),(51 220592.14),(52 221134),(53 221244.81),(54 220442.03),(55 218322.42),(56 215293.31),(57 214605.03),(58 215986.6),(59 216911.11),(60 217810.28),(61 217770.83),(62 218736.98),(63 218025),(64 220173.13),(65 220077.31),(66 221687.19),(67 220510.94),(68 220907.42),(69 219479.89),(70 218179.52),(71 217216.03),(72 215845.42),(73 216565.48),(74 215773.3),(75 216637.98),(76 216256.39),(77 215328.97),(78 215153.53),(79 213812.7),
(1 25155.746),(2 62974.992),(3 91008.67),(4 111813.86),(5 127393.85),(6 138500.7),(7 147623.5),(8 155607.11),(9 161974.38),(10 169606.36),(11 174026.45),(12 175739.47),(13 176545.14),(14 178319.11),(15 180500.56),(16 183864.25),(17 185009.64),(18 184082.78),(19 183002.38),(20 182795.86),(21 185397.97),(22 186656.1),(23 188253.44),(24 189733.48),(25 191766.28),(26 192596.39),(27 195551.98),(28 196265.23),(29 197014.75),(30 197150.02),(31 196163.63),(32 194488.72),(33 193615.14),(34 193105.47),(35 195305.5),(36 197799.77),(37 200564.95),(38 202038.23),(39 204358.22),(40 204168.11),(41 205463.69),(42 205708.45),(43 205244.1),(44 205462.42),(45 205121.3),(46 205007.78),(47 204637.88),(48 206315.6),(49 206475.58),(50 206388.67),(51 206315.92),(52 208545.58),(53 209879.44),(54 210013.3),(55 210239.86),(56 210863.05),(57 209278.31),(58 208883.52),(59 208983.94),(60 209125.38),(61 209233.16),(62 211849.11),(63 211174.03),(64 211988.75),(65 212407.45),(66 214199.02),(67 212950.28),(68 212513.63),(69 211010.88),(70 210059.77),(71 210671.47),(72 211074.94),(73 211727.27),(74 210847.63),(75 211455.33),(76 211920.89),(77 212509.39),(78 212266.77),(79 211427.27),
(1 25504.943),(2 63822.26),(3 91096.73),(4 111662.15),(5 126066.94),(6 135320.02),(7 141954.98),(8 149057.45),(9 154750.2),(10 159005.61),(11 162683.27),(12 166723.86),(13 169315.63),(14 171309.2),(15 173192.81),(16 177803.19),(17 179536.17),(18 181524.45),(19 182775.64),(20 182647.23),(21 182723.6),(22 183384.81),(23 185769.97),(24 186373.95),(25 186744.61),(26 186706.03),(27 186434.67),(28 183340.23),(29 179627.27),(30 176919.48),(31 176132.03),(32 174964.83),(33 175694.72),(34 178999.33),(35 181777.27),(36 182485.94),(37 183597.86),(38 183312.4),(39 182941.94),(40 182279.42),(41 185326.45),(42 186991.69),(43 187523.86),(44 188946.42),(45 188501.94),(46 187802.61),(47 186569.47),(48 186454.8),(49 187283.19),(50 188157.98),(51 187483.77),(52 188562.67),(53 189029.4),(54 189852.63),(55 189952.88),(56 190111.28),(57 188639.63),(58 187435.9),(59 187483.81),(60 188152.53),(61 188495.61),(62 189256.03),(63 189001.92),(64 189683.03),(65 188385.5),(66 189260.31),(67 190632.28),(68 191409.56),(69 190473.6),(70 188850.44),(71 189067.42),(72 189929.42),(73 193133.11),(74 193404.27),(75 193764.58),(76 192590.19),(77 192321.86),(78 193676.19),(79 194471.98),
(1 23556.352),(2 58480.5),(3 84418.34),(4 103441.08),(5 116887.625),(6 124728.59),(7 131271.97),(8 138314.11),(9 143265.39),(10 148802.94),(11 153949.78),(12 160031.52),(13 163893.08),(14 167185.33),(15 169215.63),(16 169946.56),(17 171085.64),(18 172065.17),(19 174315.48),(20 175912.11),(21 177981.3),(22 178521.69),(23 179583.61),(24 178352.1),(25 177834.73),(26 176866.16),(27 176310.45),(28 174821.19),(29 174329.39),(30 173715.97),(31 173066.55),(32 172279.39),(33 172649.02),(34 174335.33),(35 175910.08),(36 175514.1),(37 174374.33),(38 174331.13),(39 175583.4),(40 173678.9),(41 173737.14),(42 174357.81),(43 176376.1),(44 179231.48),(45 179652.92),(46 180375.83),(47 179966.44),(48 181292.83),(49 182141.9),(50 183127.19),(51 182854.27),(52 184521.42),(53 184578.94),(54 185047.55),(55 185192.23),(56 186637.27),(57 186405.63),(58 185114.38),(59 181422.45),(60 178688.02),(61 177065.98),(62 177987.31),(63 179379.14),(64 180615.19),(65 179056.16),(66 178817.14),(67 179036.16),(68 181518.44),(69 183031.78),(70 183421.02),(71 184418.02),(72 185285.6),(73 187398.4),(74 189203.8),(75 191919.16),(76 191372.67),(77 190290.02),(78 189671.5),(79 188789.14),
(1 23592.725),(2 59475.477),(3 85874.38),(4 104906.79),(5 117347.62),(6 125033.08),(7 130361.66),(8 136535.3),(9 140844.98),(10 145884.58),(11 150142.25),(12 153876.4),(13 159039.11),(14 165075.97),(15 168096.25),(16 171765.14),(17 172566.66),(18 173445.83),(19 174035.2),(20 174562.11),(21 176197.95),(22 178188.23),(23 179773.98),(24 179831.64),(25 179918.58),(26 180488.17),(27 181551.72),(28 179907.47),(29 178770.45),(30 179309.3),(31 180855.8),(32 180704.4),(33 181585.53),(34 184585.5),(35 187105.36),(36 186150.95),(37 184806.31),(38 182826.75),(39 183696.8),(40 181859.03),(41 182248.53),(42 181759.22),(43 179305.52),(44 177556.23),(45 175841.61),(46 175394.55),(47 174065.11),(48 174081.77),(49 174122.11),(50 173855.58),(51 173541.48),(52 175244.73),(53 176299.9),(54 176439.06),(55 174391.16),(56 173022.33),(57 171530.81),(58 171700.7),(59 171090.8),(60 172669.28),(61 173290),(62 174426.42),(63 173733.36),(64 174774.5),(65 175639.44),(66 179456),(67 182702.89),(68 186050.31),(69 188200.81),(70 188451.6),(71 188980.9),(72 187985.14),(73 188524.98),(74 188869.64),(75 190192.6),(76 191377.98),(77 190514.11),(78 189449.61),(79 186792.19),
(1 25027.686),(2 62676.5),(3 89753.41),(4 108795.73),(5 120133.734),(6 127238.37),(7 134121.44),(8 141452.47),(9 147893.48),(10 153474.23),(11 156587.14),(12 160214.47),(13 164433.72),(14 168929.66),(15 171661.1),(16 175969.39),(17 176806.11),(18 177000.88),(19 176882.55),(20 176815.17),(21 176442.17),(22 176184.94),(23 175735.94),(24 174735.6),(25 175565.69),(26 176954.89),(27 178323.9),(28 176123.38),(29 174123.19),(30 171682.8),(31 171240.97),(32 171956.56),(33 172463.73),(34 173629.06),(35 174935.05),(36 174251.23),(37 172873.63),(38 170316.75),(39 169192.73),(40 167697.64),(41 170283.48),(42 170880.48),(43 171566.61),(44 172568.86),(45 172861.4),(46 173787.83),(47 174291.33),(48 174856.6),(49 174486.1),(50 173724.53),(51 171977.8),(52 170721.22),(53 168856.83),(54 170325.48),(55 170271.05),(56 169549.75),(57 168987.67),(58 168328.34),(59 165326.36),(60 164551.19),(61 165403.14),(62 167592.19),(63 168203.89),(64 168483.94),(65 166969.97),(66 169818.69),(67 171925.64),(68 174036.7),(69 177394.31),(70 178811.47),(71 180194.64),(72 180521.53),(73 179916.83),(74 180308.39),(75 181466.45),(76 179889.6),(77 179099.64),(78 178018),(79 176221.3),
(1 24057.186),(2 60733.082),(3 87222.74),(4 107271.46),(5 120055.25),(6 128020.85),(7 134708.89),(8 142544.64),(9 148700),(10 155900.45),(11 161477.45),(12 163027.06),(13 164756.42),(14 168504.9),(15 169905.05),(16 172294.11),(17 173621.92),(18 175427.94),(19 177199.94),(20 177080.19),(21 178181.17),(22 179542.98),(23 180659.92),(24 180255.16),(25 181311.5),(26 180384.1),(27 179880.92),(28 178968.95),(29 177526.94),(30 173853.86),(31 170361.78),(32 167430.48),(33 167920.44),(34 168256.22),(35 167355.58),(36 167825.72),(37 168712.69),(38 167312.98),(39 166599.1),(40 166445.89),(41 168878.31),(42 169397.48),(43 169300.16),(44 171302),(45 173015.94),(46 174066.69),(47 174105.28),(48 175837.52),(49 175770.3),(50 176413.22),(51 176817.61),(52 178329.75),(53 180197.06),(54 181369.6),(55 181309.52),(56 180962.39),(57 179153.3),(58 178825.17),(59 178577.31),(60 179880.25),(61 180608.69),(62 181310.55),(63 180130.14),(64 181880.66),(65 182349.78),(66 183680.55),(67 182834.67),(68 182002.36),(69 182247.48),(70 181498.3),(71 181360.48),(72 181320.9),(73 180568.05),(74 178506.73),(75 178209.64),(76 177465.14),(77 175209.34),(78 173250.52),(79 172285.36),
(1 22782.209),(2 57285.77),(3 82220.15),(4 100343.59),(5 112079),(6 119655.55),(7 125452.586),(8 132028.56),(9 137968.17),(10 144548.2),(11 148965.4),(12 151937.42),(13 153225.2),(14 155553.97),(15 158452.3),(16 161685.66),(17 163072.4),(18 165152.2),(19 167021.75),(20 167707.44),(21 168355.3),(22 169152.6),(23 168996.84),(24 168042.69),(25 168585.5),(26 167756.81),(27 167293.4),(28 166937.9),(29 167752.66),(30 165557.2),(31 161874.47),(32 158899.64),(33 157667.56),(34 157689.56),(35 159092.3),(36 158788.22),(37 158049.1),(38 156515.66),(39 155593.81),(40 153167.98),(41 153950.77),(42 155187.1),(43 156021.34),(44 157296.7),(45 157246.73),(46 158276.52),(47 157123.05),(48 156766.1),(49 157115.69),(50 159070.31),(51 159138.5),(52 160097.98),(53 159847),(54 159909.77),(55 159235.27),(56 160720.89),(57 162372.02),(58 165297.16),(59 166189.8),(60 166147.2),(61 166003.61),(62 165327.03),(63 164609.56),(64 166874.27),(65 167726.42),(66 170228.81),(67 171400.64),(68 172066.17),(69 172147.36),(70 171716.9),(71 171323.53),(72 170254.06),(73 169731.25),(74 168460.75),(75 167467.8),(76 166796.53),(77 166663.64),(78 168940.8),(79 168219.14),
(1 22002.414),(2 55149.83),(3 79423.86),(4 96692.336),(5 107253.17),(6 113850.41),(7 119868.234),(8 126296.02),(9 131669.84),(10 137012.33),(11 139903.53),(12 142235.97),(13 143976.08),(14 146080.6),(15 147195.03),(16 149740.88),(17 150328.03),(18 152129.3),(19 153232.48),(20 152466.55),(21 153001.11),(22 152394.86),(23 150467.8),(24 148094.13),(25 148678.94),(26 148896.31),(27 150801.77),(28 149829.73),(29 149793.58),(30 147797.08),(31 146786.27),(32 145905.05),(33 146076.13),(34 147859.08),(35 150592.73),(36 150827.53),(37 150532.52),(38 149495.72),(39 149138.64),(40 148867.38),(41 150266.23),(42 150901.66),(43 153989.75),(44 157307.94),(45 158281.23),(46 158234.27),(47 158166.98),(48 158301.05),(49 157667.94),(50 156014.2),(51 153663.63),(52 151609.33),(53 149561.8),(54 149081.25),(55 149535.25),(56 150697.67),(57 151360),(58 152323.63),(59 153283.13),(60 155017.16),(61 153973.64),(62 153250.14),(63 153102.64),(64 154910.61),(65 154311.69),(66 157325.72),(67 159763.39),(68 163056.52),(69 164871.67),(70 164028.13),(71 163937.77),(72 162230.52),(73 162134.31),(74 162426.03),(75 162266.27),(76 162024.56),(77 161661.28),(78 161659.95),(79 159874.2),
(1 22203.396),(2 54424.47),(3 77566.72),(4 94892.66),(5 105307.4),(6 111230.195),(7 116232.8),(8 121540.336),(9 126027.82),(10 131177.55),(11 134555.95),(12 138436.14),(13 140450.92),(14 142329.36),(15 144137.13),(16 148556.17),(17 150079.6),(18 150743.77),(19 151573.11),(20 150857.34),(21 152059.27),(22 152931.69),(23 152607.69),(24 151367.6),(25 152572.11),(26 152957.97),(27 153023.53),(28 152544.19),(29 152429.05),(30 150818.94),(31 149531.53),(32 149442.4),(33 149980.19),(34 150705.27),(35 152185.75),(36 152194.17),(37 153241.11),(38 153052.66),(39 155063.02),(40 156137),(41 157599.11),(42 156866.11),(43 155263),(44 153954.7),(45 153750.75),(46 154849.4),(47 156637.63),(48 158708.28),(49 160139.9),(50 161503.78),(51 158793.06),(52 155821.3),(53 154005),(54 154281.19),(55 154874.4),(56 156485.22),(57 157005.94),(58 156775.52),(59 156066.69),(60 157076.55),(61 157221.66),(62 157160.38),(63 156184.16),(64 157473.94),(65 158097.55),(66 161435.03),(67 163054.39),(68 164126.81),(69 164927.84),(70 163055.75),(71 161783.25),(72 159503.61),(73 160764.17),(74 161173.05),(75 161787.17),(76 162568.11),(77 162420.42),(78 163373.89),(79 163023.56),
(1 21672.807),(2 52998.363),(3 75826.38),(4 91822.914),(5 101780.91),(6 107751.85),(7 111670.484),(8 116307.2),(9 120969.48),(10 127344.11),(11 132158.23),(12 135393.28),(13 138546.34),(14 141050.6),(15 142835.06),(16 144774.11),(17 145152.8),(18 146678.8),(19 146780.92),(20 145743.23),(21 146719.19),(22 146970.48),(23 147263.3),(24 147179.83),(25 147430.98),(26 144878.22),(27 143632.11),(28 144278.66),(29 145029.06),(30 145508.55),(31 146394.94),(32 146385.48),(33 146770.13),(34 146147.77),(35 147355.53),(36 148079.9),(37 149406.78),(38 149778.94),(39 150508.27),(40 149983.52),(41 152437.25),(42 152743.8),(43 152515.33),(44 151812.53),(45 149561.3),(46 149111.39),(47 149972.31),(48 150609.25),(49 149697.42),(50 149014.22),(51 147291.67),(52 146271.61),(53 146169.1),(54 148880.72),(55 150696.14),(56 152486.7),(57 153006.58),(58 153010.72),(59 152894.64),(60 153772.11),(61 154510.78),(62 156676.28),(63 158077.03),(64 159080.61),(65 157940.94),(66 158341.64),(67 157638.75),(68 158291.94),(69 158392.58),(70 156503.3),(71 154825.92),(72 153721.08),(73 154745.23),(74 155733.4),(75 155270.17),(76 153253.14),(77 151917.5),(78 152347.38),(79 151530.7),
(1 20681.04),(2 50015.86),(3 71890.055),(4 86544.21),(5 95884.71),(6 103095.94),(7 109391.68),(8 115093.72),(9 121062.73),(10 127160.43),(11 130514),(12 132057.17),(13 133790.84),(14 136501.19),(15 137424.17),(16 138235.53),(17 138012.84),(18 139184.4),(19 140933.08),(20 141255.95),(21 142577),(22 142955.45),(23 143716.38),(24 143065.4),(25 142657.17),(26 140537.61),(27 139490.3),(28 138205.58),(29 138024.56),(30 138475.52),(31 140307.92),(32 141352.78),(33 141628.16),(34 142332.56),(35 143698.42),(36 144285.75),(37 144398.98),(38 143452.27),(39 144599.94),(40 145464.16),(41 146775.02),(42 146058.77),(43 144369.73),(44 142822.5),(45 141615.83),(46 141703.5),(47 141446.31),(48 140841),(49 140891.89),(50 143240.63),(51 145026.53),(52 145483.42),(53 144719.58),(54 144921.36),(55 145514.94),(56 145864.53),(57 145991.81),(58 146876.13),(59 147250.58),(60 148350.48),(61 147713.8),(62 147393.45),(63 147459.55),(64 149701.5),(65 150070.23),(66 150226.14),(67 149639.08),(68 149970.81),(69 151667.38),(70 152725.88),(71 154659.48),(72 154741.44),(73 156212.42),(74 157435.22),(75 159923.08),(76 159634.63),(77 158646.14),(78 157425.45),(79 158300.28),
