1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1393605.9),(2 1511814.5),(3 374112.28),(4 1934726),(5 2210208),(6 1107958.5),(7 2812540.8),(8 3231832),(9 2063724),(10 3755719.3),(11 4322217.5),(12 3107745.8),(13 4768803.5),(14 5325405.5),(15 4037895.3),(16 5593736.5),(17 6322344),(18 5264838),(19 6824072),(20 7758256),(21 6994921.5),(22 8657192),(23 10044674),(24 9402572),(25 11056055),(26 12466557),(27 11812187),(28 13448600),(29 14852400),(30 14135221),(31 15787048),(32 17272550),(33 16410209),(34 18078062),(35 19549968),(36 18627886),(37 20227220),(38 22057984),(39 20803870),(40 22137742),(41 23674288),(42 22240904),(43 23325650),(44 24671824),(45 22956626),(46 23857494),(47 25377240),(48 23876688),(49 24886342),(50 26740742),(51 25330880),(52 26570606),(53 29195610),(54 27650138),(55 28974448),(56 31460040),(57 30147426),(58 31519702),(59 34131100),(60 32852342),(61 34377524),(62 37241180),(63 35894316),(64 37361044),(65 40287756),(66 39118068),(67 40523108),(68 43933740),(69 42438268),(70 43462412),(71 46508332),(72 44987236),(73 45815904),(74 48199092),(75 46207460),(76 46429732),(77 48845172),(78 46890990),(79 46919148),
(1 24628.885),(2 54389.465),(3 64825.293),(4 64319.805),(5 67575.17),(6 71851.64),(7 72080.79),(8 71685.62),(9 74147.27),(10 75432.65),(11 73821.78),(12 71482.34),(13 70217.44),(14 71054.45),(15 71681.914),(16 72136.3),(17 71445.51),(18 71423.14),(19 71191.78),(20 73012.74),(21 74390.58),(22 76958.36),(23 78972.734),(24 78845.94),(25 77990.45),(26 78693.98),(27 79744.31),(28 79263.87),(29 77809.22),(30 76695.59),(31 77662.9),(32 79850.05),(33 80525.92),(34 82017.5),(35 83374.06),(36 84870.55),(37 87223.95),(38 86760.16),(39 84913.305),(40 84788.21),(41 85401.18),(42 85016.68),(43 83380.68),(44 83722.33),(45 83747.46),(46 82309.766),(47 80337.17),(48 78745.45),(49 80058.836),(50 81089.39),(51 82861.625),(52 83075.4),(53 84260.36),(54 83759.79),(55 82044.91),(56 80380.055),(57 82038.29),(58 81798.18),(59 81725.375),(60 81992.35),(61 83647.21),(62 84679.88),(63 84615.555),(64 85134.72),(65 85480.95),(66 85191.61),(67 85086.93),(68 87847.7),(69 88929.06),(70 88331),(71 88493.46),(72 88344.11),(73 87542.79),(74 87402.086),(75 88936.78),(76 89281.99),(77 87678.836),(78 85618.61),(79 85465.555),
(1 24245.783),(2 52064.414),(3 60645.867),(4 59652.12),(5 63441.38),(6 67786.52),(7 66554.48),(8 65918.72),(9 67804.695),(10 68787.85),(11 68268.57),(12 66390.26),(13 65341.49),(14 66147.85),(15 68482.17),(16 70236.03),(17 70176.65),(18 69174.15),(19 68104.55),(20 69410.086),(21 70134.055),(22 71092.29),(23 71297.49),(24 71300.45),(25 72403.94),(26 72884.82),(27 72637.9),(28 71794.89),(29 70453.51),(30 70178.54),(31 71697.41),(32 73139.23),(33 73917.14),(34 74475.46),(35 75911.8),(36 75846.01),(37 76426.38),(38 75187.65),(39 75278.56),(40 76061.086),(41 78077.63),(42 78657.32),(43 79168.73),(44 78445.73),(45 77811.63),(46 78918.97),(47 80211.125),(48 79943.06),(49 79807.43),(50 79249.53),(51 79745.62),(52 79059.59),(53 78374.62),(54 77519.51),(55 77562.12),(56 77365.234),(57 77645.87),(58 78457.67),(59 78063.94),(60 77573.42),(61 76737.52),(62 77664.2),(63 79597.53),(64 78161.76),(65 78535.195),(66 79771.445),(67 80114.055),(68 80026.12),(69 79780.87),(70 80167.88),(71 80996.01),(72 80995.96),(73 80441.69),(74 81141.336),(75 82548.62),(76 83693.164),(77 82522.914),(78 80440.695),(79 81055.15),
(1 22922.715),(2 50061.12),(3 58846.355),(4 59284.4),(5 61870.324),(6 64555.902),(7 65019.89),(8 65292.9),(9 67988.39),(10 69244.336),(11 68408.61),(12 66691),(13 66151.57),(14 67664.59),(15 69270.73),(16 69681.3),(17 69039.82),(18 67666.766),(19 67072.98),(20 69517.305),(21 72275.61),(22 71949.73),(23 70394.29),(24 69443.78),(25 69565.38),(26 71356.36),(27 74077.16),(28 74884.4),(29 74131.42),(30 72487.766),(31 73709.76),(32 75602.164),(33 75885.984),(34 76227.28),(35 76464),(36 77221.97),(37 76374),(38 74673.75),(39 75435.2),(40 77665.625),(41 78286.3),(42 78069.484),(43 79414.94),(44 78094.99),(45 77545.04),(46 76894.49),(47 76696.91),(48 77339.09),(49 76140.28),(50 75886.164),(51 76188.25),(52 77529.29),(53 76957.27),(54 76130.35),(55 78277.21),(56 78724.42),(57 75996.91),(58 74420.74),(59 74791.56),(60 75027.945),(61 73697.02),(62 72135.664),(63 73386.57),(64 74106.98),(65 75526.54),(66 75530.875),(67 76325.39),(68 76380.914),(69 76050.47),(70 75731.51),(71 74710.98),(72 74794.336),(73 76303.164),(74 78540.23),(75 78885.28),(76 79074.13),(77 79163.875),(78 78486.234),(79 79382.44),
(1 22740.236),(2 48535.203),(3 56092.58),(4 56370.473),(5 59827.395),(6 63240.543),(7 63385.215),(8 64746.38),(9 66182.13),(10 64106.566),(11 62752.277),(12 62356.887),(13 63314.023),(14 65518.035),(15 66523.89),(16 65558.26),(17 63841.082),(18 63075.977),(19 63422.64),(20 65419.99),(21 67303.82),(22 67374.41),(23 66974.77),(24 66898.52),(25 67822.305),(26 69512.32),(27 70552.64),(28 69627.875),(29 67953.65),(30 68143.55),(31 70866.13),(32 71805.195),(33 71956.11),(34 73922.67),(35 75142.58),(36 74753.89),(37 73337.414),(38 72477.93),(39 74264.945),(40 75958.914),(41 75385.8),(42 74166.57),(43 74210.43),(44 73689.94),(45 73081.125),(46 73583.22),(47 73111.5),(48 71167.375),(49 70564.2),(50 72181.305),(51 74194.81),(52 74031.8),(53 73612.555),(54 74312.46),(55 74169.94),(56 73686.35),(57 72531.79),(58 73092.516),(59 73923.52),(60 73888.2),(61 73193.68),(62 73417.09),(63 75758.695),(64 75660.04),(65 76331.016),(66 77437.125),(67 78003.13),(68 77517.34),(69 78684.234),(70 80317.26),(71 79198.234),(72 76674.234),(73 77203.48),(74 77679.58),(75 77415.08),(76 76763.82),(77 76100.76),(78 76078.1),(79 76419.38),
(1 21483.729),(2 46100.395),(3 54008.594),(4 54171.977),(5 57102.492),(6 59874.47),(7 59635.637),(8 60015.918),(9 62155.03),(10 64112.316),(11 63384.668),(12 62140.65),(13 62851.125),(14 64028.332),(15 63779.82),(16 62312.17),(17 62320.094),(18 62082.945),(19 61760.45),(20 64366.316),(21 66917.85),(22 66803.72),(23 65752.28),(24 64921.13),(25 64329.227),(26 65516.594),(27 66744.9),(28 65718.484),(29 65367.086),(30 66930.25),(31 68519.664),(32 69376.56),(33 68160.95),(34 68686.72),(35 69737.51),(36 70684.83),(37 70278.27),(38 70350.79),(39 72065.68),(40 73222.69),(41 71356.22),(42 69366.05),(43 69565.44),(44 70078.87),(45 69795.28),(46 70815.53),(47 71897.1),(48 72183.32),(49 71284.45),(50 71764.31),(51 71736.76),(52 71103.305),(53 71144),(54 71581.13),(55 71756.28),(56 70703.45),(57 69460.95),(58 68897.07),(59 70089.6),(60 69390.234),(61 68322.58),(62 68273.516),(63 70243.78),(64 70234.49),(65 70367.42),(66 69999.16),(67 69823.336),(68 71131.5),(69 72020.31),(70 73031.28),(71 73245.195),(72 72760.48),(73 71717.27),(74 71479.984),(75 70573.06),(76 70727.67),(77 70431.06),(78 70072.04),(79 71482.91),
(1 22382.664),(2 47025.195),(3 53383.453),(4 52974.465),(5 57115.54),(6 59887.66),(7 58808.785),(8 59729.62),(9 62010.72),(10 61683.598),(11 60787.133),(12 60472.105),(13 60671.64),(14 62160),(15 61511.523),(16 61496.93),(17 61617.227),(18 62172.3),(19 61443.535),(20 62421.473),(21 63705.055),(22 63792.785),(23 64940.215),(24 65242.023),(25 64861.34),(26 64194.598),(27 65326.316),(28 65555.93),(29 66226.086),(30 68434.016),(31 70551.734),(32 71133.695),(33 69710.89),(34 71697.13),(35 73971.93),(36 73208.266),(37 71085.6),(38 71221.125),(39 72468.95),(40 73308.836),(41 72707.25),(42 72884.82),(43 73484.41),(44 71132.45),(45 69513.08),(46 70882.836),(47 70370.664),(48 70246.14),(49 70068.05),(50 70684.96),(51 69699.71),(52 69728.19),(53 69769.625),(54 69273.54),(55 67323.32),(56 66800.586),(57 67958.945),(58 67502.7),(59 65638.76),(60 65870.47),(61 67030.27),(62 68224.875),(63 69201.92),(64 70055.05),(65 70101.484),(66 69186.2),(67 68903.37),(68 70100.84),(69 69934.89),(70 69235.26),(71 69438.805),(72 69886.35),(73 68995.445),(74 67763.5),(75 67765.35),(76 69306.125),(77 70383.63),(78 71023.695),(79 71948.21),
(1 21783.678),(2 46137.434),(3 51238.66),(4 51534.72),(5 55229.953),(6 56862.785),(7 55949.355),(8 56436.715),(9 58328.785),(10 57796.035),(11 56653.258),(12 56664.414),(13 58696.33),(14 60022.4),(15 59532.93),(16 58962.87),(17 59368.977),(18 59057.004),(19 57013.6),(20 58468.38),(21 58424.953),(22 58275.965),(23 60226.332),(24 61934.773),(25 61229.32),(26 61329.016),(27 61223.273),(28 59271.68),(29 59043.47),(30 60893.73),(31 62368.203),(32 64697.4),(33 66637.23),(34 68489.086),(35 69980.195),(36 69327.03),(37 68590.47),(38 69529.15),(39 70504.9),(40 69958.26),(41 69392.85),(42 69915.195),(43 71244.164),(44 70628.84),(45 69979.06),(46 69133.55),(47 68388.414),(48 66915.336),(49 67179.81),(50 68897.89),(51 70029.945),(52 70739.945),(53 71233.82),(54 70952.59),(55 69801.9),(56 69048.85),(57 68617.445),(58 67502.45),(59 67053.03),(60 66758.52),(61 65906.32),(62 66678.37),(63 68420.33),(64 67503.41),(65 65648.34),(66 65142.99),(67 67440.15),(68 68932.8),(69 69029.08),(70 69042.28),(71 69488.38),(72 69783.664),(73 69331.31),(74 69511.125),(75 69460.15),(76 68338.78),(77 68906.555),(78 69647.555),(79 69532.664),
(1 21602.494),(2 45611.73),(3 51613.395),(4 50442.938),(5 51821.62),(6 52819.08),(7 52974.37),(8 55242.01),(9 56067.117),(10 56165.547),(11 56011.914),(12 55262.42),(13 55943.867),(14 56898.074),(15 56231.742),(16 56032.47),(17 56532.89),(18 55968.51),(19 55708.934),(20 57759.13),(21 57222.715),(22 56602.62),(23 58380.957),(24 59686.434),(25 60100.555),(26 60850.195),(27 59805.42),(28 59774.457),(29 60512.957),(30 61905.227),(31 62442.797),(32 62924.84),(33 64033.76),(34 64622.688),(35 64317.61),(36 63478.605),(37 63785.37),(38 65354.895),(39 67008.71),(40 66115.79),(41 64030.24),(42 63713.16),(43 65001.426),(44 65011.324),(45 65834.04),(46 66929.984),(47 65596.28),(48 64856.336),(49 65729.51),(50 66418.24),(51 66361.31),(52 67244.98),(53 67465.33),(54 65740.41),(55 65100.438),(56 64783.42),(57 64021.305),(58 62326.992),(59 63077.47),(60 63365.36),(61 62535.207),(62 61607.855),(63 62291.695),(64 62317.91),(65 61493.215),(66 61412.12),(67 62627.055),(68 63503.617),(69 63646.895),(70 64580.26),(71 65199.598),(72 66092.86),(73 66858.69),(74 66716.68),(75 66170.79),(76 66627.195),(77 67755.73),(78 68652.6),(79 68452.32),
(1 20828.03),(2 43153.92),(3 49172.766),(4 49841.68),(5 51124.137),(6 50832.4),(7 51156.64),(8 52861.855),(9 53477.91),(10 53013.016),(11 52878.258),(12 51907.17),(13 52445.418),(14 53386.06),(15 52724.492),(16 52951.508),(17 53584.285),(18 52797.926),(19 53058.234),(20 55093.258),(21 54503.58),(22 53892.57),(23 55523.293),(24 55282.06),(25 55901.707),(26 58029.754),(27 56761.37),(28 55527.9),(29 57388.04),(30 58974.383),(31 59762.508),(32 60329.496),(33 60295.953),(34 60400.355),(35 60966.652),(36 61112.16),(37 62886.69),(38 63947.496),(39 63027.137),(40 61976.164),(41 61062.48),(42 60928.727),(43 62593.004),(44 63037.285),(45 61921.24),(46 61973.473),(47 61380.406),(48 61238.473),(49 62013.88),(50 61528.94),(51 60579.293),(52 61506.996),(53 62326.777),(54 61860.32),(55 62014.59),(56 60990.195),(57 59429.633),(58 59260.004),(59 60463),(60 61678.555),(61 62599.027),(62 62642.09),(63 63229.64),(64 63106.07),(65 62513.805),(66 61829.633),(67 62552.1),(68 63419.43),(69 63151.93),(70 64121.41),(71 64781.566),(72 64914.96),(73 65336.53),(74 66028.8),(75 66140.445),(76 65467.793),(77 66345.77),(78 67140.88),(79 67140.75),
(1 20852.81),(2 43336.953),(3 48252.12),(4 47566.957),(5 50134.746),(6 52261.055),(7 52237.1),(8 53245.008),(9 54445.14),(10 53358.367),(11 52080.46),(12 51458.42),(13 52341.7),(14 52095.918),(15 51049.297),(16 50994.22),(17 51878.934),(18 50881.785),(19 50004.055),(20 51532.85),(21 52305.55),(22 52149.77),(23 52248.06),(24 52401.94),(25 53288.3),(26 54439.25),(27 54800.863),(28 54974.31),(29 56472.066),(30 56752.773),(31 57479.965),(32 57398.86),(33 57349.395),(34 58326.402),(35 58411.297),(36 58218.25),(37 59841.043),(38 60533.37),(39 59584.887),(40 58668.98),(41 58253.887),(42 58645.61),(43 60152.723),(44 61444.36),(45 60062.76),(46 59598.383),(47 58977.164),(48 59330.047),(49 59409.395),(50 59000.87),(51 58804.01),(52 59234.082),(53 58459.473),(54 57756.492),(55 58314.633),(56 58253.008),(57 58508.26),(58 58557.164),(59 57974.773),(60 58501.402),(61 60042),(62 60101.02),(63 60606.438),(64 61382.71),(65 63116.76),(66 63008.113),(67 62330.25),(68 62310.008),(69 63077.703),(70 63020.426),(71 62549.24),(72 63714.496),(73 64532.75),(74 64062.22),(75 63096.574),(76 63248.62),(77 64131.105),(78 65460.48),(79 65024.043),
(1 19714.563),(2 39469.586),(3 43246.906),(4 43962.633),(5 46636.09),(6 48413.7),(7 49522.91),(8 50808.32),(9 51006.71),(10 50407.105),(11 49652.688),(12 48970.574),(13 50307.76),(14 49731.953),(15 49234.285),(16 50503.543),(17 50495.69),(18 49031.25),(19 49513.035),(20 51548.414),(21 51045.39),(22 49894.496),(23 49947.566),(24 50125.02),(25 52327.273),(26 53327.473),(27 52759.516),(28 52308.59),(29 52665.117),(30 53497.85),(31 53941.184),(32 53723.42),(33 54002.344),(34 54867.348),(35 55683.7),(36 54860.1),(37 55718.99),(38 56888.887),(39 57958.633),(40 58230.945),(41 58111.55),(42 57950.574),(43 57528.758),(44 57818.344),(45 56377.633),(46 56364.61),(47 55726.285),(48 55439.066),(49 55352.863),(50 56568.617),(51 57786.633),(52 58001.023),(53 56070.69),(54 55021.395),(55 55377.945),(56 55397.9),(57 55611.69),(58 54752.227),(59 54341.74),(60 54489.164),(61 55513.42),(62 55620.3),(63 57478.848),(64 57025.08),(65 57845.773),(66 57195.87),(67 56064.227),(68 56477.215),(69 56542.496),(70 55822.207),(71 55990.25),(72 56932.344),(73 58073.29),(74 59291.29),(75 57989.426),(76 58490.16),(77 59455.94),(78 60070.496),(79 59818.758),
(1 20094.818),(2 40112.07),(3 43684.613),(4 44177.473),(5 46918.4),(6 48632.168),(7 49716.035),(8 50818.21),(9 51094.84),(10 49774.15),(11 47258.633),(12 47583.49),(13 50357.047),(14 50191.465),(15 48320.027),(16 49488.84),(17 50083.363),(18 48615.207),(19 49373.375),(20 51113.586),(21 50971.62),(22 51024.332),(23 50859.258),(24 51074.51),(25 52450.168),(26 53158.51),(27 53203.063),(28 53915.645),(29 54806.875),(30 54613.125),(31 55246.234),(32 56459.996),(33 57341.777),(34 58599.266),(35 58458.82),(36 58573.965),(37 58794.344),(38 58511.598),(39 58321.06),(40 57823.504),(41 58133.38),(42 58032.07),(43 58639.973),(44 58820.926),(45 57629.99),(46 56776.332),(47 56112.805),(48 56665.863),(49 56416.34),(50 56447.18),(51 56861.586),(52 56734.133),(53 56373.54),(54 56189.1),(55 56230.094),(56 56533.047),(57 55949.22),(58 54708.57),(59 54467.816),(60 54647.43),(61 54603.406),(62 54658.2),(63 55694.34),(64 55472.793),(65 54856.21),(66 54422.023),(67 53753.477),(68 53984.875),(69 53718.094),(70 53411.99),(71 54267.996),(72 55211.61),(73 56161.465),(74 56343.01),(75 56811.207),(76 57832.965),(77 57686.293),(78 57284.207),(79 58173.125),
(1 19863.53),(2 38844.17),(3 41773.72),(4 42183.25),(5 45076.56),(6 45270.41),(7 46139.902),(8 47244.414),(9 47283.016),(10 46733.94),(11 46320.582),(12 46358.676),(13 47729.402),(14 47580.91),(15 46390.28),(16 48156.527),(17 47665.344),(18 47029.25),(19 48366.88),(20 49472.15),(21 49003.44),(22 48729.54),(23 48562.566),(24 50137.848),(25 51889.336),(26 51920.848),(27 51465.914),(28 51541.74),(29 51485.42),(30 51159.453),(31 52322.516),(32 52441.027),(33 52391.938),(34 53419.707),(35 53726.16),(36 53212.207),(37 54127.16),(38 53110.313),(39 53643.145),(40 55362.395),(41 55159.355),(42 54233.223),(43 55045.527),(44 55927.445),(45 56085.926),(46 55571.96),(47 54924.09),(48 55364.207),(49 54961.59),(50 54845.07),(51 54912.395),(52 53842.56),(53 54000.766),(54 54773.72),(55 54732.566),(56 54085.824),(57 53572.973),(58 53110.46),(59 54138.152),(60 55005.953),(61 55908.395),(62 56409.004),(63 56538.344),(64 55935.387),(65 55934.32),(66 54148.613),(67 53840.727),(68 54964.164),(69 55836.867),(70 55884.836),(71 56313.664),(72 55952.62),(73 56382.676),(74 56151.023),(75 56534.83),(76 56666.92),(77 56545.36),(78 56202.355),(79 57278.555),
(1 19400.625),(2 37336.906),(3 40008.293),(4 41694.836),(5 44662.508),(6 44901.496),(7 45186.996),(8 45932.113),(9 47139.082),(10 46717.85),(11 45310.95),(12 44717.39),(13 46364.707),(14 45365.508),(15 44815.715),(16 46201.68),(17 46786.082),(18 46762.91),(19 47962.87),(20 47544.863),(21 47307.227),(22 48499.977),(23 48175.742),(24 49257.684),(25 50637.348),(26 50443.08),(27 49991.656),(28 48845.902),(29 48164.36),(30 48364.137),(31 50030.043),(32 49538.906),(33 49138.625),(34 49323.184),(35 49307.137),(36 50293.68),(37 52325.12),(38 52112.387),(39 52240.027),(40 51927.61),(41 51284.52),(42 50738.668),(43 51058.39),(44 51472.543),(45 51287.203),(46 50729.297),(47 50572.883),(48 50952.613),(49 51193.293),(50 51443.023),(51 50217.01),(52 49414.813),(53 49748.344),(54 48995.582),(55 48772.203),(56 49926.44),(57 50018.297),(58 49266.004),(59 49439.492),(60 49984.324),(61 50240.4),(62 50654.258),(63 51892.617),(64 51192.098),(65 50256),(66 50465.777),(67 51118.07),(68 51853.695),(69 52022.383),(70 52241.867),(71 53183.004),(72 52010.29),(73 52593.617),(74 54110.23),(75 53909.863),(76 54230.996),(77 54419.945),(78 54765.07),(79 54686.8),
(1 18489.719),(2 36441.816),(3 40394.62),(4 41990.336),(5 44505.49),(6 45243.273),(7 45868.78),(8 45936.195),(9 46053.977),(10 45695.14),(11 44728.22),(12 44419.336),(13 44900.36),(14 44019.086),(15 44554.18),(16 46217.203),(17 45791.477),(18 45064.004),(19 45949.574),(20 46123.047),(21 46342.477),(22 46874.156),(23 46959.645),(24 48925.977),(25 49792.37),(26 48467.055),(27 48196.54),(28 47686.348),(29 46831.727),(30 47943.715),(31 49192.766),(32 49113.473),(33 49742.234),(34 49232.227),(35 49309.617),(36 49663.125),(37 50253.227),(38 50573.484),(39 50461.016),(40 50326.965),(41 50503.453),(42 50183.727),(43 49878.305),(44 49336.184),(45 48277.703),(46 48309.246),(47 48022.785),(48 48573.37),(49 48632.047),(50 48555.375),(51 48870.113),(52 48811.883),(53 48394.316),(54 48477.773),(55 49371.4),(56 49479.42),(57 49494.375),(58 49982.516),(59 50114.82),(60 51074.676),(61 50741.297),(62 50950.836),(63 52439.348),(64 52698.273),(65 51250.066),(66 51995.156),(67 53160.63),(68 52053.348),(69 50938.254),(70 50501.08),(71 51625.855),(72 51704.473),(73 51641.63),(74 52289.156),(75 53715.855),(76 54714.875),(77 54241.086),(78 54115.164),(79 54816.652),
(1 18179.701),(2 34832.85),(3 37723.76),(4 40099.688),(5 42469.555),(6 43261.906),(7 44205.57),(8 43789.387),(9 43036.74),(10 44010.844),(11 43165.16),(12 42238.113),(13 42893.12),(14 42274.113),(15 43296.375),(16 44221.65),(17 43088.383),(18 44038.016),(19 44945.133),(20 44350.492),(21 44775.035),(22 45397.836),(23 45847.35),(24 47256.105),(25 47405.535),(26 45913.457),(27 45656.3),(28 45494.082),(29 45102.68),(30 46183.69),(31 47250.18),(32 47294.09),(33 47297.867),(34 47196.555),(35 47826.27),(36 49241.598),(37 49828.9),(38 49413.402),(39 49258.92),(40 48747.38),(41 48439.777),(42 48961.133),(43 48984.582),(44 48561.074),(45 48056.375),(46 48659.055),(47 48588.848),(48 48596.92),(49 48526.598),(50 48996.504),(51 48512.246),(52 48227.418),(53 47753.105),(54 47268.934),(55 47023.156),(56 46578.25),(57 46663.055),(58 46556.543),(59 45100.418),(60 45002.516),(61 46121.69),(62 47289.402),(63 48058.67),(64 47929.12),(65 47163.117),(66 47789.574),(67 47348.324),(68 46699.42),(69 46964.36),(70 46816.793),(71 47059.34),(72 48321.594),(73 50159.25),(74 51317.793),(75 51728.12),(76 51666.938),(77 51392.13),(78 50724.598),(79 50160.273),
(1 17691.746),(2 34633.844),(3 37276.742),(4 37765.58),(5 39583.375),(6 41283.227),(7 41243.28),(8 41227.99),(9 41848.23),(10 41219.547),(11 40687.258),(12 41624.96),(13 42769.094),(14 42051.934),(15 41565.637),(16 42680.523),(17 42181.51),(18 42773.086),(19 43094.676),(20 42423.22),(21 43109.89),(22 43726.105),(23 44176.582),(24 45473.492),(25 44971.02),(26 44395.668),(27 44695.742),(28 43855.563),(29 44030.4),(30 45017.832),(31 45907.12),(32 47035.25),(33 47127.285),(34 46909.996),(35 47491.52),(36 47944.6),(37 48883.88),(38 49324.99),(39 49019.84),(40 48895.3),(41 49029.7),(42 49551.01),(43 49681.145),(44 49567.547),(45 50051.01),(46 50230.33),(47 49488.824),(48 49176.535),(49 49361.1),(50 49203.195),(51 47908.773),(52 48365.46),(53 49187.582),(54 48350.63),(55 48331.402),(56 48137.207),(57 47724.137),(58 46955.98),(59 46407.258),(60 46676.953),(61 47484.7),(62 47502.01),(63 48560.31),(64 48608.727),(65 49032.406),(66 49221.184),(67 48651.85),(68 47626.57),(69 48217.266),(70 48667.793),(71 48313.61),(72 49444.21),(73 50651.93),(74 51742.625),(75 51542.67),(76 51057.11),(77 51705.133),(78 52058.527),(79 51638.84),
(1 17294.916),(2 32946.07),(3 34767.668),(4 35950.645),(5 38636.105),(6 39475.27),(7 39947.984),(8 39603.953),(9 40389.88),(10 40077.785),(11 39506.88),(12 40649.832),(13 41211.19),(14 40006.07),(15 40778.855),(16 41099.133),(17 40198.22),(18 41881.617),(19 41857.03),(20 41350.26),(21 41571.805),(22 40603.758),(23 41229.3),(24 43497.77),(25 43031.566),(26 42291.85),(27 42760.242),(28 42044.016),(29 42603.887),(30 42947.574),(31 44241.156),(32 45431.617),(33 44619.18),(34 44706.65),(35 45334.313),(36 45925.023),(37 46238.273),(38 45681.15),(39 46333.617),(40 47397.836),(41 47504.715),(42 46660.633),(43 46965.94),(44 48291.133),(45 48864.094),(46 48218.88),(47 47226.867),(48 46994.51),(49 46828.504),(50 47417.586),(51 46932.742),(52 46324.12),(53 46285.195),(54 46381.066),(55 46640.406),(56 47434.535),(57 47311.52),(58 46255.176),(59 46306.234),(60 46340.04),(61 46801.86),(62 46655.64),(63 47403.504),(64 48600.574),(65 49042.777),(66 48159.313),(67 48064.387),(68 47970.613),(69 47903.793),(70 47132.67),(71 46875.85),(72 47004.35),(73 48234.355),(74 49575.81),(75 48703.27),(76 49113.26),(77 48940.03),(78 48051.754),(79 49137.47),
