(1 0.0005475891),(2 1.1297185),(3 3.6622002),(4 5.0089617),(5 5.0190916),(6 6.3032064),(7 9.283122),(8 11.400468),(9 11.391877),(10 12.94432),(11 13.247065),(12 13.882653),(13 13.926194),(14 14.134728),(15 15.091295),(16 15.3100605),(17 15.335042),(18 15.935283),(19 17.019915),(20 17.639038),(21 17.666052),(22 16.47477),(23 16.12983),(24 16.867928),(25 16.867716),(26 16.611933),(27 17.00099),(28 17.101212),(29 17.076319),(30 16.87432),(31 16.663849),(32 17.66865),(33 17.644848),(34 17.529078),(35 16.833307),(36 16.744745),(37 16.759192),(38 16.92984),(39 17.210995),(40 18.205662),(41 18.20541),(42 17.75523),(43 17.818596),(44 17.807999),
(1 0.00056727044),(2 1.1651789),(3 3.7871132),(4 5.0972767),(5 5.0949764),(6 6.2625546),(7 8.613381),(8 10.125986),(9 10.160912),(10 11.020792),(11 12.978904),(12 13.469079),(13 13.45507),(14 14.331669),(15 14.708051),(16 14.429569),(17 14.442141),(18 15.060511),(19 14.78118),(20 15.173078),(21 15.196372),(22 14.864124),(23 16.197866),(24 17.14757),(25 17.158634),(26 17.029299),(27 17.822205),(28 18.019014),(29 18.182692),(30 17.553383),(31 17.692276),(32 18.61851),(33 18.63914),(34 18.37846),(35 19.666115),(36 20.06028),(37 20.051844),(38 19.417309),(39 19.165434),(40 19.394466),(41 19.421873),(42 19.059687),(43 19.927456),(44 19.929802),
(1 0.0007399017),(2 1.3768511),(3 4.1144714),(4 5.632373),(5 5.629781),(6 6.7762866),(7 9.551801),(8 11.090399),(9 11.082935),(10 12.787305),(11 13.197664),(12 14.087372),(13 14.1289835),(14 14.931958),(15 15.111631),(16 15.5534935),(17 15.585962),(18 16.464067),(19 16.606148),(20 17.498629),(21 17.512083),(22 17.633188),(23 17.937057),(24 18.02082),(25 17.974874),(26 17.696398),(27 18.217314),(28 19.189026),(29 19.303524),(30 18.853844),(31 18.905031),(32 20.035975),(33 20.040495),(34 20.553265),(35 19.569958),(36 21.1261),(37 21.09949),(38 20.895264),(39 21.12544),(40 21.285639),(41 21.303036),(42 20.33431),(43 20.573559),(44 20.569906),
(1 0.0006170332),(2 1.3616834),(3 4.2440715),(4 5.713017),(5 5.7209845),(6 6.6135364),(7 9.575474),(8 11.816053),(9 11.8531),(10 13.580036),(11 14.399004),(12 15.371778),(13 15.416629),(14 15.958181),(15 17.164743),(16 16.788996),(17 16.831114),(18 17.651304),(19 17.65661),(20 18.486416),(21 18.479374),(22 17.779123),(23 19.048048),(24 19.610176),(25 19.600813),(26 18.777805),(27 17.476088),(28 18.092638),(29 18.122862),(30 17.88905),(31 17.133043),(32 17.855886),(33 17.888353),(34 17.870445),(35 17.992586),(36 18.474459),(37 18.487173),(38 18.525764),(39 18.9369),(40 18.810308),(41 18.793922),(42 18.352472),(43 18.236698),(44 18.23624),
(1 0.0006815056),(2 1.0695553),(3 3.8863668),(4 5.1690607),(5 5.1766124),(6 6.279495),(7 8.880044),(8 10.425057),(9 10.440066),(10 11.5173235),(11 12.273923),(12 13.708843),(13 13.700867),(14 14.354062),(15 14.812731),(16 14.237728),(17 14.2466755),(18 14.577646),(19 14.293722),(20 14.4025),(21 14.422017),(22 14.212724),(23 15.092577),(24 15.256459),(25 15.278956),(26 14.939062),(27 15.652824),(28 16.025242),(29 16.099422),(30 15.804018),(31 15.6251955),(32 16.421799),(33 16.429907),(34 16.586884),(35 16.503517),(36 16.902102),(37 16.910532),(38 16.70231),(39 16.30926),(40 16.715204),(41 16.724443),(42 16.366695),(43 16.592106),(44 16.59273),
(1 0.00066621404),(2 0.8755726),(3 3.0799289),(4 3.998338),(5 4.005444),(6 4.9238563),(7 7.061419),(8 8.089849),(9 8.109454),(10 9.2937565),(11 10.673249),(12 11.644502),(13 11.65169),(14 12.150099),(15 13.205125),(16 13.329319),(17 13.352877),(18 13.840135),(19 12.18121),(20 12.230411),(21 12.2157),(22 12.075227),(23 13.267169),(24 13.74884),(25 13.760786),(26 13.694405),(27 14.60684),(28 15.241042),(29 15.300275),(30 14.83214),(31 14.482926),(32 14.681385),(33 14.677813),(34 14.465005),(35 14.244528),(36 14.337682),(37 14.326117),(38 14.6822195),(39 14.732868),(40 15.201037),(41 15.194855),(42 14.2825165),(43 13.66262),(44 13.654414),
(1 0.0007058716),(2 0.9312571),(3 3.2906165),(4 4.280138),(5 4.289164),(6 5.070461),(7 6.8348346),(8 7.8938184),(9 7.910911),(10 9.364383),(11 10.476499),(12 11.433354),(13 11.41604),(14 11.691404),(15 11.841),(16 11.994846),(17 11.999443),(18 12.881465),(19 12.899311),(20 13.863527),(21 13.868213),(22 12.836161),(23 12.91533),(24 13.048736),(25 13.042653),(26 12.752503),(27 13.3464575),(28 14.149725),(29 14.267135),(30 13.997771),(31 13.580331),(32 13.677246),(33 13.692581),(34 13.42157),(35 13.673177),(36 13.919827),(37 13.911981),(38 13.753432),(39 13.1577635),(40 13.129394),(41 13.12176),(42 12.666482),(43 12.608226),(44 12.613355),
(1 0.00080046966),(2 0.9193972),(3 3.0592086),(4 4.1056857),(5 4.10953),(6 4.9250984),(7 7.0111938),(8 8.283208),(9 8.287235),(10 9.245048),(11 10.0158615),(12 11.13603),(13 11.167768),(14 11.768671),(15 12.440616),(16 12.202881),(17 12.220115),(18 12.633034),(19 12.107841),(20 12.856988),(21 12.860482),(22 12.6450815),(23 13.273479),(24 13.389962),(25 13.398411),(26 12.767401),(27 13.414091),(28 14.172756),(29 14.263345),(30 13.945191),(31 13.841437),(32 14.298791),(33 14.285504),(34 14.4564085),(35 14.327085),(36 14.91896),(37 14.902099),(38 14.873917),(39 14.130746),(40 14.048039),(41 14.033918),(42 14.136894),(43 14.985917),(44 14.979475),
(1 0.0006998186),(2 0.7819389),(3 2.6438751),(4 3.740846),(5 3.7424068),(6 4.4855227),(7 6.4794545),(8 7.571004),(9 7.581706),(10 8.523553),(11 9.518602),(12 10.46689),(13 10.46762),(14 11.190278),(15 11.348126),(16 11.078549),(17 11.122067),(18 11.576926),(19 11.33152),(20 11.538333),(21 11.563487),(22 10.982587),(23 11.389769),(24 11.230769),(25 11.242648),(26 10.800338),(27 11.446978),(28 11.964525),(29 12.0007715),(30 12.079987),(31 12.009461),(32 12.3488),(33 12.328949),(34 12.449064),(35 12.583389),(36 12.783288),(37 12.784435),(38 11.954333),(39 11.9769745),(40 12.551105),(41 12.534363),(42 12.230558),(43 12.83304),(44 12.826363),
(1 0.0006342468),(2 0.87184733),(3 3.0160296),(4 4.006509),(5 4.0081606),(6 4.669304),(7 5.962251),(8 6.764227),(9 6.7711625),(10 7.6042886),(11 8.192159),(12 8.652639),(13 8.6821995),(14 8.892031),(15 9.831917),(16 9.9467325),(17 9.949883),(18 10.68074),(19 10.412378),(20 10.629403),(21 10.603692),(22 9.997949),(23 11.062607),(24 11.34205),(25 11.343622),(26 11.005258),(27 11.891122),(28 12.413003),(29 12.439397),(30 12.293863),(31 12.055925),(32 12.332375),(33 12.313926),(34 12.536912),(35 12.324638),(36 12.6091795),(37 12.607128),(38 12.807839),(39 12.227935),(40 12.278139),(41 12.268908),(42 11.839181),(43 11.723503),(44 11.720865),
