1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00008333238),(2 0.013829322),(3 0.038386095),(4 0.0457163),(5 0.04574275),(6 0.05127631),(7 0.06604146),(8 0.06961312),(9 0.06935373),(10 0.07010048),(11 0.07355625),(12 0.081177026),(13 0.08074891),(14 0.08073626),(15 0.081700794),(16 0.086320244),(17 0.0855187),(18 0.08811594),(19 0.08482236),(20 0.09149379),(21 0.09132064),(22 0.08351057),(23 0.088910505),(24 0.090140186),(25 0.090160094),(26 0.08858975),(27 0.10283008),(28 0.10497152),(29 0.10528383),(30 0.10081902),(31 0.1029764),(32 0.110765554),(33 0.110170774),(34 0.105561554),(35 0.09627863),(36 0.10458716),(37 0.10428092),(38 0.098810546),(39 0.10304143),(40 0.10276267),(41 0.10281055),(42 0.0988033),(43 0.10604993),(44 0.10602229),
(1 0.00008463521),(2 0.012802037),(3 0.035823777),(4 0.043088906),(5 0.043121576),(6 0.04757177),(7 0.06181881),(8 0.06393174),(9 0.06382978),(10 0.06371753),(11 0.066758044),(12 0.07497621),(13 0.07468087),(14 0.07491603),(15 0.07508288),(16 0.07963687),(17 0.07904003),(18 0.08100396),(19 0.07816865),(20 0.084512606),(21 0.08434825),(22 0.076475896),(23 0.08249226),(24 0.08262202),(25 0.08252958),(26 0.081234656),(27 0.093682125),(28 0.09539193),(29 0.09539896),(30 0.09107511),(31 0.09400476),(32 0.10176637),(33 0.10124807),(34 0.098234475),(35 0.09065437),(36 0.097848885),(37 0.09751019),(38 0.09185319),(39 0.09540083),(40 0.09537361),(41 0.0954466),(42 0.09099963),(43 0.09856031),(44 0.09851792),
(1 0.00009158921),(2 0.012955523),(3 0.035714623),(4 0.042306714),(5 0.042413246),(6 0.046308704),(7 0.060510367),(8 0.06285596),(9 0.06257503),(10 0.062060095),(11 0.06525804),(12 0.073663205),(13 0.07337757),(14 0.07252833),(15 0.07174746),(16 0.076570645),(17 0.075828634),(18 0.07796737),(19 0.076091416),(20 0.0819075),(21 0.081636645),(22 0.07488114),(23 0.08080633),(24 0.080460615),(25 0.08051959),(26 0.07946281),(27 0.09191843),(28 0.09329888),(29 0.09302155),(30 0.088791594),(31 0.091374725),(32 0.09766929),(33 0.09714887),(34 0.0944641),(35 0.086603604),(36 0.094717406),(37 0.094303966),(38 0.08890598),(39 0.093593515),(40 0.09253332),(41 0.09258721),(42 0.08894611),(43 0.09519968),(44 0.09514227),
(1 0.00009256687),(2 0.012491628),(3 0.03404393),(4 0.040451452),(5 0.04047609),(6 0.04475496),(7 0.057258863),(8 0.059126932),(9 0.059022304),(10 0.059229247),(11 0.06137261),(12 0.06971736),(13 0.069425315),(14 0.06837687),(15 0.06887576),(16 0.07321978),(17 0.0725403),(18 0.0745173),(19 0.07241418),(20 0.07886781),(21 0.07857154),(22 0.07076546),(23 0.07655071),(24 0.07581789),(25 0.075864665),(26 0.07464977),(27 0.08680407),(28 0.08764827),(29 0.08710725),(30 0.08440224),(31 0.08620302),(32 0.09390629),(33 0.09339773),(34 0.08881493),(35 0.0825801),(36 0.08984014),(37 0.08947527),(38 0.08424958),(39 0.08880579),(40 0.0880383),(41 0.08807531),(42 0.08327821),(43 0.091977105),(44 0.09190677),
(1 0.000091722766),(2 0.011488199),(3 0.030926142),(4 0.03640477),(5 0.03646044),(6 0.04038201),(7 0.052518774),(8 0.054108623),(9 0.053845413),(10 0.05456334),(11 0.057614904),(12 0.06496505),(13 0.06454244),(14 0.062493738),(15 0.064014085),(16 0.06748185),(17 0.066692136),(18 0.06898553),(19 0.066524155),(20 0.072813235),(21 0.072578855),(22 0.065086566),(23 0.07056914),(24 0.06941794),(25 0.06952141),(26 0.06905316),(27 0.08145816),(28 0.08187822),(29 0.08166656),(30 0.07803626),(31 0.08064289),(32 0.087241076),(33 0.08670538),(34 0.08285361),(35 0.0759528),(36 0.08231035),(37 0.08190037),(38 0.07730132),(39 0.08240785),(40 0.08060292),(41 0.08061882),(42 0.0772613),(43 0.083819605),(44 0.08371835),
(1 0.000084383486),(2 0.010832992),(3 0.029471578),(4 0.033929933),(5 0.033946022),(6 0.037779365),(7 0.049895927),(8 0.050847437),(9 0.0507365),(10 0.05114586),(11 0.053041704),(12 0.059950285),(13 0.059673384),(14 0.059034634),(15 0.059197973),(16 0.06287692),(17 0.062246762),(18 0.06445015),(19 0.062106),(20 0.06752729),(21 0.067301676),(22 0.06128362),(23 0.06622165),(24 0.065037146),(25 0.06502866),(26 0.064397216),(27 0.07508765),(28 0.07640357),(29 0.07589251),(30 0.07246416),(31 0.07578083),(32 0.081880935),(33 0.08132641),(34 0.077879734),(35 0.0714646),(36 0.077034675),(37 0.076854855),(38 0.0724864),(39 0.0761949),(40 0.07523741),(41 0.07523378),(42 0.07246784),(43 0.07747969),(44 0.077387094),
(1 0.000085706604),(2 0.010227404),(3 0.027768794),(4 0.03173486),(5 0.031807832),(6 0.035609957),(7 0.047350243),(8 0.048640974),(9 0.048453066),(10 0.048363518),(11 0.05152769),(12 0.058103073),(13 0.05791285),(14 0.056080814),(15 0.057161592),(16 0.060173936),(17 0.05952488),(18 0.061824743),(19 0.059855957),(20 0.06484504),(21 0.06462299),(22 0.05891599),(23 0.062752314),(24 0.06215935),(25 0.062220473),(26 0.061662365),(27 0.07225413),(28 0.0727897),(29 0.072106674),(30 0.06932198),(31 0.07252327),(32 0.07894675),(33 0.07849167),(34 0.074530125),(35 0.06838102),(36 0.07378372),(37 0.07348725),(38 0.069422185),(39 0.072285146),(40 0.07153964),(41 0.0715292),(42 0.068967015),(43 0.07372931),(44 0.07366908),
(1 0.00008901176),(2 0.010404016),(3 0.027214848),(4 0.031551294),(5 0.03155635),(6 0.03562251),(7 0.046131484),(8 0.047175422),(9 0.047043636),(10 0.047338743),(11 0.049913317),(12 0.05580613),(13 0.055610996),(14 0.0542793),(15 0.054478463),(16 0.05851462),(17 0.057866823),(18 0.059570566),(19 0.05781932),(20 0.063583575),(21 0.0633503),(22 0.057625618),(23 0.061219916),(24 0.06065484),(25 0.060709),(26 0.060191017),(27 0.0700503),(28 0.06992732),(29 0.069511205),(30 0.06762817),(31 0.07055647),(32 0.07639584),(33 0.07590362),(34 0.07158607),(35 0.0664165),(36 0.071566865),(37 0.07131682),(38 0.067518435),(39 0.070965745),(40 0.07015423),(41 0.07011414),(42 0.06771961),(43 0.07304937),(44 0.07300726),
(1 0.00008297121),(2 0.009471195),(3 0.02491473),(4 0.028861439),(5 0.028859872),(6 0.033094395),(7 0.04319919),(8 0.043733716),(9 0.04356598),(10 0.044510186),(11 0.047254737),(12 0.052930757),(13 0.052809626),(14 0.05086298),(15 0.05168689),(16 0.055398),(17 0.054863326),(18 0.055836678),(19 0.054080106),(20 0.058026504),(21 0.057778336),(22 0.053255327),(23 0.05689821),(24 0.056283154),(25 0.05630785),(26 0.05642953),(27 0.06673724),(28 0.06674414),(29 0.066561095),(30 0.064171515),(31 0.06685625),(32 0.07195147),(33 0.07145678),(34 0.06804698),(35 0.06212482),(36 0.06705687),(37 0.06680725),(38 0.063389964),(39 0.0667012),(40 0.065822065),(41 0.06585553),(42 0.06404782),(43 0.068450466),(44 0.06836994),
(1 0.000085505875),(2 0.008592268),(3 0.022394713),(4 0.02615862),(5 0.026152475),(6 0.02951696),(7 0.0384957),(8 0.03907224),(9 0.038973246),(10 0.03961767),(11 0.041685592),(12 0.04636996),(13 0.046254817),(14 0.045342892),(15 0.045852426),(16 0.049547993),(17 0.04911885),(18 0.05087061),(19 0.048892576),(20 0.05225429),(21 0.052072708),(22 0.047889017),(23 0.05147117),(24 0.050846707),(25 0.05087051),(26 0.05127002),(27 0.059278235),(28 0.058815945),(29 0.058725562),(30 0.057419885),(31 0.05959785),(32 0.06460297),(33 0.064333014),(34 0.061427843),(35 0.056524668),(36 0.06100907),(37 0.06084306),(38 0.05749743),(39 0.05979793),(40 0.059359387),(41 0.059333954),(42 0.057093002),(43 0.060853433),(44 0.06077043),
