1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.00018815786),(2 0.9047835),(3 3.6261048),(4 5.1966877),(5 5.1962748),(6 7.3476615),(7 9.697173),(8 9.992185),(9 9.999041),(10 10.194797),(11 11.132426),(12 12.201166),(13 12.1958),(14 13.067235),(15 15.132065),(16 16.9352),(17 16.944065),(18 19.133322),(19 20.352402),(20 20.623259),(21 20.619576),(22 20.944057),(23 22.72939),(24 23.615223),(25 23.619797),(26 24.036463),(27 25.499947),(28 25.697414),(29 25.738926),(30 25.725206),(31 26.902882),(32 27.706575),(33 27.699396),(34 26.452293),(35 25.420933),(36 25.954456),(37 25.952436),(38 26.39526),(39 27.300169),(40 27.2628),(41 27.26271),(42 27.1521),(43 28.34148),(44 28.341328),
(1 0.00023644758),(2 0.16213556),(3 0.54695624),(4 0.7113415),(5 0.71141523),(6 0.76776594),(7 0.9709493),(8 1.1015586),(9 1.1024445),(10 1.2131134),(11 1.2510121),(12 1.3573381),(13 1.3566968),(14 1.3525138),(15 1.4229486),(16 1.4135913),(17 1.4108742),(18 1.4587015),(19 1.4053134),(20 1.4977375),(21 1.497188),(22 1.4210008),(23 1.4724793),(24 1.5203629),(25 1.5198245),(26 1.4778837),(27 1.6011845),(28 1.6489161),(29 1.6627377),(30 1.5773942),(31 1.5789227),(32 1.6761826),(33 1.6737531),(34 1.6694183),(35 1.6278282),(36 1.7202924),(37 1.7183343),(38 1.6888558),(39 1.6460913),(40 1.6676202),(41 1.6669065),(42 1.5929499),(43 1.6446047),(44 1.6444733),
(1 0.00021414824),(2 0.12849241),(3 0.44547167),(4 0.57936245),(5 0.5798926),(6 0.6163654),(7 0.7543592),(8 0.8517718),(9 0.85192263),(10 0.92594045),(11 0.9682386),(12 1.0667894),(13 1.066861),(14 1.0838143),(15 1.1342398),(16 1.1201525),(17 1.1187564),(18 1.1448437),(19 1.107515),(20 1.1889845),(21 1.1881132),(22 1.1090391),(23 1.1416929),(24 1.1852223),(25 1.1857184),(26 1.1575937),(27 1.2514423),(28 1.2773116),(29 1.2840534),(30 1.2321693),(31 1.2334673),(32 1.3115696),(33 1.3092638),(34 1.2974628),(35 1.2565569),(36 1.3365644),(37 1.3351145),(38 1.3088806),(39 1.2805932),(40 1.3064331),(41 1.3057982),(42 1.237523),(43 1.2773544),(44 1.2770594),
(1 0.00018271667),(2 0.10053706),(3 0.34188032),(4 0.4446443),(5 0.44494072),(6 0.47362992),(7 0.57685417),(8 0.6487173),(9 0.6492322),(10 0.7049309),(11 0.732777),(12 0.8097368),(13 0.80863714),(14 0.8088444),(15 0.8304551),(16 0.8287934),(17 0.8267743),(18 0.8501804),(19 0.8193751),(20 0.88767385),(21 0.8871539),(22 0.83406377),(23 0.8723959),(24 0.8989557),(25 0.89874595),(26 0.8742681),(27 0.95266443),(28 0.9747248),(29 0.98123026),(30 0.92803663),(31 0.93569136),(32 0.99913865),(33 0.9971828),(34 0.98574424),(35 0.9532859),(36 1.0136361),(37 1.0119543),(38 0.99026996),(39 0.9761158),(40 0.9827909),(41 0.9821595),(42 0.9338008),(43 0.9708718),(44 0.97067136),
(1 0.00015775906),(2 0.08102747),(3 0.26851133),(4 0.3489928),(5 0.34944442),(6 0.37425613),(7 0.4542189),(8 0.50822026),(9 0.50819683),(10 0.5433076),(11 0.5641198),(12 0.6269324),(13 0.6264974),(14 0.63432825),(15 0.6480935),(16 0.64150554),(17 0.6397134),(18 0.65176266),(19 0.6267397),(20 0.6764122),(21 0.6756999),(22 0.63787514),(23 0.6716699),(24 0.6950094),(25 0.6952422),(26 0.67860425),(27 0.74808955),(28 0.7665736),(29 0.7706473),(30 0.730661),(31 0.7294941),(32 0.7754686),(33 0.7734116),(34 0.76320046),(35 0.7440042),(36 0.7886673),(37 0.7876798),(38 0.7672251),(39 0.7594316),(40 0.7626479),(41 0.762288),(42 0.725554),(43 0.7621189),(44 0.76202315),
(1 0.00015051893),(2 0.068312086),(3 0.21976069),(4 0.28213182),(5 0.282429),(6 0.30018407),(7 0.37351128),(8 0.42102388),(9 0.42111665),(10 0.45527226),(11 0.46934664),(12 0.5144334),(13 0.5139937),(14 0.5174733),(15 0.5237405),(16 0.52213466),(17 0.5206953),(18 0.5285555),(19 0.51496667),(20 0.56268656),(21 0.56200236),(22 0.52529305),(23 0.55012393),(24 0.5658018),(25 0.5659144),(26 0.55433506),(27 0.61569136),(28 0.6362561),(29 0.64130485),(30 0.60474896),(31 0.59936005),(32 0.64277595),(33 0.64118445),(34 0.628671),(35 0.6048937),(36 0.6437656),(37 0.64270943),(38 0.63107216),(39 0.6230325),(40 0.62903506),(41 0.6289705),(42 0.5999854),(43 0.6385178),(44 0.6383784),
(1 0.00014616958),(2 0.060413398),(3 0.19143474),(4 0.244001),(5 0.24433607),(6 0.25664485),(7 0.3103724),(8 0.3501907),(9 0.35020155),(10 0.37407663),(11 0.394082),(12 0.437359),(13 0.43699571),(14 0.44446698),(15 0.45829576),(16 0.4534769),(17 0.45211783),(18 0.45676175),(19 0.4404074),(20 0.47482097),(21 0.47435242),(22 0.44342422),(23 0.4661076),(24 0.48506713),(25 0.48514992),(26 0.46931526),(27 0.521514),(28 0.54269445),(29 0.5452345),(30 0.51675016),(31 0.5177266),(32 0.55345505),(33 0.552033),(34 0.53968936),(35 0.5197299),(36 0.54953855),(37 0.5482426),(38 0.53677225),(39 0.5261473),(40 0.5288402),(41 0.5287657),(42 0.50184083),(43 0.53392196),(44 0.533884),
(1 0.000138618),(2 0.049945574),(3 0.15489602),(4 0.19661914),(5 0.19671783),(6 0.20818017),(7 0.25693688),(8 0.28539774),(9 0.28515312),(10 0.30571932),(11 0.32250306),(12 0.35923156),(13 0.3591436),(14 0.3598054),(15 0.36716977),(16 0.3682928),(17 0.3668997),(18 0.36981744),(19 0.35702404),(20 0.3921365),(21 0.39163274),(22 0.36354807),(23 0.37852722),(24 0.39274192),(25 0.392905),(26 0.38064402),(27 0.42033768),(28 0.43479413),(29 0.43783242),(30 0.41635606),(31 0.41404364),(32 0.44238222),(33 0.44146857),(34 0.43370438),(35 0.4190203),(36 0.44770557),(37 0.44658926),(38 0.4387093),(39 0.43444058),(40 0.43897232),(41 0.43879476),(42 0.41174206),(43 0.44397533),(44 0.4439679),
(1 0.00012669443),(2 0.040943768),(3 0.12960595),(4 0.16238761),(5 0.16251536),(6 0.17210661),(7 0.21068244),(8 0.23444016),(9 0.2343806),(10 0.24865337),(11 0.26360813),(12 0.29137632),(13 0.29080468),(14 0.29004586),(15 0.2999883),(16 0.2999468),(17 0.29857916),(18 0.30440468),(19 0.29032117),(20 0.31494787),(21 0.31453863),(22 0.29126585),(23 0.3031931),(24 0.3148328),(25 0.31483755),(26 0.30373207),(27 0.34018815),(28 0.3566143),(29 0.35857746),(30 0.3381467),(31 0.33811828),(32 0.36174294),(33 0.36073577),(34 0.3523658),(35 0.3402323),(36 0.36279622),(37 0.36177295),(38 0.35418126),(39 0.3517332),(40 0.35055202),(41 0.35062698),(42 0.33061334),(43 0.34948972),(44 0.34939733),
(1 0.00011350668),(2 0.033618),(3 0.10484728),(4 0.13038066),(5 0.1304231),(6 0.13733639),(7 0.17195609),(8 0.18903305),(9 0.18860692),(10 0.19792384),(11 0.21075967),(12 0.23612098),(13 0.23562966),(14 0.23548093),(15 0.2391346),(16 0.24114925),(17 0.23984407),(18 0.24362382),(19 0.2356511),(20 0.25822207),(21 0.25779045),(22 0.23685516),(23 0.24761273),(24 0.25395155),(25 0.25409234),(26 0.24120103),(27 0.2718012),(28 0.28097585),(29 0.2826037),(30 0.27061066),(31 0.27038798),(32 0.2911739),(33 0.2900777),(34 0.28207844),(35 0.27010688),(36 0.28937796),(37 0.28864977),(38 0.2798033),(39 0.27888906),(40 0.27876872),(41 0.27853355),(42 0.26116425),(43 0.28408405),(44 0.2840585),
(1 0.00011707181),(2 0.03136818),(3 0.09589171),(4 0.11826604),(5 0.118327074),(6 0.123629265),(7 0.15319994),(8 0.16990487),(9 0.16974495),(10 0.17944756),(11 0.18921913),(12 0.21055354),(13 0.21007425),(14 0.20909305),(15 0.21230698),(16 0.21301346),(17 0.21193802),(18 0.21483564),(19 0.20919284),(20 0.22992557),(21 0.22948529),(22 0.21022536),(23 0.22262844),(24 0.23027822),(25 0.2303092),(26 0.22145665),(27 0.2455184),(28 0.25377214),(29 0.25474235),(30 0.2435634),(31 0.24188535),(32 0.2613618),(33 0.260575),(34 0.25221115),(35 0.24267143),(36 0.25851408),(37 0.25772762),(38 0.24926582),(39 0.25149423),(40 0.2486984),(41 0.24858056),(42 0.2344682),(43 0.2526757),(44 0.25261047),
(1 0.00010409777),(2 0.025506256),(3 0.076418035),(4 0.09455301),(5 0.09459493),(6 0.09732829),(7 0.12108656),(8 0.13198245),(9 0.13163225),(10 0.14014065),(11 0.14856851),(12 0.16630298),(13 0.1658467),(14 0.16663721),(15 0.16950081),(16 0.17124516),(17 0.17014773),(18 0.17250417),(19 0.16419944),(20 0.17916135),(21 0.17877696),(22 0.16441764),(23 0.17730094),(24 0.18201421),(25 0.18199876),(26 0.1728639),(27 0.19506945),(28 0.20179975),(29 0.20255291),(30 0.19427717),(31 0.19570492),(32 0.2101125),(33 0.20925315),(34 0.20409817),(35 0.19639945),(36 0.20979759),(37 0.2091489),(38 0.20135528),(39 0.20101462),(40 0.19844286),(41 0.19831449),(42 0.18774582),(43 0.20249754),(44 0.2024352),
(1 0.00009817607),(2 0.022790857),(3 0.06632602),(4 0.080471255),(5 0.08053688),(6 0.08387728),(7 0.106181934),(8 0.11677091),(9 0.11648771),(10 0.125208),(11 0.13088319),(12 0.14375806),(13 0.14336132),(14 0.14258803),(15 0.1456866),(16 0.14765692),(17 0.14684322),(18 0.14955164),(19 0.14447421),(20 0.15833406),(21 0.15798493),(22 0.1454488),(23 0.15566605),(24 0.15868838),(25 0.15878423),(26 0.15296474),(27 0.17002787),(28 0.17480251),(29 0.17550777),(30 0.16750854),(31 0.16821165),(32 0.18244037),(33 0.18166718),(34 0.17626049),(35 0.17144625),(36 0.18405493),(37 0.18344702),(38 0.17714694),(39 0.17638774),(40 0.1727643),(41 0.17266883),(42 0.16252528),(43 0.1751197),(44 0.17510223),
(1 0.00010858195),(2 0.022340653),(3 0.064467944),(4 0.077849165),(5 0.07786173),(6 0.081244834),(7 0.10099471),(8 0.112214215),(9 0.111841),(10 0.11788515),(11 0.1254072),(12 0.13984409),(13 0.13945186),(14 0.13766429),(15 0.14115585),(16 0.14276226),(17 0.14172949),(18 0.14229734),(19 0.13662066),(20 0.14992492),(21 0.14942525),(22 0.13687547),(23 0.14772548),(24 0.15099102),(25 0.15093078),(26 0.14380059),(27 0.16131376),(28 0.16592681),(29 0.16634794),(30 0.15799312),(31 0.15927114),(32 0.17176676),(33 0.1707904),(34 0.16487132),(35 0.15980329),(36 0.1727666),(37 0.17205055),(38 0.16580774),(39 0.16661383),(40 0.16353473),(41 0.1634444),(42 0.15420325),(43 0.16807579),(44 0.1680844),
(1 0.00010836836),(2 0.020692954),(3 0.058491908),(4 0.07010801),(5 0.070141174),(6 0.07286495),(7 0.09164625),(8 0.10111318),(9 0.100829594),(10 0.10546373),(11 0.11079432),(12 0.12373186),(13 0.12339344),(14 0.121818736),(15 0.1252592),(16 0.12707695),(17 0.1261251),(18 0.12803748),(19 0.12223702),(20 0.13435708),(21 0.1340743),(22 0.12352354),(23 0.13220732),(24 0.13437405),(25 0.13434613),(26 0.12856714),(27 0.1450922),(28 0.14741196),(29 0.14717652),(30 0.1393785),(31 0.14079311),(32 0.15276033),(33 0.15190785),(34 0.14763694),(35 0.14174865),(36 0.15413253),(37 0.15339318),(38 0.14861931),(39 0.15016536),(40 0.14699806),(41 0.1469068),(42 0.1382602),(43 0.15074542),(44 0.15070014),
(1 0.00010169077),(2 0.017459119),(3 0.050207604),(4 0.059250724),(5 0.059297584),(6 0.062363125),(7 0.07872864),(8 0.086601965),(9 0.086276226),(10 0.089909725),(11 0.094841674),(12 0.10586237),(13 0.10557941),(14 0.10438047),(15 0.10718392),(16 0.10787004),(17 0.10681277),(18 0.10727322),(19 0.1031216),(20 0.11285791),(21 0.11244815),(22 0.10346878),(23 0.1128955),(24 0.11461548),(25 0.114660054),(26 0.1088607),(27 0.122937344),(28 0.12598416),(29 0.12587947),(30 0.119799756),(31 0.12208359),(32 0.13179906),(33 0.13107502),(34 0.12576868),(35 0.12105984),(36 0.13223292),(37 0.13164659),(38 0.12559296),(39 0.12749642),(40 0.124205895),(41 0.12415859),(42 0.11681333),(43 0.12850979),(44 0.12849335),
(1 0.000095907184),(2 0.01496667),(3 0.042457815),(4 0.05060337),(5 0.050644767),(6 0.053072557),(7 0.066598274),(8 0.07285992),(9 0.072734095),(10 0.07592782),(11 0.081034355),(12 0.09107113),(13 0.09071613),(14 0.08928548),(15 0.09134069),(16 0.09276826),(17 0.09191223),(18 0.09254812),(19 0.08870655),(20 0.0973799),(21 0.09716528),(22 0.09011311),(23 0.09606579),(24 0.09790487),(25 0.09788382),(26 0.09320167),(27 0.104304835),(28 0.105877556),(29 0.10570329),(30 0.10149195),(31 0.1038281),(32 0.11315192),(33 0.1125447),(34 0.10704536),(35 0.10241651),(36 0.11181732),(37 0.11128492),(38 0.106483735),(39 0.10841459),(40 0.105767965),(41 0.10569644),(42 0.10003106),(43 0.11040409),(44 0.110381834),
(1 0.00010017315),(2 0.014202704),(3 0.04064126),(4 0.047757227),(5 0.047810625),(6 0.05036728),(7 0.06283877),(8 0.068208866),(9 0.06805113),(10 0.07095658),(11 0.07556966),(12 0.083772086),(13 0.08332642),(14 0.08286326),(15 0.08390358),(16 0.08515005),(17 0.08414627),(18 0.084915094),(19 0.08172112),(20 0.08995891),(21 0.0896849),(22 0.082930975),(23 0.08886196),(24 0.08959428),(25 0.089625016),(26 0.08590577),(27 0.09653402),(28 0.0991563),(29 0.09920623),(30 0.09564466),(31 0.09595957),(32 0.10496752),(33 0.10427079),(34 0.09942555),(35 0.09607882),(36 0.10556717),(37 0.10503007),(38 0.09962389),(39 0.100532964),(40 0.09842189),(41 0.09847774),(42 0.09255162),(43 0.10200969),(44 0.10194898),
(1 0.00010568159),(2 0.014174738),(3 0.039584894),(4 0.046277907),(5 0.046333957),(6 0.04814908),(7 0.06094108),(8 0.066569746),(9 0.06639415),(10 0.06856722),(11 0.07259862),(12 0.08220118),(13 0.08188533),(14 0.08088169),(15 0.08194374),(16 0.084473915),(17 0.08342822),(18 0.083050005),(19 0.07924102),(20 0.08765123),(21 0.0873588),(22 0.080806725),(23 0.08700929),(24 0.08672784),(25 0.08672214),(26 0.08302656),(27 0.09256706),(28 0.09488177),(29 0.09451148),(30 0.09080909),(31 0.09288924),(32 0.10183622),(33 0.101221964),(34 0.096275665),(35 0.09201141),(36 0.10086038),(37 0.10041227),(38 0.09571517),(39 0.097847134),(40 0.09507637),(41 0.09508524),(42 0.089842245),(43 0.09976842),(44 0.0997175),
(1 0.00009939018),(2 0.012759361),(3 0.03608074),(4 0.04202964),(5 0.042073034),(6 0.043800943),(7 0.05493523),(8 0.059998978),(9 0.059719127),(10 0.061607234),(11 0.06539918),(12 0.07375233),(13 0.07333237),(14 0.072544),(15 0.073431276),(16 0.0751035),(17 0.074244335),(18 0.07466389),(19 0.071282014),(20 0.078932464),(21 0.07866134),(22 0.072556674),(23 0.078025214),(24 0.07769049),(25 0.07765995),(26 0.07562802),(27 0.08488468),(28 0.08729545),(29 0.08704956),(30 0.08455903),(31 0.084968574),(32 0.092478305),(33 0.09178816),(34 0.08757611),(35 0.084553264),(36 0.09321493),(37 0.09275128),(38 0.087879844),(39 0.088542625),(40 0.0864445),(41 0.08649554),(42 0.081800744),(43 0.09049258),(44 0.0904668),
(1 0.00010502746),(2 0.012603138),(3 0.03495612),(4 0.04058571),(5 0.04063645),(6 0.042280294),(7 0.05369083),(8 0.058846872),(9 0.058644425),(10 0.06007194),(11 0.06353413),(12 0.07177287),(13 0.0713238),(14 0.07009659),(15 0.07087408),(16 0.07266338),(17 0.07181954),(18 0.07213059),(19 0.0686932),(20 0.07617903),(21 0.07581343),(22 0.06981365),(23 0.074848905),(24 0.0747628),(25 0.074792154),(26 0.07164478),(27 0.08119225),(28 0.08284456),(29 0.08243154),(30 0.07931375),(31 0.08085147),(32 0.088468984),(33 0.08784798),(34 0.08335846),(35 0.0809133),(36 0.08948292),(37 0.08903132),(38 0.08400326),(39 0.0859393),(40 0.082858175),(41 0.08289327),(42 0.07848986),(43 0.087410256),(44 0.0873415),
(1 0.00010047695),(2 0.0117712645),(3 0.0331551),(4 0.038197644),(5 0.038255982),(6 0.040505357),(7 0.051160473),(8 0.05512136),(9 0.054829102),(10 0.05658779),(11 0.05991023),(12 0.068605445),(13 0.06818135),(14 0.06624058),(15 0.067662),(16 0.06924102),(17 0.068333656),(18 0.068234086),(19 0.06524544),(20 0.07297661),(21 0.07263431),(22 0.066339485),(23 0.07209853),(24 0.071589604),(25 0.07164275),(26 0.06911686),(27 0.07808572),(28 0.0797369),(29 0.079417914),(30 0.07685314),(31 0.07779141),(32 0.08469362),(33 0.08414837),(34 0.07999673),(35 0.0772444),(36 0.085003376),(37 0.08455998),(38 0.079872996),(39 0.081360325),(40 0.07864908),(41 0.078701794),(42 0.0739236),(43 0.08200855),(44 0.08196674),
(1 0.000102288686),(2 0.011678901),(3 0.03215515),(4 0.036559287),(5 0.036600247),(6 0.03807299),(7 0.048846617),(8 0.052555636),(9 0.052338805),(10 0.053858835),(11 0.056941878),(12 0.06459333),(13 0.064225085),(14 0.06234573),(15 0.0634162),(16 0.06572228),(17 0.06484611),(18 0.06467017),(19 0.06165676),(20 0.06899543),(21 0.068625994),(22 0.06250231),(23 0.06795187),(24 0.06673566),(25 0.06674929),(26 0.06468505),(27 0.07375916),(28 0.07487771),(29 0.07427057),(30 0.07206421),(31 0.07382741),(32 0.08059166),(33 0.08006744),(34 0.07499689),(35 0.073063135),(36 0.08125373),(37 0.08080505),(38 0.076056875),(39 0.078351155),(40 0.075018376),(41 0.07501589),(42 0.07087781),(43 0.0792392),(44 0.07917387),
