1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.0004160931),(2 0.327838),(3 1.1085556),(4 1.4396958),(5 1.4403375),(6 1.5335318),(7 1.9239388),(8 2.2079873),(9 2.2077534),(10 2.418216),(11 2.6292393),(12 2.8740964),(13 2.871338),(14 2.832906),(15 2.9348392),(16 2.9442544),(17 2.9399276),(18 3.1046362),(19 3.0191422),(20 3.123864),(21 3.1205437),(22 2.9294462),(23 3.0187626),(24 3.125577),(25 3.124696),(26 3.0740507),(27 3.3149383),(28 3.3697627),(29 3.400832),(30 3.2085128),(31 3.2000048),(32 3.3678274),(33 3.362426),(34 3.4274676),(35 3.3658128),(36 3.51035),(37 3.5093923),(38 3.4554653),(39 3.2714977),(40 3.4137452),(41 3.4122438),(42 3.2526119),(43 3.29983),(44 3.2988453),
(1 0.0004242411),(2 0.28364402),(3 0.99042284),(4 1.3540306),(5 1.3542542),(6 1.4361731),(7 1.7157196),(8 1.9200497),(9 1.9232116),(10 2.1205382),(11 2.1930428),(12 2.4047823),(13 2.4029095),(14 2.470755),(15 2.5858743),(16 2.592166),(17 2.5898173),(18 2.6641393),(19 2.5711982),(20 2.740295),(21 2.7392926),(22 2.560925),(23 2.6320689),(24 2.7539852),(25 2.7529628),(26 2.7151794),(27 2.8927288),(28 2.9446526),(29 2.9644432),(30 2.8217285),(31 2.8633053),(32 3.0632076),(33 3.062503),(34 3.0660303),(35 2.9197826),(36 3.0623102),(37 3.0602553),(38 3.006088),(39 2.9489973),(40 3.0260558),(41 3.0243664),(42 2.8468907),(43 3.0673327),(44 3.0676665),
(1 0.00046563413),(2 0.30858928),(3 1.034223),(4 1.3788158),(5 1.3789351),(6 1.4433818),(7 1.7774105),(8 2.0048273),(9 2.006386),(10 2.2090583),(11 2.287686),(12 2.4967585),(13 2.4974208),(14 2.5095856),(15 2.7154305),(16 2.7006152),(17 2.6976447),(18 2.7241893),(19 2.6179783),(20 2.8197486),(21 2.8194418),(22 2.6454966),(23 2.6550758),(24 2.799834),(25 2.8010385),(26 2.6982896),(27 2.926427),(28 3.0516691),(29 3.0746324),(30 2.9281745),(31 2.8095534),(32 2.9646258),(33 2.9598348),(34 2.9865723),(35 2.9406915),(36 3.123321),(37 3.1210868),(38 3.0768323),(39 2.9996634),(40 3.08733),(41 3.087055),(42 2.9300046),(43 3.0691755),(44 3.0691705),
(1 0.00046253702),(2 0.2830558),(3 0.9527203),(4 1.198507),(5 1.2003981),(6 1.2902933),(7 1.5696417),(8 1.7733964),(9 1.7723271),(10 1.928803),(11 1.9744554),(12 2.1935632),(13 2.1963348),(14 2.1926763),(15 2.3030803),(16 2.244832),(17 2.242559),(18 2.3158402),(19 2.2876189),(20 2.5016344),(21 2.5024438),(22 2.3087327),(23 2.399534),(24 2.463093),(25 2.462982),(26 2.3972085),(27 2.5951188),(28 2.6705868),(29 2.688708),(30 2.5297577),(31 2.555226),(32 2.7614505),(33 2.756112),(34 2.7261114),(35 2.6731727),(36 2.8833234),(37 2.879161),(38 2.8327303),(39 2.751188),(40 2.8022602),(41 2.7982178),(42 2.6581545),(43 2.7686682),(44 2.769371),
(1 0.00043105148),(2 0.2479842),(3 0.8357346),(4 1.0791152),(5 1.0793104),(6 1.1403083),(7 1.3713664),(8 1.5033978),(9 1.5043975),(10 1.6469051),(11 1.7173668),(12 1.9005592),(13 1.8993545),(14 1.9213009),(15 2.0257115),(16 2.034033),(17 2.0297642),(18 2.068427),(19 1.9869626),(20 2.1589997),(21 2.1568053),(22 2.0445266),(23 2.0890837),(24 2.1763656),(25 2.1766849),(26 2.1233063),(27 2.2950573),(28 2.3211224),(29 2.3318033),(30 2.1958063),(31 2.2924163),(32 2.4482203),(33 2.441679),(34 2.3820987),(35 2.2447677),(36 2.384976),(37 2.3799255),(38 2.370492),(39 2.3381467),(40 2.3585489),(41 2.3563755),(42 2.2293975),(43 2.3308306),(44 2.3301592),
(1 0.00035908035),(2 0.19525954),(3 0.68660456),(4 0.886269),(5 0.8871262),(6 0.93338484),(7 1.1167464),(8 1.2370102),(9 1.2378803),(10 1.3459173),(11 1.3993086),(12 1.5540813),(13 1.5541161),(14 1.5845281),(15 1.6711003),(16 1.6553137),(17 1.6510582),(18 1.6543176),(19 1.5977284),(20 1.7280298),(21 1.726781),(22 1.6287768),(23 1.6882579),(24 1.7126005),(25 1.7136052),(26 1.661983),(27 1.8314859),(28 1.826094),(29 1.8430818),(30 1.7435114),(31 1.7210603),(32 1.8500878),(33 1.846264),(34 1.8723041),(35 1.8395635),(36 1.9445702),(37 1.943087),(38 1.891148),(39 1.8935947),(40 1.9447488),(41 1.9432389),(42 1.831355),(43 1.9282557),(44 1.9284939),
(1 0.00035198036),(2 0.18059687),(3 0.63238925),(4 0.82810163),(5 0.8289163),(6 0.88520133),(7 1.0376537),(8 1.1326437),(9 1.1323485),(10 1.2235825),(11 1.2592849),(12 1.3975506),(13 1.3944397),(14 1.4310857),(15 1.4194518),(16 1.4096073),(17 1.4021407),(18 1.4561867),(19 1.4191338),(20 1.531021),(21 1.5298635),(22 1.4346156),(23 1.5229414),(24 1.595767),(25 1.5964357),(26 1.54713),(27 1.6742706),(28 1.7023867),(29 1.7020569),(30 1.6109848),(31 1.6118681),(32 1.7325462),(33 1.7286874),(34 1.6930546),(35 1.6583104),(36 1.7868075),(37 1.7848892),(38 1.7339478),(39 1.6984321),(40 1.7400447),(41 1.7399261),(42 1.6327049),(43 1.7176224),(44 1.7170658),
(1 0.00035774612),(2 0.18564548),(3 0.60235184),(4 0.7769162),(5 0.7775606),(6 0.83203346),(7 1.0019686),(8 1.1023557),(9 1.1030506),(10 1.197961),(11 1.2565771),(12 1.3777374),(13 1.3769643),(14 1.3981427),(15 1.4274546),(16 1.4418285),(17 1.4376873),(18 1.481588),(19 1.3672943),(20 1.4939122),(21 1.4937729),(22 1.4000579),(23 1.4902894),(24 1.5264192),(25 1.5262136),(26 1.4673933),(27 1.6095572),(28 1.6355987),(29 1.6451567),(30 1.5363846),(31 1.5505068),(32 1.6577947),(33 1.6552057),(34 1.6341498),(35 1.5916822),(36 1.6822188),(37 1.6800324),(38 1.6145064),(39 1.6061571),(40 1.6335375),(41 1.6327935),(42 1.561181),(43 1.6790795),(44 1.6789596),
(1 0.00031828944),(2 0.15891674),(3 0.4999958),(4 0.6485839),(5 0.64923537),(6 0.6733401),(7 0.8054792),(8 0.9036035),(9 0.9042514),(10 0.9765533),(11 0.9992425),(12 1.1150566),(13 1.1126711),(14 1.1267993),(15 1.1120942),(16 1.1127417),(17 1.1111604),(18 1.136687),(19 1.1170774),(20 1.2300959),(21 1.2287402),(22 1.1433994),(23 1.2291621),(24 1.2593883),(25 1.2600853),(26 1.2048001),(27 1.3306009),(28 1.371829),(29 1.3839574),(30 1.275069),(31 1.2835239),(32 1.3793141),(33 1.376131),(34 1.3645296),(35 1.3222328),(36 1.3957912),(37 1.391617),(38 1.3659621),(39 1.3546902),(40 1.3646275),(41 1.3643043),(42 1.3025041),(43 1.4118031),(44 1.4111986),
(1 0.00032164957),(2 0.15693767),(3 0.4985174),(4 0.63368016),(5 0.6355362),(6 0.6647686),(7 0.81392556),(8 0.89510983),(9 0.89339614),(10 0.94521356),(11 0.94682723),(12 1.0551873),(13 1.0539299),(14 1.0808556),(15 1.0724437),(16 1.0798442),(17 1.0782154),(18 1.1113925),(19 1.0640495),(20 1.1724656),(21 1.1703632),(22 1.0947984),(23 1.1555669),(24 1.2084651),(25 1.2093056),(26 1.1834385),(27 1.3423156),(28 1.3377385),(29 1.3521351),(30 1.254133),(31 1.266232),(32 1.3360317),(33 1.3328222),(34 1.3086737),(35 1.2758604),(36 1.3629076),(37 1.3610715),(38 1.3109617),(39 1.296287),(40 1.3087595),(41 1.3088018),(42 1.2379853),(43 1.3019813),(44 1.3020312),
(1 0.00029253704),(2 0.13427468),(3 0.42762017),(4 0.5387313),(5 0.53908706),(6 0.5564613),(7 0.6598051),(8 0.7346168),(9 0.7356425),(10 0.7797227),(11 0.81340545),(12 0.91629946),(13 0.91573876),(14 0.92996037),(15 0.92714065),(16 0.9321152),(17 0.92895347),(18 0.9427753),(19 0.9298411),(20 1.0179837),(21 1.0166607),(22 0.93188876),(23 0.9689088),(24 1.0064518),(25 1.0064827),(26 0.9828906),(27 1.105915),(28 1.1457534),(29 1.1544464),(30 1.0703197),(31 1.012548),(32 1.0864316),(33 1.0818391),(34 1.0815278),(35 1.0533648),(36 1.1160215),(37 1.1149259),(38 1.0804886),(39 1.0605733),(40 1.068396),(41 1.0672048),(42 1.0197995),(43 1.0910296),(44 1.0908078),
(1 0.00028462624),(2 0.12463648),(3 0.38571906),(4 0.48809147),(5 0.48870572),(6 0.513938),(7 0.61182356),(8 0.6744214),(9 0.6755333),(10 0.71436924),(11 0.7410411),(12 0.83638686),(13 0.83662325),(14 0.85918415),(15 0.8949469),(16 0.8754321),(17 0.8715511),(18 0.8836994),(19 0.8618778),(20 0.90488005),(21 0.90403795),(22 0.8469057),(23 0.8969728),(24 0.942755),(25 0.94364333),(26 0.9116662),(27 1.0262082),(28 1.0610839),(29 1.0664082),(30 0.99935746),(31 0.96844214),(32 1.0550336),(33 1.0527306),(34 1.0252002),(35 0.9820318),(36 1.0411952),(37 1.0386733),(38 1.0063156),(39 1.008263),(40 1.0260042),(41 1.0261706),(42 0.9817169),(43 1.0655326),(44 1.0654705),
