1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 519.0579),(2 669.9777),(3 733.8009),(4 771.92834),(5 814.07404),(6 836.9305),(7 853.5963),(8 881.2345),(9 890.8348),(10 903.4892),(11 930.419),(12 938.10156),(13 944.95715),(14 957.46246),(15 972.5105),(16 971.44025),(17 982.5438),(18 979.8793),(19 987.1556),(20 1001.6138),(21 991.6284),(22 986.1014),(23 977.18835),(24 981.1636),(25 976.8989),(26 986.58685),(27 990.48773),(28 984.6328),(29 990.40063),(30 994.22314),(31 1002.20624),(32 1007.8396),(33 1006.57367),(34 1009.20667),(35 1010.14105),(36 993.33936),(37 996.20886),(38 994.754),(39 998.98236),(40 997.2227),(41 994.6615),(42 998.9553),(43 1000.5212),(44 1004.6132),(45 1004.6168),(46 1005.35223),(47 1023.54236),(48 1027.513),(49 1025.7903),(50 1036.6151),(51 1035.0721),(52 1037.4032),(53 1052.1051),(54 1055.0061),(55 1053.0015),(56 1070.8092),(57 1068.737),(58 1065.9064),(59 1097.4624),(60 1078.6459),(61 1093.3462),(62 1109.1742),(63 1097.6992),(64 1095.7739),(65 1105.3398),(66 1091.9425),(67 1107.6055),(68 1107.3412),(69 1114.7686),(70 1124.5831),(71 1114.2488),(72 1120.1018),(73 1118.7592),(74 1116.2501),(75 1095.773),(76 1095.7369),(77 1107.4004),(78 1099.5906),(79 1096.4421),
(1 520.7618),(2 676.06),(3 745.3549),(4 777.98236),(5 828.601),(6 842.22375),(7 863.4078),(8 893.62683),(9 898.6001),(10 907.35565),(11 926.916),(12 936.88446),(13 946.918),(14 957.85736),(15 959.8508),(16 966.4295),(17 973.3304),(18 973.83514),(19 985.44714),(20 992.42896),(21 990.6706),(22 989.81354),(23 993.9169),(24 998.1616),(25 999.8647),(26 999.66846),(27 1000.0506),(28 988.8264),(29 993.72253),(30 990.5305),(31 1010.0745),(32 1019.8241),(33 1020.165),(34 1015.6396),(35 1011.93146),(36 1002.24963),(37 1000.98126),(38 1018.69104),(39 1017.40186),(40 1012.5468),(41 1016.7499),(42 1005.059),(43 1001.0678),(44 1007.2358),(45 1014.7257),(46 1028.056),(47 1039.9766),(48 1027.9443),(49 1023.32855),(50 1043.1017),(51 1048.2124),(52 1054.5009),(53 1059.1858),(54 1047.898),(55 1060.3926),(56 1074.9065),(57 1071.1997),(58 1062.883),(59 1103.8259),(60 1092.7397),(61 1096.6641),(62 1111.36),(63 1103.0869),(64 1101.9402),(65 1110.8977),(66 1098.9016),(67 1101.5287),(68 1106.7732),(69 1114.1191),(70 1116.6073),(71 1117.0824),(72 1113.9246),(73 1113.1217),(74 1111.0952),(75 1100.8634),(76 1097.3151),(77 1099.6188),(78 1077.11),(79 1095.7684),
(1 516.30084),(2 681.40155),(3 737.0773),(4 769.66016),(5 800.88074),(6 821.5724),(7 836.2033),(8 860.0012),(9 863.0748),(10 881.2879),(11 895.6383),(12 892.5286),(13 900.304),(14 911.1358),(15 916.9057),(16 932.8785),(17 956.28784),(18 954.58246),(19 957.3972),(20 966.6161),(21 954.83185),(22 964.56445),(23 962.66656),(24 963.20886),(25 971.34216),(26 969.9195),(27 973.47284),(28 968.481),(29 981.7018),(30 980.60406),(31 982.3311),(32 996.5241),(33 1001.488),(34 994.115),(35 999.953),(36 985.2884),(37 981.49304),(38 996.5705),(39 986.27386),(40 985.3234),(41 998.7186),(42 986.01514),(43 976.73444),(44 995.4376),(45 988.97455),(46 993.00446),(47 998.6405),(48 996.7539),(49 993.1423),(50 1020.56305),(51 1021.4858),(52 1023.7395),(53 1027.0497),(54 1019.66345),(55 1019.90936),(56 1040.1179),(57 1034.5576),(58 1037.8473),(59 1067.4773),(60 1056.4506),(61 1069.6853),(62 1076.6161),(63 1079.4066),(64 1080.7083),(65 1102.2742),(66 1094.9901),(67 1085.9261),(68 1094.222),(69 1087.5131),(70 1085.871),(71 1096.8253),(72 1094.2496),(73 1080.6718),(74 1083.4266),(75 1084.1403),(76 1077.7262),(77 1081.8003),(78 1069.3009),(79 1072.4104),
(1 499.97437),(2 657.89545),(3 714.2255),(4 740.231),(5 781.2815),(6 795.46216),(7 823.88336),(8 852.705),(9 860.5424),(10 871.141),(11 889.3658),(12 904.8586),(13 912.4666),(14 927.2527),(15 933.5542),(16 934.5839),(17 953.83014),(18 962.5265),(19 961.323),(20 972.85297),(21 958.18225),(22 966.43835),(23 972.74915),(24 969.09814),(25 980.80115),(26 985.29956),(27 984.5205),(28 972.8815),(29 981.24194),(30 984.6564),(31 980.80975),(32 1000.9209),(33 1001.45483),(34 995.5813),(35 992.6466),(36 992.2311),(37 977.0062),(38 981.4329),(39 973.539),(40 980.0965),(41 989.67926),(42 991.99664),(43 991.20447),(44 1001.83795),(45 995.0797),(46 989.17267),(47 1003.4874),(48 1002.90063),(49 1008.74347),(50 1018.8168),(51 1026.7937),(52 1014.13995),(53 1022.44574),(54 1021.2524),(55 1014.7085),(56 1025.3179),(57 1018.2843),(58 1024.1904),(59 1032.5444),(60 1018.7475),(61 1023.6707),(62 1034.9468),(63 1030.4688),(64 1033.4135),(65 1050.4679),(66 1051.4908),(67 1041.5328),(68 1030.9457),(69 1035.4188),(70 1046.8184),(71 1051.1964),(72 1039.2449),(73 1030.3081),(74 1029.786),(75 1040.9336),(76 1042.0275),(77 1043.3538),(78 1038.8604),(79 1039.4531),
(1 495.0513),(2 654.62885),(3 709.1656),(4 738.26556),(5 783.1337),(6 791.8425),(7 818.6938),(8 845.5916),(9 854.60565),(10 855.65936),(11 874.6525),(12 883.5122),(13 888.10864),(14 899.6972),(15 924.78186),(16 922.736),(17 932.27094),(18 930.8628),(19 930.643),(20 943.7966),(21 935.7161),(22 944.2597),(23 951.1928),(24 943.66394),(25 950.12506),(26 965.69934),(27 963.3209),(28 961.82916),(29 972.86847),(30 966.15247),(31 967.53156),(32 988.84064),(33 982.74695),(34 975.0407),(35 980.50073),(36 984.5104),(37 981.82776),(38 997.7569),(39 987.9471),(40 984.5077),(41 977.27313),(42 986.4061),(43 986.6617),(44 998.06036),(45 1002.67224),(46 1004.5052),(47 1006.9063),(48 993.16614),(49 986.7655),(50 1006.13074),(51 1019.45325),(52 1017.81824),(53 1006.42596),(54 1003.7751),(55 1000.776),(56 1015.92084),(57 1018.3646),(58 1010.8365),(59 1020.18066),(60 1005.6087),(61 1002.56146),(62 1018.1332),(63 1014.50916),(64 1006.537),(65 1031.3126),(66 1019.7631),(67 1034.7737),(68 1029.0707),(69 1030.5098),(70 1035.7998),(71 1043.1472),(72 1034.0139),(73 1019.6676),(74 1017.37274),(75 1026.7382),(76 1013.0734),(77 1019.3797),(78 1011.3988),(79 1010.49695),
(1 494.59827),(2 654.0232),(3 700.7474),(4 736.2936),(5 773.8849),(6 791.56476),(7 810.7585),(8 824.34143),(9 830.05176),(10 836.0589),(11 857.1958),(12 855.37335),(13 875.00604),(14 877.19),(15 893.1528),(16 886.92755),(17 898.4446),(18 898.4297),(19 905.79407),(20 916.1653),(21 916.54803),(22 910.79065),(23 912.5909),(24 913.3673),(25 935.67084),(26 946.69525),(27 943.09827),(28 939.90533),(29 956.5328),(30 942.455),(31 954.9323),(32 969.19293),(33 959.78284),(34 964.7407),(35 974.6489),(36 968.58203),(37 971.5773),(38 976.37213),(39 965.92883),(40 961.7967),(41 964.65845),(42 966.80194),(43 965.0321),(44 973.97205),(45 972.1321),(46 974.3437),(47 982.96),(48 971.14557),(49 970.0875),(50 969.0049),(51 977.8807),(52 987.1997),(53 981.7932),(54 986.15454),(55 979.51715),(56 995.8809),(57 1001.41876),(58 996.97485),(59 1002.1282),(60 976.845),(61 985.70013),(62 997.1729),(63 986.8866),(64 987.79517),(65 1007.2742),(66 1001.502),(67 1011.86816),(68 1024.5098),(69 1009.5204),(70 1018.9883),(71 1027.6465),(72 1018.79486),(73 1003.138),(74 1020.9018),(75 1034.9675),(76 1029.5516),(77 1028.4822),(78 1023.24554),(79 1015.83936),
(1 497.67438),(2 651.456),(3 703.8088),(4 731.9179),(5 766.40045),(6 783.7909),(7 808.0148),(8 822.651),(9 830.49493),(10 845.64404),(11 868.78687),(12 867.40656),(13 872.71063),(14 876.72754),(15 890.41473),(16 894.86835),(17 902.1602),(18 910.2319),(19 904.33154),(20 912.8568),(21 908.66034),(22 906.4289),(23 910.1279),(24 909.0836),(25 924.6053),(26 935.2893),(27 936.7288),(28 934.4105),(29 942.67377),(30 948.0026),(31 953.84406),(32 956.2751),(33 964.9409),(34 961.7972),(35 963.2409),(36 953.60754),(37 952.97485),(38 961.14276),(39 956.14606),(40 961.3471),(41 969.54913),(42 964.2742),(43 958.4683),(44 968.2256),(45 967.8922),(46 973.7714),(47 973.20215),(48 957.3853),(49 955.5236),(50 960.8242),(51 965.64185),(52 964.8191),(53 972.88605),(54 969.4469),(55 974.78925),(56 985.47736),(57 995.8533),(58 994.2879),(59 1002.7544),(60 990.87866),(61 990.21765),(62 1002.698),(63 983.163),(64 995.7949),(65 1011.62006),(66 991.06476),(67 994.6407),(68 1014.385),(69 981.7866),(70 984.64215),(71 1008.5888),(72 1004.03894),(73 994.14276),(74 990.1381),(75 992.7017),(76 1013.1837),(77 1017.0581),(78 1012.17535),(79 1002.0961),
(1 486.6868),(2 636.4594),(3 694.8427),(4 721.8088),(5 767.23334),(6 782.53754),(7 801.3569),(8 818.43414),(9 822.69635),(10 834.9758),(11 848.3288),(12 851.46),(13 855.42523),(14 869.8885),(15 879.5394),(16 878.0429),(17 901.57074),(18 898.0374),(19 898.35913),(20 905.4712),(21 897.7398),(22 899.10626),(23 910.8299),(24 903.84894),(25 910.45264),(26 927.522),(27 926.8512),(28 922.62036),(29 937.9835),(30 953.64087),(31 947.9633),(32 945.0043),(33 950.1638),(34 943.4359),(35 952.2569),(36 930.5006),(37 938.13385),(38 938.9394),(39 929.0147),(40 934.2505),(41 941.4986),(42 934.16846),(43 933.87823),(44 941.2541),(45 938.1755),(46 937.23083),(47 944.46405),(48 934.5869),(49 947.1364),(50 949.08356),(51 960.0022),(52 954.40814),(53 953.76483),(54 946.94275),(55 950.4808),(56 965.4615),(57 960.96716),(58 964.5387),(59 978.881),(60 971.2956),(61 976.73193),(62 973.4179),(63 959.3974),(64 968.9283),(65 980.7607),(66 964.7917),(67 977.9484),(68 982.0023),(69 966.7356),(70 962.83386),(71 986.5597),(72 984.9781),(73 979.55725),(74 980.55225),(75 967.7393),(76 982.89557),(77 981.2194),(78 967.9437),(79 975.49646),
(1 496.58572),(2 644.8598),(3 698.4573),(4 731.676),(5 774.53015),(6 788.45245),(7 805.8397),(8 824.70013),(9 828.3802),(10 829.67737),(11 843.547),(12 853.94086),(13 859.79034),(14 871.9828),(15 884.32294),(16 896.86145),(17 917.49774),(18 903.13385),(19 908.8474),(20 908.86505),(21 904.03644),(22 902.9744),(23 917.77875),(24 922.03217),(25 920.04425),(26 922.786),(27 921.2531),(28 919.5468),(29 924.9433),(30 924.586),(31 926.09717),(32 941.0561),(33 935.9184),(34 938.4242),(35 941.36755),(36 936.35596),(37 940.3909),(38 937.1026),(39 922.0845),(40 926.2438),(41 922.2757),(42 915.50586),(43 922.73505),(44 918.4578),(45 916.11487),(46 918.306),(47 925.8638),(48 916.1997),(49 918.66266),(50 930.3632),(51 927.62476),(52 945.50183),(53 953.4406),(54 945.8302),(55 934.23444),(56 964.4052),(57 963.7482),(58 974.27527),(59 990.6247),(60 966.1839),(61 983.8325),(62 990.801),(63 978.6086),(64 991.8842),(65 995.0881),(66 988.0159),(67 996.971),(68 998.23676),(69 987.55444),(70 995.8506),(71 993.44586),(72 976.6935),(73 978.2228),(74 986.0018),(75 988.5466),(76 1004.0031),(77 1010.6266),(78 985.6077),(79 993.8846),
(1 495.1694),(2 632.4717),(3 685.4542),(4 721.31744),(5 774.29333),(6 773.48016),(7 786.9648),(8 806.5544),(9 806.36224),(10 818.5418),(11 836.79047),(12 833.74963),(13 836.8734),(14 847.1158),(15 852.85876),(16 859.0447),(17 872.9579),(18 869.29156),(19 868.58887),(20 867.7254),(21 863.91534),(22 869.9161),(23 881.981),(24 882.2255),(25 883.7932),(26 888.11145),(27 889.83777),(28 880.81256),(29 889.6371),(30 891.50104),(31 900.5832),(32 909.6767),(33 897.37506),(34 914.14923),(35 927.2851),(36 913.5724),(37 920.97675),(38 920.31836),(39 920.1619),(40 918.03217),(41 913.46277),(42 896.7499),(43 907.0878),(44 912.7225),(45 909.2707),(46 913.5618),(47 917.1193),(48 917.29016),(49 908.9159),(50 928.79346),(51 927.85925),(52 930.35583),(53 931.8711),(54 923.7583),(55 923.2636),(56 945.7693),(57 953.7809),(58 953.5326),(59 955.6047),(60 940.7573),(61 935.97266),(62 935.6668),(63 932.76227),(64 951.6817),(65 966.89136),(66 963.72235),(67 967.4568),(68 967.8),(69 965.89905),(70 972.34406),(71 979.6708),(72 965.0264),(73 964.856),(74 969.17017),(75 969.6636),(76 977.6019),(77 984.30884),(78 971.8116),(79 957.7998),
(1 481.70004),(2 619.46497),(3 663.553),(4 690.41254),(5 727.49445),(6 732.4692),(7 748.51886),(8 771.65125),(9 780.943),(10 799.308),(11 809.67926),(12 822.0609),(13 816.9154),(14 829.6744),(15 837.4085),(16 839.53485),(17 854.2387),(18 859.05865),(19 857.77356),(20 865.24023),(21 859.867),(22 854.38025),(23 866.9087),(24 862.0878),(25 859.50024),(26 873.31256),(27 865.98035),(28 863.2168),(29 876.2797),(30 872.1295),(31 881.7229),(32 890.1674),(33 892.0409),(34 901.1979),(35 899.54645),(36 886.4982),(37 890.931),(38 889.28467),(39 893.82837),(40 908.944),(41 911.5637),(42 897.32684),(43 907.01404),(44 911.15765),(45 909.571),(46 911.4113),(47 919.7721),(48 916.41095),(49 917.10236),(50 927.9426),(51 942.8542),(52 942.80835),(53 949.572),(54 937.6398),(55 951.87695),(56 955.4137),(57 952.64465),(58 944.838),(59 948.96576),(60 938.38934),(61 925.0273),(62 927.26746),(63 930.9662),(64 936.92834),(65 953.71454),(66 945.865),(67 950.8155),(68 950.00977),(69 943.829),(70 956.7562),(71 961.8737),(72 942.6285),(73 949.3902),(74 965.84094),(75 960.7674),(76 954.64954),(77 963.6088),(78 961.2527),(79 960.4182),
(1 478.85083),(2 615.6052),(3 659.14795),(4 682.9086),(5 722.7127),(6 732.04944),(7 752.594),(8 784.624),(9 790.89465),(10 792.2673),(11 802.4865),(12 813.58044),(13 815.2065),(14 825.8013),(15 825.4015),(16 835.318),(17 839.7888),(18 846.15204),(19 853.98083),(20 862.6343),(21 867.89075),(22 851.3548),(23 865.6972),(24 862.54767),(25 867.6552),(26 872.8741),(27 874.6369),(28 881.1697),(29 882.54553),(30 879.6586),(31 886.8214),(32 878.6031),(33 881.28485),(34 883.9782),(35 891.2057),(36 877.62366),(37 878.192),(38 881.31635),(39 865.1778),(40 878.4577),(41 893.56134),(42 881.63794),(43 890.23584),(44 895.5458),(45 882.28296),(46 876.1325),(47 890.0427),(48 883.83856),(49 880.5562),(50 899.3115),(51 906.0713),(52 897.0904),(53 905.55383),(54 912.20734),(55 910.7532),(56 929.94745),(57 924.5212),(58 931.51654),(59 948.4187),(60 941.5449),(61 933.6742),(62 940.3422),(63 938.50323),(64 937.19086),(65 943.70624),(66 932.41205),(67 929.7964),(68 928.38776),(69 926.1055),(70 933.124),(71 934.79767),(72 930.94543),(73 925.137),(74 928.22095),(75 937.3608),(76 921.4035),(77 921.0822),(78 915.856),(79 917.7562),
(1 463.22662),(2 590.3918),(3 646.4641),(4 674.1889),(5 698.6661),(6 716.5247),(7 745.11804),(8 773.438),(9 779.20795),(10 787.11835),(11 803.7315),(12 803.9382),(13 812.1481),(14 824.5846),(15 832.3695),(16 824.3209),(17 834.1474),(18 843.20636),(19 839.9975),(20 837.16223),(21 843.75635),(22 833.5773),(23 845.61224),(24 846.4747),(25 843.4199),(26 846.96204),(27 847.52734),(28 854.4444),(29 860.557),(30 849.74585),(31 855.95715),(32 852.3995),(33 857.5448),(34 861.54),(35 883.87616),(36 875.0759),(37 872.455),(38 882.0563),(39 876.6065),(40 876.4912),(41 883.7566),(42 876.91815),(43 881.1059),(44 899.3043),(45 881.3202),(46 884.3178),(47 892.1531),(48 879.89923),(49 878.751),(50 897.1492),(51 894.9463),(52 888.0763),(53 896.3793),(54 891.2864),(55 902.75244),(56 916.77454),(57 907.8077),(58 916.4593),(59 924.44403),(60 914.78534),(61 913.3112),(62 927.88763),(63 925.21967),(64 934.5412),(65 940.1221),(66 929.83984),(67 929.80237),(68 925.2437),(69 923.5658),(70 932.2814),(71 941.67065),(72 929.6292),(73 930.2622),(74 937.0818),(75 938.1159),(76 937.3635),(77 939.0006),(78 911.7033),(79 918.18365),
(1 456.2949),(2 584.31036),(3 635.47784),(4 659.22894),(5 689.3972),(6 702.8792),(7 728.12775),(8 749.5154),(9 760.24713),(10 772.64276),(11 784.4918),(12 775.42596),(13 793.97235),(14 803.30707),(15 807.1016),(16 798.9037),(17 813.5237),(18 820.0704),(19 814.59265),(20 814.87213),(21 816.0955),(22 812.0624),(23 820.8005),(24 820.93896),(25 816.75934),(26 833.95386),(27 834.1111),(28 829.7704),(29 840.4806),(30 834.3183),(31 835.8098),(32 834.77216),(33 838.1777),(34 836.34595),(35 858.0299),(36 847.8073),(37 853.4119),(38 858.8049),(39 847.0438),(40 860.06616),(41 871.39624),(42 858.7637),(43 859.7834),(44 872.0532),(45 864.22687),(46 870.7909),(47 879.2746),(48 872.2881),(49 863.60175),(50 891.2049),(51 894.255),(52 887.9297),(53 887.4742),(54 881.3798),(55 894.5851),(56 901.67664),(57 891.6434),(58 883.3067),(59 900.6608),(60 886.3636),(61 883.8092),(62 885.39716),(63 881.54193),(64 882.28644),(65 884.8811),(66 888.1618),(67 887.0163),(68 879.3836),(69 879.9488),(70 878.77185),(71 878.4492),(72 876.6442),(73 882.27545),(74 887.974),(75 885.91364),(76 883.4051),(77 879.68085),(78 857.91504),(79 869.4903),
(1 445.25323),(2 580.2236),(3 627.90594),(4 649.79126),(5 688.472),(6 696.3788),(7 724.08844),(8 737.6895),(9 743.287),(10 746.3942),(11 773.00836),(12 778.0438),(13 784.02997),(14 789.14746),(15 791.19507),(16 796.31696),(17 800.9136),(18 800.08405),(19 802.72076),(20 812.7112),(21 804.12506),(22 800.4064),(23 807.1727),(24 810.01434),(25 819.6746),(26 826.7195),(27 815.823),(28 817.74677),(29 827.2812),(30 823.08),(31 817.4255),(32 816.102),(33 804.43665),(34 808.0218),(35 816.83514),(36 816.8064),(37 815.85767),(38 825.48334),(39 821.8282),(40 824.50745),(41 835.69977),(42 833.1154),(43 827.8693),(44 837.6418),(45 838.7635),(46 842.16724),(47 836.3974),(48 837.7944),(49 845.98816),(50 869.78656),(51 859.5721),(52 862.5187),(53 870.14905),(54 876.9139),(55 886.82135),(56 893.5815),(57 878.67865),(58 879.4335),(59 900.9975),(60 884.2611),(61 885.9115),(62 887.829),(63 884.1116),(64 882.46185),(65 891.1794),(66 885.8173),(67 891.50037),(68 876.9176),(69 875.20306),(70 876.7621),(71 875.00555),(72 871.86786),(73 872.93024),(74 883.8204),(75 877.60034),(76 871.5778),(77 869.7402),(78 847.3569),(79 850.4059),
(1 444.19708),(2 588.91724),(3 633.396),(4 661.37085),(5 684.51447),(6 691.1414),(7 713.6879),(8 730.9277),(9 725.2569),(10 738.78735),(11 762.667),(12 771.571),(13 779.02515),(14 800.66876),(15 794.5798),(16 798.49854),(17 804.955),(18 800.1146),(19 804.4135),(20 810.1502),(21 801.4643),(22 802.2378),(23 810.7356),(24 811.9112),(25 824.75214),(26 834.8716),(27 831.36536),(28 829.0176),(29 845.9996),(30 831.35754),(31 829.1966),(32 831.30444),(33 830.24915),(34 825.79236),(35 826.41235),(36 820.659),(37 820.30646),(38 838.223),(39 845.2375),(40 838.4687),(41 845.3683),(42 832.4116),(43 825.014),(44 829.3093),(45 838.58),(46 837.21277),(47 837.7143),(48 831.35986),(49 844.1882),(50 867.0066),(51 856.7233),(52 848.84174),(53 859.6886),(54 865.3586),(55 877.99304),(56 888.3151),(57 885.0949),(58 884.40216),(59 900.51154),(60 890.47186),(61 886.0639),(62 889.34467),(63 887.9706),(64 882.8753),(65 896.8431),(66 890.5349),(67 895.04205),(68 900.3384),(69 898.2419),(70 895.8818),(71 895.7574),(72 889.2078),(73 888.4445),(74 895.6693),(75 893.7493),(76 892.2463),(77 894.9993),(78 870.57574),(79 871.8591),
(1 437.918),(2 563.69965),(3 614.48737),(4 650.29535),(5 664.86993),(6 664.3482),(7 687.28705),(8 705.50195),(9 699.00183),(10 718.70734),(11 737.9766),(12 739.0919),(13 757.50244),(14 767.4556),(15 768.05096),(16 770.6901),(17 793.2413),(18 780.95013),(19 780.20514),(20 784.69403),(21 785.09204),(22 797.44165),(23 796.48175),(24 790.5157),(25 785.34515),(26 789.62836),(27 797.4781),(28 796.9033),(29 800.5896),(30 796.443),(31 792.51),(32 803.9893),(33 803.3647),(34 797.72766),(35 800.2772),(36 795.0217),(37 794.20795),(38 800.774),(39 804.3278),(40 805.9804),(41 804.69324),(42 792.6541),(43 794.8029),(44 810.56866),(45 810.49866),(46 817.47723),(47 815.8216),(48 815.7827),(49 826.38684),(50 844.8152),(51 844.2367),(52 838.0203),(53 854.3907),(54 851.9683),(55 863.0227),(56 877.4419),(57 865.6315),(58 859.7196),(59 877.16754),(60 863.78625),(61 871.4127),(62 872.52515),(63 863.37305),(64 859.62354),(65 870.2878),(66 876.0395),(67 876.6113),(68 869.9495),(69 866.8244),(70 858.6695),(71 860.5681),(72 854.50726),(73 860.4176),(74 853.82495),(75 846.63745),(76 846.2902),(77 844.54004),(78 838.8213),(79 839.26666),
(1 426.72012),(2 540.22675),(3 583.34064),(4 611.28217),(5 633.57104),(6 648.6566),(7 669.13153),(8 687.0451),(9 680.263),(10 699.2716),(11 710.16437),(12 714.71967),(13 733.3692),(14 734.95605),(15 740.7215),(16 732.7577),(17 744.19946),(18 736.99756),(19 750.49554),(20 767.143),(21 768.4935),(22 775.99915),(23 773.7607),(24 766.0208),(25 768.4867),(26 771.86597),(27 771.80316),(28 770.8029),(29 771.7446),(30 768.79614),(31 764.8676),(32 769.8249),(33 769.2591),(34 769.83905),(35 767.92206),(36 765.96643),(37 767.55304),(38 763.85565),(39 769.38),(40 776.26196),(41 778.4784),(42 772.61066),(43 780.2006),(44 790.65393),(45 789.9972),(46 788.8564),(47 799.7622),(48 796.1123),(49 800.5979),(50 810.14136),(51 811.3343),(52 810.66504),(53 814.66693),(54 826.6763),(55 826.2103),(56 847.9508),(57 818.40186),(58 826.6289),(59 846.57513),(60 845.865),(61 845.8838),(62 855.34686),(63 848.7282),(64 840.50165),(65 853.41534),(66 858.8703),(67 857.1743),(68 844.9022),(69 841.8337),(70 838.76117),(71 846.7906),(72 832.0969),(73 840.2832),(74 838.6943),(75 841.24286),(76 837.96735),(77 831.36444),(78 814.73126),(79 819.77277),
