1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1285.0374),(2 2211.3213),(3 2736.4358),(4 3109.5208),(5 3334.5732),(6 3496.5388),(7 3574.6),(8 3691.9707),(9 3754.5142),(10 3865.9912),(11 3905.5613),(12 3990.9927),(13 4113.7754),(14 4204.6426),(15 4280.603),(16 4306.4473),(17 4346.5376),(18 4388.2183),(19 4410.0615),(20 4448.601),(21 4425.0864),(22 4411.107),(23 4469.8086),(24 4463.7583),(25 4465.591),(26 4463.9697),(27 4419.333),(28 4518.6963),(29 4495.657),(30 4470.222),(31 4466.281),(32 4382.16),(33 4414.77),(34 4470.55),(35 4549.115),(36 4530.9927),(37 4549.814),(38 4571.1416),(39 4534.7915),(40 4479.594),(41 4436.7925),(42 4380.2383),(43 4347.3745),(44 4309.03),(45 4288.1196),(46 4267.597),(47 4209.769),(48 4179.002),(49 4206.6934),(50 4212.103),(51 4202.6187),(52 4216.721),(53 4237.3784),(54 4243.81),(55 4268.511),(56 4287.984),(57 4321.628),(58 4279.9487),(59 4235.8984),(60 4236.258),(61 4247.1304),(62 4266.442),(63 4284.465),(64 4307.391),(65 4310.9233),(66 4306.1074),(67 4315.667),(68 4302.5146),(69 4365.6704),(70 4421.049),(71 4556.193),(72 4625.765),(73 4708.8057),(74 4780.0015),(75 4865.002),(76 4936.6357),(77 4985.936),(78 5095.813),(79 5182.077),
(1 1251.8951),(2 2162.21),(3 2665.4268),(4 2956.328),(5 3217.1655),(6 3373.8923),(7 3549.537),(8 3627.589),(9 3659.141),(10 3754.8484),(11 3800.723),(12 3891.6343),(13 3969.3933),(14 4013.7334),(15 4107.9116),(16 4124.9546),(17 4125.1196),(18 4141.0566),(19 4192.8076),(20 4260.0913),(21 4286.2397),(22 4297.739),(23 4306.387),(24 4305.622),(25 4313.653),(26 4343.092),(27 4363.8667),(28 4433.5195),(29 4442.462),(30 4420.2285),(31 4381.494),(32 4337.8623),(33 4374.2285),(34 4381.19),(35 4388.039),(36 4347.293),(37 4328.7876),(38 4291.6016),(39 4251.886),(40 4189.3994),(41 4156.6245),(42 4121.5464),(43 4078.9746),(44 4041.5435),(45 4023.0854),(46 4030.5786),(47 4041.9824),(48 4021.5972),(49 4014.2693),(50 4000.6519),(51 4017.9563),(52 4052.7056),(53 4112.071),(54 4177.7925),(55 4206.4307),(56 4228.8013),(57 4221.296),(58 4225.94),(59 4241.8403),(60 4206.617),(61 4172.5),(62 4126.8413),(63 4114.679),(64 4110.9385),(65 4118.732),(66 4145.993),(67 4143.719),(68 4215.971),(69 4296.383),(70 4322.373),(71 4393.4404),(72 4431.2285),(73 4552.699),(74 4612.1904),(75 4650.164),(76 4712.8354),(77 4765.3325),(78 4859.934),(79 4961.3),
(1 1234.5682),(2 2103.5576),(3 2551.1716),(4 2852.2686),(5 3084.783),(6 3254.0234),(7 3379.2712),(8 3494.0845),(9 3535.0774),(10 3609.2563),(11 3609.2422),(12 3659.604),(13 3714.2485),(14 3750.1604),(15 3815.293),(16 3878.1506),(17 3866.781),(18 3900.6453),(19 3951.4233),(20 4015.7422),(21 4071.6094),(22 4074.5466),(23 4035.1094),(24 4052.1711),(25 4141.529),(26 4183.3594),(27 4267.4165),(28 4321.3613),(29 4353.852),(30 4366.633),(31 4321.647),(32 4322.8403),(33 4340.43),(34 4378.564),(35 4396.742),(36 4363.7695),(37 4281.3584),(38 4273.722),(39 4218.701),(40 4139.8535),(41 4116.977),(42 4049.272),(43 4012.1357),(44 4026.0142),(45 4008.1008),(46 4030.0493),(47 4001.549),(48 3984.8948),(49 3977.2437),(50 3950.0273),(51 3949.1377),(52 3993.9587),(53 4055.1462),(54 4084.176),(55 4098.9175),(56 4079.5398),(57 4118.0254),(58 4103.6157),(59 4105.3735),(60 4078.31),(61 4092.4133),(62 4061.326),(63 4030.4639),(64 4057.1218),(65 4051.5623),(66 4101.608),(67 4119.375),(68 4099.6353),(69 4136.8438),(70 4128.769),(71 4143.0864),(72 4188.4272),(73 4294.2095),(74 4304.274),(75 4295.14),(76 4332.082),(77 4370.291),(78 4370.239),(79 4403.5103),
(1 1210.0134),(2 2035.8374),(3 2484.242),(4 2788.8367),(5 2992.6155),(6 3128.1409),(7 3208.689),(8 3283.6687),(9 3353.78),(10 3504.621),(11 3583.6438),(12 3662.6228),(13 3698.8684),(14 3730.6914),(15 3801.1064),(16 3837.3567),(17 3845.6138),(18 3916.0942),(19 3955.129),(20 4072.813),(21 4053.274),(22 4031.5305),(23 4035.3591),(24 4048.3518),(25 4068.1362),(26 4114.4624),(27 4158.7285),(28 4254.5146),(29 4271.0654),(30 4289.3125),(31 4328.127),(32 4336.307),(33 4425.0503),(34 4401.908),(35 4386.5576),(36 4373.514),(37 4340.523),(38 4288.9243),(39 4246.4067),(40 4174.6133),(41 4130.576),(42 4038.0974),(43 3988.8933),(44 3977.7651),(45 3918.4153),(46 3923.424),(47 3917.4211),(48 3936.0027),(49 3912.1628),(50 3900.538),(51 3903.3816),(52 3876.3748),(53 3893.162),(54 3895.355),(55 3926.0586),(56 3934.9194),(57 3947.5305),(58 3942.145),(59 3988.1565),(60 4024.3677),(61 4056.889),(62 4009.766),(63 3922.0647),(64 3900.0986),(65 3937.724),(66 3952.0881),(67 3909.4902),(68 3902.7534),(69 3985.6162),(70 4043.0889),(71 4084.3179),(72 4117.856),(73 4236.703),(74 4256.303),(75 4289.5044),(76 4381.8594),(77 4438.449),(78 4509.429),(79 4525.8564),
(1 1183.6595),(2 1987.104),(3 2405.856),(4 2708.256),(5 2883.8872),(6 3003.793),(7 3100.9155),(8 3160.3584),(9 3224.3296),(10 3352.9739),(11 3450.4634),(12 3510.0056),(13 3574.8655),(14 3646.0352),(15 3702.2197),(16 3763.462),(17 3796.8552),(18 3837.4292),(19 3858.9348),(20 3964.9429),(21 4015.4578),(22 3985.6694),(23 3999.7017),(24 4055.484),(25 4102.728),(26 4128.0815),(27 4157.9536),(28 4235.949),(29 4252.4556),(30 4296.567),(31 4299.0806),(32 4265.2593),(33 4246.51),(34 4196.4517),(35 4192.075),(36 4155.407),(37 4126.482),(38 4091.8535),(39 4039.8655),(40 4012.2056),(41 3979.0247),(42 3919.3848),(43 3901.6462),(44 3890.3254),(45 3856.735),(46 3846.4666),(47 3818.7676),(48 3884.3823),(49 3897.535),(50 3886.9543),(51 3834.2715),(52 3842.0486),(53 3840.711),(54 3845.9668),(55 3857.6145),(56 3886.669),(57 3890.848),(58 3862.9036),(59 3881.6672),(60 3895.4976),(61 3920.7864),(62 3875.0479),(63 3809.0151),(64 3801.7126),(65 3850.1482),(66 3851.1821),(67 3854.3137),(68 3829.3994),(69 3853.4148),(70 3922.3066),(71 4004.8696),(72 4012.323),(73 4105.55),(74 4179.392),(75 4259.1787),(76 4318.2837),(77 4336.1763),(78 4394.3423),(79 4482.7656),
(1 1189.4143),(2 1994.5514),(3 2416.0508),(4 2693.6785),(5 2855.3926),(6 2954.527),(7 3095.138),(8 3167.6199),(9 3167.8127),(10 3235.529),(11 3307.6106),(12 3397.4316),(13 3442.9624),(14 3480.174),(15 3552.0017),(16 3552.832),(17 3573.6453),(18 3612.4668),(19 3651.8276),(20 3739.665),(21 3769.757),(22 3787.6367),(23 3805.626),(24 3826.167),(25 3880.1462),(26 3915.4207),(27 3973.615),(28 4019.9211),(29 4036.8972),(30 4033.5247),(31 4026.2954),(32 3983.411),(33 3966.8997),(34 3969.8406),(35 3993.9832),(36 4005.3662),(37 3997.511),(38 3985.3047),(39 3965.2805),(40 3943.698),(41 3895.8074),(42 3873.4856),(43 3866.3076),(44 3878.4067),(45 3900.245),(46 3873.3594),(47 3802.781),(48 3797.5051),(49 3763.6934),(50 3745.069),(51 3751.3367),(52 3746.6172),(53 3754.8816),(54 3735.019),(55 3729.935),(56 3742.6604),(57 3742.7883),(58 3710.4429),(59 3726.0273),(60 3723.4458),(61 3732.7168),(62 3755.9453),(63 3753.6042),(64 3753.9043),(65 3793.2463),(66 3791.8418),(67 3768.5576),(68 3811.602),(69 3894.1248),(70 3919.6404),(71 3998.781),(72 3962.8203),(73 4056.3877),(74 4105.361),(75 4170.0693),(76 4188.5347),(77 4177.029),(78 4206.5703),(79 4267.4883),
(1 1185.767),(2 1958.3113),(3 2389.1038),(4 2672.552),(5 2862.014),(6 2961.372),(7 3063.4956),(8 3098.4456),(9 3142.275),(10 3193.615),(11 3271.022),(12 3359.6882),(13 3444.8577),(14 3509.0405),(15 3537.7266),(16 3567.3853),(17 3603.1924),(18 3645.5447),(19 3695.8713),(20 3748.3408),(21 3775.7166),(22 3761.9048),(23 3762.4358),(24 3742.5583),(25 3784.5117),(26 3845.4192),(27 3915.309),(28 3943.37),(29 3922.8193),(30 3953.7234),(31 3917.4714),(32 3899.0454),(33 3922.7258),(34 3906.1047),(35 3944.5566),(36 3949.5046),(37 3921.4636),(38 3852.6685),(39 3812.1777),(40 3737.6934),(41 3719.8882),(42 3691.3418),(43 3700.962),(44 3702.6982),(45 3676.7156),(46 3610.7222),(47 3562.3262),(48 3562.6667),(49 3528.0461),(50 3504.61),(51 3518.1482),(52 3548.2585),(53 3575.7324),(54 3580.0693),(55 3548.3555),(56 3561.755),(57 3540.4714),(58 3588.1697),(59 3617.2354),(60 3626.746),(61 3626.153),(62 3619.0054),(63 3657.805),(64 3674.7563),(65 3724.4814),(66 3753.5608),(67 3804.2334),(68 3852.959),(69 3893.5918),(70 3886.493),(71 3922.9507),(72 3882.226),(73 3953.0452),(74 3990.6711),(75 4045.8303),(76 4114.349),(77 4122.7246),(78 4171.7563),(79 4219.694),
(1 1181.2466),(2 1954.8949),(3 2341.9956),(4 2648.935),(5 2850.1523),(6 2984.053),(7 3068.3828),(8 3109.0146),(9 3210.4883),(10 3263.3635),(11 3348.6375),(12 3406.1826),(13 3470.8213),(14 3523.9575),(15 3575.177),(16 3591.8904),(17 3640.9573),(18 3667.8547),(19 3695.3752),(20 3725.7664),(21 3743.1282),(22 3693.624),(23 3686.6155),(24 3689.4084),(25 3690.0425),(26 3700.598),(27 3758.9082),(28 3825.0642),(29 3817.9573),(30 3787.8608),(31 3818.9885),(32 3830.1838),(33 3829.211),(34 3807.0068),(35 3824.0076),(36 3800.236),(37 3781.3618),(38 3731.474),(39 3672.3594),(40 3617.4846),(41 3622.463),(42 3597.9192),(43 3606.6418),(44 3578.6257),(45 3545.228),(46 3527.5793),(47 3505.4463),(48 3469.1702),(49 3469.7786),(50 3485.011),(51 3519.8306),(52 3538.4626),(53 3574.7957),(54 3564.9192),(55 3567.86),(56 3551.9028),(57 3496.5957),(58 3439.517),(59 3443.039),(60 3427.4993),(61 3435.7222),(62 3458.1812),(63 3473.7144),(64 3475.1018),(65 3520.2087),(66 3555.6653),(67 3596),(68 3639.6892),(69 3671.524),(70 3684.5032),(71 3730.5234),(72 3740.9783),(73 3812.8162),(74 3855.5837),(75 3928.251),(76 4001.495),(77 4014.8906),(78 4042.525),(79 4096.235),
(1 1136.0977),(2 1904.4817),(3 2272.775),(4 2567.302),(5 2749.999),(6 2866.8354),(7 2969.3328),(8 3029.0234),(9 3083.7493),(10 3111.7197),(11 3168.7432),(12 3227.1995),(13 3295.2273),(14 3338.5728),(15 3387.0042),(16 3393.7947),(17 3408.9463),(18 3430.9153),(19 3477.2808),(20 3532.001),(21 3526.8484),(22 3531.1328),(23 3517.728),(24 3492.3333),(25 3485.1843),(26 3491.5544),(27 3590.8809),(28 3642.5308),(29 3641.0688),(30 3588.0674),(31 3570.5242),(32 3603.7634),(33 3619.8953),(34 3635.4407),(35 3657.1074),(36 3675.1921),(37 3662.088),(38 3610.8245),(39 3556.9976),(40 3535.5042),(41 3505.8362),(42 3490.1082),(43 3487.5378),(44 3503.9797),(45 3465.5786),(46 3462.2524),(47 3424.6738),(48 3370.1252),(49 3354.5078),(50 3378.86),(51 3436.241),(52 3476.265),(53 3502.271),(54 3514.6597),(55 3549.0325),(56 3553.0562),(57 3536.568),(58 3507.1619),(59 3512.2266),(60 3512.098),(61 3539.6292),(62 3511.7078),(63 3518.6558),(64 3475.8105),(65 3472.48),(66 3511.6526),(67 3569.8774),(68 3599.8677),(69 3638.6055),(70 3680.3457),(71 3733.832),(72 3722.7104),(73 3790.4263),(74 3806.7456),(75 3835.7678),(76 3919.6846),(77 3994.004),(78 4046.8943),(79 4092.9373),
(1 1114.8019),(2 1847.8763),(3 2249.4065),(4 2521.5657),(5 2674.2417),(6 2741.7078),(7 2845.7676),(8 2923.5913),(9 2976.0342),(10 3023.7903),(11 3090.3564),(12 3147.1577),(13 3208.225),(14 3237.8066),(15 3303.969),(16 3273.8276),(17 3267.8518),(18 3311.322),(19 3356.3354),(20 3399.619),(21 3418.6702),(22 3450.1013),(23 3454.7678),(24 3441.0447),(25 3458.147),(26 3510.5674),(27 3586.904),(28 3629.073),(29 3656.951),(30 3629.189),(31 3583.9717),(32 3550.393),(33 3567.6248),(34 3589.287),(35 3629.623),(36 3653.9395),(37 3654.4136),(38 3636.6687),(39 3621.352),(40 3616.1592),(41 3582.7095),(42 3543.9207),(43 3504.0986),(44 3497.0479),(45 3505.0215),(46 3520.3203),(47 3523.7412),(48 3524.448),(49 3510.6104),(50 3469.9395),(51 3457.3735),(52 3441.053),(53 3420.9502),(54 3421.9956),(55 3432.1992),(56 3454.306),(57 3468.482),(58 3494.077),(59 3491.7705),(60 3501.0652),(61 3468.3992),(62 3423.0645),(63 3407.555),(64 3385.8545),(65 3374.0862),(66 3423.929),(67 3451.3667),(68 3475.3013),(69 3517.0798),(70 3537.3774),(71 3586.8203),(72 3619.8477),(73 3696.1714),(74 3745.4832),(75 3809.8965),(76 3897.343),(77 3945.3564),(78 4022.5083),(79 4074.2014),
(1 1111.9291),(2 1816.6615),(3 2193.0571),(4 2436.979),(5 2575.8),(6 2641.5996),(7 2754.761),(8 2859.127),(9 2957.9993),(10 3033.4612),(11 3094.3757),(12 3169.7756),(13 3237.2366),(14 3298.8699),(15 3347.0374),(16 3346.2676),(17 3375.3083),(18 3409.336),(19 3397.729),(20 3410.486),(21 3412.9116),(22 3416.5645),(23 3484.1545),(24 3527.15),(25 3526.8203),(26 3502.977),(27 3578.7039),(28 3603.2146),(29 3557.716),(30 3500.181),(31 3501.7268),(32 3502.21),(33 3514.1719),(34 3576.5015),(35 3619.0068),(36 3639.1384),(37 3627.471),(38 3583.4182),(39 3558.4004),(40 3511.594),(41 3484.0513),(42 3492.2073),(43 3508.1597),(44 3510.8794),(45 3475.0435),(46 3467.066),(47 3459.9475),(48 3483.778),(49 3496.6738),(50 3492.3936),(51 3458.1687),(52 3455.389),(53 3462.2878),(54 3455.774),(55 3486.7627),(56 3506.816),(57 3499.74),(58 3478.1667),(59 3412.181),(60 3368.405),(61 3340.6926),(62 3321.9192),(63 3375.952),(64 3350.7366),(65 3346.0054),(66 3364.3828),(67 3372.7754),(68 3365.0994),(69 3444.3748),(70 3473.865),(71 3537.6091),(72 3587.2927),(73 3672.4253),(74 3705.9985),(75 3734.2148),(76 3811.7466),(77 3850.9111),(78 3892.7446),(79 3966.3132),
(1 1091.1365),(2 1775.0228),(3 2153.219),(4 2419.4492),(5 2549.4827),(6 2630.8262),(7 2722.7234),(8 2802.7366),(9 2834.7659),(10 2926.666),(11 2958.3867),(12 3030.3137),(13 3147.92),(14 3212.0762),(15 3281.7488),(16 3310.3184),(17 3336.379),(18 3359.6638),(19 3391.7002),(20 3393.4922),(21 3435.7202),(22 3400.0125),(23 3440.9233),(24 3470.3057),(25 3478.7742),(26 3465.8235),(27 3488.4434),(28 3522.7507),(29 3538.1619),(30 3499.396),(31 3489.2883),(32 3525.129),(33 3575.8066),(34 3638.9868),(35 3663.3547),(36 3616.4954),(37 3570.2358),(38 3533.1448),(39 3503.0532),(40 3480.8604),(41 3498.584),(42 3465.271),(43 3479.378),(44 3453.771),(45 3402.795),(46 3369.0623),(47 3372.2166),(48 3373.4072),(49 3399.7043),(50 3425.9006),(51 3413.3196),(52 3438.5046),(53 3472.249),(54 3472.6995),(55 3439.6953),(56 3427.5889),(57 3399.9158),(58 3343.4187),(59 3302.4504),(60 3288.3467),(61 3268.6118),(62 3287.3215),(63 3356.954),(64 3345.5518),(65 3359.0527),(66 3391.7822),(67 3445.8503),(68 3465.189),(69 3504.5928),(70 3503.5142),(71 3481.9238),(72 3533.0142),(73 3580.2512),(74 3607.2053),(75 3658.0469),(76 3737.1519),(77 3750.4314),(78 3820.1409),(79 3891.9192),
(1 1093.7557),(2 1812.9114),(3 2186.7332),(4 2410.091),(5 2591.5374),(6 2690.196),(7 2788.3367),(8 2886.1804),(9 2955.1018),(10 3049.6743),(11 3115.7402),(12 3158.8),(13 3238.8972),(14 3305.9294),(15 3338.1084),(16 3355.5933),(17 3412.317),(18 3448.4756),(19 3519.3066),(20 3535.3215),(21 3550.4268),(22 3546.225),(23 3556.28),(24 3539.7102),(25 3538.415),(26 3536.305),(27 3614.594),(28 3677.4468),(29 3682.7385),(30 3676.6973),(31 3684.755),(32 3693.6958),(33 3728.6772),(34 3728.6567),(35 3755.1743),(36 3709.3076),(37 3667.6375),(38 3643.759),(39 3584.2124),(40 3536.4136),(41 3502.7332),(42 3463.3086),(43 3459.5027),(44 3433.025),(45 3396.46),(46 3385.9019),(47 3395.5835),(48 3407.6594),(49 3396.4656),(50 3423.742),(51 3399.224),(52 3368.6743),(53 3380.4697),(54 3390.0176),(55 3437.7615),(56 3436.1174),(57 3455.7366),(58 3422.9075),(59 3410.6108),(60 3381.906),(61 3381.7666),(62 3408.925),(63 3438.7224),(64 3452.117),(65 3461.0742),(66 3431.308),(67 3467.1636),(68 3495.2224),(69 3494.8076),(70 3519.4766),(71 3546.1472),(72 3545.1782),(73 3558.6833),(74 3594.2742),(75 3677.1975),(76 3717.519),(77 3771.732),(78 3840.3284),(79 3907.405),
(1 1079.0247),(2 1786.1528),(3 2159.9875),(4 2381.3418),(5 2566.6907),(6 2701.5474),(7 2788.4153),(8 2885.5437),(9 2963.2546),(10 3024.4158),(11 3046.9329),(12 3125.603),(13 3233.0435),(14 3281.5503),(15 3316.845),(16 3362.3057),(17 3401.3945),(18 3447.9214),(19 3479.8894),(20 3552.2092),(21 3545.7769),(22 3534.3752),(23 3560.9731),(24 3566.6729),(25 3589.0715),(26 3617.1606),(27 3665.8062),(28 3740.2422),(29 3776.7275),(30 3776.2205),(31 3746.085),(32 3713.7783),(33 3685.8245),(34 3636.7014),(35 3649.3486),(36 3635.838),(37 3592.1863),(38 3524.9688),(39 3445.2517),(40 3399.9468),(41 3379.0017),(42 3366.2458),(43 3342.7515),(44 3319.8008),(45 3300.5737),(46 3302.4275),(47 3311.858),(48 3297.6433),(49 3286.1003),(50 3300.198),(51 3297.7058),(52 3277.6267),(53 3282.5347),(54 3274.2627),(55 3341.4565),(56 3372.8481),(57 3413.062),(58 3425.9797),(59 3441.3484),(60 3455.498),(61 3426.2493),(62 3430.3975),(63 3404.6638),(64 3377.0593),(65 3365.3113),(66 3409.1985),(67 3418.1816),(68 3386.573),(69 3418.4817),(70 3453.5566),(71 3499.6863),(72 3516.477),(73 3565.5242),(74 3614.7551),(75 3739.0122),(76 3834.7205),(77 3863.927),(78 3956.459),(79 4007.1365),
(1 1047.1707),(2 1724.2196),(3 2100.4033),(4 2330.986),(5 2479.4749),(6 2617.7747),(7 2753.6125),(8 2808.4072),(9 2871.304),(10 2922.876),(11 2969.9668),(12 3022.8994),(13 3118.6528),(14 3180.627),(15 3247.607),(16 3285.5608),(17 3292.2986),(18 3267.17),(19 3270.6543),(20 3321.2095),(21 3339.623),(22 3337.346),(23 3376.364),(24 3402.236),(25 3427.3584),(26 3448.739),(27 3503.395),(28 3547.2996),(29 3567.7073),(30 3551.1377),(31 3522.2703),(32 3497.971),(33 3513.2043),(34 3477.2595),(35 3489.0776),(36 3451.75),(37 3418.9023),(38 3387.1277),(39 3382.6685),(40 3342.3198),(41 3319.2744),(42 3282.6533),(43 3248.4038),(44 3246.0679),(45 3239.916),(46 3230.153),(47 3233.1414),(48 3195.4863),(49 3198.8884),(50 3211.4333),(51 3215.8635),(52 3226.2114),(53 3242.9866),(54 3220.9001),(55 3273.6165),(56 3307.7783),(57 3341.4712),(58 3336.153),(59 3330.9634),(60 3304.2478),(61 3218.3442),(62 3188.092),(63 3239.174),(64 3218.441),(65 3149.794),(66 3185.3303),(67 3179.2974),(68 3184.278),(69 3246.394),(70 3284.5288),(71 3361.867),(72 3354.577),(73 3451.9353),(74 3549.6038),(75 3646.9514),(76 3734.8284),(77 3734.684),(78 3804.687),(79 3848.3179),
(1 1032.8977),(2 1688.6115),(3 2067.7505),(4 2291.8616),(5 2456.5833),(6 2572.3713),(7 2650.0972),(8 2725.8857),(9 2775.0542),(10 2827.34),(11 2906.73),(12 2966.0361),(13 3024.8022),(14 3036.2717),(15 3111.0166),(16 3151.6653),(17 3158.1233),(18 3198.2607),(19 3243.9146),(20 3265.4258),(21 3274.4158),(22 3266.8752),(23 3264.5889),(24 3257.2021),(25 3244.2788),(26 3272.944),(27 3315.5127),(28 3376.973),(29 3376.4595),(30 3360.2131),(31 3335.9453),(32 3349.6802),(33 3345.7244),(34 3352.859),(35 3374.77),(36 3312.8894),(37 3297.9155),(38 3299.1323),(39 3300.5112),(40 3250.1895),(41 3241.5068),(42 3224.7131),(43 3194.955),(44 3154.179),(45 3129.9602),(46 3106.7053),(47 3109.976),(48 3073.0447),(49 3111.8806),(50 3146.4756),(51 3145.1028),(52 3131.457),(53 3133.9546),(54 3138.1091),(55 3155.781),(56 3168.296),(57 3146.7253),(58 3140.0276),(59 3151.5796),(60 3162.533),(61 3129.466),(62 3171.2087),(63 3199.506),(64 3211.7136),(65 3203.603),(66 3204.614),(67 3171.9258),(68 3161.9263),(69 3217.077),(70 3240.216),(71 3312.795),(72 3346.5217),(73 3479.197),(74 3525.3447),(75 3600.4153),(76 3641.428),(77 3676.6387),(78 3765.8901),(79 3818.7527),
(1 1019.99133),(2 1658.3882),(3 2006.9246),(4 2202.8682),(5 2341.957),(6 2446.5127),(7 2519.8352),(8 2545.433),(9 2583.6724),(10 2658.1836),(11 2706.2422),(12 2762.34),(13 2826.4797),(14 2840.634),(15 2917.9827),(16 2967.3152),(17 2980.8613),(18 3011.7842),(19 3049.657),(20 3089.7268),(21 3076.4258),(22 3089.865),(23 3108.046),(24 3132.9573),(25 3148.3652),(26 3156.4033),(27 3176.63),(28 3203.3804),(29 3212.1753),(30 3209.353),(31 3179.754),(32 3191.2688),(33 3244.515),(34 3271.1907),(35 3246.468),(36 3210.5247),(37 3192.234),(38 3158.2632),(39 3143.2761),(40 3129.4207),(41 3100.0999),(42 3079.9087),(43 3030.2144),(44 3003.5522),(45 2984.3652),(46 2968.5947),(47 2982.1133),(48 3004.2961),(49 3037.075),(50 3056.5522),(51 3073.321),(52 3057.7083),(53 3036.516),(54 3059.282),(55 3030.3733),(56 2988.2053),(57 2961.198),(58 2933.7659),(59 2941.745),(60 2966.8237),(61 3008.8772),(62 3049.9832),(63 3082.5083),(64 3076.7322),(65 3069.1624),(66 3064.9407),(67 3072.573),(68 3095.4253),(69 3126.5747),(70 3138.397),(71 3170.4663),(72 3215.8376),(73 3279.6296),(74 3317.316),(75 3379.3022),(76 3415.7683),(77 3496.7136),(78 3533.0671),(79 3553.9568),
