1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43358.113),(2 152164.34),(3 336297.3),(4 574565.56),(5 890413.2),(6 1190747.6),(7 1579845.6),(8 2031983.5),(9 2527820.3),(10 3073628.8),(11 3697898),(12 4363522),(13 5083276),(14 5818271.5),(15 6585319.5),(16 7339161.5),(17 8114001.5),(18 8866991),(19 9631816),(20 10393675),(21 11172145),(22 11919799),(23 12689036),(24 13472344),(25 14249139),(26 15060260),(27 15901129),(28 16818314),(29 17743466),(30 18725760),(31 19474734),(32 20398404),(33 21346136),(34 22323472),(35 23399130),(36 24526730),(37 25844006),(38 27280342),(39 28785390),(40 30203970),(41 31426994),(42 32610890),(43 33771956),(44 34886092),(45 35958496),(46 37027860),(47 38072404),(48 39106068),(49 40056140),(50 40952224),(51 41769304),(52 42396700),(53 42858108),(54 43175980),(55 43467340),(56 43467116),(57 43378440),(58 43232020),(59 43186268),(60 43025424),(61 43076540),(62 43337652),(63 43719804),(64 44200200),(65 44731476),(66 45382956),(67 46122724),(68 46923120),(69 47869532),(70 48882068),(71 49994108),(72 51187148),(73 52628932),(74 54301828),(75 56187364),(76 58031308),(77 59838116),(78 61643300),(79 63321684),
(1 22362.176),(2 60837.035),(3 90602.016),(4 109238.32),(5 118613.266),(6 123994.78),(7 127164.66),(8 129894.09),(9 135954.84),(10 143065.02),(11 149050.86),(12 149796.88),(13 145927.02),(14 142275.28),(15 141222.5),(16 142442.75),(17 147667.02),(18 152683.33),(19 154224.55),(20 151901.14),(21 146144.97),(22 141885.06),(23 142182.02),(24 147118.23),(25 154957.9),(26 159252.6),(27 157745.89),(28 155785.56),(29 158104.44),(30 161985.77),(31 165825.17),(32 166462.97),(33 165531.28),(34 165628.58),(35 167402.89),(36 172291.89),(37 177576.11),(38 178485.97),(39 175573.08),(40 171803.31),(41 169169.89),(42 168657.16),(43 166314.98),(44 164934.06),(45 165757.84),(46 169354.63),(47 174520.34),(48 177427.98),(49 177706.69),(50 177029.55),(51 173676.9),(52 169770.33),(53 166968.73),(54 169118.77),(55 172818.39),(56 175143.89),(57 175930.61),(58 175005.06),(59 172120.22),(60 169040.66),(61 167768.02),(62 168387.47),(63 169820.56),(64 171132.2),(65 172782.16),(66 171798.63),(67 168210.47),(68 165361.45),(69 164667.16),(70 167763.55),(71 171880.1),(72 175098),(73 175481.27),(74 172781.5),(75 169382.64),(76 166635.88),(77 165589.02),(78 167136.33),(79 169128.84),
(1 22013.795),(2 59088.125),(3 86707.41),(4 104756.69),(5 115590.21),(6 122028),(7 125850.19),(8 127664.36),(9 131276.53),(10 135808.6),(11 139229.47),(12 137768.92),(13 133891.9),(14 132825.31),(15 134852.69),(16 136888.58),(17 141564.38),(18 144715.42),(19 145414.13),(20 142766.45),(21 138165.36),(22 135010.63),(23 135350.97),(24 140111.23),(25 146223.72),(26 148058.05),(27 147004.36),(28 146489.14),(29 148246.9),(30 149667.33),(31 150622.38),(32 149965.89),(33 149896.58),(34 153844.97),(35 160181.28),(36 165628.83),(37 168084.23),(38 165576.63),(39 162000.22),(40 159553.6),(41 158521.72),(42 159467.88),(43 161252),(44 164351.6),(45 168960.47),(46 171562.47),(47 171202.67),(48 169732.2),(49 170433.86),(50 170126.88),(51 167429.72),(52 165082.28),(53 164568.55),(54 165794.38),(55 166293.03),(56 165374.67),(57 166026.44),(58 167502.72),(59 169481.72),(60 170590.33),(61 172203.42),(62 174108.53),(63 176558.17),(64 178378.1),(65 181249.78),(66 179661.92),(67 176551.81),(68 174956.86),(69 174786.34),(70 174618.2),(71 175704.45),(72 177347.53),(73 177223.94),(74 175192.73),(75 170987.05),(76 167850.1),(77 166462.98),(78 167383.28),(79 168702.42),
(1 19461.686),(2 51205.26),(3 75475.72),(4 92005.33),(5 102533.75),(6 110008.34),(7 114915.18),(8 118220.734),(9 121833.61),(10 125857.58),(11 127824.586),(12 126264.4),(13 125138.336),(14 126153.98),(15 126510.84),(16 126835.6),(17 128581.516),(18 128919.27),(19 127552.94),(20 125017.24),(21 122951.266),(22 122637.73),(23 125310.6),(24 130702.15),(25 134912.63),(26 135884.89),(27 134886.17),(28 133713.84),(29 133768.6),(30 133990.81),(31 134679.06),(32 138080.61),(33 144569.75),(34 152483.11),(35 157281.6),(36 159428.05),(37 158301.22),(38 154897.63),(39 152666.73),(40 151899.17),(41 153694.33),(42 157852.2),(43 161396.25),(44 164197.7),(45 163942.61),(46 161976.84),(47 160882.83),(48 161566.7),(49 163377.2),(50 162835.23),(51 162217.58),(52 162649.28),(53 161106.02),(54 158121.98),(55 156373.33),(56 157065.88),(57 159430.56),(58 161222.11),(59 163107.2),(60 165011.75),(61 167332.2),(62 167306.53),(63 167929.95),(64 170472.25),(65 174038.23),(66 173610.86),(67 170837.38),(68 166730.31),(69 162797.89),(70 161758.05),(71 165392.4),(72 169861.66),(73 171342.78),(74 168653.75),(75 164662.05),(76 161108.2),(77 157638.4),(78 156101.3),(79 155376.58),
(1 19107.07),(2 49745.18),(3 72472.73),(4 87203.06),(5 97071.85),(6 104401.164),(7 111405.81),(8 117554.09),(9 124679.73),(10 131407.77),(11 135478.27),(12 135260.89),(13 134301.48),(14 132865.34),(15 132219.89),(16 131490.17),(17 132065.84),(18 130762.88),(19 128218.47),(20 126375.484),(21 126459.266),(22 128402.3),(23 129702.336),(24 130823.56),(25 131914.06),(26 131563.11),(27 129467.92),(28 127229.9),(29 129023.38),(30 132476.27),(31 135623.5),(32 140654.13),(33 145986.67),(34 149987.66),(35 152425.19),(36 152569.39),(37 152091.22),(38 150293.42),(39 148771.13),(40 148318.77),(41 148583.94),(42 150127.16),(43 152926.63),(44 154988.45),(45 154827.02),(46 155764.98),(47 156630.2),(48 159242.83),(49 159192.31),(50 158353.34),(51 158374.31),(52 158181.77),(53 153912.06),(54 149609.72),(55 148427.7),(56 149150.11),(57 150739.16),(58 150410.17),(59 150152.14),(60 151969.23),(61 155541.16),(62 160295.95),(63 164875.67),(64 168798.66),(65 172128.98),(66 175003.73),(67 175697.66),(68 173287.19),(69 170755.55),(70 170600.77),(71 172709.48),(72 173873.84),(73 172987.19),(74 172106.5),(75 172016.33),(76 169999.25),(77 166806.42),(78 163784.23),(79 162854.38),
(1 17830.07),(2 45473.06),(3 66365.49),(4 81922.69),(5 93558.305),(6 101694),(7 108709.44),(8 115447.58),(9 122561.54),(10 128618.234),(11 132080.22),(12 132120.88),(13 131787.73),(14 132197.2),(15 133907.13),(16 136771.95),(17 139948.58),(18 140166.75),(19 138614.16),(20 137370.45),(21 137533.67),(22 137717.47),(23 136083.61),(24 134526.36),(25 132573),(26 130434.11),(27 129287.48),(28 129194.92),(29 131910.1),(30 134518.42),(31 136767.34),(32 139535.33),(33 140422.7),(34 140391.72),(35 138659.77),(36 137944.95),(37 138404.17),(38 139071.47),(39 140946.63),(40 141401.52),(41 140798.72),(42 141470.11),(43 144913.36),(44 147433.64),(45 150265.4),(46 154001.38),(47 156706.98),(48 156280.31),(49 153762.61),(50 152127.25),(51 151432.94),(52 151456.14),(53 149631.1),(54 147751.64),(55 147176.67),(56 148351.67),(57 149222.25),(58 148881.98),(59 150139.14),(60 153019.19),(61 157466.72),(62 162279.45),(63 165766.88),(64 167225.47),(65 167816.47),(66 170458.33),(67 172085.39),(68 171073.02),(69 170924.84),(70 170498.56),(71 169136.86),(72 167936.14),(73 168485.67),(74 169001.08),(75 168097.78),(76 166788.2),(77 163964.8),(78 160923.45),(79 159158.7),
(1 17155.412),(2 44287.99),(3 66204.81),(4 83218.7),(5 94998.8),(6 103105.03),(7 108676.4),(8 113015.31),(9 117012.95),(10 119568.78),(11 121322.22),(12 122187.36),(13 123982.52),(14 127356.48),(15 131610.42),(16 137988.9),(17 142631.48),(18 143060.05),(19 141642.2),(20 141565.34),(21 143303.86),(22 144169),(23 142602.77),(24 138544.39),(25 133563.28),(26 131651.17),(27 132558.27),(28 134184.2),(29 135701.86),(30 136144.44),(31 137283.39),(32 138246.1),(33 138453.38),(34 137001.27),(35 133546.72),(36 131281),(37 130158.89),(38 130746.58),(39 130541.87),(40 130232.01),(41 131240.63),(42 134860.48),(43 139880.22),(44 143311.77),(45 147703.52),(46 151002.45),(47 153078.28),(48 151694.31),(49 147577.89),(50 145640.84),(51 145766.16),(52 146168.02),(53 145753.84),(54 144393.95),(55 143291.89),(56 144464.4),(57 147774.61),(58 149928.89),(59 150977.72),(60 154157.39),(61 158856.1),(62 162787.55),(63 165048.55),(64 165609.97),(65 165474.08),(66 166540.81),(67 166559.06),(68 164632.84),(69 160926.83),(70 156074.9),(71 153184.25),(72 153318.48),(73 155010.38),(74 155305.44),(75 157181.6),(76 157530.27),(77 155426.05),(78 152711.61),(79 151234.63),
(1 17954.03),(2 46586.8),(3 69752.27),(4 87463.58),(5 99755.305),(6 108049.73),(7 113260.37),(8 116701.734),(9 119020.336),(10 119570.98),(11 119880.86),(12 118876.64),(13 120084.914),(14 123128.51),(15 127811.664),(16 132828.63),(17 135303.23),(18 134861.44),(19 134126.66),(20 135865.95),(21 138645.47),(22 140266.38),(23 139253.6),(24 135442.34),(25 130893.64),(26 127685.555),(27 127299.75),(28 128311.24),(29 129136.14),(30 128141.45),(31 128345.03),(32 129418.695),(33 129918.67),(34 128538.445),(35 125905.555),(36 124062.19),(37 123306.33),(38 125013.75),(39 125528.94),(40 129180.914),(41 132700.23),(42 137076.34),(43 141402.38),(44 145350.98),(45 148049.23),(46 149961.44),(47 150332.48),(48 148330.98),(49 146303.05),(50 145585.6),(51 145325.03),(52 145683.17),(53 143761.4),(54 142122.25),(55 141238.02),(56 141347.95),(57 142434.63),(58 143379.5),(59 145123.83),(60 147913.47),(61 149976.5),(62 150866.36),(63 150214.13),(64 149247.81),(65 146992.81),(66 144434.48),(67 142314.55),(68 138357.69),(69 133425.44),(70 129296.55),(71 128299.63),(72 129245.57),(73 133160.05),(74 138324.23),(75 142181.44),(76 142433.83),(77 140088.38),(78 138639.02),(79 138202.11),
(1 17773.988),(2 44700.19),(3 65621.695),(4 81699.68),(5 94043.27),(6 103499.12),(7 110468.12),(8 115809.14),(9 120347.15),(10 122826.15),(11 124954.29),(12 125134.07),(13 125472.94),(14 126071.664),(15 127674.516),(16 130156.516),(17 130903.484),(18 130013.94),(19 129772.89),(20 130513.664),(21 130574.484),(22 129794.414),(23 129100.234),(24 129633.84),(25 128951.125),(26 127282.18),(27 125449.97),(28 124673.86),(29 124172.695),(30 123699.66),(31 124025.55),(32 125147.94),(33 124843.17),(34 124786.01),(35 123495.29),(36 123201.33),(37 123323.55),(38 124381.695),(39 125532.93),(40 128588.79),(41 132647.8),(42 137324.95),(43 140894.4),(44 142282.6),(45 143292.73),(46 144245.84),(47 144021.61),(48 142048),(49 141642.08),(50 142848.4),(51 142826.94),(52 140976.06),(53 137999.53),(54 135917.16),(55 133498.45),(56 128857.36),(57 126097.484),(58 124785.17),(59 125204.695),(60 125715.336),(61 124948.52),(62 122895.38),(63 122279.9),(64 122797.33),(65 121718.34),(66 119082.62),(67 117735.445),(68 115625.62),(69 112693.195),(70 110918.12),(71 111973.26),(72 116885.3),(73 121121.375),(74 125043.79),(75 125201.625),(76 123932.93),(77 121441.21),(78 121200.99),(79 122682.62),
(1 16964.58),(2 41164.477),(3 59842.723),(4 73730.555),(5 83003.07),(6 90458.77),(7 95131.84),(8 100625.07),(9 106120.46),(10 109538.734),(11 111377.07),(12 110731.04),(13 110285.2),(14 110864.74),(15 113963.04),(16 118318.23),(17 120508.055),(18 120859.836),(19 121604.29),(20 120546.47),(21 118558.61),(22 117587.67),(23 120148.47),(24 122987.14),(25 124310.9),(26 122464.86),(27 121075.67),(28 120353.3),(29 121271.86),(30 122718.23),(31 122816.06),(32 123223.79),(33 123052.13),(34 123814.76),(35 123568.664),(36 122659.3),(37 121801.66),(38 122743.98),(39 124520.53),(40 126133.71),(41 127866.695),(42 129875.266),(43 132411.45),(44 134759.38),(45 135758.55),(46 136493.66),(47 136796.72),(48 136618.19),(49 135149.42),(50 134113.4),(51 131710.17),(52 128639.97),(53 126965.57),(54 125699.41),(55 123362.34),(56 119250.71),(57 115784.19),(58 113448.2),(59 113258.94),(60 113356.04),(61 112559.86),(62 109926.98),(63 108224.61),(64 106892.51),(65 104504.875),(66 102635.445),(67 102352.86),(68 102830.555),(69 102842.9),(70 103847.01),(71 106680.53),(72 109412.1),(73 110974.34),(74 111124.9),(75 111120.11),(76 110679.66),(77 110700.99),(78 111466.46),(79 112669.37),
(1 16950.457),(2 41334.934),(3 59862.727),(4 73202.98),(5 81302.07),(6 86277.24),(7 89047.94),(8 93161.61),(9 96592.484),(10 98365.37),(11 100102.71),(12 100709.72),(13 101004.18),(14 101131.55),(15 102396.91),(16 104241.305),(17 104339.92),(18 103837.68),(19 104265.01),(20 104769.07),(21 106684.625),(22 108548.31),(23 111099.305),(24 112807.58),(25 113584.516),(26 113243.97),(27 112914.305),(28 112360.41),(29 112092.83),(30 111593.82),(31 111322.89),(32 110338.97),(33 110229.69),(34 111030.98),(35 109678.61),(36 108181.234),(37 108832.21),(38 112187.78),(39 114900.22),(40 116985.37),(41 118619.836),(42 119522.95),(43 121640.42),(44 123621.695),(45 124755.59),(46 125075.75),(47 123986.38),(48 122408.484),(49 119774.42),(50 118673.336),(51 117360.586),(52 116025.56),(53 116481.31),(54 117771.69),(55 117389.76),(56 115735.66),(57 112449.39),(58 109839.305),(59 109854.97),(60 110092.35),(61 107906.63),(62 103509.01),(63 100958.61),(64 99156.99),(65 98039.11),(66 98083.9),(67 101037.9),(68 104237.86),(69 105842.06),(70 105633.195),(71 105426.28),(72 103454.39),(73 102397.695),(74 102701.875),(75 104276.92),(76 103751.48),(77 103456.734),(78 104443.78),(79 105595.87),
(1 17504.934),(2 42615.832),(3 61041.348),(4 74081.27),(5 81903.94),(6 86324.336),(7 89711.04),(8 93950.93),(9 97288.45),(10 98898.086),(11 100777.086),(12 102046.56),(13 102245.52),(14 101925.55),(15 102562.586),(16 102511.82),(17 100884.06),(18 99300.516),(19 98281.21),(20 99103.17),(21 100791.05),(22 101517.77),(23 102812.73),(24 103445.33),(25 104569.86),(26 105488.41),(27 107226.85),(28 107615.95),(29 105921.11),(30 104120.195),(31 103026.125),(32 102688.734),(33 103336.45),(34 102760.17),(35 102009.47),(36 101802.734),(37 102936.52),(38 105026.086),(39 106834.34),(40 109565.68),(41 111269.94),(42 112339.9),(43 113420.27),(44 113334.34),(45 113144.58),(46 113039.3),(47 112639.266),(48 112788.58),(49 112590.66),(50 113447.664),(51 112951.86),(52 112033.96),(53 111764.15),(54 112884.75),(55 112960.38),(56 111260.37),(57 108996.875),(58 106933.484),(59 106242.75),(60 105166.555),(61 103246.99),(62 100393.96),(63 97799.83),(64 96120.02),(65 95671.44),(66 97114.734),(67 100261.99),(68 102400.36),(69 102795.68),(70 101449.086),(71 100874.49),(72 99897.305),(73 100051.625),(74 102358.99),(75 103805.07),(76 104485.77),(77 104636.734),(78 105282.04),(79 105698.195),
(1 17163.088),(2 40948.508),(3 57992.2),(4 69319.086),(5 76294.555),(6 80395.23),(7 83237.68),(8 87461.766),(9 92677.27),(10 96300.08),(11 97938.266),(12 97264.05),(13 97289.39),(14 98967.13),(15 102540.016),(16 103447.79),(17 102131.36),(18 100780.664),(19 98902.31),(20 97442.85),(21 96354.51),(22 96821.27),(23 97763.97),(24 98649.76),(25 99243.734),(26 100375.55),(27 103113.04),(28 103376.73),(29 101287.22),(30 99933.055),(31 99899.96),(32 101994.086),(33 103637.37),(34 103182.67),(35 102476.18),(36 101285.945),(37 100713.61),(38 99420.97),(39 99689.69),(40 102277.1),(41 103290.27),(42 102449.734),(43 100613.945),(44 99341.914),(45 100016.56),(46 101513.05),(47 101430.984),(48 101666.125),(49 102749.28),(50 103450.77),(51 101837.1),(52 99896.58),(53 98318.47),(54 98048),(55 97585.11),(56 98278.414),(57 98642.305),(58 95918.086),(59 95047.59),(60 96276.03),(61 98246.234),(62 99197.695),(63 98739.53),(64 97305.37),(65 96415.14),(66 96479.86),(67 97028.305),(68 97086.516),(69 96219.56),(70 94954.61),(71 94821.016),(72 94887.766),(73 96605.91),(74 100423.94),(75 103743.64),(76 106232.76),(77 107222.87),(78 106630),(79 105779.27),
(1 16651.006),(2 39378.42),(3 55638.56),(4 66654.11),(5 73395.33),(6 77451.28),(7 80677.336),(8 85436.43),(9 90487.25),(10 92923.36),(11 92980.94),(12 91905.96),(13 92781.23),(14 95439.2),(15 98242.56),(16 98605.48),(17 96633.36),(18 94883.95),(19 93474.32),(20 92283.12),(21 92624.68),(22 94043.82),(23 94630.56),(24 95329.05),(25 94607.16),(26 95092.77),(27 95547.57),(28 94407.516),(29 94580.734),(30 96134.21),(31 97230.984),(32 100347.04),(33 101235.39),(34 100630.48),(35 99782.49),(36 98294.64),(37 97048.58),(38 96196.61),(39 96857.97),(40 97478.31),(41 97858.695),(42 97075.12),(43 95459.78),(44 94365.65),(45 95372.38),(46 97437.266),(47 97755.83),(48 97516.82),(49 97266.64),(50 96669.1),(51 95894.57),(52 95425.33),(53 93755.68),(54 91161.85),(55 90332.84),(56 89618.33),(57 87509.83),(58 86648.586),(59 88646.68),(60 91000.164),(61 94548.59),(62 96362.266),(63 96930.9),(64 95141.86),(65 94095.62),(66 92984.67),(67 92456.75),(68 92791.266),(69 93652.05),(70 93542.61),(71 92958.77),(72 92254.04),(73 94956.94),(74 98639.21),(75 100197.89),(76 101378.91),(77 100736.47),(78 99875.94),(79 99375.56),
(1 16278.412),(2 37661.93),(3 52895.42),(4 64174.727),(5 71859.305),(6 76104.1),(7 79804.375),(8 84873.19),(9 87847.71),(10 87238.414),(11 86783.03),(12 86626.4),(13 88815.195),(14 91759.33),(15 93754.34),(16 92567.29),(17 90132.27),(18 89411.336),(19 90741.33),(20 93234.21),(21 95011.305),(22 95732.67),(23 96670.32),(24 97528.68),(25 98216.375),(26 97885.84),(27 96606.02),(28 95213.55),(29 96052.1),(30 98016.97),(31 100453.266),(32 103003.92),(33 103437.41),(34 103338.914),(35 103197.266),(36 103440.375),(37 103491.66),(38 103077.85),(39 102138.68),(40 100264.336),(41 98729.195),(42 97793.11),(43 96903.53),(44 95541.51),(45 94990.27),(46 96294.27),(47 95564.875),(48 94152.47),(49 92955.89),(50 91822.14),(51 91108.766),(52 91277.875),(53 90195.6),(54 90433.49),(55 90217.83),(56 88189.234),(57 86786.555),(58 86261.27),(59 87566.89),(60 88855.74),(61 91304.07),(62 92619.37),(63 92174.51),(64 91569.66),(65 92244.49),(66 91963.086),(67 91483.84),(68 92291.3),(69 92694.195),(70 91767.05),(71 89738.97),(72 89256.75),(73 92169.16),(74 94325.586),(75 95719.414),(76 96514.34),(77 96914.664),(78 97151.51),(79 98094.516),
(1 16125.625),(2 36459.652),(3 50909.742),(4 61352.4),(5 68437.54),(6 72671.22),(7 76247.734),(8 80987.12),(9 83770.07),(10 84409.984),(11 85219.38),(12 85939.85),(13 87852.055),(14 91147.72),(15 92758.734),(16 91281.414),(17 89812.164),(18 90638.97),(19 92947.336),(20 95104.39),(21 95729.32),(22 96195.45),(23 96550.016),(24 98109.7),(25 97822.68),(26 98488.14),(27 98080.195),(28 96648.45),(29 96210.04),(30 97684.61),(31 99273),(32 99776.18),(33 99402.3),(34 100264.73),(35 100182.26),(36 100202.086),(37 100215.89),(38 99426.41),(39 98108.22),(40 96357.484),(41 94976.3),(42 95303.414),(43 94812.734),(44 93441.99),(45 92362.72),(46 91836.51),(47 91042.57),(48 89679.945),(49 87998.47),(50 86532.27),(51 86227.45),(52 86864.36),(53 88207.76),(54 89987.27),(55 89251.39),(56 87279.37),(57 86594.48),(58 86261.39),(59 86812.77),(60 87322.18),(61 88151.69),(62 88126.88),(63 88316.56),(64 89276.89),(65 90451.93),(66 90009.17),(67 89939.195),(68 91101.76),(69 91991.06),(70 90793.73),(71 87847.945),(72 86570.54),(73 87929.16),(74 88480.38),(75 90130.664),(76 91232.72),(77 91226.57),(78 91754.14),(79 93830.58),
(1 16239.972),(2 37310.906),(3 52791.81),(4 63221.07),(5 69721.414),(6 73659.625),(7 76568.56),(8 81039.85),(9 83642.195),(10 84605.336),(11 86380.65),(12 86752.266),(13 88712.55),(14 92078.195),(15 93775.22),(16 92678.875),(17 92211.76),(18 93452.914),(19 94943.555),(20 95659.7),(21 96497.766),(22 96842.84),(23 97698.49),(24 97837.195),(25 97616.766),(26 98598.63),(27 98956.914),(28 98160.48),(29 97967.65),(30 99889.734),(31 100172.766),(32 100102.14),(33 99580.63),(34 99551.29),(35 97321.6),(36 96227.38),(37 95284.164),(38 95337.21),(39 94421.34),(40 93855.195),(41 92069.79),(42 91951.734),(43 91125.164),(44 90330.625),(45 88926.55),(46 87341.2),(47 85882.23),(48 84914.734),(49 83715.43),(50 82669.03),(51 81718.42),(52 82367.85),(53 83241.08),(54 83635.52),(55 82996.805),(56 82592.03),(57 82049.52),(58 82321.09),(59 83894.375),(60 85525.45),(61 87188.95),(62 87650.664),(63 88604.914),(64 89787.41),(65 89458.34),(66 89618.45),(67 91616.2),(68 93113.805),(69 94335.76),(70 93891.66),(71 92524.266),(72 91050.62),(73 90113.875),(74 89500.24),(75 90742.03),(76 90275.58),(77 89588.805),(78 89975.73),(79 92362.1),
(1 15793.26),(2 36528.277),(3 52199.41),(4 61859.723),(5 67949.09),(6 72359.57),(7 74921.19),(8 77879.805),(9 79289.24),(10 79049.445),(11 79588.09),(12 80222.09),(13 83120.03),(14 86431.22),(15 88130.055),(16 86813.05),(17 86062.29),(18 87626.35),(19 88849.484),(20 88496.56),(21 87608.44),(22 87746.016),(23 88826.08),(24 87641.16),(25 86814.04),(26 86640.984),(27 88045.37),(28 88732.9),(29 89964.82),(30 91375.695),(31 91642.19),(32 91656.695),(33 91168.016),(34 89270.74),(35 87400.08),(36 86516.54),(37 86608.2),(38 85876.11),(39 85179.37),(40 84906.77),(41 84541.91),(42 85014.37),(43 84918.945),(44 84712.52),(45 82946.28),(46 81866.766),(47 80733.695),(48 80409.516),(49 79454.664),(50 78828.65),(51 78155.914),(52 78420.6),(53 78816.42),(54 79646.71),(55 79474.72),(56 79826.52),(57 79969.625),(58 80232.11),(59 80843.1),(60 81155.83),(61 81837.13),(62 82131.25),(63 83119.46),(64 83207.945),(65 83145.05),(66 84383.49),(67 87138.19),(68 89527.05),(69 90492.67),(70 90946.766),(71 91704.26),(72 92262.24),(73 92100.29),(74 93514.32),(75 93925.71),(76 92660.82),(77 93518.375),(78 94535.39),(79 96215.086),
(1 15154.15),(2 35013.945),(3 49430.887),(4 58144.902),(5 62860.203),(6 66023.2),(7 68059.32),(8 71088.32),(9 72078.016),(10 71559.445),(11 71526.15),(12 70852.09),(13 72513.76),(14 75083.27),(15 76210.32),(16 75153),(17 75388.82),(18 76610.74),(19 77320.46),(20 76953.08),(21 76519.31),(22 77579.15),(23 78543.984),(24 78129.445),(25 77999.75),(26 77437.87),(27 77287.4),(28 77270.4),(29 78072.34),(30 79269.96),(31 79400.75),(32 79660.914),(33 78588.51),(34 78241.414),(35 78228.48),(36 78301.27),(37 78249.45),(38 78303.34),(39 76738.32),(40 75567.45),(41 74994.18),(42 75469.375),(43 75498.484),(44 75881.73),(45 74757.69),(46 74127.555),(47 73633.35),(48 73755.17),(49 73297.26),(50 72813.99),(51 72532.586),(52 73149.75),(53 74594.484),(54 74722.53),(55 74350.18),(56 74448.77),(57 76290.95),(58 77423.305),(59 77667.44),(60 78048.66),(61 76712.53),(62 75634.35),(63 76145.27),(64 76524.66),(65 77098.21),(66 78932.59),(67 82776.36),(68 84896.65),(69 84391.2),(70 83776.88),(71 83576.29),(72 83483.195),(73 84265.945),(74 85536.016),(75 84214.04),(76 85046.23),(77 85869.625),(78 86589.93),(79 88005.98),
